David A. Bennett,Rush University Medical Center,Not Mentioned,184642,Not Mentioned,https://scholar.google.com/citations?hl=en&user=m_NIro4AAAAJ
Jeffrey Hausdorff,Tel Aviv Medical Center; Tel Aviv University; Rush University Medical School,tlvmc.gov.il,76879,gait | falls | Parkinson's disease | aging | wearables,https://scholar.google.com/citations?hl=en&user=-Tpv_CMAAAAJ
JULIE A SCHNEIDER,"Professor of Pathology, Rush University Medical Center",rush.edu,76456,Alzheimer's disease,https://scholar.google.com/citations?hl=en&user=USc8XE4AAAAJ
Sue Leurgans,"Professor of Neurological Sciences, Rush University Medical Center",rush.edu,38073,biostatistics | neuroscience,https://scholar.google.com/citations?hl=en&user=-UGyQQsAAAAJ
Joshua Jacobs,Rush University,rush.edu,37806,Biomaterials,https://scholar.google.com/citations?hl=en&user=EsO0YvIAAAAJ
Glenn T Stebbins,"Professor Emeritus of Neurological Sciences, Rush University Medical Center",rush.edu,34297,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ih7hkmAAAAAJ
Ali Keshavarzian,Rush University Medical Center-Digestive Disease,Rush.edu,33542,Digestive diseases | alcohol research | circadian rhythms | brain-gut interactions | microbiota,https://scholar.google.com/citations?hl=en&user=clrNg7wAAAAJ
M Cobleigh,Rush University,rush.edu,26976,Not Mentioned,https://scholar.google.com/citations?hl=en&user=_yqg4n0AAAAJ
"Kim Allan Williams, Sr., MD",Rush University,rush.edu,24711,prevention | cardiovascular radiology,https://scholar.google.com/citations?hl=en&user=HqVBiX8AAAAJ
"Jochen Reiser MD, PhD","The Ralph C Brown MD Professor and Chairman of Medicine, Rush University Medical …",rush.edu,23600,Molecular Biology | Molecular Medicine | Nephrology,https://scholar.google.com/citations?hl=en&user=vSys-a8AAAAJ
Klodian Dhana,Assistant Professor at Rush University Medical Center,rush.edu,23345,Lifestyle Factors | MIND Diet | Cardiovascular disease | Alzheimer's Dementia | Epidemiology,https://scholar.google.com/citations?hl=en&user=aH1DBS4AAAAJ
Timothy M Kuzel,Professor of Medicine Rush University Medical School,rush.edu,23108,Immunotherapy of cancer,https://scholar.google.com/citations?hl=en&user=HLZ2emkAAAAJ
