Philippe MEIRIEU,Professeur de sciences de l'education - Université Lumière-Lyon-2,Not Mentioned,15358,éducation pédagogie apprentissages,https://scholar.google.com/citations?hl=en&user=_2HjWBwAAAAJ
George A. Michael,Université Lyon 2,univ-lyon2.fr,2305,attention | consciousness | experimental psychology | neuropsychology,https://scholar.google.com/citations?hl=en&user=HljvyQcAAAAJ
Philippe SARNIN,University of Lyon 2,univ-lyon2.fr,2208,Work and organizational psychology,https://scholar.google.com/citations?hl=en&user=RgGoCDcAAAAJ
Jérôme Darmont,"Professor of Computer Science, Université de Lyon, Lyon 2, UR ERIC",univ-lyon2.fr,2120,Databases | Data warehouses | Data lakes,https://scholar.google.com/citations?hl=en&user=cLTzLCIAAAAJ
Serge Miguet,"Professeur d'Informatique, CNRS, Université de Lyon, LIRIS, Université Lumière Lyon 2",univ-lyon2.fr,2041,Image processing | Image analysis | Video processing | Parallel computing,https://scholar.google.com/citations?hl=en&user=jLh0qIEAAAAJ
Adrien Guille,"Associate Professor of Computer Science, Université de Lyon (Lyon 2, UR ERIC)",univ-lyon2.fr,1784,Machine Learning | Natural Language Processing | Complex Networks,https://scholar.google.com/citations?hl=en&user=mM_oO18AAAAJ
Cécile Favre,"Maîtresse de Conférences en Informatique, ERIC - Université Lyon 2",univ-lyon2.fr,1781,Entreposage de données | analyse de réseaux sociaux,https://scholar.google.com/citations?hl=en&user=cadnaLAAAAAJ
Navratil Oldrich,"Assistant professor, University of Lyon 2, UMR 5600/IRG, France",univ-lyon2.fr,1477,hydrology | sediment transport | bankfull discharge | hydraulic geometry | debris flow,https://scholar.google.com/citations?hl=en&user=GKqANZkAAAAJ
Sonia PATY,"Professeur d'économie, GATE-LSE, université de Lyon 2",gate.cnrs.fr,1455,économie publique locale,https://scholar.google.com/citations?hl=en&user=LCFX-QwAAAAJ
Kristina Tiedje,"Assoc. Professor of Anthropology, Universite Lumiere Lyon 2, France",univ-lyon2.fr,1307,medical anthropology | medical sociology | clinical research | qualitative methods,https://scholar.google.com/citations?hl=en&user=bLTfNiIAAAAJ
Dramane Coulibaly,"Professor of Economics, University Lumière Lyon 2 - GATE CNRS",gate.cnrs.fr,1258,International Macroeconomics | Econometrics | Development Economics | International Migration,https://scholar.google.com/citations?hl=en&user=1FneXawAAAAJ
Fadila Bentayeb,"Associate Professor of Computer Science - HDR, Lyon University (Lyon 2)",univ-lyon2.fr,1209,Decision support systems | User-centric data warehouses | OLAP | Cloud Analytics | NoSQL databases,https://scholar.google.com/citations?hl=en&user=pFLKPvsAAAAJ
Gaën Plancher,"Assistant professor, University of Lyon 2",univ-lyon2.fr,1048,Memory,https://scholar.google.com/citations?hl=en&user=g_o4TngAAAAJ
joëlle morana,"maître de conférences, université de Lyon 2",let.ish-lyon.cnrs.fr,1011,supply chain management | logistique globale | logistique durable | tableau de bord,https://scholar.google.com/citations?hl=en&user=J_2Z6acAAAAJ
Emmanuelle Vila,"Researcher, CNRS, University of Lyon 2, UMR 5133 Archéorient, MOM, Lyon",mom.fr,927,Archaeology | Zooarchaeology | Bones remains | Bronze Age | Near East,https://scholar.google.com/citations?hl=en&user=DSFNiOoAAAAJ
Stéphane Chrétien,"… of ASSP Faculty and Full professor of Statistics and Machine Learning, University of Lyon 2",univ-lyon2.fr,893,statistics | machine learning | sparse recovery | uncertainty quantification,https://scholar.google.com/citations?hl=en&user=T8vcOB4AAAAJ
Denis Menjot,Professeur émérité université de Lyon 2,ish-lyon.cnrs.fr,855,Not Mentioned,https://scholar.google.com/citations?hl=en&user=_nq9aoAAAAAJ
M.-Lounes Bentaha,Associate Professor (Maître de Conférences)  chez Universite Lumiere Lyon 2,univ-lyon2.fr,847,industrial engineering/ | operations research | re/manufacturing optimization,https://scholar.google.com/citations?hl=en&user=Jdr5QQ8AAAAJ
Michael A. PETROU,"Universite Lumiere Lyon 2, France",univ-lyon2.fr,802,Psychologie | Anthropologie | Psychanalyse,https://scholar.google.com/citations?hl=en&user=2M-dG8wAAAAJ
Isabelle Mallon,Professeure de sociologie Université Lumière Lyon 2,univ-lyon2.fr,800,âges de la vie | socialisation | sociologie urbaine et rurale,https://scholar.google.com/citations?hl=en&user=KfNrRTcAAAAJ
