Sian L. Beilock,"Barnard College, Columbia University",barnard.edu,25484,cognitive science | education,https://scholar.google.com/citations?hl=en&user=Onrep_gAAAAJ
Reshmi Mukherjee,"Barnard College, Columbia University",astro.columbia.edu,23911,High Energy Astrophysics | Cosmic Rays | Gamma-Ray Universe,https://scholar.google.com/citations?hl=en&user=YKD_lkEAAAAJ
Rae Silver,Columbia University and Barnard college,columbia.edu,16418,Neuroscience and Psychology,https://scholar.google.com/citations?hl=en&user=JEa5cUMAAAAJ
colin wayne leach,"Barnard College, Columbia University",columbia.edu,13838,social psychology | emotion | intergroup relations | morality | identity,https://scholar.google.com/citations?hl=en&user=9nnfRdoAAAAJ
Martin Stute,"Barnard College, Columbia University",barnard.edu,12434,Isotope Hydrology | Environmental Tracers | Water Resources | Paleoclimate | Carbon Sequestration,https://scholar.google.com/citations?hl=en&user=k7wFBfgAAAAJ
Paige West,"Claire Tow Professor of Anthropology, Barnard College and Columbia University",columbia.edu,8001,Oceania | Western Pacific | Climate Change | Conservation | Anthropological Ethics,https://scholar.google.com/citations?hl=en&user=hWVPcbMAAAAJ
Peter Balsam,Professor of Psychology Barnard College and Columbia University,columbia.edu,7969,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Nas6iowAAAAJ
Walter Neumann,"Professor of Mathematics, Barnard College, Columbia University",columbia.edu,6861,Geometry | Topology | Geometric Group Theory | Singularity Theory,https://scholar.google.com/citations?hl=en&user=uOl2BnkAAAAJ
Alexander Cooley,"Claire Tow Professor of Political Science, Barnard College, Columbia University",columbia.edu,6025,International order | sovereignty | post-Western IR | Central Asia | post-Soviet Studies,https://scholar.google.com/citations?hl=en&user=aPYDc9UAAAAJ
John Glendinning,"Professor of Biology, Barnard College, Columbia University",barnard.edu,5036,Chemical senses | ingestive behavior,https://scholar.google.com/citations?hl=en&user=TCqHPDMAAAAJ
Rajiv Sethi,"Professor of Economics, Barnard College, Columbia University",columbia.edu,4720,Information | Beliefs | Stereotypes | Policing | Prediction,https://scholar.google.com/citations?hl=en&user=t1Xf7NQAAAAJ
Séverine Autesserre,"Professor of Political Science, Barnard College - Columbia University",columbia.edu,4359,Peacebuilding | peacekeeping | civil wars | humanitarianism | DR Congo,https://scholar.google.com/citations?hl=en&user=uJt8odkAAAAJ
Robert E. Remez,"… of Psychology, Program in Neuroscience & Behavior, Barnard College, Columbia University",columbia.edu,4111,language | speech | cognitive psychology | perception,https://scholar.google.com/citations?hl=en&user=r4VJo5gAAAAJ
Frederick Neuhouser,"Barnard College, Columbia University",barnard.edu,2811,Not Mentioned,https://scholar.google.com/citations?hl=en&user=m3I3IMUAAAAJ
Linda Bell,"Provost, Barnard College, Columbia University",barnard.edu,2810,Economics | Labor Economics,https://scholar.google.com/citations?hl=en&user=OksVhYkAAAAJ
Jonathan Snow,"Barnard College, Columbia University",barnard.edu,2804,Not Mentioned,https://scholar.google.com/citations?hl=en&user=E7iXdMIAAAAJ
Mignon R. Moore,Barnard College-Columbia University,barnard.edu,2781,Gender & Sexuality | Race | Family | Aging | Qualitative Research Methods,https://scholar.google.com/citations?hl=en&user=aq5C3iQAAAAJ
