Marvin M. Chun,"Yale University; Richard M. Colgate Professor of Psychology, Neuroscience, Cognitive …",yale.edu,39523,Not Mentioned,https://scholar.google.com/citations?hl=en&user=mNT0MKIAAAAJ
J. Edward Colgate,"Professor of Mechanical Engineering, Northwestern University",northwestern.edu,18042,Haptics | Robotics | Teleoperation | Telemanipulation,https://scholar.google.com/citations?hl=en&user=07PlPHwAAAAJ
Michael Johnston,Colgate University,colgate.edu,17245,Corruption | reform | democratization | development,https://scholar.google.com/citations?hl=en&user=OENNEBIAAAAJ
Rebecca Shiner,"Charles A. Dana Professor of Psychological and Brain Sciences, Colgate University",colgate.edu,12529,personality development | temperament | personality disorders | internalizing problems | narrative identity,https://scholar.google.com/citations?hl=en&user=XYqbwxkAAAAJ
Thomas J. Balonek,"Professor of Physics and Astronomy, Colgate University",colgate.edu,7387,extragalactic astronomy | quasars | AGN,https://scholar.google.com/citations?hl=en&user=thJSA0gAAAAJ
Daniel Schult,Colgate University,colgate.edu,7279,Nonlinear dynamics | coupled oscillator networks | patterns in combustion,https://scholar.google.com/citations?hl=en&user=K7Q-hVoAAAAJ
Anne Perring,"Assistant Professor of Chemistry, Colgate University",colgate.edu,6737,Atmospheric chemistry,https://scholar.google.com/citations?hl=en&user=sBUDo60AAAAJ
William H. Peck,"Professor of Geology, Colgate University",colgate.edu,6004,Metamorphic and Igneous Petrology | Stable Isotope Geochemistry,https://scholar.google.com/citations?hl=en&user=WofGs1AAAAAJ
Takao Kato,"WS Schupf Professor in Economics and Far Eastern Studies, Colgate University",colgate.edu,5717,Labor Economics | Personnel Economics | Corporate Governance | Organizational Economics | Japanese Economy,https://scholar.google.com/citations?hl=en&user=WulpMxwAAAAJ
Spencer Kelly,"Professor of Psychology and Neuroscience, Colgate University",colgate.edu,5086,hand gesture | multimodal communication | language,https://scholar.google.com/citations?hl=en&user=oNrq4JEAAAAJ
Michael Hay,Colgate University,colgate.edu,5066,Not Mentioned,https://scholar.google.com/citations?hl=en&user=wuj5y3MAAAAJ
Thomas Tucker,"Professor of Mathematics, Colgate University",colgate.edu,4462,Topological graph theory | maps,https://scholar.google.com/citations?hl=en&user=WmOa3BsAAAAJ
Joel Sommers,"Professor of Computer Science, Colgate University",colgate.edu,3994,networks | computer systems,https://scholar.google.com/citations?hl=en&user=NQS4qHUAAAAJ
Michael M. Loranty,"Associate Professor of Geography, Colgate University",colgate.edu,3578,Biosphere-Atmosphere Interactions,https://scholar.google.com/citations?hl=en&user=XWVaS4MAAAAJ
Anthony R. Chianese,"Professor of Chemistry, Colgate University",colgate.edu,3348,Homogeneous Catalysis | Organometallic Chemistry,https://scholar.google.com/citations?hl=en&user=kFkcSosAAAAJ
"James ""Eddie"" Watkins","Professor of Biology, Colgate University",colgate.edu,3299,Plant Ecology | Fern Biology | Pteridology | Ecophysiology | Botany,https://scholar.google.com/citations?hl=en&user=lWe_8C0AAAAJ
