Bruce Partridge,"Professor Emeritus, Haverford College",haverford.edu,64754,cosmology | radio astronomy,https://scholar.google.com/citations?hl=en&user=XS4s884AAAAJ
Karen L Masters,"Professor of Astronomy and Physics, Haverford College",haverford.edu,30980,Astronomy | Cosmology,https://scholar.google.com/citations?hl=en&user=4CXLywoAAAAJ
Robert Fairman,"Professor of Biology, Haverford College",haverford.edu,6285,protein aggregation and neurodegeneration,https://scholar.google.com/citations?hl=en&user=yQ83DEYAAAAJ
Sorelle A. Friedler,"Associate Professor of Computer Science, Haverford College",haverford.edu,5662,Algorithmic Fairness | Interpretability | Machine Learning | Computational Geometry,https://scholar.google.com/citations?hl=en&user=XDHr1VIAAAAJ
Alexander J. Norquist,"Professor of Chemistry, Haverford College",haverford.edu,4615,Solid state chemistry | materials chemistry | crystal growth,https://scholar.google.com/citations?hl=en&user=_TcCwxAAAAAJ
Wyatt MacGaffey,"Professor of Anthropology, Haverford College",haverford.edu,3584,anthropology | African studies,https://scholar.google.com/citations?hl=en&user=E5GMVncAAAAJ
Curtis Greene,"Professor of Mathematics, Haverford college",haverford.edu,3432,Mathematics | Combinatorics | Algebra,https://scholar.google.com/citations?hl=en&user=rG_ASN0AAAAJ
Benjamin Le,"Associate Provost & Professor of Psychology, Haverford College",haverford.edu,3210,open science | meta-science | social psychology | close relationships | relationship maintenance,https://scholar.google.com/citations?hl=en&user=eTttA2kAAAAJ
Stephen Boughn,Haverford College,haverford.edu,2849,First interest | Foundations of Gravitation and Quantum … | Second interest | Cosmology and Astrophysics,https://scholar.google.com/citations?hl=en&user=CPD95hsAAAAJ
Karl Johnson,"Professor of Biology, Haverford College",haverford.edu,2551,Not Mentioned,https://scholar.google.com/citations?hl=en&user=sbvLPMgAAAAJ
Aryeh Kosman,"Professor of Philosophy, Haverford College",haverford.edu,2231,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Jy4lcHAAAAAJ
Helen K. White,"Professor of Chemistry and Environmental Studies, Haverford College",alum.mit.edu,2202,Geochemistry | Microbiology | Oceanography,https://scholar.google.com/citations?hl=en&user=sXYz3okAAAAJ
Robert C. Scarrow,"Professor of Chemistry, Haverford College",haverford.edu,2142,Bioinorganic Chemistry,https://scholar.google.com/citations?hl=en&user=L_nIAmEAAAAJ
David G. Wonnacott,"Professor of Computer Science, Haverford College",haverford.edu,2132,Not Mentioned,https://scholar.google.com/citations?hl=en&user=yNR93H4AAAAJ
