Roshanka Ranasinghe,… of Climate change impacts and Coastal risk at IHE Delft Institute for Water Education,un-ihe.org,14198,Climate change impacts on coasts | Coastal risk assessment | coastal zone management | numerical modelling of coasts,https://scholar.google.com/citations?hl=en&user=gcIBLd8AAAAJ
Ann van Griensven,"professor, Vrije Universiteit Brussel / IHE-Delft Institute for Water Education / UNESCO-IHE",vub.be,10966,hydrology | water quality | modelling,https://scholar.google.com/citations?hl=en&user=BP_MPIIAAAAJ
Charlotte De Fraiture,"IHE Delft, Institute for Water Education, Delft; and Wageningen University",un-ihe.org,8307,agricultural water management | irrigation,https://scholar.google.com/citations?hl=en&user=o54X5poAAAAJ
HJ Gijzen,"Professor of Environmental Biotechnology, IHE Delft Institute for Water Education",unesco.org,8169,biotechnology | microbiology | wastewater treatment | environmental engineering | pollution prevention and resource recovery,https://scholar.google.com/citations?hl=en&user=mtEfzsQAAAAJ
Graham Jewitt,"Professor of Hydrology, IHE Delft Institute for Water Education. The Netherlands",un-ihe.org,5077,Hydrology | Water Resources Management,https://scholar.google.com/citations?hl=en&user=kDFZc5AAAAAJ
Uta Wehn,IHE Delft Institute for Water Education (in partnership with UNESCO); University of …,un-ihe.org,4184,Not Mentioned,https://scholar.google.com/citations?hl=en&user=_QKvrfcAAAAJ
Anne A. van Dam,IHE-Delft Institute for Water Education,un-ihe.org,4149,Wetland ecology and management | aquaculture | ecosystem services | nutrient cycling and production modelling,https://scholar.google.com/citations?hl=en&user=zYoMixEAAAAJ
Shreedhar Maskey,IHE Delft Institute for Water Education,un-ihe.org,4116,Hydrological and River Modelling | Climate Change | Floods and Droughts | Snow and Glaciers | Uncertainty,https://scholar.google.com/citations?hl=en&user=E3sMsW4AAAAJ
Carlos M. Lopez-Vazquez,IHE Delft Institute for Water Education,un-ihe.org,3123,Wastewater | Environmental Biotechnology | Resource Recovery,https://scholar.google.com/citations?hl=en&user=33ra3kYAAAAJ
Ilyas Masih,"IHE Delft Institute for Water Education, Delft the Netherlands",un-ihe.org,2878,water resources planning and management | drought risk management | hydrology and water resources | water systems modeling,https://scholar.google.com/citations?hl=en&user=qh_xKh8AAAAJ
Ioana Popescu,"Associate Professor of Hydroinformatics, IHE Delft Institute for Water Education",un-ihe.org,2811,Hydroinformatics | Computational Hydraulics | Flood mapping,https://scholar.google.com/citations?hl=en&user=7z_kCTAAAAAJ
Capucine Dupont,"Lecturer-researcher, IHE Delft Institute for Water Education",un-ihe.org,2783,Not Mentioned,https://scholar.google.com/citations?hl=en&user=gsaXdEYAAAAJ
John P. Simaika,IHE Delft Institute for Water Education,un-ihe.org,2609,conservation biology | stream ecology | bioindication | spatial planning,https://scholar.google.com/citations?hl=en&user=o_1wDxcAAAAJ
Mariska Ronteltap,IHE Delft Institute for Water Education,un-ihe.org,2456,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Llwx-foAAAAJ
Michelle Kooy,"Department of Water Governance, IHE-Delft Institute for Water Education",un-ihe.org,2231,water | urbanization | justice,https://scholar.google.com/citations?hl=en&user=Bs1trHUAAAAJ
Marloes Mul,IHE Delft Institute for Water Education,un-ihe.org,1876,Hydrology | Water Resources | Water Accounting | Water Productivity | Environmental Flows,https://scholar.google.com/citations?hl=en&user=IkmNrdMAAAAJ
Leonardo Alfonso,"Associate Professor, IHE-Delft Institute for Water Education",un-ihe.org,1318,Hydroinformatics | optimisation | water systems | citizen observatories,https://scholar.google.com/citations?hl=en&user=jTOt5sEAAAAJ
SJ van Andel,"Associate Professor of Hydroinformatics, IHE Delft Institute for Water Education",un-ihe.org,1289,Hydrological ensemble prediction | flood forecasting and early warning | anticipatory water management,https://scholar.google.com/citations?hl=en&user=7WoFXv8AAAAJ
"Nora Van Cauwenbergh, PhD","IHE Delft, Unesco Institute for Water Education",2nO.be,1035,Water management,https://scholar.google.com/citations?hl=en&user=PAjCOsoAAAAJ
Seleshi G. Yalew,IHE Delft Institute for Water Education,un-ihe.org,901,Hydroinformatics | Water-Energy-Ecosystem NEXUS | Remote Sensing | Water Accounting | Water Productivity,https://scholar.google.com/citations?hl=en&user=RGINY9AAAAAJ
Emanuele Fantini,IHE Delft Institute for Water Education,un-ihe.org,506,Water Governance | Development studies | media studies | social movements,https://scholar.google.com/citations?hl=en&user=1auiu8cAAAAJ
Abebe D. Chukalla (PhD),"IHE Delft, Institute for Water Education",un-ihe.org,467,Irrigation Eng'g and Mang't | Water Productivity/ Footprint | Crop Modelling | Water for Food,https://scholar.google.com/citations?hl=en&user=Hk-LqhsAAAAJ
Mohanasundar Radhakrishnan,IHE- Delft  Institute for water education,un-ihe.org,462,Flood risk management,https://scholar.google.com/citations?hl=en&user=tskfcpEAAAAJ
Konstantina N. Katsanou,IHE Delft Institute for Water Education,un-ihe.org,323,Not Mentioned,https://scholar.google.com/citations?hl=en&user=FxC7x7QAAAAJ
Ram Prasath Alagappan,"M.Sc, Environemental Technology and Enginnering, IHE Delft Institute for Water Education",chemical.ssn.edu.in,280,Waste water treatment | Waste(water) valorization | Sustainability,https://scholar.google.com/citations?hl=en&user=10FyTW8AAAAJ
Konstantina Velkushanova,"… Lecturer/ Researcher in Non-Sewered Sanitation, IHE Delft Institute for Water Education",un-ihe.org,275,WASH in low- and middle-income countries | sanitary engineering | faecal sludge management | non-sewered sanitation,https://scholar.google.com/citations?hl=en&user=blnuUoMAAAAJ
Yared Abayneh Abebe,IHE Delft Institute for Water Education,un-ihe.org,267,Flood/hurricane risk management | socio-hydrology | flood modelling | agent-based modelling | nature-based solutions,https://scholar.google.com/citations?hl=en&user=dD3QyzcAAAAJ
Claire Michailovsky,IHE Delft Institute for Water Education,un-ihe.org,264,Hydrology | Remote Sensing,https://scholar.google.com/citations?hl=en&user=rOBNlS4AAAAJ
Laddaporn Ruangpan,"… , IHE Delft Institute for Water Education and Delft University of Technology (TU Delft)",tudelft.nl,257,Disaster risk reduction | flood risk management | Nature-Based Solution,https://scholar.google.com/citations?hl=en&user=9xWeFMUAAAAJ
Tavengwa Chitata,"Lecturer, IHE Delft Institute for Water Education",un-ihe.org,221,Water Governance,https://scholar.google.com/citations?hl=en&user=dnd9nkcAAAAJ
"Hayde, Laszlo G.","Senior Lecturer, IHE Delft Institute for Water Education",un-ihe.org,220,Hydraulic Engineering | Fluid mechanics | Irrigation Structures | Environmental Impact Assessment | History of Hydraulics,https://scholar.google.com/citations?hl=en&user=FCt0tW4AAAAJ
Peter Emmanuel Cookey PhD,IHE Delft Institute for Water Education,un-ihe.org,179,Environmental Management | Water Resources | Water Supply | Sanitation and Governance,https://scholar.google.com/citations?hl=en&user=gDUPrBYAAAAJ
Shirish Singh,"Senior Lecturer/Researcher in Sanitation, IHE Delft Institute for Water Education",un-ihe.org,166,sanitation | faecal sludge | constructed wetlands | DEWATS | business model,https://scholar.google.com/citations?hl=en&user=imb_bfgAAAAJ
Yoshinao Matsuba,IHE Delft Institute for Water Education,Not Mentioned,158,coastal engineering,https://scholar.google.com/citations?hl=en&user=-ug9fsQAAAAJ
Amitangshu Acharya,IHE Delft Institute for Water Education,un-ihe.org,117,Political ecology of water | Science & Technology Studies (STS) | Postcolonial Geography | Cultural Politics | Geographies of Techno,https://scholar.google.com/citations?hl=en&user=pSrTCbYAAAAJ
khalid hassaballah,"IHE-Delft Institute for Water Education, Delft, The Netherlands",Not Mentioned,114,Hydrology and water resources management,https://scholar.google.com/citations?hl=en&user=HI0kMTAAAAAJ
Carlos Salinas Rodríguez,IHE-Delft Institute for Water Education,un-ihe.org,107,climate change | resilience | smart cities | geotechnics | water quality,https://scholar.google.com/citations?hl=en&user=nv_QqQsAAAAJ
Mahmoud M. Habashy,"IMETE Master Student, IHE Delft Institute for Water Education",un-ihe.org,89,Environmental | Water | Wastewater | Bioenergy | Biodiesel,https://scholar.google.com/citations?hl=en&user=SooxA5sAAAAJ
Ee Shen Ong,"MSc Student, IHE Delft Institute for Water Education",un-ihe.org,77,Environmental Science | Environmental Engineering,https://scholar.google.com/citations?hl=en&user=tc_8mJ4AAAAJ
Johan Aad van Dijk,"IHE Delft Institute for Water Education, CrossOvers.be",un-ihe.org,69,Socio-economic and environmental sciences …,https://scholar.google.com/citations?hl=en&user=lCqYE3QAAAAJ
Mostafa Ahmed,IHE Delft Institute for Water Education,un-ihe.org,68,Pollution Prevention & Resource Recovery,https://scholar.google.com/citations?hl=en&user=VI2DciYAAAAJ
Nguyen TT Huynh,"PhD fellow at IHE - Institute for water education, Delft, the Netherlands",un-ihe.org,52,water quality | urban flood | microbial health risk assessment | flood risk management | environmental disease burden,https://scholar.google.com/citations?hl=en&user=v-OyERQAAAAJ
Makid Maskawat Marjub,IHE Delft Institute for Water Education,un-ihe.org,42,Environmental Chemistry | Wastewater Treatment,https://scholar.google.com/citations?hl=en&user=gDF4aZoAAAAJ
Aftab Nazeer,"IHE Delft Institute for Water Education | Delft University of Technology, The Netherlands",un-ihe.org,32,Hydrology | water resources | remote sensing | climatology,https://scholar.google.com/citations?hl=en&user=vz2bLGEAAAAJ
Rose E. Marinaro,IHE Delft Institute for Water Education,un-ihe.org,31,environmental engineering | sustainable drinking water treatment | wastewater treatment | environmental microbiology,https://scholar.google.com/citations?hl=en&user=0pmsaqoAAAAJ
Sebrian Mirdeklis Beselly Putra,Universitas Brawijaya; Delft University of Technology; IHE Delft Institute for Water Education,ub.ac.id,26,Coastal Engineering,https://scholar.google.com/citations?hl=en&user=q-1vNAcAAAAJ
Pooja Prasad,IHE Delft Institute for Water Education,un-ihe.org,22,agricultural water management | climate adaptation | sustainability science,https://scholar.google.com/citations?hl=en&user=-FdZMooAAAAJ
Saad Kibria,IHE Delft Institute for Water Education,Not Mentioned,17,Not Mentioned,https://scholar.google.com/citations?hl=en&user=52wlJ4gAAAAJ
Anish Pradhan,IHE Delft Institute for Water Education,Not Mentioned,15,Hydropower and Hydraulic Engineer,https://scholar.google.com/citations?hl=en&user=0AfesdMAAAAJ
Jonathan Opoku Oti,IHE-DELFT INSTITUTE FOR WATER EDUCATION,un-ihe.org,15,Hydrology | Climate Change | Agricultural Water Management | Groundwater Pollution and Monitoring | Geospatial Analysis,https://scholar.google.com/citations?hl=en&user=AembB5oAAAAJ
Ali Khoshnazar,"Hydroinformatics Chair Group, IHE Delft Institute for Water Education, 2611 AX Delft, The",un-ihe.org,14,Climate change | Drought | Flood | Risk Assessment | Machine Learning,https://scholar.google.com/citations?hl=en&user=VnnPu_MAAAAJ
María Gabriela Castrellón,"PhD Fellow, IHE Delft Institute for Water Education",un-ihe.org,14,Hydrology | Watershed Modeling | Hydroinformatics,https://scholar.google.com/citations?hl=en&user=7BEgn_UAAAAJ
Titus Adeyemi Alonge,IHE Delft Institute for Water Education,pgschool.lautech.edu.ng,12,Agricultural Hydrology | Water Accounting | Climate change | Remote Sensing and GIS for Agriculture | Food Security,https://scholar.google.com/citations?hl=en&user=Gz9bD6wAAAAJ
