Vimal Mishra,Indian Institute of Technology Gandhinagar,iitgn.ac.in,7489,Hydrology | Climate Variability | Climate Change | Hydrologic Extremes,https://scholar.google.com/citations?hl=en&user=wq7CgpUAAAAJ
Gopinadhan Kalon,"Department of Physics, Indian Institute of Technology Gandhinagar, India",iitgn.ac.in,5194,Graphene | nanofluidics | electron and ion transport.,https://scholar.google.com/citations?hl=en&user=ziD_UGYAAAAJ
Superb Mishra,Indian Institute of Technology Gandhinagar,iitgn.ac.in,4607,Biomaterials | Nanotoxicology | Materials Safety,https://scholar.google.com/citations?hl=en&user=45h0aFAAAAAJ
Ravi Sadananda Hegde,Indian Institute of Technology Gandhinagar,iitgn.ac.in,2806,Computational Photonics | Nanophotonics | Photonic Integrated Circuits | Scientific Machine Learning,https://scholar.google.com/citations?hl=en&user=aHWM-b8AAAAJ
Vikrant Jain,Indian Institute of Technology Gandhinagar,iitgn.ac.in,2529,River Science | Earth Surface Processes | Quantitative Geomorphology,https://scholar.google.com/citations?hl=en&user=d0Iyim0AAAAJ
Jaichander Swaminathan,"Assistant Professor, Indian Institute of Technology Gandhinagar",iitgn.ac.in,2134,Thermal scienes | Water | Desalination | Energy efficiency,https://scholar.google.com/citations?hl=en&user=DYE89aUAAAAJ
Sameer Dalvi,"Chemical Engineering, Indian Institute of Technology Gandhinagar",iitgn.ac.in,2014,Crystallization | Polymorphism | Microbubble suspensions,https://scholar.google.com/citations?hl=en&user=2QGvuwIAAAAJ
Sudipta Basu,Indian Institute of Technology (IIT)-Gandhinagar,iitgn.ac.in,1750,Chemical Biology of Mitochondria | Nanotechnology | Cancer | Signaling,https://scholar.google.com/citations?hl=en&user=zNd8ADwAAAAJ
Naran M Pindoriya,Indian Institute of Technology Gandhinagar,iitgn.ac.in,1707,Grid integration of distributed renewable … | Energy management | Smart grid | Restructured/Deregulated Power Systems,https://scholar.google.com/citations?hl=en&user=g93A33UAAAAJ
Nithin George,Indian Institute of Technology Gandhinagar,iitgn.ac.in,1702,Active Noise Control | Adaptive Signal Processing | Hearing Aids | Microphone Arrays,https://scholar.google.com/citations?hl=en&user=CKJDdPIAAAAJ
Vinod Chandra,Associate Professor (Physics) Indian Institute of Technology Gandhinagar,iitgn.ac.in,1679,Theoretical Physics,https://scholar.google.com/citations?hl=en&user=2ClZfsoAAAAJ
Sairam S. Mallajosyula,"Associate Professor, Chemsitry, Indian Institute of Technology, Gandhinagar",iitgn.ac.in,1676,Computational Chemistry,https://scholar.google.com/citations?hl=en&user=ICTi_eIAAAAJ
Soppina Virupakshi,Indian Institute of Technology Gandhinagar,iitgn.ac.in,1638,Biological Engineering,https://scholar.google.com/citations?hl=en&user=M3rh5jsAAAAJ
Amit Arora,Indian Institute of Technology Gandhinagar,iitgn.ac.in,1633,Friction stir welding | Modeling and Simulation | Additive Manufacturing | Welding | Corrosion,https://scholar.google.com/citations?hl=en&user=CXme-eAAAAAJ
Soumyadip Sett,"Assistant Professor, Indian Institute of Technology Gandhinagar",iitgn.ac.in,1565,Thermal Management | Energy Harvesting | Interfacial Science | Nanofibers and their Applications.,https://scholar.google.com/citations?hl=en&user=b-KWptQAAAAJ
"Chinmay Ghoroi, PhD",Indian Institute of Technology Gandhinagar,iitgn.ac.in,1551,Particle Engineering | Cohesive Powders | Surface Engineering | Wetting Antibacterial Surfaces/ Bacterial … | Drug Formulatio,https://scholar.google.com/citations?hl=en&user=83HXAjoAAAAJ
Sriram Kanvah,Indian Institute of Technology Gandhinagar,iitgn.ac.in,1441,Synthesis of Photoresponsive Systems.,https://scholar.google.com/citations?hl=en&user=hfk4qjAAAAAJ
Neeldhara Misra,"Indian Institute of Technology, Gandhinagar",iitgn.ac.in,1420,Theoretical Computer Science | Parameterized Algorithms | Graph Theory,https://scholar.google.com/citations?hl=en&user=XFgieDYAAAAJ
Dhiraj Bhatia,Indian Institute of Technology Gandhinagar,iitgn.ac.in,1354,DNA Nanotechnology | Bioengineering | Hydrogels and supramolecular scaffolds | Tissue engineering | Stem cells and regenerative ther,https://scholar.google.com/citations?hl=en&user=9_cYtYcAAAAJ
Shanmuganathan Raman,"… Professor and Jibaben Patel Chair in AI,  Indian Institute of Technology Gandhinagar",iitgn.ac.in,1203,Computer Vision | Deep Learning | Computational Photography | Computer Graphics,https://scholar.google.com/citations?hl=en&user=3YWptB8AAAAJ
Dilip Sundaram,"Associate Professor, Indian Institute of Technology Gandhinagar",iitgn.ac.in,1201,Combustion | Energetic Materials | Metal Fuels | Nanoenergetics,https://scholar.google.com/citations?hl=en&user=OIJw7K4AAAAJ
Anirban Mondal,"Assistant Professor, Indian Institute of Technology, Gandhinagar",iitgn.ac.in,987,Computational Materials Science | Organic Electronics | Electrolytes | Machine Learning | Fuel Cells,https://scholar.google.com/citations?hl=en&user=2YquHDgAAAAJ
sarmistha saha,Indian Institute of Technology Gandhinagar,iitgn.ac.in,930,Not Mentioned,https://scholar.google.com/citations?hl=en&user=nofyW9cAAAAJ
Harish Palanthandalam-Madapusi,"Associate Professor, Indian Institute of Technology Gandhinagar",iitgn.ac.in,917,System Identification & Estimation | Input Reconstruction | Systems and Control | Biomechanics Applications,https://scholar.google.com/citations?hl=en&user=Ns6GMm0AAAAJ
Amit Prashant,Indian Institute of Technology Gandhinagar,iitgn.ac.in,792,Constitutive modelling of frictional materials | geotechnical earthquake engineering | numerical modelling of geotechnical structu,https://scholar.google.com/citations?hl=en&user=6_j5ue0AAAAJ
Nihar Ranjan Mohapatra,"Professor, Indian Institute of Technology Gandhinagar",iitgn.ac.in,771,Semiconductor devices | Nanoelectronics | Analog CMOS IC Design,https://scholar.google.com/citations?hl=en&user=s3NRXUkAAAAJ
