Albert-László Barabási,"Northeastern University, Harvard Medical School",neu.edu,269980,network science | statistical physics | biological physics | physics | medicine,https://scholar.google.com/citations?hl=en&user=vsj2slIAAAAJ
Darien Wood,"Professor of Physics, Northeastern University",neu.edu,249156,Experimental Particle Physics,https://scholar.google.com/citations?hl=en&user=xlrFkp8AAAAJ
Toyoko J. Orimoto,"Associate Professor of Physics, Northeastern University",northeastern.edu,196816,High Energy Physics | Elementary Particles,https://scholar.google.com/citations?hl=en&user=okpS1a0AAAAJ
Louise Skinnari,Northeastern University,northeastern.edu,168865,High Energy Physics,https://scholar.google.com/citations?hl=en&user=OL4ITxoAAAAJ
Yang W. Lee,Northeastern University,mit.edu,164164,data quality,https://scholar.google.com/citations?hl=en&user=0e_iqA4AAAAJ
Derek Lovley,"University of Massachusetts-Amherst USA and Northeastern University, Shenyang, China",umass.edu,123944,electromicrobiology | 'green' electronics | corrosion | bioenergy | biogeochemistry,https://scholar.google.com/citations?hl=en&user=uEJ-9rMAAAAJ
Arthur Kramer,"Professor and Director, Northeastern University, Emeritus Prof,  Univ. Illinois",neu.edu,94807,Cognitive Aging | Attention | Cognitive Neuroscience | Lifestyle | Human Factors,https://scholar.google.com/citations?hl=en&user=LCFAmuQAAAAJ
Alessandro Vespignani,"Sternberg Family Distinguished Professor, Northeastern University, Boston",neu.edu,84866,Network Science | Computational Epidemiology | Data Science | Statistical Physics | Complex Systems,https://scholar.google.com/citations?hl=en&user=U3CXAPsAAAAJ
Vladimir Torchilin,"University Professor, Northeastern University",neu.edu,84109,Not Mentioned,https://scholar.google.com/citations?hl=en&user=OKSa6s8AAAAJ
Lisa Feldman Barrett,"University Distinguished Professor of Psychology, Northeastern University",affective-science.org,81031,Psychology - Emotion | Human Neuroscience | Social Psychology,https://scholar.google.com/citations?hl=en&user=WF5c0_8AAAAJ
Masoud Salehi,"ECE Department, Northeastern University",ece.neu.edu,67814,Information Theory | Coding | Communication Theory,https://scholar.google.com/citations?hl=en&user=9JDHY_kAAAAJ
Gregory D. Abowd,"Dean, College of Engineering, Northeastern University",northeastern.edu,63494,Human-Computer Interaction | Mobile and Ubiquitous Computing,https://scholar.google.com/citations?hl=en&user=gb8sbdcAAAAJ
Eduardo Sontag,Northeastern University ECE and BioE,northeastern.edu,61438,control theory | systems biology | systems and control theory | feedback control | cancer biology,https://scholar.google.com/citations?hl=en&user=CCToMygAAAAJ
Judith A. Hall,"University Distinguished Professor of Psychology Emerita, Northeastern University",northeastern.edu,54075,psychology | social psychology | gender | nonverbal behavior | health psychology,https://scholar.google.com/citations?hl=en&user=tEofPKAAAAAJ
Ricardo Baeza-Yates,"Northeastern Univ. - Univ. Pompeu Fabra - Univ. de Chile; USA, Spain & Chile",upf.edu,53420,Information retrieval | Web search | Web mining | data mining | algorithms and data structures,https://scholar.google.com/citations?hl=en&user=v9xULZwAAAAJ
thomas j webster,Northeastern University,neu.edu,53095,nanotechnology | nanomedicine | biomaterials,https://scholar.google.com/citations?hl=en&user=0PGGmygAAAAJ
Yacine Haddad,Northeastern University,cern.ch,52251,Particle Physics | Phenomenology | Machine learning | Statistics,https://scholar.google.com/citations?hl=en&user=mpUtWscAAAAJ
Gene Cooperman,"Professor of Computer Science, Northeastern University",ccs.neu.edu,51329,Checkpoint-Restart | High Performance Computing | Computational Algebra,https://scholar.google.com/citations?hl=en&user=A9tBw58AAAAJ
Kim Lewis,"University Distinguished Professor, Northeastern University",neu.edu,47444,molecular microbiology | antimicrobial drug tolerance | drug discovery | persister cells,https://scholar.google.com/citations?hl=en&user=X7WuyeAAAAAJ
Mark Huselid,Northeastern University,markhuselid.com,43586,Strategic Human Resources Management,https://scholar.google.com/citations?hl=en&user=cqe90uwAAAAJ
Arun Bansil,"University Distinguished Professor, Physics Department, Northeastern University",northeastern.edu,42577,Theoretical Condensed Matter Physics | Materials Physics | computational physics,https://scholar.google.com/citations?hl=en&user=SM8HyJ8AAAAJ
Robert L. Hall,"Professor of African American Studies and History, Northeastern University",neu.edu,41280,slavery | African American religion | slave resistance | food | civil rights,https://scholar.google.com/citations?hl=en&user=Ag9JMhkAAAAJ
Charles Hillman,Northeastern University,neu.edu,40207,Psychology | Kinesiology | Cognitive Neuroscience,https://scholar.google.com/citations?hl=en&user=48lEAq8AAAAJ
Huaguang Zhang,"Northeastern University, China",mail.neu.edu.cn,39111,fuzzy control | stochastic system control | neural networks based control | nonlinear control | and their applications.,https://scholar.google.com/citations?hl=en&user=nbQu9moAAAAJ
Alexandros Makriyannis,Northeastern University,northeastern.edu,34219,Phamaceutical biotechnology | chemical biology | medicinal chemistry | cannabinoids | drug development,https://scholar.google.com/citations?hl=en&user=ieLKCvgAAAAJ
Michael B Arthur,"Professor Emeritus, Sawyer Business School, Suffolk University",suffolk.edu,33889,careers | knowledge work,https://scholar.google.com/citations?hl=en&user=x9Z-s70AAAAJ
Alain Karma,"Professor of Physics, Northeastern University",neu.edu,32936,physics | materials science | biology,https://scholar.google.com/citations?hl=en&user=jAhgetoAAAAJ
Barry Karger,"Barnett Institute, Northeastern University",neu.edu,32658,Analytical Chemistry,https://scholar.google.com/citations?hl=en&user=4HAvrg8AAAAJ
D. Quentin Miller,"Professor of English, Suffolk University",suffolk.edu,32357,American Literature | African American Literature | Narrative,https://scholar.google.com/citations?hl=en&user=YEVoP2cAAAAJ
Mansoor M Amiji,"Northeastern University, Boston, Massachusetts",northeastern.edu,32343,Biomaterials | Drug Delivery | Gene Delivery | Nanomedicine,https://scholar.google.com/citations?hl=en&user=0BKYPYMAAAAJ
Guang-Hong Yang,"Northeastern University, China",ise.neu.edu.cn,31103,Robust control | Fault-tolerant control | Fault Detection and Diagnosis,https://scholar.google.com/citations?hl=en&user=ansRqM4AAAAJ
David Lazer,Northeastern University & Harvard University,neu.edu,29777,Computational social science | network science | political communication | misinformation | collective intelligence,https://scholar.google.com/citations?hl=en&user=gMndACUAAAAJ
Herbert Levine,"Professor of Physics, Northeastern University",northeastern.edu,28340,physics | biology,https://scholar.google.com/citations?hl=en&user=gHjHIvAAAAAJ
Sanjeev Mukerjee,Northeastern University,northeastern.edu,28166,Electrochemistry | electrocatalysis | spectroscopy | XAS | fuel cells,https://scholar.google.com/citations?hl=en&user=uqdNKhgAAAAJ
Kenneth Church,Northeastern University,northeastern.edu,27505,Natural Language Processing | Corpora | Speech,https://scholar.google.com/citations?hl=en&user=E6aqGvYAAAAJ
Engin Kirda,Northeastern University and Lastline Inc. (co-founder),ccs.neu.edu,27215,Systems Security / Web Security,https://scholar.google.com/citations?hl=en&user=AHh8JssAAAAJ
David Madigan,"Professor of Statistics, Northeastern University",northeastern.edu,26002,statistics | Bayesian statistics | pharmacovigilance | large-scale data analysis,https://scholar.google.com/citations?hl=en&user=XDajlywAAAAJ
Byron Wallace,"Associate Professor, Northeastern University",ccs.neu.edu,25390,natural language processing | machine learning | machine learning for health | health informatics | evidence-based medicine,https://scholar.google.com/citations?hl=en&user=KTzRHmwAAAAJ
Jonathan L. Tilly,"… Distinguished Professor and Chair, Department of Biology, Northeastern University, Boston",northeastern.edu,25307,stem cell biology | mitochondrial biology | regenerative medicine | infertility | aging,https://scholar.google.com/citations?hl=en&user=KSD_CD4AAAAJ
