Eric A. Davidson,"University of Maryland Center for Environmental Science, Appalachian Laboratory",umces.edu,63661,Biogeochemistry,https://scholar.google.com/citations?hl=en&user=Frt0qscAAAAJ
Patricia Glibert,"Horn Point Laboratory, University of Maryland Center for Environmental Science",umces.edu,29317,eutrophication | nitrogen cycling | algal blooms | harmful algae,https://scholar.google.com/citations?hl=en&user=8Yn9pCIAAAAJ
Edward D. Houde,"Professor Emeritus, University of Maryland Center for Environmental Science",umces.edu,22368,fisheries science | fish ecology | oceanography | marine science | fisheries management,https://scholar.google.com/citations?hl=en&user=Rh5-peAAAAAJ
Mark A. Cochrane,"… , Appalachian Laboratory, University of Maryland Center for Environmental Science",umces.edu,21098,Interdisciplinary Science | Land Cover/Use Change | Climate Change | Conservation Biology | Landscape Dynamics,https://scholar.google.com/citations?hl=en&user=_xlQmtIAAAAJ
Donald Boesch,"President Emeritus, University of Maryland Center for Environmental Science",umces.edu,18600,coastal oceanography | ecosystem rehabilitation | climate change,https://scholar.google.com/citations?hl=en&user=ARkaE6cAAAAJ
Jacqueline M. Grebmeier,University of Maryland Center for Environmental Science,umces.edu,16361,Benthic ecology,https://scholar.google.com/citations?hl=en&user=E-9BF10AAAAJ
Lee W. Cooper,"Professor, University of Maryland Center for Environmental Science",umces.edu,12520,Marine biogeochemistry,https://scholar.google.com/citations?hl=en&user=zQJsba4AAAAJ
Michael Roman,Professor University of Maryland Center for Environmental Science,umces.edu,11917,Not Mentioned,https://scholar.google.com/citations?hl=en&user=xsV5Qx8AAAAJ
Thomas R Fisher,"Professor, Horn Point Laboratory, University of Maryland Center for Environmental Science",hpl.umces.edu,9871,biogeochemistry | watershed hydrology | watershed ecology | estuarine ecology,https://scholar.google.com/citations?hl=en&user=w8HZrvkAAAAJ
Matthew C Fitzpatrick,"Professor, University of Maryland Center for Environmental Science",umces.edu,7889,species distribution modelling | global change | biodiversity | macroecology | biogeography,https://scholar.google.com/citations?hl=en&user=xF6Exq8AAAAJ
Thomas Miller,University of Maryland Center for Environmental Science,umces.edu,7118,recruitment | fishery management | crab fisheries | stock assessment,https://scholar.google.com/citations?hl=en&user=YiK3lzAAAAAJ
John Hoogland,"Professor of Biology, University of Maryland Center for Environmental Science, Appalachian …",al.umces.edu,6953,Behavioral Ecology | Prairie Dog,https://scholar.google.com/citations?hl=en&user=1DJvJuwAAAAJ
Raleigh Hood,"… of Biological Oceanography, University of Maryland Center for Environmental Science",umces.edu,6312,biological oceanography,https://scholar.google.com/citations?hl=en&user=xNU8RycAAAAJ
Andrew J. Elmore,University of Maryland Center for Environmental Science (UMCES),elmore.cc,6013,Landscape ecology | Remote sensing,https://scholar.google.com/citations?hl=en&user=c8BwJOYAAAAJ
