Georg S. Duesberg,"Chair of Sensortechnology , Universität der Bundeswehr, Munich",unibw.de,44340,Nanomaterials | GRMs | Graphene | Analytics | Sensors,https://scholar.google.com/citations?hl=en&user=FG-vmaoAAAAJ
Kangho Lee,Universität der Bundeswehr München,unibw.de,10023,Nanotechnology,https://scholar.google.com/citations?hl=en&user=Fq7RvLEAAAAJ
Christian J Kähler,"Professor für Fluiddynamik, Universität der Bundeswehr München",unibw.de,8874,Turbulenz | Aerodynamik | Mikrofluidik | Messtechnik,https://scholar.google.com/citations?hl=en&user=wKVWja0AAAAJ
Philipp A. Rauschnabel,Universität der Bundeswehr München,unibw.de,7328,Augmented Reality | Metaverse | AR Marketing | AR | Mixed Reality,https://scholar.google.com/citations?hl=en&user=VxJgJAEAAAAJ
Martin Hepp,"Professor of Web Science and Digitalization, Universitaet der Bundeswehr Muenchen",unibw.de,5779,Web Science | Linked Open Data | Conceptual Modeling | Data Quality | E-Business,https://scholar.google.com/citations?hl=en&user=RiFSVDQAAAAJ
Michael Koch,Universität der Bundeswehr München,unibw.de,5227,HCI | CSCW | Public Displays | Information Systems | Social Software,https://scholar.google.com/citations?hl=en&user=knY18cEAAAAJ
Markus Klein,Universität der Bundeswehr München,unibw.de,4973,Direct Numerical Simulation | Large Eddy simulation | Combustion | Breakup,https://scholar.google.com/citations?hl=en&user=E1vWF6wAAAAJ
Christian Nitzl,Universität der Bundeswehr München,unibw.de,4711,Partial Least Square (PLS)-Methode | PLS-SEM | Management Accounting | Strategic Forecast | Empirical Research Methods,https://scholar.google.com/citations?hl=en&user=RGcl8r4AAAAJ
Oliver Rose,"… für Informatik (Modellbildung und Simulation), Universität der Bundeswehr München",unibw.de,4025,Modellbildung | Simulation | Scheduling | Produktionsplanung | Optimierung,https://scholar.google.com/citations?hl=en&user=CJqlQKQAAAAJ
Burkhard Schäffer,"Professor für Erwachsenenbildung/Weiterbildung, Universität der Bundeswehr München",unibw.de,3956,Erwachsenenbildungsforschung | Quantifizierung des Humanen | qualitativ-rekonstruktive Forschung: DokuMet … | Altersbildforschung | Lebensphasenlernen.,https://scholar.google.com/citations?hl=en&user=T41k6E4AAAAJ
Gertrud Buchenrieder (born Schrieder),Universität der Bundeswehr München,unibw.de,3285,Not Mentioned,https://scholar.google.com/citations?hl=en&user=wSVV1iQAAAAJ
Uwe M. Borghoff,"Professor der Informatik, Univ. der Bundeswehr München",unibw.de,3124,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Xn-P8FwAAAAJ
Martin Binder,Universität der Bundeswehr München,unibw.de,2751,behavioural economics | subjective well-being | happiness | normative economics,https://scholar.google.com/citations?hl=en&user=aayHUzkAAAAJ
Thomas Pany,Universität der Bundeswehr München,unibw.de,2707,navigation | GNSS | signal processing | inertial and optical navigation | software radio,https://scholar.google.com/citations?hl=en&user=bpLuBeUAAAAJ
Linus Maurer,Universität der Bundeswehr München,unibw.de,2577,Not Mentioned,https://scholar.google.com/citations?hl=en&user=6BYAKY0AAAAJ
Matthias Gerdts,Universität der Bundeswehr München,unibw.de,2567,Optimal Control | Optimization | Differential-algebraic equations | model-predictive control | sensitivity analysis,https://scholar.google.com/citations?hl=en&user=y46fh4sAAAAJ
Chanyoung Yim,"Postdoctoral Researcher, Institute of Physics, EIT 2, Universität der Bundeswehr München …",tcd.ie,2555,nano(opto-)electronics | 2D materials | ellipsometry | impedance spectroscopy,https://scholar.google.com/citations?hl=en&user=ezDESFgAAAAJ
Gunther Schmidt,"Professor emeritus, Universität der Bundeswehr München",unibw.de,2526,Relational Mathematics,https://scholar.google.com/citations?hl=en&user=1QLToq0AAAAJ
Johannes Pfeifer,Universität der Bundeswehr München,unibw.de,2290,Business cycles | fiscal policy | uncertainty-driven business cycles,https://scholar.google.com/citations?hl=en&user=gafIQK8AAAAJ
Rainer Hain,Universität der Bundeswehr München,unibw.de,2272,Fluid Mechanis | Particle Image Velocimetry,https://scholar.google.com/citations?hl=en&user=o-ZBEqwAAAAJ
Michael Schultz,"Professor, Chair of Air Traffic Concepts, Universität der Bundeswehr München",unibw.de,2201,integrated traffic management | capacity & flow management | airspace design | simulation | data-driven & agent-based,https://scholar.google.com/citations?hl=en&user=90U5jBAAAAAJ
Stephan Kaiser,Universität der Bundeswehr München,unibw.de,2182,Human Resources Management | Digitalization | Organization | Routines | Technology,https://scholar.google.com/citations?hl=en&user=VRg8TbIAAAAJ
Walter Hansch,"Professor, Universität der Bundeswehr München",unibw.de,2160,Not Mentioned,https://scholar.google.com/citations?hl=en&user=J7GBMyIAAAAJ
Alexander Popp,"Professor of Computer-Based Simulation, Universität der Bundeswehr München",unibw.de,2128,Computational Mechanics | Finite Element Analysis | Contact Mechanics,https://scholar.google.com/citations?hl=en&user=qvtmMe0AAAAJ
Mark Manulis,"… , Head of Privacy and Applied Cryptography Lab @ Universität der Bundeswehr München",unibw.de,2082,Applied Cryptography | Privacy-Enhancing Technologies | Security Protocols,https://scholar.google.com/citations?hl=en&user=MdmQAVkAAAAJ
