Claude Carlet,"Professor Emeritus, University of Paris 8; also member of the University of Bergen, Norway",univ-paris8.fr,14210,Boolean functions | symmetric cryptography | error correcting codes | discrete mathematics | cryptography,https://scholar.google.com/citations?hl=en&user=wn1tJO8AAAAJ
YVES SINTOMER,"professor of political science, Paris 8 University/CRESPPA CNRS; Maison Française d' …",cmb.hu-berlin.de,8296,political science | political theory | theory of democracy,https://scholar.google.com/citations?hl=en&user=bX432A8AAAAJ
Alain Coulon,"Professeur honoraire, Université Paris 8",noos.fr,8269,Not Mentioned,https://scholar.google.com/citations?hl=en&user=YcibtvsAAAAJ
René Barbier,Professeur de sciences de l'éducation université Paris 8,Not Mentioned,6044,métissage | sagesse | recherche-action | poésie,https://scholar.google.com/citations?hl=en&user=usg9nH4AAAAJ
Pierre MARTINEZ,Professeur Émérite Sciences du Langage Université Paris 8,univ-paris8.fr,5766,Sociolinguistique (politiques linguistiques … | francophonie | plurilinguisme) et didactique des langues …,https://scholar.google.com/citations?hl=en&user=W-1EKywAAAAJ
Thierry Baccino,"Professor of Cognitive Psychology, University of Paris 8",univ-paris8.fr,4093,Cognitive Psychology | Cognitive Ergonomics | Eye-Tracking | EFRP,https://scholar.google.com/citations?hl=en&user=0ZJqhC0AAAAJ
Anne Zribi-Hertz,"universite paris 8, UMR SFL/unniversite paris 8-CNRS",Not Mentioned,3178,syntaxe,https://scholar.google.com/citations?hl=en&user=VtQ4XRcAAAAJ
Carlo Cecchetto,SFL (CNRS and Paris VIII) and University of Milan-Bicocca,unimib.it,3050,Syntax | Sign Languages | Neurolinguistics,https://scholar.google.com/citations?hl=en&user=mOICrnIAAAAJ
Denis Bertrand,Professeur des universités émérite. Université Paris 8-Vincennes-Saint-Denis,univ-paris8.fr,2697,sémiotique générale | théorie littéraire | analyse du discours socio-politique | sémiotique visuelle,https://scholar.google.com/citations?hl=en&user=z7uQC0QAAAAJ
Imad Saleh,"Full Professor, Université Paris 8, Director of Laboratoire Paragraphe",univ-paris8.fr,1983,Hypertext | Hypermedia | Internet of Things | Web | Digital Tools & Uses,https://scholar.google.com/citations?hl=en&user=5mgWgJoAAAAJ
Mehdi Ammi,"Full Professor, Computer Science, University of Paris 8",univ-paris8.fr,1825,Human-Computer Interaction | Natural User Interfaces | Internet of Things | Pervasive Environments | E-Health,https://scholar.google.com/citations?hl=en&user=8YM8glsAAAAJ
