Edouard Bard,"Professor at Collège de France, CEREGE, Aix Marseille Univ, CNRS, IRD, INRA",cerege.fr,63884,climate | oceanography | paleoclimatology | paleoceanography | geochemistry,https://scholar.google.com/citations?hl=en&user=qOkHfWEAAAAJ
Antonios Kontos,"Assistant Professor, Bard College",bard.edu,62208,Gravitational Waves | Interferometry | Astrophysics | Nuclear Physics | Nuclear Astrophysics,https://scholar.google.com/citations?hl=en&user=naNFWCoAAAAJ
Felicia Keesing,"Biology, Bard College",bard.edu,15077,Disease ecology | savanna ecology,https://scholar.google.com/citations?hl=en&user=A8IlkJcAAAAJ
Jonathan BL Bard,"Balliol College, University of Oxford",ed.ac.uk,12959,Evolutionary biology,https://scholar.google.com/citations?hl=en&user=4dJjaEoAAAAJ
Kristin Lane,Bard College,bard.edu,9899,Not Mentioned,https://scholar.google.com/citations?hl=en&user=xaMI2m0AAAAJ
Shuo Zhang,Assistant Professor of Physics at Bard College,bard.edu,5323,Astrophysics and Astronomy,https://scholar.google.com/citations?hl=en&user=4AOaaIQAAAAJ
Harold Hastings,Bard College at Simon's Rock and Hofstra University,simons-rock.edu,4197,Complex systems | non-linear dynamics,https://scholar.google.com/citations?hl=en&user=RsPJ6-UAAAAJ
Cathy Collins,Bard College,bard.edu,3854,Plant Ecology | Landscape Ecology | Conservation Biology,https://scholar.google.com/citations?hl=en&user=FijUWdwAAAAJ
Eric M. Kramer,"Professor of Physics, Bard College at Simon's Rock",simons-rock.edu,3829,plant development | biophysics | crumpling and elasticity,https://scholar.google.com/citations?hl=en&user=YSZcaagAAAAJ
Bruce Robertson,Bard College,bard.edu,3636,Ecology | Evolution | Behavior | Conservation Biology | Evolutionary Traps,https://scholar.google.com/citations?hl=en&user=4FCIpywAAAAJ
David Kettler,"Research Professor, Political Studies, Bard College, Ret.",bard.edu,3302,Political and Social Theory,https://scholar.google.com/citations?hl=en&user=28RQhJUAAAAJ
Gabriel G Perron,Associate Professor - Bard College | Visiting Fellow - NYU | Visiting Researcher …,bard.edu,2795,Microbiology | Food Microbiology | Evolutionary Biology | Antimicrobial Resistance | 'omics,https://scholar.google.com/citations?hl=en&user=wlYnzKUAAAAJ
