Erik Nelson,"Associate Professor of Economics, Bowdoin College",bowdoin.edu,14320,the economics of conservation biology | the economics of ecosystem services | the economics of climate change,https://scholar.google.com/citations?hl=en&user=KZrdX9QAAAAJ
Samuel Putnam,Bowdoin College,bowdoin.edu,8029,Not Mentioned,https://scholar.google.com/citations?hl=en&user=icBjc2EAAAAJ
Robert de Levie,Bowdoin College,bowdoin.edu,7925,chemistry | excel,https://scholar.google.com/citations?hl=en&user=6jE1iooAAAAJ
Barry A. Logan,Bowdoin College,bowdoin.edu,7111,Not Mentioned,https://scholar.google.com/citations?hl=en&user=aCOEZHkAAAAJ
Anja Forche,Research Assistant Professor of Biology at Bowdoin College,bowdoin.edu,5314,fungal pathogens | host-pathogen interactions | population genetics and genomics | adaption | genome plasticy,https://scholar.google.com/citations?hl=en&user=TY2fT2QAAAAJ
Collin Roesler,"Professor of Earth and Oceanographic Science, Bowdoin College",bowdoin.edu,4843,Oceanography (Biological | Optical | Physical) | Sea Ice,https://scholar.google.com/citations?hl=en&user=WAYUPJAAAAAJ
Rachel Connelly,"Bion R. Cram Professor of Economics, Bowdoin College",bowdoin.edu,4233,economics of child care | parents time use | Chinese labor market | Chinese migration,https://scholar.google.com/citations?hl=en&user=lKqM4RQAAAAJ
Jeffrey K Nagle,"Professor of Chemistry Emeritus, Bowdoin College",bowdoin.edu,4056,Inorganic chemistry | photochemistry,https://scholar.google.com/citations?hl=en&user=Sn7mv9sAAAAJ
Felicia McBride,Bowdoin College,bowdoin.edu,3781,High-energy astrophysics | black holes | multimessenger observations | neutrinos,https://scholar.google.com/citations?hl=en&user=rD3CzRUAAAAJ
John Lichter,"Professor of Biology and Environmental Studies, Bowdoin College",bowdoin.edu,3377,ecology,https://scholar.google.com/citations?hl=en&user=KePsmnMAAAAJ
Craig McEwen,"Professor of Sociology, Bowdoin College",bowdoin.edu,3176,law | mediation | courts | child development,https://scholar.google.com/citations?hl=en&user=nkJsnesAAAAJ
John Fitzgerald,"Professor of Economics, Bowdoin College",bowdoin.edu,3139,welfare programs | attrition | poverty | intergenerational links,https://scholar.google.com/citations?hl=en&user=kDGj68EAAAAJ
Michael Franz,"Professor of Government and Legal Studies, Bowdoin College",bowdoin.edu,2848,American politics,https://scholar.google.com/citations?hl=en&user=k93O1BQAAAAJ
Zachary K. Rothschild,"Associate Professor, Bowdoin College",bowdoin.edu,2689,Social Psychology | Existential Psychology | Morality | Intergroup Relations | Political Psychology,https://scholar.google.com/citations?hl=en&user=a4m--tUAAAAJ
Allison Dzubak,"Assistant Professor of Chemistry, Bowdoin College",bowdoin.edu,2519,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Gk9AT8IAAAAJ
Hannah E. Reese,"Associate Professor, Bowdoin College",bowdoin.edu,2421,Anxiety | Obsessive Compulsive Spectrum Disorders | Tourette Syndrome | Mindfulness | Cognitive Processes,https://scholar.google.com/citations?hl=en&user=uqylEPQAAAAJ
Sean Barker,"Associate Professor of Computer Science, Bowdoin College",bowdoin.edu,2159,Energy Analytics | Smart Buildings | Distributed Systems,https://scholar.google.com/citations?hl=en&user=nBDKcywAAAAJ
Andrew Rudalevige,"Professor of Government, Bowdoin College",bowdoin.edu,2135,American politics | US presidency | bureaucracy,https://scholar.google.com/citations?hl=en&user=ym--bNsAAAAJ
Erika Nyhus,"Associate Professor, Bowdoin College",bowdoin.edu,1836,Cognitive Neuroscience,https://scholar.google.com/citations?hl=en&user=K_Y6n5UAAAAJ
Mary Lou Zeeman,Bowdoin College,bowdoin.edu,1681,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uUwatxgAAAAJ
Jack R. Bateman,Bowdoin College,Not Mentioned,1673,Genetics | Epigenetics,https://scholar.google.com/citations?hl=en&user=INIjA2cAAAAJ
Jack O'Brien,Bowdoin College,bowdoin.edu,1586,Statistical genetics | Bayesian statistics | metagenomics | mixture models,https://scholar.google.com/citations?hl=en&user=eKEAQGUAAAAJ
Laura Henry,"Professor of Government and Legal Studies, Bowdoin College",bowdoin.edu,1501,comparative politics | Russian politics | environmental political | global governance,https://scholar.google.com/citations?hl=en&user=MMk174sAAAAJ
Hadley Horch,Bowdoin College,bowdoin.edu,1467,Not Mentioned,https://scholar.google.com/citations?hl=en&user=hq-7B2MAAAAJ
Amy S Johnson,"Professor of Biology, Bowdoin College",bowdoin.edu,1289,Biomechanics of marine organisms,https://scholar.google.com/citations?hl=en&user=Uq76WkQAAAAJ
Michèle LaVigne,Bowdoin College,bowdoin.edu,1106,Oceanography | Biogeochemistry | Paleoceanography,https://scholar.google.com/citations?hl=en&user=8h_paAQAAAAJ
Olaf Ellers,Bowdoin College,bowdoin.edu,1099,biomechanics | ecophysiology,https://scholar.google.com/citations?hl=en&user=vQxicxsAAAAJ
David B. Carlon,Bowdoin College,bowdoin.edu,1094,Evolutionary Biology | Marine Ecology | Climate Change,https://scholar.google.com/citations?hl=en&user=G3liFHkAAAAJ
Patricia L. Jones,Bowdoin College,bowdoin.edu,1044,Behavioral Ecology | Foraging | Animal Behavior | Community Ecology,https://scholar.google.com/citations?hl=en&user=k1-ZvkcAAAAJ
Laura Toma,Bowdoin College,bowdoin.edu,954,algorithms and data structures | GIS | computer science education,https://scholar.google.com/citations?hl=en&user=PGE7W9sAAAAJ
Manuel Diaz-Rios,Bowdoin College,bowdoin.edu,915,Neuroscience | Motors Systems | Sensory Systems,https://scholar.google.com/citations?hl=en&user=l363svEAAAAJ
Daniel F. Stone,"Associate Professor of Economics, Bowdoin College",bowdoin.edu,894,Information and Uncertainty | Behavioral Economics | Political Psychology | Media,https://scholar.google.com/citations?hl=en&user=2WzjmrsAAAAJ
Patrick Rael,"History professor, Bowdoin College",bowdoin.edu,819,History | Civil War | African American | antebellum | slavery,https://scholar.google.com/citations?hl=en&user=UVHpVjkAAAAJ
Susan A Kaplan,"Professor of Anthropology, Bowdoin College",Not Mentioned,663,Arctic anthropology | archaeology | climate change | culture contact,https://scholar.google.com/citations?hl=en&user=dAM76JcAAAAJ
Stephen Meardon,"Department of Economics, Bowdoin College",bowdoin.edu,567,History of economic thought | International trade | Latin America,https://scholar.google.com/citations?hl=en&user=0U_Oi80AAAAJ
Genevieve LeMoine,"… /registrar, The Peary-MacMillan Arctic Museum and Arctic Studies Center, Bowdoin College",bowdoin.edu,524,Arctic archaeology | Arctic prehistory | use wear | experimental archaeology,https://scholar.google.com/citations?hl=en&user=gHI9jzIAAAAJ
Elizabeth Halliday Walker,Bowdoin College,bowdoin.edu,493,Oceanography | Marine Ecology | Science Communication | STEM Education,https://scholar.google.com/citations?hl=en&user=2tMTptwAAAAJ
Duman Bahrami-Rad,Bowdoin College,bowdoin.edu,453,development economics | political economy,https://scholar.google.com/citations?hl=en&user=CgzWLZ0AAAAJ
Jennifer Honeycutt,"Assistant Professor of Psychology & Neuroscience, Bowdoin College",bowdoin.edu,443,affective neuroscience | ultrasonic vocalizations | anxiety | neuroanatomy | developmental neuroscience,https://scholar.google.com/citations?hl=en&user=i4fwnbcAAAAJ
