Satishchandra B. Ogale,"Indian Institute of Science Education and Research, Pune and The Research Institute for …",iiserpune.ac.in,35509,Physics | Materials Science | Nanotechnology | Clean Energy | Charge Storage,https://scholar.google.com/citations?hl=en&user=I_pDPJYAAAAJ
Sujit K. Ghosh,"Faculty of Chemistry, Indian Institute of Science Education and Research (IISER) Pune",iiserpune.ac.in,12959,Inorganic (Materials) Chemistry | Advanced Porous Materials | Coordination Chemistry,https://scholar.google.com/citations?hl=en&user=dS9gqzcAAAAJ
Angshuman Nag,"Department of Chemistry, Indian Institute of Science Education and Research, Pune, India",iiserpune.ac.in,10981,Nanomaterials,https://scholar.google.com/citations?hl=en&user=fAwle2oAAAAJ
Tarak Nath Mandal,"Indian Institute of Science Education and Research (IISER), Pune",iiserpune.ac.in,8294,Inorganic Chemistry | Nanomaterials | Solid state dye sensitize solar cell | Synthetic Inorganic Chemistry | Metal-organic Framework,https://scholar.google.com/citations?hl=en&user=FDb0_IsAAAAJ
Deepak Dhar,"Indian Institute of Science Education and Research, Pune",iiserpune.ac.in,8127,Statistical physics,https://scholar.google.com/citations?hl=en&user=dl1wQfwAAAAJ
Mohanan KP,"Retired Professor, Indian Institute of Science Education and Research, Pune",thinq.education,5200,Inquiry-Oriented Education | Theoretical Linguistics | Academic Epistemology,https://scholar.google.com/citations?hl=en&user=SdywbvMAAAAJ
Manickam Jayakannan,"Professor of Chemistry, Indian Institute of Science Education and Research, Pune",iiserpune.ac.in,3878,polymer Chemistry,https://scholar.google.com/citations?hl=en&user=DPGW82gAAAAJ
Shyam S  Rai,"… Fellow and Professor  Emeritus , Indian Institute of Science Education & Research-Pune",iiserpune.ac.in,3431,Geophysical data modelling | Inverse theory and its application | Deep Earth exploration and understanding …,https://scholar.google.com/citations?hl=en&user=XCJ4s_YAAAAJ
Prof. Pinaki Talukdar,Indian Institution of Science Education and Research Pune,iiserpune.ac.in,2949,Supramolecular Chemistry | Membrabe Transport | Chemical Biology | Fluorescent Probes,https://scholar.google.com/citations?hl=en&user=lq6lI6sAAAAJ
Kalika Prasad,"Principal Investigator, Indian Institute of Science Education and Research, Pune",iiserpune.ac.in,2801,Development | Genetics | Cell Biology,https://scholar.google.com/citations?hl=en&user=3ZvfCwIAAAAJ
Diptimoy Ghosh,"Indian Institute of Science Education and Research Pune (IISER Pune), India",iiserpune.ac.in,2696,Theoretical Particle Physics | Astro-particle Physics | Cosmology,https://scholar.google.com/citations?hl=en&user=7cAuDIIAAAAJ
Kundan Sengupta,Indian Institute of Science Education and Research Pune,iiserpune.ac.in,2148,Chromosome territories | Transcription | Genome integrity | DNA damage repair,https://scholar.google.com/citations?hl=en&user=vAk4XKQAAAAJ
Ramamoorthy Boomishankar,"Professor, Indian Institute of Science Education and Research (IISER) Pune",iiserpune.ac.in,2123,Not Mentioned,https://scholar.google.com/citations?hl=en&user=AdVyqsgAAAAJ
GV Pavan Kumar,"Associate Professor of Physics, Indian Institute of Science Education and Research, Pune",iiserpune.ac.in,2006,Light Scattering | Optical Forces | Optical Tweezers | Nanophotonics | Soft Matter,https://scholar.google.com/citations?hl=en&user=6lsK4MUAAAAJ
Prasad Subramanian,"Indian Institute of Science Education and Research, Pune, India",iiserpune.ac.in,1991,Plasma Astrophysics | Solar Physics | Black Hole accretion,https://scholar.google.com/citations?hl=en&user=EHu_h-kAAAAJ
Raghavendra Kikkeri,"Professor of Chemistry, Indian Institute of science Education and Research, Pune",iiserpune.ac.in,1963,Carbohydrate | material | translation research,https://scholar.google.com/citations?hl=en&user=hZm0QGwAAAAJ
TS Mahesh,"Indian Institute of Science Education and Research (IISER), Pune, India",iiserpune.ac.in,1901,Quantum Information | Nuclear Magnetic Resonance,https://scholar.google.com/citations?hl=en&user=ByQDfyIAAAAJ
