Nicholas J Kassebaum,"University of Washington, Seattle, WA, USA",uw.edu,183869,Anesthesia | Neonatal and Child Health | IHME | Oral Health | Malnutrition and Child Growth Failure,https://scholar.google.com/citations?hl=en&user=ky1SsWwAAAAJ
Joe Felsenstein,"Professor of Genome Sciences, and Professor of Biology, University of Washington, Seattle",gs.washington.edu,146748,Evolutionary biology | phylogenetic methods | population genetics,https://scholar.google.com/citations?hl=en&user=vZq8qQ4AAAAJ
Gail Jarvik,"Univ Washington, Seattle",u.washington.edu,102331,genetics | ethics | medicine,https://scholar.google.com/citations?hl=en&user=FzTrIcYAAAAJ
Xiaosong Li,"Larry R. Dalton Endowed Chair in Chemistry, University of Washington, Seattle, WA",uw.edu,76578,Time-Dependent Electronic Structure Theory | Relativistic Electronic Structure Theory | Electronic Dynamics | Nonadiabatic Dynamics,https://scholar.google.com/citations?hl=en&user=icKVNZUAAAAJ
Xiaodong Xu,"Physics department, University of Washington Seattle",uw.edu,48704,Condensed matter physics | nanoelectronics | nano photonics | nano optoelectronics,https://scholar.google.com/citations?hl=en&user=kjJzDmQAAAAJ
Shane D Morrison,University of Washington and Seattle Children's Hospital,uw.edu,45598,Gender-affirming surgery | transgender health | global health | medical education,https://scholar.google.com/citations?hl=en&user=ZUEy9RoAAAAJ
W. Lance Bennett,"University of Washington, Seattle",u.washington.edu,44790,digital media | political communication | social movements | media | civic engagement,https://scholar.google.com/citations?hl=en&user=Wo71M4sAAAAJ
Jeffrey A. Bilmes,"Professor of Electrical Engineering and Computer Science, University of Washington Seattle",uw.edu,36050,machine learning and artificial intelligence | combinatorial optimization | speech and langauge processing | bioinformatics | high p,https://scholar.google.com/citations?hl=en&user=L9QufAsAAAAJ
Dr Sonali Kochhar,"… of Global Health, University of Washington, Seattle; Global Healthcare Consulting",globalhealthcareconsulting.com,30697,Not Mentioned,https://scholar.google.com/citations?hl=en&user=bfciAGcAAAAJ
Daniel R. Gamelin,"Boand Chair Professor of Chemistry, University of Washington, Seattle",chem.washington.edu,27439,inorganic spectroscopy | quantum dots | nanocrystals | luminescence | solar energy conversion,https://scholar.google.com/citations?hl=en&user=B7p5EKUAAAAJ
