Barry Smalley,"Astrophysics Group, Keele University, Staffordshire, ST5 5BG, United Kingdom",keele.ac.uk,17799,Astrophysics,https://scholar.google.com/citations?hl=en&user=en-uwpkAAAAJ
Martin Jones,"Professor of Human Geography, VC, Staffordshire University",staffs.ac.uk,15514,Geographical Political Economy | Regulation-Governance | State-Space | Regional and Local Economic and Social …,https://scholar.google.com/citations?hl=en&user=CMo9k0wAAAAJ
j nolan,University hospital of North Staffordshire,uhns.nhs.uk,10152,cardiology,https://scholar.google.com/citations?hl=en&user=NkDjVLQAAAAJ
Dr Roger LH Dennis BA PhD DSc FRES FLS FRGS FRSB,"IESR Staffordshire University, UK",Not Mentioned,8169,Butterfly biology | Biogeography | Ecology | Animal behaviour | Conservation,https://scholar.google.com/citations?hl=en&user=CDCRFuUAAAAJ
Kevin Hetherington,"Professor of Cultural Geography, Staffordshire University",staffs.ac.uk,8038,Museums Heritage Consumption Spatial …,https://scholar.google.com/citations?hl=en&user=5WeiobYAAAAJ
Craig Standing,Staffordshire University,staffs.ac.uk,7791,Electronic markets | ICT and innovation | social media | ehealth | innovation,https://scholar.google.com/citations?hl=en&user=968xU6AAAAAJ
Nachiappan Chockalingam,Staffordshire University,staffs.ac.uk,5547,clinical biomechanics | gait analysis | foot orthotics | footwear | diabetic foot,https://scholar.google.com/citations?hl=en&user=rpkHnsMAAAAJ
David Jary,Emeritus Professor Staffordshire University,jary.co.uk,5448,Sociology,https://scholar.google.com/citations?hl=en&user=mKKXWFQAAAAJ
Richard Cooke,Staffordshire University,staffs.ac.uk,4867,Motivation | binge-drinking | meta-analysis,https://scholar.google.com/citations?hl=en&user=IuM9RDMAAAAJ
Christopher Gidlow,"Professor of Applied Health Research, Staffordshire University",staffs.ac.uk,4785,Physical activity | Environment,https://scholar.google.com/citations?hl=en&user=mlaH2HwAAAAJ
Kevin Reiling,Staffordshire University,staffs.ac.uk,4004,Not Mentioned,https://scholar.google.com/citations?hl=en&user=kR--BwEAAAAJ
Professor Ruth Swetnam,"Professor of Applied Geography, Staffordshire University",staffs.ac.uk,3685,landscapes | GIS | land-use | spatial modelling,https://scholar.google.com/citations?hl=en&user=t6CUhJkAAAAJ
Raheel Nawaz PFHEA NTF,"Pro Vice Chancellor, Professor of AI, Professor of Digital Education, Staffordshire University",staffs.ac.uk,3544,Applied AI | Digital Transformations | Digital Technologies | Digital Education | Educational Data Science,https://scholar.google.com/citations?hl=en&user=a1sQf4wAAAAJ
Rachel Povey,Staffordshire University,staffs.ac.uk,3472,health psychology | healthy eating in children | healthy eating and diabetes,https://scholar.google.com/citations?hl=en&user=GvnsVi8AAAAJ
Mike Dent,"Emeritus Professor, Staffordshire University",staffs.ac.uk,3432,Sociology | Organisation Theory | Health Sciences | Management | Public Sector,https://scholar.google.com/citations?hl=en&user=g6FzofsAAAAJ
John Dover,"Professor of Ecology, Staffordshire University",staffs.ac.uk,3253,Agroecology | butterfly ecology | ecology of hedges and green lanes | green infrastructure especially green/living …,https://scholar.google.com/citations?hl=en&user=7WLP1J8AAAAJ
Prof. Elhadj Benkhelifa,"Professor of Computer Science and Artificial Intelligence, Staffordshire University, UK.",staffs.ac.uk,3234,Cloud computing | Artificial Intelligence | Cybersecurity Software Engineering Software … | IoT | data,https://scholar.google.com/citations?hl=en&user=KylI32wAAAAJ
Fang Zhao (PhD) - Professor of Innovation and Strategy,"Staffordshire University, United Kingdom",staffs.ac.uk,2955,Smart City Strategy | E-government | Digital entrepreneurship | Cross-culture management | Entrepreneurship and innovation,https://scholar.google.com/citations?hl=en&user=UFc7oRgAAAAJ
Geoffrey Pugh,"Professor of Applied Economics, Staffordshire University",staffs.ac.uk,2746,Applied Econometrics | Evaluation | Meta-Regression Analysis | Education Policy | Innovation,https://scholar.google.com/citations?hl=en&user=-0m5qfsAAAAJ
Iraj Hashi,"Professor of Economics, Staffordshire University",staffs.ac.uk,2536,Economics of Transition | Industrial Organisation | Industrial Policy | innovation | entrepreneurship,https://scholar.google.com/citations?hl=en&user=9UxEF9sAAAAJ
Fiona Tweed,"Professor of Physical Geography (Emeritus), Staffordshire University",staffs.ac.uk,2410,Glacial geomorphology | natural hazards,https://scholar.google.com/citations?hl=en&user=34L-zTwAAAAJ
Thomas Lange,"Professor of Organisational Justice, Staffordshire University, UK.",staffs.ac.uk,2263,Job Insecurity | Organizational Performance | Transformational Leadership | Positive Organizational Scholarship | Job Satisfaction,https://scholar.google.com/citations?hl=en&user=uCc6cGQAAAAJ
Claude C. Chibelushi,"Professor of Cognitive Digital Media Computing, Staffordshire University",staffs.ac.uk,1760,Computer Vision. Machine Intelligence …,https://scholar.google.com/citations?hl=en&user=qQblhyQAAAAJ
Naomi J Ellis,Staffordshire University,staffs.ac.uk,1745,Not Mentioned,https://scholar.google.com/citations?hl=en&user=81SJ27cAAAAJ
Roozbeh Naemi,Staffordshire University,staffs.ac.uk,1391,Biomechanics | Soft tissue mechanics | Diabetic Foot | Ultrasound | Modelling,https://scholar.google.com/citations?hl=en&user=CGJYhRYAAAAJ
Jon Fairburn,"Professor of Sustainable Development, Staffordshire University",staffs.ac.uk,1306,sustainability | environmental justice | health | innovation,https://scholar.google.com/citations?hl=en&user=PuwDEnYAAAAJ
Gillian Forrester,"Professor of Education Policy, Staffordshire University, UK",staffs.ac.uk,1246,education policy | teacher professionalism | school leadership,https://scholar.google.com/citations?hl=en&user=32zjI-sAAAAJ
Matt Slater,"Associate Professor of Sport and Exercise Psychology, Staffordshire University",staffs.ac.uk,1081,Psychology of leadership and teams,https://scholar.google.com/citations?hl=en&user=NHTuPsYAAAAJ
Mohammad Moghimi Ardekani,"Associate Professor, Staffordshire University; Extraordinary lecturer University of Pretoria",staffs.ac.uk,1058,Renewable Energy | Solar Energy | Energy Storage | Optimization | CFD,https://scholar.google.com/citations?hl=en&user=UnuVUh8AAAAJ
Amy Burton,Staffordshire University,staffs.ac.uk,1052,Psychology | qualitative methods | ageing research | vision impairment | acquired disability,https://scholar.google.com/citations?hl=en&user=TFtiERIAAAAJ
Md Asaduzzaman,"Associate Professor in Operational Research, Staffordshire University",staffs.ac.uk,955,Analytics | Data Operations | Health Services Research | Telecommunications | Environmental Research,https://scholar.google.com/citations?hl=en&user=Hj3e5RsAAAAJ
