magnus johannesson,Stockholm School of Economics,hhs.se,54038,Not Mentioned,https://scholar.google.com/citations?hl=en&user=4SpTe5gAAAAJ
Lars EO Svensson,Stockholm School of Economics,hhs.se,40393,Macroeconomics | monetary economics | monetary policy | macroprudential policy | international economics,https://scholar.google.com/citations?hl=en&user=NTcIFVIAAAAJ
Udo Zander,Stockholm School of Economics,hhs.se,39311,Not Mentioned,https://scholar.google.com/citations?hl=en&user=fkLIsUgAAAAJ
Anna Dreber,"Professor of Economics, Stockholm School of Economics",hhs.se,21324,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uvZohTMAAAAJ
KARL-GÖRAN MÄLER,… (E) Stockholm School of Economics; Beijer Institute of Ecological Economics (dir 1991-2006),Not Mentioned,20301,Environmental Economics | Social Welfare | Economics of Ecosystems | Inclusive wealth | National Accounting,https://scholar.google.com/citations?hl=en&user=uxZHLuEAAAAJ
Jorgen Weibull,"professor of economics, Stockholm School of Economics",hhs.se,16505,economics | game theory,https://scholar.google.com/citations?hl=en&user=x0BrZDYAAAAJ
Roberto Verganti,"Stockholm School of Economics, Harvard Business School, and Politecnico di Milano",polimi.it,14864,Innovation | Leadership | Design | Technology Management | Innovation Policy,https://scholar.google.com/citations?hl=en&user=EmBXRzgAAAAJ
Sarah Jack,"… of Innovative and Sustainable Business Development, Stockholm School of Economics",hhs.se,12808,Entrepreneurship | social networks | social aspects | education,https://scholar.google.com/citations?hl=en&user=2gyJbdIAAAAJ
Per Strömberg,"Professor of finance, Stockholm School of Economics",hhs.se,12329,Corporate finance | corporate governance | private equity | venture capital | financial distress and bankruptcy,https://scholar.google.com/citations?hl=en&user=t9v4MeAAAAAJ
lars gunnar mattsson,Stockholm School of Economics,hhs.se,11928,sustainability | markets | service innovation | private-public interaction,https://scholar.google.com/citations?hl=en&user=WKtjtCoAAAAJ
Emma Heikensten,Stockholm School of Economics,phdstudent.hhs.se,9574,Economics | Experimental Economics | Replication | Social Psychology,https://scholar.google.com/citations?hl=en&user=aAggyGwAAAAJ
Karl Wennberg,Stockholm School of Economics,hhs.se,9493,Entrepreneurship | Regional Science | Economics of Education,https://scholar.google.com/citations?hl=en&user=NKfcIr4AAAAJ
Tore Ellingsen,Stockholm School of Economics,hhs.se,9360,Economics | Biology,https://scholar.google.com/citations?hl=en&user=IIHqer8AAAAJ
Mette Morsing,"… , UN Global Compact (from 2020). (Professor, Mistra Chair Stockholm School of Economics",Not Mentioned,8878,Organisation theory | communication | identity | global governance | corporate sustainability,https://scholar.google.com/citations?hl=en&user=nzuQ1wsAAAAJ
Mariassunta Giannetti,"Professor of Finance, Stockholm School of Economics",hhs.se,8524,Corporate Finance and Governance | Financial Intermediation,https://scholar.google.com/citations?hl=en&user=JPBKqhQAAAAJ
Örjan Sölvell,Professor Emeritus at the Stockholm School of Economics,hhs.se,8302,International Business | Strategy | Competitiveness | Clusters,https://scholar.google.com/citations?hl=en&user=etDRExgAAAAJ
Tomas Björk,Stockholm School of Economics,hhs.se,7929,Not Mentioned,https://scholar.google.com/citations?hl=en&user=e_FZsDUAAAAJ
Lars Ljungqvist,Stockholm School of Economics,hhs.se,7546,Not Mentioned,https://scholar.google.com/citations?hl=en&user=NglVwiUAAAAJ
Pär Åhlström,"… Ragnar Söderberg Professor of Business Administration, Stockholm School of Economics",hhs.se,6139,Operations Management | Innovation Management,https://scholar.google.com/citations?hl=en&user=7W7WsEkAAAAJ
Giancarlo Spagnolo,… of Economics - University of Tor Vergata and SITE - Stockholm School of Economics,hhs.se,5936,Experimental Economics | Industrial Organization | Law and Economics | Microeconomic Theory | Procurement.,https://scholar.google.com/citations?hl=en&user=wbzzOCEAAAAJ
Magnus Söderlund,"Professor of Marketing, Stockholm School of Economics, Sweden",hhs.se,5213,service marketing | service encounters | service robots | virtual agents,https://scholar.google.com/citations?hl=en&user=vXI1nqQAAAAJ
