Saveria Santangelo,"… Associato di Fisica Sperimentale, Università degli Studi Mediterranea di Reggio Calabria",unirc.it,4247,… (especially via electro-spinning) and analysis …,https://scholar.google.com/citations?hl=en&user=Uc7zTFMAAAAJ
francesco della corte,"Università degli Studi ""Mediterranea"" di Reggio Calabria",unirc.it,3458,Silicon photonics | integrated sensors | semiconductor power  devices | wireless sensors | amorphous silicon,https://scholar.google.com/citations?hl=en&user=ostsn2kAAAAJ
Anna Irene De Luca,Ricercatore  - Università degli Studi Mediterranea di Reggio Calabria,unirc.it,2287,"AGR/01 ""Economia ed Estimo Rurale""",https://scholar.google.com/citations?hl=en&user=7BqCYcMAAAAJ
Rita Marullo,"Professore di Entomologia, Università degli Studi Mediterranea di Reggio Calabria",unirc.it,2011,Entomologia Agraria | Sistematica | Tassonomia | Lotta Biologica | Tisanotteri,https://scholar.google.com/citations?hl=en&user=qlSfVdAAAAAJ
vincenzo palmeri,Università degli Studi Mediterranea di Reggio Calabria,unirc.it,1779,Entomologia generale e applicata,https://scholar.google.com/citations?hl=en&user=DQLpN2QAAAAJ
Giuliana Faggio,Università degli Studi Mediterranea di Reggio Calabria,unirc.it,1436,Carbon based Materials | Nanomaterials | Optoelectronic | Raman Spectroscopy,https://scholar.google.com/citations?hl=en&user=evBMp4sAAAAJ
Giovanni Gulisano,Dipartimento di Agraria - Università degli Studi Mediterranea di Reggio Calabria,unirc.it,1319,Not Mentioned,https://scholar.google.com/citations?hl=en&user=GHLHQ5wAAAAJ
Emilia Paone,Università degli Studi Mediterranea di Reggio Calabria,unirc.it,1163,chemistry | green chemistry | heterogeneous catalysis | hydrogenolysis | palladium catalysts,https://scholar.google.com/citations?hl=en&user=vdRv-5QAAAAJ
Aurora Angela Pisano,Università degli Studi Mediterranea di Reggio Calabria,unirc.it,1147,Associate Professor of Structural Mechanics …,https://scholar.google.com/citations?hl=en&user=ShKDoocAAAAJ
Corrado Rindone,Università degli studi Mediterranea di Reggio Calabria,unirc.it,1124,Transportation planning | Evaluation | emergency planning | disaster management | evacuation,https://scholar.google.com/citations?hl=en&user=dPQl0hsAAAAJ
Matteo Cacciola,Università degli Studi Mediterranea di Reggio Calabria,unirc.it,875,Artificial Intelligence | Non Destructive Testing | Nanotechnology | Biomedical applications | Signal Processing,https://scholar.google.com/citations?hl=en&user=cGNjgGsAAAAJ
Valentina Laface,"Ricercatrice,Università degli studi mediterranea di Reggio calabria",Not Mentioned,601,Ocean Engineering | Coastal Engineering | Renewable energies offshore | Offshore Engineering | Wave mechanics,https://scholar.google.com/citations?hl=en&user=SJx2-AYAAAAJ
Angela Malara,Università degli Studi Mediterranea di Reggio Calabria,unirc.it,523,nanomateriali | nanotecnologie | scienza | ingegneria,https://scholar.google.com/citations?hl=en&user=f_5HUkUAAAAJ
Mariangela Musolino,"Ricercatore di Estimo, Università degli Studi Mediterranea di Reggio Calabria",unirc.it,408,Estimo | … energetica. Valutazione paesaggistica e dei …,https://scholar.google.com/citations?hl=en&user=dQLMnLYAAAAJ
Asma Channa,… Politehnica din București and Università degli Studi Mediterranea - Reggio Calabria,unirc.it,340,eHealth wearables | Signal processing | Artificial intelligence,https://scholar.google.com/citations?hl=en&user=bMWrNrsAAAAJ
Souraya Benalia,Dipartimento di AGRARIA - Università degli Studi Mediterranea di Reggio Calabria,unirc.it,303,Meccanizzazione agricola e alimentare,https://scholar.google.com/citations?hl=en&user=F77UFsgAAAAJ
Demetrio Tortorella,"Research Fellow, Università degli Studi Mediterranea di Reggio Calabria",unirc.it,251,soil quality | soil fertility | soil C pools | soil chemical and biochemical properties | C sequestration,https://scholar.google.com/citations?hl=en&user=nS2fsVgAAAAJ
Agata Quattrone,"Università degli Studi ""Mediterranea"" di Reggio Calabria",cloudconsulting.it,236,Ingegneria dei trasporti | ITS - Intelligent Transport Systems | Agenda Digitale e Pubblica Amministrazione,https://scholar.google.com/citations?hl=en&user=fM7ft84AAAAJ
Alessandra Priore,"Università degli Studi di Reggio Calabria ""Mediterranea""",Not Mentioned,127,orientamento | pedagogia della famiglia | formazione degli insegnanti,https://scholar.google.com/citations?hl=en&user=7MT3xe4AAAAJ
"Gregorio Vono, PhD","Dipartimento di Agraria, Università degli Studi Mediterranea di Reggio Calabria",unirc.it,82,Agricultural Entomology | Thysanoptera | Molecular biology | IPM.,https://scholar.google.com/citations?hl=en&user=qdBIN70AAAAJ
Pasquale Pizzimenti,Università degli Studi Mediterranea di Reggio Calabria,unirc.it,76,Urban and Regional Planning,https://scholar.google.com/citations?hl=en&user=oCX_YZoAAAAJ
consuelo nava,universita mediterranea degli studi di reggio calabria,unirc.it,70,progettazione sostenibile | architettura | paesaggio | energia | tecnologie,https://scholar.google.com/citations?hl=en&user=q0YqRkYAAAAJ
Giacomo Genovese,"Junior Researcher, Università degli studi Mediterranea di Reggio Calabria",unirc.it,65,IoT | Device Virtualization | microservice | Containers | Edge/Fog computing,https://scholar.google.com/citations?hl=en&user=afvWOVIAAAAJ
Francesco Catona,"Università degli studi ""Mediterranea"" di Reggio Calabria",istitutoagrariosartor.edu.it,44,Dissesto idrogeologico | Erosione idrica,https://scholar.google.com/citations?hl=en&user=URoehgYAAAAJ
Lidia Errante,Università degli Studi Mediterranea di Reggio Calabria,unirc.it,20,Tecnologia dell'architettura | Spazio pubblico | Qualità dell'abitare urbano | Social housing | Edilizia sociale,https://scholar.google.com/citations?hl=en&user=rz0WEcgAAAAJ
Sara Lazzaro,"Università degli Studi ""Mediterranea"" di Reggio Calabria",unirc.it,3,cybersecurity | privacy,https://scholar.google.com/citations?hl=en&user=tVv4x1sAAAAJ
Caterina Claudia Musarella,"PhD, Università degli studi Mediterranea di Reggio Calabria",unirc.it,Not Mentioned,Architettura | Energia | Materiali | Componenti,https://scholar.google.com/citations?hl=en&user=ZCyd-8gAAAAJ
Armando Cepeda Guedea,Università degli Studi Mediterranea di Reggio Calabria,comunidad.unam.mx,Not Mentioned,urbanismo | ciudades | áreas metropolitanas | sistemas urbanos | urbanismo local,https://scholar.google.com/citations?hl=en&user=XlR8wF4AAAAJ
Silvestro Malara,Università Mediterranea degli Studi di Reggio Calabria,unirc.it,Not Mentioned,Not Mentioned,https://scholar.google.com/citations?hl=en&user=PSC8oQIAAAAJ
