Robert Thornton,"Professor of Physics and Engineering, West Chester University of Pennsylvania",Not Mentioned,8845,astronomy | instrumentation | cosmology,https://scholar.google.com/citations?hl=en&user=DE8Nt8cAAAAJ
Lauri L. Hyers,West Chester University of Pennsylvania,wcupa.edu,4520,Social Psychology,https://scholar.google.com/citations?hl=en&user=-LOJUi0AAAAJ
Huimin Li,West Chester University of PA,wcupa.edu,2247,International Financial markets | Contagion | Herding | Asset Pricing,https://scholar.google.com/citations?hl=en&user=aagC8AMAAAAJ
Stacie Metz,"Professor | MPH Program Director | Graduate Coordinator, West Chester University of PA",wcupa.edu,1743,Not Mentioned,https://scholar.google.com/citations?hl=en&user=QoOH-mMAAAAJ
Liz Wang,West Chester University of Pennsylvania,wcupa.edu,1417,Marketing | Internet Marketing | International Marketing | Marketing Education | Service Learning,https://scholar.google.com/citations?hl=en&user=usAdwpoAAAAJ
Julie B. Wiest,"Professor, West Chester University of Pennsylvania",wcupa.edu,1400,Not Mentioned,https://scholar.google.com/citations?hl=en&user=zj-VcNgAAAAJ
Yong Hoon Kim,"Associate Professor of Oceanography, West Chester University of Pennsylvania",wcupa.edu,1092,oceanography | climate change | remote sensing | marine pollution,https://scholar.google.com/citations?hl=en&user=Mk-Ujn0AAAAJ
Michael Guiry,"Associate Professor of Marketing, West Chester University of Pennsylvania",wcupa.edu,1027,Not Mentioned,https://scholar.google.com/citations?hl=en&user=GG2x7_AAAAAJ
Zeinab Mohamad Baba,"Assistant Professor, West Chester University of Pennsylvania",wcupa.edu,934,cancer prevention and control | health disparities | research methods | epidemiology | global health,https://scholar.google.com/citations?hl=en&user=Z4UBKYsAAAAJ
Lauren Brumley,West Chester University of Pennsylvania,wcupa.edu,821,Clinical Psychology,https://scholar.google.com/citations?hl=en&user=RDcLbwgAAAAJ
Maria A. (Ola) Kopacz,West Chester University of Pennsylvania,wcupa.edu,698,communication | online communities | new media technologies | intergroup communication | marginalized identities,https://scholar.google.com/citations?hl=en&user=dyWwgU4AAAAJ
Vipanchi Mishra,"Associate Professor, West Chester University of Pennsylvania",wcupa.edu,668,Cultural Values | Performance Appraisal | Organizational Citizenship Behaviors | Occupational Health | Applicant Reactions,https://scholar.google.com/citations?hl=en&user=1xuwRPIAAAAJ
Wan-Yi Chen,"West Chester Unviersity of Pennsylvania, Graduate Social Work Department",wcupa.edu,653,personal victimization | child maltreatment | developmental outcomes | program evaluation | organizational practice,https://scholar.google.com/citations?hl=en&user=acx-A5YAAAAJ
Si Chen,"Associate Professor, West Chester University of Pennsylvania",wcupa.edu,639,Computer Security & Privacy | Crowdsensing,https://scholar.google.com/citations?hl=en&user=DDLTYpAAAAAJ
Nicole Cattano,"Associate Professor, West Chester University of Pennsylvania",wcupa.edu,610,Post-traumatic Knee Injury and Osteoarthritis,https://scholar.google.com/citations?hl=en&user=uEQqER4AAAAJ
"Philip A. Thompsen, Ph.D.","Professor of Communication Studies, West Chester University of Pennsylvania",wcupa.edu,552,Communication Studies | Mass Media | Educational Technology | Public Broadcasting,https://scholar.google.com/citations?hl=en&user=egMXpw8AAAAJ
Danielle Chirdon,West Chester University of Pennsylvania,wcupa.edu,505,Electrochemistry | CO2 Conversion | Catalysis | Photochemistry,https://scholar.google.com/citations?hl=en&user=qj01TR4AAAAJ
Paul Rotenberry,"Associate Professor of Management, West Chester University of PA",wcupa.edu,448,Pedagogy | Predicting human behavior at work,https://scholar.google.com/citations?hl=en&user=XTSvwzgAAAAJ
MM Waite,"Associate Professor, West Chester University of PA",wcupa.edu,448,material science | thin films,https://scholar.google.com/citations?hl=en&user=UhdVlkQAAAAJ
Michael Rosario,West Chester University of Pennsylvania,wcupa.edu,374,Comparative biomechanics | computational biology,https://scholar.google.com/citations?hl=en&user=y9i1GpIAAAAJ
Beatrice Adera,West Chester University of Pennsylvania,wcupa.edu,354,Special Education | Trauma Informed Education | Home School Collaboration,https://scholar.google.com/citations?hl=en&user=Xp6S9TcAAAAJ
Leah Ndanga,West Chester University of Pennsylvania,wcupa.edu,348,Emerging Market Multinationals (EMMs) | Culture in Behavioral Strategy | Repatriates | Agribusiness Strategy,https://scholar.google.com/citations?hl=en&user=H_GL3TQAAAAJ
Johnna Capitano,West Chester University of Pennsylvania,wcupa.edu,330,work-home interface | newcomers | socialization | time,https://scholar.google.com/citations?hl=en&user=njjmEdkAAAAJ
Benjamin Brumley,"Assistant Professor, West Chester University of Pennsylvania",wcupa.edu,290,Early Childhood | Assessor Variance | Transformative Mixed Methods,https://scholar.google.com/citations?hl=en&user=Bm_IGHgAAAAJ
