Steffen Maeland,Western Norway University of Applied Sciences,hvl.no,86718,Not Mentioned,https://scholar.google.com/citations?hl=en&user=FOz-pMoAAAAJ
Arjen EJ Wals,"… University, Norwegian University of Life Sciences / Western Norway University of Applied",wur.nl,16926,Environmental Education | Education for sustainable development | Social Learning | Transformative Learning | Action Research,https://scholar.google.com/citations?hl=en&user=8bo58KgAAAAJ
Hege R. Eriksen,Western Norway University of Applied Sciences,hvl.no,13868,Not Mentioned,https://scholar.google.com/citations?hl=en&user=9DwFuLUAAAAJ
Claire Glenton,Western Norway University of Applied Sciences,hvl.no,12668,Not Mentioned,https://scholar.google.com/citations?hl=en&user=nVdcUNcAAAAJ
Jerry Chun-Wei Lin,"… , IET Fellow, ACM Distinguished Member, Western Norway University of Applied Sciences",ieee.org,11667,AI/DL/ML | Big Data Analytics | Privacy and Security | IoTs | Bioinformatics,https://scholar.google.com/citations?hl=en&user=Gd0ImD8AAAAJ
Lise Bjørkhaug,"Professor, Western Norway University of Applied Sciences",hvl.no,11585,diabetes | mody | posttranslational modifications | muscle,https://scholar.google.com/citations?hl=en&user=I1L5W1AAAAAJ
Birgitte Espehaug,Western Norway University of Applied Sciences,hvl.no,10145,Not Mentioned,https://scholar.google.com/citations?hl=en&user=k4WLfdwAAAAJ
Paul Benneworth,"Professor, Western Norway University of Applied Sciences",hvl.no,9754,Responsible Innovation & Regional …,https://scholar.google.com/citations?hl=en&user=p4ks57gAAAAJ
Andy Hodson,"Professor Glaciology, UNIS and Western Norway University of Applied Science",unis.no,8562,Glacial/perigl. biogeochemistry | Polar Science,https://scholar.google.com/citations?hl=en&user=6rrO-KAAAAAJ
Hans Lund,western norway university of applied sciences,hvl.no,8513,Not Mentioned,https://scholar.google.com/citations?hl=en&user=J4a1Vf8AAAAJ
Roy M Nilsen,Western Norway University of Applied Sciences,hvl.no,7471,Biostatistics | Epidemiology | Public Health,https://scholar.google.com/citations?hl=en&user=QqlZ2scAAAAJ
Lars M Kristensen,Professor in Computer Science - Western Norway University of Applied Sciences,hvl.no,7094,Software Engineering for Concurrent Systems,https://scholar.google.com/citations?hl=en&user=-fjTtjIAAAAJ
Professor Dhayalan Velauthapillai,"Professor, Western Norway University of Applied Science",Not Mentioned,3846,Not Mentioned,https://scholar.google.com/citations?hl=en&user=8r5KtWMAAAAJ
Marina Solesvik,"Professor of Innovation and Management, Western Norway University of Applied Sciences",hsh.no,3366,Shipbuilding | maritime economics | technology innovation | entrepreneurial intentions | strategic alliances,https://scholar.google.com/citations?hl=en&user=Db38lYoAAAAJ
Reza Arghandeh,"Professor, Western Norway University of Applied Sciences",hvl.no,3300,Machine Learning | Causal Inference | Remote Sensing | Resilience | Power Systems,https://scholar.google.com/citations?hl=en&user=tDE4beoAAAAJ
Stein Joar Hegland,Western Norway University of Applied Sciences,hvl.no,3149,Ecology | Natural Resource Management,https://scholar.google.com/citations?hl=en&user=GWkb_pIAAAAJ
Knut Rydgren,Western Norway University of Applied Sciences,hvl.no,3018,Ecology,https://scholar.google.com/citations?hl=en&user=9w24DJUAAAAJ
"John Roger Andersen. RN, Professor.",Western Norway University of Applied Sciences and Førde Hospital Trust.,hvl.no,2691,quality of life | obesity | physical activity | quality of care,https://scholar.google.com/citations?hl=en&user=cup00cwAAAAJ
Alvhild Bjorkum,Assoc. prof. Western Norway University of Applied Sciences,Not Mentioned,2565,Sleep | cellular stress | systems biology | machine learning,https://scholar.google.com/citations?hl=en&user=JVkwEsAAAAAJ
Kristin Linnerud,CICERO and Western Norway University of Applied Sciences,cicero.oslo.no,2337,Energy economics | climate economics | sustainable development,https://scholar.google.com/citations?hl=en&user=5rucQecAAAAJ
