Mihaly Csikszentmihalyi,"Professor Emeritus, Claremont Graduate University",cgu.edu,169604,Psychology | Education,https://scholar.google.com/citations?hl=en&user=ycPRZqAAAAAJ
Michael Hogg,"Professor of Social Psychology, Claremont Graduate University",cgu.edu,109345,psychology | social psychology | leadership | social identity | group processes,https://scholar.google.com/citations?hl=en&user=Er6iV3kAAAAJ
Bernard Jaworski,"Professor, Claremont Graduate University",cgu.edu,52127,marketing,https://scholar.google.com/citations?hl=en&user=nCY_-iMAAAAJ
C. Anderson Johnson,"University Professor, Claremont Graduate University, and President, CTRI",cgu.edu,21179,public health | prevention science | translational research | TAOD abuse | obesity,https://scholar.google.com/citations?hl=en&user=Fy1QQ1sAAAAJ
Paul J. Zak,Claremont Graduate University,cgu.edu,19688,Oxytocin | trust | neuroeconomics | neuromarketing | behavioral economics,https://scholar.google.com/citations?hl=en&user=psG2HSUAAAAJ
Alan Stacy,"Professor, Claremont Graduate University",cgu.edu,16557,prevention science | health behavior | associative memory | habit | implicit cognition,https://scholar.google.com/citations?hl=en&user=PEfsLB8AAAAJ
Samir Chatterjee,"Professor & Fletcher Jones Chair of Information Systems, Claremont Graduate University",cgu.edu,15676,Persuasive technology | healthcare informatics | sensor networks | networking | design science,https://scholar.google.com/citations?hl=en&user=mOkmiEIAAAAJ
William Crano,"Professor of Psychology, Claremont Graduate University",cgu.edu,14492,Social Psychology,https://scholar.google.com/citations?hl=en&user=MYrWqPkAAAAJ
Stewart I Donaldson,"Distinguished University Professor, Claremont Graduate University",cgu.edu,13734,Positive Organizational Psychology | Well-Being Science | Positive Interventions | Evaluation Theory | Research on Evaluation,https://scholar.google.com/citations?hl=en&user=LcaWbSgAAAAJ
Robert Klitgaard,Claremont Graduate University,cgu.edu,10979,International development | cultural diversity | policy analysis and evaluation,https://scholar.google.com/citations?hl=en&user=o5di6OQAAAAJ
Kim Reynolds,Claremont Graduate University,cgu.edu,10904,Obesity prevention | Skin Cancer Prevention | Intervention Research,https://scholar.google.com/citations?hl=en&user=dxQVtK8AAAAJ
Stephen Gilliland,"University Professor, Claremont Graduate University",cgu.edu,10232,Organizational Psychology,https://scholar.google.com/citations?hl=en&user=mSlwRsEAAAAJ
Allen M. Omoto,Claremont Graduate University,cgu.edu,9567,social psychology | volunteerism | LGBT concerns | social issues,https://scholar.google.com/citations?hl=en&user=ODeLfT4AAAAJ
