Nicholas J Kassebaum,"University of Washington, Seattle, WA, USA",uw.edu,183869,Anesthesia | Neonatal and Child Health | IHME | Oral Health | Malnutrition and Child Growth Failure,https://scholar.google.com/citations?hl=en&user=ky1SsWwAAAAJ
Nicholas John Timpson,University of Bristol,bristol.ac.uk,83329,genetics,https://scholar.google.com/citations?hl=en&user=jRYUWdUAAAAJ
Brian L. Strom,"Rutgers, The State University of New Jersey",rbhs.rutgers.edu,63736,Pharmacoepidemiology,https://scholar.google.com/citations?hl=en&user=cdKqud4AAAAJ
Nicholas J. Gotelli,University of Vermont,uvm.edu,50084,Ecology | Evolution | Conservation Biology | Community Ecology,https://scholar.google.com/citations?hl=en&user=DgJL-y4AAAAJ
Jinchuan Xing,"Rutgers, the State University of New Jersey",biology.rutgers.edu,39218,Genomics,https://scholar.google.com/citations?hl=en&user=JE4GTLYAAAAJ
Natalie J Prescott,"Senior Lecturer, Department of Medical and Molecular Genetics, King's College London",kcl.ac.uk,38792,Human Genetics,https://scholar.google.com/citations?hl=en&user=2IP2w0kAAAAJ
NJProudfoot,University of Oxford,path.ox.ac.uk,33501,Coupled transcription and RNA processing in …,https://scholar.google.com/citations?hl=en&user=P5EmdtAAAAAJ
Bishr Omary,"Rutgers, The State University of New Jersey",Not Mentioned,33262,Not Mentioned,https://scholar.google.com/citations?hl=en&user=HFq_bAcAAAAJ
Nicholas J Loman,"Professor of Microbial Genomics and Bioinformatics, University of Birmingham",bham.ac.uk,31536,Bioinformatics | Genomics | Microbiology | High-throughput Sequencing | Molecular Biology,https://scholar.google.com/citations?hl=en&user=RBacoAEAAAAJ
Nicholas J. Higham,"Royal Society Research Prof, Richardson Prof of Applied Mathematics, University of …",manchester.ac.uk,28965,Mathematics | applied mathematics | Numerical analysis | Numerical linear algebra | Mathematical software,https://scholar.google.com/citations?hl=en&user=EYlMkOgAAAAJ
Nelson J. Nunes,University of Lisboa,fc.ul.pt,28513,Cosmology | dark energy | inflation,https://scholar.google.com/citations?hl=en&user=AolPvHUAAAAJ
Tewodros (Teddy) Asefa,"Rutgers, The State University of New Jersey at New Brunswick",chem.rutgers.edu,27779,Nanotechnology | Catalysis | Nanomedicine | Fuel Cells | Photovoltaics,https://scholar.google.com/citations?hl=en&user=bp1OJXwAAAAJ
"James K. Liu, MD","University of Medicine and Dentistry of New Jersey, New Jersey Medical School",umdnj.edu,24284,Skull base surgery | pituitary tumors | acoustic neuromas | meningiomas | craniopharyngiomas,https://scholar.google.com/citations?hl=en&user=lTC9sTMAAAAJ
Avery D. Faigenbaum,The College of New Jersey,tcnj.edu,23711,Pediatric exercise science | resistance training | physical education | preventive medicine,https://scholar.google.com/citations?hl=en&user=KaZcV5cAAAAJ
Norman J. Wagner,University of Delaware,udel.edu,22827,rheology | neutron scattering | nanotechnology complex fluids | colloid & interface science,https://scholar.google.com/citations?hl=en&user=YxgbdyQAAAAJ
NJ Turner,"Professor of Chemical Biology, Manchester University",manchester.ac.uk,22307,Biocatalysis,https://scholar.google.com/citations?hl=en&user=1mP1Q1sAAAAJ
Nicky J Welton,University of Bristol,bristol.ac.uk,21034,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Jgpj1ysAAAAJ
Niloy J. Mitra,"Professor of Computer Science, University College London (UCL) and Adobe Research …",cs.ucl.ac.uk,20687,shape analysis | geometry processing | geometric modeling | architectural geometry | digital fabrication,https://scholar.google.com/citations?hl=en&user=dPrZJWMAAAAJ
Nicolai Juul Birkbak,"Associate professor, Department of Molecular Medicine (MOMA), Aarhus University",clin.au.dk,20354,Cancer Biology | Bioinformatics | Intratumor heterogeneity | NGS sequencing | DNA repair,https://scholar.google.com/citations?hl=en&user=S8oPM74AAAAJ
Vanessa H. Bal,"Rutgers, The State University of New Jersey",rutgers.edu,19262,Autism Spectrum Disorders | Minimally Verbal | Intellectual Disability | Genetics,https://scholar.google.com/citations?hl=en&user=VEAMaCEAAAAJ
Nathaniel J. Fisch,"Professor of Astrophysical Sciences, Princeton University",princeton.edu,19079,Plasma Physics | fusion,https://scholar.google.com/citations?hl=en&user=Jaig6CQAAAAJ
Tamara Minko,"… and Chair, Department of Pharmaceutics, Rutgers, The State University of New Jersey",rci.rutgers.edu,18236,Drug Delivery | Gene Therapy | Nanotechnology | Cancer | Lung Diseases,https://scholar.google.com/citations?hl=en&user=G7_qz4kAAAAJ
Eric Lam,"Rutgers, the State University of New Jersey",aesop.rutgers.edu,18005,Plant Molecular Biology | Genomics | duckweed,https://scholar.google.com/citations?hl=en&user=Uzba980AAAAJ
Nicholas J. Beutell,"Professor of Management, Iona College - IONA University LaPenta School of Business",iona.edu,17904,work-family conflict | work-family | entrepreneurship | wellbeing | retirement,https://scholar.google.com/citations?hl=en&user=hAn31JAAAAAJ
"Justin Marshall, NJ Marshall, J Marshall","Professor of Neuroscience and Marine Biology, University of Queensland",uq.edu.au,17285,Vision | Marine Ecology | Neuroscience,https://scholar.google.com/citations?hl=en&user=KXqdGqcAAAAJ
Samantha Lee,"Rutgers, The State University of New Jersey",aesop.rutgers.edu,16639,Trichoderma volatile organic compounds | Plant Growth Promotion | Plant signaling,https://scholar.google.com/citations?hl=en&user=kQQ2FkQAAAAJ
Neil J Gemmell,"Distinguished Professor, Department of Anatomy, School of Biomedical Sciences, University …",otago.ac.nz,16348,Evolutionary Biology | Genetics | Genomics | Reproductive Biology,https://scholar.google.com/citations?hl=en&user=XGE4mdAAAAAJ
Nigel James Maclachlan,University of California,ucdavis.edu,15209,Not Mentioned,https://scholar.google.com/citations?hl=en&user=94X7RKoAAAAJ
NJ van Druten,"Van der Waals-Zeeman Institute, University of Amsterdam",uva.nl,15028,Ultracold quantum gases,https://scholar.google.com/citations?hl=en&user=MskftlcAAAAJ
Christopher Rongo,"Professor of Genetics, Waksman Institute, Rutgers The State University of New Jersey",waksman.rutgers.edu,14572,Genetics | Neuroscience | Developmental Biology | Cell Biology | Mitochondrial Biology,https://scholar.google.com/citations?hl=en&user=fr0ipcQAAAAJ
Nicholas J. Matzke,"Senior Lecturer, School of Biological Sciences, University of Auckland",berkeley.edu,13564,Biogeography | Evolution | Phylogenetics | (anti) Creationism | (anti) Intelligent Design,https://scholar.google.com/citations?hl=en&user=YR6Ql3QAAAAJ
Nick J Edwards,"Senior Research Assistant, Jenner Institute, University of Oxford",ndm.ox.ac.uk,13301,vaccine development | vaccinology,https://scholar.google.com/citations?hl=en&user=WtWHNAsAAAAJ
