Gerrit Hoogenboom,"Food Systems Institute & Agricultural & Biological Engineering, University of Florida",ufl.edu,37670,Crop Modeling | Decision Support Systems | Agrometeorology | Climate Change & Variability | Food Security,https://scholar.google.com/citations?hl=en&user=6t7Zm4oAAAAJ
Clement G Yedjou,Florida Agriculture & Mechanical University,famu.edu,10332,Pharmacology | Toxicology | & Therapeutics,https://scholar.google.com/citations?hl=en&user=88KRfpIAAAAJ
Michael Dukes,"Professor of Agricultural & Biological Engineering, University of Florida",ufl.edu,8000,Irrigation | Water Conservation | Water Quality | Plant Water Requirements | Landscapes,https://scholar.google.com/citations?hl=en&user=5rHB538AAAAJ
Won Suk Lee,"Professor of Agricultural and Biological Engineeing, University of Florida",ufl.edu,7781,Precision agriculture | artificial intelligence | machine vision | sensing systems | automation,https://scholar.google.com/citations?hl=en&user=HUDkqSoAAAAJ
Glenn D. Israel,"Professor of Agricultural Education and Communication, University of Florida",ufl.edu,7678,Survey methods | Community | Evaluation | Extension education,https://scholar.google.com/citations?hl=en&user=K7X8WKEAAAAJ
Angela Singh,"Florida Agricultural and Mechanical University, College of Pharmacy and Pharmaceutical …",famu.edu,7279,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ISUAkJ0AAAAJ
Halbert Susan,"Florida Department of Agriculture and Consumer Services, Division of Plant Industry",freshfromflorida.com,7095,Hemiptera | vectors of plant pathogens | systematics,https://scholar.google.com/citations?hl=en&user=yMK3KqUAAAAJ
Hector Urbina,Florida Department of Agriculture and Consumer Services,fdacs.gov,5637,Fungal Systematics and Taxonomy,https://scholar.google.com/citations?hl=en&user=Y3eoxAwAAAAJ
shuangxia Jin   (Full Professor/phD),University of Central Florida; Huazhong Agricultural University,Not Mentioned,5361,chloroplast transformation | Plant -insect interaction,https://scholar.google.com/citations?hl=en&user=PR9CIvgAAAAJ
Linda J. Young,"… ; USDA National Agricultural Statistics Service and Professor Emeritus, University of Florida",ufl.edu,5300,Statistics | Agriculture | Environment,https://scholar.google.com/citations?hl=en&user=0Wop6pIAAAAJ
Gregory Kiker,"Professor of Agricultural and Biological Engineering, University of Florida",ufl.edu,5070,Biological and Ecological Modeling | Decision Analysis,https://scholar.google.com/citations?hl=en&user=so6wKTcAAAAJ
Thomas Burks,"Professor of Agricultural & Biological Engineering, University of Florida",ufl.edu,4777,agricultural machinery and robotics | citrus harvesting | machine vision | machine learning | hyper-spectral and multi-spectral imaging,https://scholar.google.com/citations?hl=en&user=kTJditsAAAAJ
Kati Migliaccio,"Professor of Agricultural and Biological Engineering, University of Florida",ufl.edu,4508,water conservation | hydrology | irrigation,https://scholar.google.com/citations?hl=en&user=pEd15xAAAAAJ
James E. Dyer,"Professor of Agricultural Education, University of Florida",ufl.edu,4400,Learning Styles | Teaching and Learning Strategies,https://scholar.google.com/citations?hl=en&user=8705PCkAAAAJ
Clyde Fraisse,"Professor, Agricultural & Biological Engineering, University of Florida",ufl.edu,4086,Agrometeorology | Climate variability and change | Crop modeling,https://scholar.google.com/citations?hl=en&user=GBQlgaAAAAAJ
Ray Bucklin,"Professor of Agricultural and Biological Engineering, Univrsity of Florida",raab50.com,3121,Grain storage | Livestock housing | particle mechanics | space agriculture,https://scholar.google.com/citations?hl=en&user=g_oE5yUAAAAJ
Dorota Haman,"University of Florida, Agricultural and Biological Engineering",ufl.edu,2646,irrigation | water management | ET,https://scholar.google.com/citations?hl=en&user=DW7krlcAAAAJ
Sivakumar Uthandi,"Professor and Head, Tamil Nadu Agricultural University. University of Florida",tnau.ac.in,2319,Bioconversion | Laccase | Biofuel | Metabolomics,https://scholar.google.com/citations?hl=en&user=ykCAo-YAAAAJ
Yulin Zheng,"Agricultural and Biological Engineering, University of Florida",ufl.edu,2227,Environmental Science & Technology | Environmental Science & Engineering | Water remediation | Phosphorous recovery | Biochar,https://scholar.google.com/citations?hl=en&user=FcrxINoAAAAJ
Janice Zale,"Agricultural & Food Scientist IV, University of Florida, Citrus Research & Education Center",ufl.edu,2188,Plant Improvement | Biotechnology | Genetics | Breeding | Pathology,https://scholar.google.com/citations?hl=en&user=sRIuQ_oAAAAJ
Farkas L Szilvia,"… for Veterinary Medical Research, Centre for Agricultural Research, Hungarian Academy of",agrar.mta.hu,2102,Molecular virology,https://scholar.google.com/citations?hl=en&user=NLGgHvUAAAAJ
Rachata Muneepeerakul,"Agricultural and Biological Engineering, University of Florida",ufl.edu,1952,complex adaptive systems | networks | game theory | ecohydrology | stochastic processes,https://scholar.google.com/citations?hl=en&user=H1OAQgUAAAAJ
Bruce Welt,"Professor, Agricultural & Biological Engineering, University of Florida",ufl.edu,1850,Sustainability | Heat/Mass transfer | Traceability | Packaging,https://scholar.google.com/citations?hl=en&user=CPnkYYMAAAAJ
Ricky Telg,"Professor of Agricultural Education and Communication, University of Florida",ufl.edu,1748,media relations | instructional technology | agricultural communication,https://scholar.google.com/citations?hl=en&user=lk_bvx0AAAAJ
Brian Boman,"Emeritus Professor of Agricultural and Biological Engineering, University of Florida",ufl.edu,1737,agricuture | irrigation | microirrgation | best management practices | agricultural production in developing …,https://scholar.google.com/citations?hl=en&user=g26ZEaoAAAAJ
