Elinor Ostrom,Indiana University and Arizona State University,asu.edu,234354,Institutional Analysis | Collective Action | Commons,https://scholar.google.com/citations?hl=en&user=RKN66-kAAAAJ
Emilio Moran,"Professor Geography, Michigan State University and Indiana University",msu.edu,37460,Land use and land cover change,https://scholar.google.com/citations?hl=en&user=kt5ELxwAAAAJ
Rex Force,Professor of Family Medicine Idaho State University,isu.edu,33954,cardiovascular clinical research,https://scholar.google.com/citations?hl=en&user=2rrF4qUAAAAJ
Stephane H Maes,"IFS; ESSEM Research, Alumnus UCLouvain, Alumnus Rutgers U., Alumnus ISU",ifs.com,27985,Physics | Software Architecture/CS/EE | AI/Conversational/Multimodal | Cloud/IT/Internet/Mobile/IoT | Telecoms,https://scholar.google.com/citations?hl=en&user=7slPDGkAAAAJ
Eric Glendening,"Professor of Chemistry, Indiana State University",indstate.edu,16185,computational chemistry,https://scholar.google.com/citations?hl=en&user=iRjJ1Y0AAAAJ
R.Terry Bowyer,"Institute of Arctic Biology, University of Alaska Fairbanks",isu.edu,15196,Behavior and Ecology of Large Mammals | Sexual Segregation | Birth-Site Selection | Scale | Population Ecology,https://scholar.google.com/citations?hl=en&user=3Un2gFEAAAAJ
Tony Forest,Idaho State University,isu.edu,12764,Nuclear Physics,https://scholar.google.com/citations?hl=en&user=803VRIUAAAAJ
Bruce Finney,"professor, Idaho state university",isu.edu,12347,paleoclimate | stable isotope,https://scholar.google.com/citations?hl=en&user=xPVhme8AAAAJ
Gebo Gebo,"Student, Idaho State University",isu.edu,10871,Accounting | LFO,https://scholar.google.com/citations?hl=en&user=JI2l-rEAAAAJ
H. Xin,"… , UT AgResearch, The University of Tennessee; Distinguished Professor Emeritus of ISU",utk.edu,10305,Animal environment | air quality | housing systems | precision livestock farming | sustainability,https://scholar.google.com/citations?hl=en&user=LLKm_DkAAAAJ
Ken Moore,ISU,iastate.edu,10192,agronomy | forage | biomass | grasses | legumes,https://scholar.google.com/citations?hl=en&user=MbvBI4IAAAAJ
jei-Fu shaw,Department of Biological Sciences and Technology,isu.edu.tw,9926,Biotechnology,https://scholar.google.com/citations?hl=en&user=M54nOp4AAAAJ
Bernard H. Foing,"Space Scientist & Explorer,  ILEWG director, Prof VUA/Leiden/ISU/ISAE/EPFL, IAF/IAA",esa.int,9893,space | astrochemistry | astrobiology | Moon | Mars,https://scholar.google.com/citations?hl=en&user=_fTVp0kAAAAJ
Beth Hudnall Stamm,Retired,isu.edu,9336,traumatic stress terrorism compassion fatigue …,https://scholar.google.com/citations?hl=en&user=IPUjytIAAAAJ
Colden V. Baxter,"Professor of Ecology, Idaho State University",isu.edu,8881,stream ecology | river ecology | food webs | freshwater | social-ecological systems,https://scholar.google.com/citations?hl=en&user=VI8mCeQAAAAJ
Fan Zuo,Indiana State University,indstate.edu,8802,Solar energy conversion | Water splitting | Nanomaterials | Quantum materials,https://scholar.google.com/citations?hl=en&user=qx7YtPkAAAAJ
Rick B Spielman,Idaho State University,isu.edu,7401,Not Mentioned,https://scholar.google.com/citations?hl=en&user=5E2oJ7cAAAAJ
Chih-Huang WENG,I-Shou University,isu.edu.tw,7316,Adsorption | Advanced Oxidation Process | Sludge Dewatering | Electrokinetic Remediation | Photocatalytic Process,https://scholar.google.com/citations?hl=en&user=atDqvyYAAAAJ
Maria Wong,Idaho State University,isu.edu,6768,Developmental psychology | substance use | self-regulation | sleep | longitudinal methodology,https://scholar.google.com/citations?hl=en&user=psDiJUAAAAAJ
Francois Becker,Professeur de Physique  Université de Strasbourg,isu.isunet.edu,6320,Teledetection | remote sensing | Nuclear Physics,https://scholar.google.com/citations?hl=en&user=BLDyuNwAAAAJ
Joshua Swift,"Associate Professor, Psychology Department, Idaho State University",isu.edu,6077,Clinical Psychology | Psychotherapy | Process and Outcome Research,https://scholar.google.com/citations?hl=en&user=nGK_7EgAAAAJ
Mark K McBeth,"Professor, Department of Political Science, Idaho State University",isu.edu,5798,Environmental Policy | Public Administration | Rural Policy | Narrative Policy Framework | Scholarship of Teaching and Learning,https://scholar.google.com/citations?hl=en&user=lKRic-kAAAAJ
M Mahir Ozmen,"Professor of Surgery, Istinye University, School of Medicine, Department of Surgery, Istanbul",isu.edu.tr,5460,Surgery | Bariatric and Metabolic Surgery | Surgical Oncology | Robotic/Laparoscopic surgery,https://scholar.google.com/citations?hl=en&user=WFEp63EAAAAJ
