Isabel CFR Ferreira,Instituto Politécnico de Bragança,ipb.pt,57049,Natural products | Food Chemistry | Food Tecnology | Chemical characterization | Additives,https://scholar.google.com/citations?hl=en&user=MTdSS5gAAAAJ
Lillian Barros,Instituto Politécnico de Bragança,ipb.pt,33116,Natural products | Food Chemistry | Food Tecnology | Chemical characterization | Phenolic compounds,https://scholar.google.com/citations?hl=en&user=eCy-3ncAAAAJ
José A. Pereira,Instituto Politécnico de Bragança,Not Mentioned,19181,Agriculture | plant protection | olive oil | olive tree,https://scholar.google.com/citations?hl=en&user=sRYyU_wAAAAJ
Ana Maria Carvalho,"Instituto Politecnico de Braganca, ESAB & CIMO",ipb.pt,8180,Ethnobiology | ethnobotany | agroecology | edible and medicinal plants | cultural lanscape,https://scholar.google.com/citations?hl=en&user=jttPDQQAAAAJ
Filomena Barreiro,Instituto Politécnico de Bragança - Centro de Investigação de Montanha,ipb.pt,7610,Not Mentioned,https://scholar.google.com/citations?hl=en&user=pQ1z4RsAAAAJ
Sandrina Alves Heleno,Centro de Investigação de Montanha - Instituto Politécnico de Bragança,ipb.pt,4928,Química de produtos naturais,https://scholar.google.com/citations?hl=en&user=vZdgVe0AAAAJ
Sandra Rodrigues,"Professor of Biological and animal science, Instituto Politécnico de Bragança",ipb.pt,2454,Animal science | microbiology | biochemestry,https://scholar.google.com/citations?hl=en&user=Eje-_HMAAAAJ
Amilcar L. Antonio,Instituto Politécnico de Bragança,ipb.pt,2312,Food processing | Food irradiation | Dosimetry,https://scholar.google.com/citations?hl=en&user=eEIZ7W8AAAAJ
José Pinela,"Centro de Investigação de Montanha (CIMO), Instituto Politécnico de Bragança",ipb.pt,2261,Food Science and Technology,https://scholar.google.com/citations?hl=en&user=snk0GmsAAAAJ
M. Alice Pinto,"Instituto Politécnico de Braganca, Portugal",ipb.pt,2133,Population genetics | Honey bee evolution,https://scholar.google.com/citations?hl=en&user=EutUgVQAAAAJ
Catarina Martins,Instituto Politécnico de Bragança,ipb.pt,1824,Turismo,https://scholar.google.com/citations?hl=en&user=TpeICU0AAAAJ
"Bragada, JA",Instituto Politécnico de Bragança,ipb.pt,1357,Treino Desportivo | Avaliação da Capacidade Cardiovascular | Jogos Tradicionais | Galhofa - Luta tradicional portuguesa | Ensino d,https://scholar.google.com/citations?hl=en&user=BBvE_7wAAAAJ
Joao C. Azevedo,"Centro de Investigação de Montanha, Instituto Politécnico de Braganca",ipb.pt,1279,forestry | landscape ecology | ecosystem services | energy,https://scholar.google.com/citations?hl=en&user=NxCafJIAAAAJ
Paulo Alves,Instituto Politécnico de Bragança,ipb.pt,1216,tecnologias de informação,https://scholar.google.com/citations?hl=en&user=WMzmAwUAAAAJ
"Morais, Carlos",Prof.Coordenador c/Agregação - Instituto Politécnico de Bragança,ipb.pt,1211,Matemática | TIC | Educação | Estilos de aprendizagem | Educação matemática,https://scholar.google.com/citations?hl=en&user=YL6OLYMAAAAJ
Jorge E. Morais,Instituto Politécnico de Bragança,ipb.pt,1204,Sports Biomechanics,https://scholar.google.com/citations?hl=en&user=U9gd7cYAAAAJ
ramiro je martins,Instituto Politécnico de Bragança,ipb.pt,1192,Digestão anaeróbia | tratamento de efluentes industriais | remoção de micropoluentes e metais tóxicos … | trata,https://scholar.google.com/citations?hl=en&user=BPl3fGoAAAAJ
José Gonçalves,Instituto Politécnico de Bragança,ipb.pt,1183,Mechatronics | Robotics | Control | Education,https://scholar.google.com/citations?hl=en&user=oowTkg0AAAAJ
Alexandra Soares Rodrigues,Instituto Politécnico de Bragança CELGA-ILTEC Universidade de Coimbra,Not Mentioned,1042,Linguística,https://scholar.google.com/citations?hl=en&user=RVyy2tcAAAAJ
A. Sofia Lima,"… de Investigação de Montanha, Escola Superior Agrária, Instituto Politécnico de Bragança",fc.ul.pt,902,Not Mentioned,https://scholar.google.com/citations?hl=en&user=T-7JpWIAAAAJ
Eugénia Mendes,"Professora Adjunta, Instituto Politécnico de Bragança",ipb.pt,776,Not Mentioned,https://scholar.google.com/citations?hl=en&user=YMih_6QAAAAJ
Elza Mesquita,"Centro de Investigação em Educação Básica (CIEB), Instituto Politécnico de Bragança …",ipb.pt,763,Formação de Professores | Ciências da Educação | Literatura para a Infância | Escrita Criativa | Leitura,https://scholar.google.com/citations?hl=en&user=GCNDz10AAAAJ
JE Ribeiro,Instituto Politécnico de Bragança,ipb.pt,734,mechanical engineering | manufacturing processes | materials characterization | residual stresses | hyperelastic materials,https://scholar.google.com/citations?hl=en&user=neXJjKgAAAAJ
Marina Castro,"Instituto Politécnico de Bragança, Escola Superior Agrária",ipb.pt,721,Agroforestry,https://scholar.google.com/citations?hl=en&user=rhddv4EAAAAJ
Filipe Madeira,"Centro de Investigação de Montanha, Instituto Politécnico de Bragança",ipb.pt,713,Plant Protection-Insect Pest Management,https://scholar.google.com/citations?hl=en&user=oXmFYRMAAAAJ
Maria Isabel Barreiro Ribeiro,Instituto Politécnico de Bragança,ipb.pt,696,marketing | planeamento | empreendedorismo | saúde | farmácia,https://scholar.google.com/citations?hl=en&user=w1iExcsAAAAJ
Vitor Gonçalves,"Research Center in Basic Education, Instituto Politécnico de Bragança, Portugal",ipb.pt,671,Semantic Web | e-Learning | ICT in education | Multimedia | Entrepreneurship,https://scholar.google.com/citations?hl=en&user=i1fgXnAAAAAJ
Ana I. Pereira,Instituto Politécnico de Bragança,ipb.pt,647,Optimization | Global Programming | Multi-Global Programing | Mathematical Modeling | Machine Learning,https://scholar.google.com/citations?hl=en&user=YwTmmLAAAAAJ
Bianca R. Albuquerque,Instituto Politécnico de Bragança,ipb.pt,647,alimentos | produtos naturais | nutrição,https://scholar.google.com/citations?hl=en&user=rbJkLo_-i2EC
João Paulo Coelho,Instituto Politecnico de Braganca,ipb.pt,605,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ecR1BrcAAAAJ
Jorge Manuel Afonso Alves,Professor do Instituto Politécnico de Bragança,ipb.pt,576,… de Resultados Contabilísticos e Bens de …,https://scholar.google.com/citations?hl=en&user=z_iTsOoAAAAJ
Manuel Costa Minhoto,"Professor de Engenharia Civil, Instituto Politécnico de Bragança",ipb.pt,571,engenharia civil,https://scholar.google.com/citations?hl=en&user=iEA_TNEAAAAJ
Joana Fernandes,Instituto Politécnico de Bragança,ipb.pt,567,Not Mentioned,https://scholar.google.com/citations?hl=en&user=re6EuueW9b8C
Vicente Leite,Instituto Politécnico de Bragança,ipb.pt,565,Power Electronics | Electric Vehicles | Photovoltaic | Pico-Hydro | Microgrids,https://scholar.google.com/citations?hl=en&user=hQHLhFQAAAAJ
Tiane Finimundy,Instituto Politécnico de Bragança/Centro de Investigaçao de Montanha,ipb.pt,534,natural products | chemical characterization | bioactivity,https://scholar.google.com/citations?hl=en&user=ILe2Tx4AAAAJ
Maria Raquel Patrício,"Instituto Politécnico de Bragança, Portugal",ipb.pt,491,Tecnologia educativa | tecnologias digitais | aprendizagem intergeracional | inovação pedagógica | inclusão e literacia digitais,https://scholar.google.com/citations?hl=en&user=T7k1ksQAAAAJ
Leonel São Romão Preto,Professor. Instituto Politécnico de Bragança Escola Superior de Saúde de Bragança,ipb.pt,491,Enfermagem. Idosos. Funcionalidade,https://scholar.google.com/citations?hl=en&user=zcc6_qQAAAAJ
ELISABETE Silva,Instituto Politécnico de Bragança,ipb.pt,487,Not Mentioned,https://scholar.google.com/citations?hl=en&user=oXOc3NIAAAAJ
Catarina Vasques,"Professor de Desporto, Instituto politécnico de Bragança Escola Superior de Educação",ipb.pt,448,Obesidade | crianças | sobrepeso | atividade física,https://scholar.google.com/citations?hl=en&user=3c8JZnIAAAAJ
Isabel C Pinto,"Professor Adjunto, Instituto Politécnico de Bragança",ipb.pt,433,Saúde Pública | Epidemiologia | Farmacoepidemiologia | Farmácia,https://scholar.google.com/citations?hl=en&user=IHzrcIEAAAAJ
"Veiga-Branco, Maria Augusta","Professor Coordenador, Instituto Politécnico de Bragança",ipb.pt,420,Educação em Saúde | Inteligência Emocional | Competência Emocional | Educação Emocional | Literacia em Saúde,https://scholar.google.com/citations?hl=en&user=O2GNgJMAAAAJ
Manuel Vara Pires,"Professor de Matemática, ESEB, Instituto Politécnico de Bragança",ipb.pt,413,Educação Matemática | Didática da Matemática,https://scholar.google.com/citations?hl=en&user=KGMuC0oAAAAJ
Amélia Maria Martins Pires,"Professora, Instituto Politécnico de Bragança",ipb.pt,405,Contabilidade financeira | avaliação de desempenho | teoria e história da contabilidade,https://scholar.google.com/citations?hl=en&user=ma5LAk0AAAAJ
Artur Gonçalves,Instituto Politécnico de Bragança,ipb.pt,389,Not Mentioned,https://scholar.google.com/citations?hl=en&user=4LVaJ7AAAAAJ
Isabel Maria Lopes,Instituto Politécnico de Bragança,ipb.pt,386,Segurança da Informação | Políticas de Segurança dos Sistemas de … | SmartCities | Tecnologias de Informação,https://scholar.google.com/citations?hl=en&user=hy-n6-QAAAAJ
Paula Plasencia https://orcid.org/0000-0001-5827-8249,"Integrated Member, Centro de Investigação de Montanha, Instituto Politécnico de Bragança",ipb.pt,382,Cosmetic Chemistry | Cosmetology | Dye Chemistry,https://scholar.google.com/citations?hl=en&user=qHsxgcEAAAAJ
Carlos R. Cunha,Instituto Politécnico de Bragança,ipb.pt,378,Distributed Systems | Perversive and Mobile Computing | IoT,https://scholar.google.com/citations?hl=en&user=8K3PWsgAAAAJ
Alcina nunes,Instituto Politécnico de Bragança,ipb.pt,377,Econometrics | Microeconometrics | Entrepreneurship | Labour market | Firm dynamics,https://scholar.google.com/citations?hl=en&user=sJYl0lsAAAAJ
Ramiro Valentim,"Instituto Politécnico de Bragança, Centro de Investigação de Montanha (CIMO)",ipb.pt,355,Produção animal,https://scholar.google.com/citations?hl=en&user=TG_6zEsAAAAJ
fernando c. monteiro,Instituto Politécnico de Bragança,ipb.pt,343,Not Mentioned,https://scholar.google.com/citations?hl=en&user=w4og0FUAAAAJ
Ana Galvão,Instituto Politecnico de Bragança,ipb.pt,343,Not Mentioned,https://scholar.google.com/citations?hl=en&user=mHt-VjEAAAAJ
Maria Helena Pimentel,"Instituto Politécnico de Bragança, Campus de Santa Apolónia - 5300-253 Bragança …",ipb.pt,325,Saúde,https://scholar.google.com/citations?hl=en&user=kxF1P_EAAAAJ
Celina Gonçalves,Instituto Politécnico de Bragança,ipb.pt,322,Gestão do Desporto | Psicologia do desporto | Comportamento do consumidor de desporto,https://scholar.google.com/citations?hl=en&user=p0YRkrAAAAAJ
José Castro,Instituto Politécnico de Bragança,ipb.pt,313,Landscape Ecology | Land Planning | Nature Tourism,https://scholar.google.com/citations?hl=en&user=eccopQsAAAAJ
Luisa Jorge,"Instituto Politécnico de Bragança, CEDRI, INESC Coimbra",inescc.pt,310,Computer Networks | Telecommunications,https://scholar.google.com/citations?hl=en&user=P7Ni0UYAAAAJ
António Miguel Monteiro,Instituto Politécnico de Bragança,ipb.pt,289,Exercício e Saúde | Terceira Idade | desportos de Natureza,https://scholar.google.com/citations?hl=en&user=rEgn99MAAAAJ
Elisabete Paulo Morais,Instituto Politécnico de Bragança,ipb.pt,286,tourism | Information systems | e-business | digital marketing,https://scholar.google.com/citations?hl=en&user=1p-M4kcAAAAJ
Vitor MR Martins,Instituto Politécnico de Bragança,ipb.pt,281,Not Mentioned,https://scholar.google.com/citations?hl=en&user=J_tIjJMAAAAJ
Helder Jaime Fernandes,Instituto Politécnico de Bragança - Escola Superior de Saúde,ipb.pt,267,Enfermagem | Saúde Mental | Psiquiatria | Gerontologia,https://scholar.google.com/citations?hl=en&user=n53_0aQAAAAJ
Susana Carneiro,"Instituto Politecnico de Bragança, Fraunhofer Portugal AICOS",Not Mentioned,261,Not Mentioned,https://scholar.google.com/citations?hl=en&user=7Nbb1eAAAAAJ
CB Vaz,"Escola Superior de Tecnologia e Gestão, Instituto Politécnico de Bragança",ipb.pt,247,Data Envelopment Analysis | Operations Research | Industrial management,https://scholar.google.com/citations?hl=en&user=THX7q2kAAAAJ
Rui AF de Oliveira,Polytechnic institute of bragança,ipb.pt,235,Not Mentioned,https://scholar.google.com/citations?hl=en&user=0oSiSwMAAAAJ
Carlos Balsa,Instituto Politécnico de Bragança (IPB),ipb.pt,230,Applied Mathematics and Computational …,https://scholar.google.com/citations?hl=en&user=3YIJNokAAAAJ
Carla Araújo,Instituto Politécnico de Bragança,ipb.pt,208,Ciências da Linguagem,https://scholar.google.com/citations?hl=en&user=_rVhRS8AAAAJ
Ricardo Correia,Instituto Politécnico de Bragança,ipb.pt,207,Marketing | Branding | Tourism Marketing | Wine Tourism | Services Marketing,https://scholar.google.com/citations?hl=en&user=1P-UqyMAAAAJ
Luis Piardi,Universidade Tecnológica Federal do Paraná and Instituto Politécnico de Bragança,ipb.pt,202,Mobile Robot | Industrial Robot | Autonomous Robot | Industry 4.0 | Machine Learning.,https://scholar.google.com/citations?hl=en&user=uWkqlTAAAAAJ
