Tapan K. Sau,"International Institute of Information Technology-Hyderabad, India",iiit.ac.in,14934,Nanomaterials Chemistry and Physics,https://scholar.google.com/citations?hl=en&user=8aN4a2cAAAAJ
Harjinder Singh,"International Institute of Information technology, Hyderabad",Not Mentioned,9837,theoretical chemistry,https://scholar.google.com/citations?hl=en&user=RJNcM1oAAAAJ
Manish Shrivastava,International Institute of Information Technology Hyderabad,iiit.ac.in,2244,Natural Language Processing | Machine Learning | Machine Translation | Cross Lingual IR | Multilingual Question Answering,https://scholar.google.com/citations?hl=en&user=sIvMnGQAAAAJ
Chittaranjan Hens,"Assistant Professor, International Institute of Information Technology, Hyderabad",iiit.ac.in,1292,Dynamical systems | Network Science | Machine Learning | Epidemic Spreading,https://scholar.google.com/citations?hl=en&user=LmFICiwAAAAJ
Nimmi Rangaswamy,"International Institute of Information technology, Hyderabad",iiit.ac.in,1260,Anthropology Digital Media ICTD,https://scholar.google.com/citations?hl=en&user=cGn5oUQAAAAJ
Radhika Mamidi,"International Institute of Information Technology, Hyderabad",iiit.ac.in,1150,Machine Translation | Dialog Systems | Sentiment Analysis | Computational Humour,https://scholar.google.com/citations?hl=en&user=DsIpZR0AAAAJ
Vishnu Sreekumar,"Assistant Professor, International Institute of Information Technology (IIIT), Hyderabad",iiit.ac.in,898,Human Memory | Cognitive Neuroscience | Dynamical Systems | Electrophysiology,https://scholar.google.com/citations?hl=en&user=gZTzPscAAAAJ
Sujit Gujar,"International Institute of Information Technology, Hyderabad",iiit.ac.in,822,Game Theory and Mechanism Design | Algorithmic Mechanism Design | Machine Learning and Mechanism Design | Crowdsourcing,https://scholar.google.com/citations?hl=en&user=9yxKajsAAAAJ
Basudeb Bera,"Research Fellow, International Institute of Information Technology, Hyderabad",research.iiit.ac.in,767,Cryptography | IoT Security | Blockchain | Post-Quantum Cryptography,https://scholar.google.com/citations?hl=en&user=J37OMGlmIYQC
Prabhakar Bhimalapuram,"… Sciences and Bioinformatics, International Institute of Information Technology, Hyderabad",iiit.ac.in,766,Thermodynamics | Statistical Mechanics | Computational Sciences,https://scholar.google.com/citations?hl=en&user=HE9Rp7EAAAAJ
Bhaswar Ghosh,"International Institute of Information Technology, Hyderabad, India",iiit.ac.in,635,Biophysics | Systems Biology,https://scholar.google.com/citations?hl=en&user=pppxsfMAAAAJ
Ubaidulla P,"International Institute of Information Technology (IIIT), Hyderabad, India",iiit.ac.in,584,Not Mentioned,https://scholar.google.com/citations?hl=en&user=eu_z9IUAAAAJ
Anil Kumar Sutrala,"International Institute of Information Technology, Hyderabad",research.iiit.ac.in,568,Cryptogrophy | Information Security,https://scholar.google.com/citations?hl=en&user=O2Gvzy8AAAAJ
Shantanav Chakraborty,"International Institute of Information Technology, Hyderabad",iiit.ac.in,556,Quantum Computation | Quantum Algorithms | Quantum walks,https://scholar.google.com/citations?hl=en&user=NXOEEbcAAAAJ
Akshat Bakliwal,"… by Research, International Institute of Information Technology, Hyderabad (IIIT Hyderabad)",Not Mentioned,556,Sentiment Analysis and Opinion Mining,https://scholar.google.com/citations?hl=en&user=RoRt6KsAAAAJ
Dhruv Khattar,International Institute of Information Technology Hyderabad,khattarindia.com,508,Not Mentioned,https://scholar.google.com/citations?hl=en&user=_aa8RFMAAAAJ
Siddhartha Das,"International Institute of Information Technology, Hyderabad, India",iiit.ac.in,435,Quantum Information Science | Quantum Correlations | Quantum Key Distribution | Open Quantum Systems | Quantum Internet,https://scholar.google.com/citations?hl=en&user=sfB_sTIAAAAJ
Charu Sharma,International Institute of Information Technology Hyderabad,iiit.ac.in,428,Geometric Machine Learning | Topological Data Analysis,https://scholar.google.com/citations?hl=en&user=bftN0M0AAAAJ
Utkarsh Azad,"International Institute of Information Technology, Hyderabad",research.iiit.ac.in,393,Quantum Computing | Quantum Information | Quantum Communication,https://scholar.google.com/citations?hl=en&user=Gp0qWIYAAAAJ
Dr. Ajoy Mondal,"International Institute of Information Technology, Hyderabad",iiit.ac.in,352,Document Image Processing | Computer Vision | Machine Learning | Image Processing | Video Processing and Fuzzy Logic,https://scholar.google.com/citations?hl=en&user=ai9lifYAAAAJ
Suresh Purini,"Associate Professor, International Institute of Information Technology, Hyderabad",iiit.ac.in,325,Compilers | Distributed Systems | Parallel Computing | Computer Architecture | Cloud Computing,https://scholar.google.com/citations?hl=en&user=m8_F5SoAAAAJ
Deepanshu Vijay,"International Institute of Information Technology, Hyderabad",research.iiit.ac.in,300,Not Mentioned,https://scholar.google.com/citations?hl=en&user=5TWrwt8AAAAJ
Chandrasekher Mukku,"International Institute of Information Technology, Hyderabad",iiit.ac.in,298,Gravity | Quantum Field Theory,https://scholar.google.com/citations?hl=en&user=e6oWaVIAAAAJ
Anusha Vangala,"… Scholar(Ph.D.), CSTAR, International Institute of Information Technology, Hyderabad",research.iiit.ac.in,246,Cryptography | Network Security | Wireless Sensor Networks | Internet of Things Security | Blockchains,https://scholar.google.com/citations?hl=en&user=3VQArpYAAAAJ
Priyanka Srivastava,"Senior Research Scientist, International Institute of Information Technology, Hyderabad …",iiit.ac.in,216,VR-User Experience | Mental Health | Human Factors | 360 degree Vision | Creative Cognition,https://scholar.google.com/citations?hl=en&user=B0Rfa_gAAAAJ
Abhinav Dhere,"International Institute of Information Technology, Hyderabad",research.iiit.ac.in,205,Medical Imaging | Computer Vision | Biomedical signal analysis,https://scholar.google.com/citations?hl=en&user=Ezd2QaUAAAAJ
krishna gurugubelli,"Research scholar, International Institute of Information Technology, Hyderabad",research.iiit.ac.in,180,Digital signal processing | Speech signal processing | Speech systems | Machine learning,https://scholar.google.com/citations?hl=en&user=1ifXrL0AAAAJ
saikrishna sripada,international institute of information technology Hyderabad,research.iiit.ac.in,173,Software engineering | Artificial Intelligence | Virtualization,https://scholar.google.com/citations?hl=en&user=JNvkSkkAAAAJ
Kavita Vemuri,"International Institute of Information Technology, Hyderabad",iiit.ac.in,147,Cognitive neuroscience | gaming | IoT | neuroeconomics,https://scholar.google.com/citations?hl=en&user=488WMOAAAAAJ
P. Pravin Kumar Venkat Rao,"Assistant Professor, International Institute of Information Technology, Hyderabad",iiit.ac.in,141,Seismic Safety Assessment | Seismic Design | Strengthening and Retrofitting | Experimental Testing | Analytical Modelling,https://scholar.google.com/citations?hl=en&user=ksyj60IAAAAJ
Raveesh Motlani,"International Institute of Information Technology, Hyderabad",research.iiit.ac.in,131,Artificial Intelligence | Machine Learning | Computational Linguistics | Natural Language Processing | Machine Translation,https://scholar.google.com/citations?hl=en&user=NYhr4aoAAAAJ
Sashank Sridhar,International Institute of Information Technology Hyderabad,research.iiit.ac.in,131,Machine Learning | Blockchains | Augmented reality | Data Analytics | Computer Vision,https://scholar.google.com/citations?hl=en&user=v97f514AAAAJ
Vignesh Sivaraman,"International Institute of Information Technology, Hyderabad",iiit.ac.in,124,Network Design | Network Security | Privacy | Information Centric Networks | Internet of Things,https://scholar.google.com/citations?hl=en&user=uneJnlUAAAAJ
Manisha Padala,"International Institute of Information Technology, Hyderabad",research.iiit.ac.in,107,Machine Learning | Game Theory | Fairness | Privacy,https://scholar.google.com/citations?hl=en&user=xV1WKDkAAAAJ
Arti D. Yardi,"International Institute of Information Technology Hyderabad, India",iiit.ac.in,98,Coding theory | Error Correcting codes,https://scholar.google.com/citations?hl=en&user=Y_JgKxAAAAAJ
Mohit Jain,MS (by research) student at International Institute of Information Technology Hyderabad,research.iiit.ac.in,94,Vision | Machine Learning | Deep Learning | Text Recognition,https://scholar.google.com/citations?hl=en&user=-Gi3nP4AAAAJ
Aniket Alam,"International Institute of Information Technology, Hyderabad",iiit.ac.in,86,History | Himalaya | Politics | Family | Marxism,https://scholar.google.com/citations?hl=en&user=L7yXUM4AAAAJ
Rathish Arumugam,"Saint-Gobain, International Institute of Information Technology - Hyderabad",saint-gobain.com,84,Green Buildings | Energy | Sustainability | LCA | Technology commercialization,https://scholar.google.com/citations?hl=en&user=C7CWjvMAAAAJ
Kartikey Pant,"International Institute of Information Technology, Hyderabad",research.iiit.ac.in,84,Natural Language Processing | Machine Learning,https://scholar.google.com/citations?hl=en&user=KAlpBKAAAAAJ
Rishabh Khawad,"Student, International Institute of Information Technology, Hyderabad",research.iiit.ac.in,79,Robotics Vision | Monucular SLAM,https://scholar.google.com/citations?hl=en&user=gaSCX-kAAAAJ
Rakesh Srivastava,"International Institute of Information Technology, Hyderabad, India",ihub-data.iiit.ac.in,77,ML for Computational Drug Discovery | Computational Biology and Computational …,https://scholar.google.com/citations?hl=en&user=xK56uuYAAAAJ
Vinayak Athavale,"Student , International Institute of Information Technology - Hyderabad",research.iiit.ac.in,73,Natural Language Processing | Machine Learning | Deep Learning,https://scholar.google.com/citations?hl=en&user=rV2WBloAAAAJ
Venkat Das Tadanki,"Research Scholar, International Institute of Information Technology - Hyderabad",research.iiit.ac.in,65,Structural Engineering,https://scholar.google.com/citations?hl=en&user=wMtjAx8AAAAJ
Arpit Khandelwal,International Institute of Information Technology Hyderabad,research.iiit.ac.in,60,Not Mentioned,https://scholar.google.com/citations?hl=en&user=FaOq2F0AAAAJ
Parijat Dewangan,"International Institute of Information Technology, Hyderabad",research.iiit.ac.in,58,robotics | reinforcement learning,https://scholar.google.com/citations?hl=en&user=6W88g4lugH0C
Sandeep Panem,International Institute of Information Technology (IIIT Hyderabad),research.iiit.ac.in,54,Machine Learning | Data Mining | Text Mining | Natural Language Processing | Search and Information Extraction,https://scholar.google.com/citations?hl=en&user=EZ7ywK0AAAAJ
