Michael Kobel,"Professor der Physik, TU Dresden",physik.tu-dresden.de,267917,Elementarteilchenphysik,https://scholar.google.com/citations?hl=en&user=Ekdk-M4AAAAJ
Xinliang FENG,"Chair for Molecular Functional Materials, TU Dresden",tu-dresden.de,93032,Not Mentioned,https://scholar.google.com/citations?hl=en&user=-ZXvLRsAAAAJ
Stefan Bornstein,TU Dresden,ukdd.de,91268,Endocrinology | Diabetology,https://scholar.google.com/citations?hl=en&user=DtO2i3EAAAAJ
Clemens Kirschbaum,"Technische Universität Dresden, Chair of Biopsychology",tu-dresden.de,87071,stress | endocrinology | burnout | saliva | hair,https://scholar.google.com/citations?hl=en&user=sL7Sxj4a6U4C
Peter E. Blöchl,"Professor for Theoretical Physics, Clausthal University of Technology",tu-clausthal.de,84605,theoretical physics | material science | theoretical chemistry | condensed matter theory | ab-initio simulations,https://scholar.google.com/citations?hl=en&user=QyCccSkAAAAJ
von Kummer R,"Professor of Neuroradiology, TU Dresden, Germany",uniklinikum-dresden.de,77460,Stroke,https://scholar.google.com/citations?hl=en&user=-ylRJu4AAAAJ
Karl Leo,TU Dresden; ORCID 0000-0003-3313-1843,iapp.de,60120,Semiconductors | Organic Semiconductors | Photovoltaics,https://scholar.google.com/citations?hl=en&user=5uiQM3wAAAAJ
Thomas Hummel,"Smell & Taste Clinic, Department of Otorhinolaryngology, TU Dresden, Germany",mail.zih.tu-dresden.de,57637,physiology and pathology of the human …,https://scholar.google.com/citations?hl=en&user=brsVjNcAAAAJ
Oliver G Schmidt,"Professor at TU Chemnitz, Adjunct Professor at TU Dresden",etit.tu-chemnitz.de,52084,nanoscience | microrobots | flexible electronics | microbatteries | nanophotonics,https://scholar.google.com/citations?hl=en&user=eSNK9XoAAAAJ
Stefan Kaskel,TU Dresden,tu-dresden.de,48149,Porous Materials | Energy Materials | Batteries | Coating Technology,https://scholar.google.com/citations?hl=en&user=71hSSp8AAAAJ
Graeme Eisenhofer,"Professor and Chief, Division of Clinical Neurochemistry, Technische Universität Dresden",uniklinikum-dresden.de,43612,Biomedical research | autonomic pharmacology | neuroendocrine tumors | endocrine hypertension | genetics,https://scholar.google.com/citations?hl=en&user=GZEYz64AAAAJ
Bernhard Hommel,TU Dresden,bhommel.onmicrosoft.com,41618,perception and action | cognitive control | creativity,https://scholar.google.com/citations?hl=en&user=mINykdQwol0C
Gerhard P. Fettweis,"Vodafone Chair Professor, TU Dresden",tu-dresden.de,40678,wireless communications | signal processing | circuit architecture and design,https://scholar.google.com/citations?hl=en&user=qUwSsMwAAAAJ
Alexander Eychmüller,"Professor für Physikalische Chemie, TU Dresden",chemie.tu-dresden.de,37558,Nanowissenschaften | Spektroskopie,https://scholar.google.com/citations?hl=en&user=HUuKffcAAAAJ
Gotthard Seifert,"Professor für Theoretische Chemie,TU Dresden",chemie.tu-dresden.de,37221,Nanostrukturen | Theoretische Chemie,https://scholar.google.com/citations?hl=en&user=sTWA_9AAAAAJ
Andreas Rump,Not Mentioed,tu-dresden.de,36206,DNA Sequenzierung,https://scholar.google.com/citations?hl=en&user=mj-49EoAAAAJ
Franz Baader,"Professor of Theoretical Computer Science, TU Dresden",tu-dresden.de,35437,Logic in Computer Science | Knowledge Representation | Automated Deduction,https://scholar.google.com/citations?hl=en&user=dIVc_FYAAAAJ
Jürgen Weitz,University Hospital TU Dresden,ukdd.de,35402,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uy_1E4gAAAAJ
Achim Richter,Professor fuer Physik,ikp.tu-darmstadt.de,34504,Kernphysik | Quantenchaos | Beschleunigerphysik,https://scholar.google.com/citations?hl=en&user=WU_HsKkAAAAJ
Stefan Roth,"Professor of Computer Science, TU Darmstadt",cs.tu-darmstadt.de,34497,Computer Vision | Machine Learning,https://scholar.google.com/citations?hl=en&user=0yDoR0AAAAAJ
Axel Linke,Professor of Internal Medicine / Cardiology,tu-dresden.de,33550,Cardiology,https://scholar.google.com/citations?hl=en&user=IveqNIQAAAAJ
Christian Bernhofer,"Professur für Meteorologie, TU Dresden",tu-dresden.de,33095,Meteorologie | Ökologie | Hydrologie,https://scholar.google.com/citations?hl=en&user=WYk9ux8AAAAJ
Jochen Hampe,Technische Universität Dresden (TU Dresden),uniklinikum-dresden.de,32760,Gastroenterology | Hepatology | Epigenetics | Interventional endoscopy | digital health,https://scholar.google.com/citations?hl=en&user=u9TRfVoAAAAJ
Thomas Heine,Professor of Theoretical Chemistry,tu-dresden.de,31675,Theoretical Materials Science | Theoretical Chemistry | Theoretical Physics | Computational Design of Functional Materials,https://scholar.google.com/citations?hl=en&user=exeQjFwAAAAJ
A Francis Stewart,"Professor of Genomics, Technische Universitaet Dresden",tu-dresden.de,31275,Epigenetics | Genetic Engineering,https://scholar.google.com/citations?hl=en&user=9KOO2dQAAAAJ
Jürgen Rödel,"Professor der Materialwissenschaften, Technical University of Darmstadt",ceramics.tu-darmstadt.de,30879,Functional Materials,https://scholar.google.com/citations?hl=en&user=mztwiPUAAAAJ
Rolf Isermann,"Professor of Control Systems and Process Automation, Technische Universitaet Darmstadt",iat.tu-darmstadt.de,30580,Control Systems | Process Automation | Mechatronics,https://scholar.google.com/citations?hl=en&user=NGvELhkAAAAJ
Jan Peters,Professor for Intelligent Autonomous Systems at Technische Universität Darmstadt,ias.tu-darmstadt.de,30355,Robot Learning | Reinforcement Learning | Machine Learning | Robotics | Biomimetic Systems,https://scholar.google.com/citations?hl=en&user=-kIVAcAAAAAJ
Ahmad-Reza Sadeghi,Technische Universität Darmstadt,trust.tu-darmstadt.de,29742,System Security | Privacy | Hardware Security,https://scholar.google.com/citations?hl=en&user=w6EHLZAAAAAJ
