André de Palma,CY Cergy Paris University. Thema and  RiskDesign,cyu.fr,24227,Industrial Organization | Transportation/Urban Economics | Discrete choice analysis | Risk Algorithms | Entropy,https://scholar.google.com/citations?hl=en&user=vW-2H_EAAAAJ
Andreas Honecker,CY Cergy Paris Université,u-cergy.fr,8224,Theoretical Physics,https://scholar.google.com/citations?hl=en&user=k18hdNwAAAAJ
Eric Monmasson,"Professor in Electrical Engineering, CY Cergy Paris University, SATIE CNRS, ENS Paris …",u-cergy.fr,7458,FPGA | System-on-Chip | Embedded Systems | Motor Drives | Power Electronics,https://scholar.google.com/citations?hl=en&user=dL6K8qUAAAAJ
Pierre-Henri Aubert,"Professor, CY Cergy Paris Université",cyu.fr,5191,conducting polymers | electrochemistry | material science | energy,https://scholar.google.com/citations?hl=en&user=_1bMZU8AAAAJ
Fernando Peruani,CY Cergy Paris Université & Université Côte d'Azur,cyu.fr,4675,collective behavior | complex systems | biological physics | active matter,https://scholar.google.com/citations?hl=en&user=gsgpkf4AAAAJ
Dr. HT  Diep,"Professor of Physics, CY Cergy Paris University",cyu.fr,4577,Theoretical Physics | Condensed Matter Physics | Magnetism | Computational Physics | Statistical Physics,https://scholar.google.com/citations?hl=en&user=Pxr3WNIAAAAJ
Lola Cañamero,"… Professor, INEX Chair of Neuroscience and Robotics, ETIS Lab, CY Cergy Paris University …",cyu.fr,4387,artificial intelligence | robotics | affective computing | cognitive science | developmental robotics,https://scholar.google.com/citations?hl=en&user=kqD3TFgAAAAJ
Alessandro Torcini,CY Cergy Paris Université,u-cergy.fr,4280,Statistical Physics | Nonlinear Dynamics | Complex Systems | Synchronization | Neuroscience,https://scholar.google.com/citations?hl=en&user=ZoHwWPUAAAAJ
Dulieu Francois,"Professeur de physique, LERMA, CY Cergy Paris Université",obspm.fr,4263,Laboratory Astrophysics - Astrochemistry,https://scholar.google.com/citations?hl=en&user=MJnnsvEAAAAJ
Guy Trambly de laissardière,CY Cergy Paris Université (ex Université de Cergy-Pontoise) / CNRS,cyu.fr,3678,Condensed Matter Physics | Graphene | 2D materials | Quasicrystals,https://scholar.google.com/citations?hl=en&user=dTDy8qcAAAAJ
fabrice goubard,CY Cergy Paris Université,cyu.fr,3531,Not Mentioned,https://scholar.google.com/citations?hl=en&user=lbHmZ2kAAAAJ
Inbar Fijalkow,"ETIS, UMR 8051 / CY Cergy Paris University, ENSEA, CNRS",ensea.fr,3289,signal processing | wireless communications | massive MIMO | resources allocation,https://scholar.google.com/citations?hl=en&user=QydTfYsAAAAJ
Cedric Plesse,CY Cergy Paris Université - France,cyu.fr,3119,conducting polymer | electroactive materials | actuator | solar cells | artificial muscles,https://scholar.google.com/citations?hl=en&user=E_SL_gMAAAAJ
Elhem Ghorbel,Professor of University of Cergy Pontoise (CY Cergy Paris Université),u-cergy.fr,2687,Concrete | Composites | mechanical behavior | durability | waste valorisation,https://scholar.google.com/citations?hl=en&user=LxfqIkEAAAAJ
Oukhaled,Associate Professor  CY Cergy Paris Université,u-cergy.fr,2398,Single Molecule | Nanopores | Biophysics | Nanobiotechnology,https://scholar.google.com/citations?hl=en&user=sF8yD8oAAAAJ
Karol Hricovini,"CY Cergy Paris Université, professor emeritus",cyu.fr,2196,solid state physics | electron,https://scholar.google.com/citations?hl=en&user=vqUs72gAAAAJ
Béatrice Ledésert,CY Cergy Paris Université (France),cyu.fr,2148,geothermal | petrography | hydrothermal alteration | flow pathways,https://scholar.google.com/citations?hl=en&user=NWbszsMAAAAJ
Arnaud Lefranc,"Professor of Economics, CY Cergy Paris Université",cyu.fr,2011,labor economics | inequality | family economics,https://scholar.google.com/citations?hl=en&user=tTGyvWwAAAAJ
Renault Régis,"Professor of economics, CY Cergy Paris Université",cyu.fr,2002,Not Mentioned,https://scholar.google.com/citations?hl=en&user=cnFPqHgAAAAJ
L. IDKHAJINE,CY CERGY-PARIS UNIVERSITY - FRANCE,cyu.fr,1899,Motor control | Power Electronics | FPGA SoC | Embedded Real-Time Simulation | Hardware In the Loop,https://scholar.google.com/citations?hl=en&user=0xbOzNkAAAAJ
Marcus Pivato,"THEMA, CY Cergy Paris Université",u-cergy.fr,1608,social choice theory | game theory | decision theory | mathematical economics | symbolic dynamics,https://scholar.google.com/citations?hl=en&user=-vR6dloAAAAJ
Monceau Gilles,CY Cergy Paris Université,u-cergy.fr,1594,Sciences de l'éducation | Analyse institutionnelle | Socio-clinique institutionnelle | Professionnalisation | Parentalité,https://scholar.google.com/citations?hl=en&user=CHdqw7QAAAAJ
Thanh-Tuân Bui,CY Cergy Paris Université,cyu.fr,1485,Organic Semiconductors | Organic Photovoltaics | Perovskite Solar Cells | Charge Transporting Materials | Redox Polymers,https://scholar.google.com/citations?hl=en&user=s1dJtGIAAAAJ
Dejan Vasic,"CY Cergy Paris Université, Laboratoire SATIE",cyu.fr,1353,Piezoelectric materials | Piezoelectric transformer | Energy harvesting | Structural damping,https://scholar.google.com/citations?hl=en&user=7nFAMRcAAAAJ
Julie Tugend,CY Cergy Paris Université,cyu.fr,1344,Geology | Tectonics | Marine Geosciences,https://scholar.google.com/citations?hl=en&user=2WTEcYUAAAAJ
olivier gallet,professeur de biologie CY cergy paris université,cyu.fr,1287,Not Mentioned,https://scholar.google.com/citations?hl=en&user=IsTtRGkAAAAJ
sofiane boucenna,"CY Cergy Paris Université, laboratoire ETIS, ENSEA, CNRS",cyu.fr,1233,robotics | artificial intelligence | cognitive sciences | emotion | autism,https://scholar.google.com/citations?hl=en&user=1h6G1_8AAAAJ
Ngoc Son Vu,"ETIS - ENSEA, CY Cergy Paris University, CNRS",ensea.fr,1110,Biometrics | Pattern Recognition | Computer Vision | Image Processing,https://scholar.google.com/citations?hl=en&user=Fw14qXwAAAAJ
Alexandre Pierre,CY Cergy Paris Université - L2MGC,u-cergy.fr,1109,3D printing | concrete | cementitious materials | eco-construction with biomaterials,https://scholar.google.com/citations?hl=en&user=-HQo2EUAAAAJ
Christophe Oguey,"lptm, CY Cergy Paris university, F",u-cergy.fr,1024,foams | liquid crystals | minimal surfaces | biomacromolecules | theoretical physics,https://scholar.google.com/citations?hl=en&user=MnC0DsAAAAAJ
Benjamin Cressiot,"Associate Professor, CY Cergy Paris University",cyu.fr,1016,Nanopores | protein folding | single molecule | biomarker detection | single molecule biophysics,https://scholar.google.com/citations?hl=en&user=j6joo1gAAAAJ
Mônica Macedo-Rouet,Professor of Psychology at CY Cergy Paris Université,cyu.fr,1006,Information literacy | Text readability | Science communication,https://scholar.google.com/citations?hl=en&user=dDGQ6XQAAAAJ
Lubin-Germain Nadege,CY  Cergy Paris Université,u-cergy.fr,974,glycochemistry,https://scholar.google.com/citations?hl=en&user=HQfnVAYAAAAJ
Mathilde Hindié,Cy Cergy Paris Université,Not Mentioned,814,bio-fonctionnalisation de matériaux pour …,https://scholar.google.com/citations?hl=en&user=KKdjVYgAAAAJ
Michael Nirrengarten,CY Cergy Paris Université,u-cergy.fr,810,Géologie,https://scholar.google.com/citations?hl=en&user=BPpPtqIAAAAJ
Cedric Vancaeyzeele,"CY Cergy Paris Université, LPPI",u-cergy.fr,746,polymer chemistry,https://scholar.google.com/citations?hl=en&user=30weqH8AAAAJ
Emanuele Congiu,"Senior lecturer, CY Cergy Paris Université",u-cergy.fr,705,Astrophysics,https://scholar.google.com/citations?hl=en&user=tUzvZK0AAAAJ
gregory chaume,CY Cergy Paris Université,cyu.fr,677,Synthèse de composés organofluorés | peptides | aminoacides fluorés,https://scholar.google.com/citations?hl=en&user=ck3reX4AAAAJ
Thanos (Athanasios) Manos,"Associate Professor, ETIS, Department of Mathematics, CY Cergy Paris University",cyu.fr,659,Nonlinear Dynamical Systems | Neuromodulation | Classical and Quantum Chaos | Galactic dynamics | Lattice Dynamics and Localization,https://scholar.google.com/citations?hl=en&user=LX2py3MAAAAJ
Hajer Baazaoui - Enseignante - Chercheuse,"ETIS UMR 8051, CY Cergy Paris Université, ENSEA, CNRS",ensea.fr,647,Knowledge Engineering | Ontologies | Uncertainty | Fuzziness | Decision Making,https://scholar.google.com/citations?hl=en&user=5W5oewUAAAAJ
Alae El Haitami,"CY Cergy Paris University, LPPI",cyu.fr,623,Polymer films,https://scholar.google.com/citations?hl=en&user=LaBZ5GQAAAAJ
Fakhreddine GHAFFARI,"Associate Professor at CY Cergy Paris University , ETIS Lab - UMR8051, UCP, ENSEA …",ensea.fr,613,reliability | FPGA | reconfigurable | embedded electronic systems,https://scholar.google.com/citations?hl=en&user=e66L-ZMAAAAJ
Nistor Grozavu,"Full Professor, CY Cergy Paris University",cyu.fr,588,data mining | machine learning,https://scholar.google.com/citations?hl=en&user=0zGAcwgAAAAJ
Alex Pitti,"CY Cergy-Paris Université, Cergy-Pontoise University, ETIS Laboratory, CNRS UMR 8051 …",cyu.fr,583,Artificial Intelligence | Neural Networks | Bio-Inspired Robotics | Embodiment | Developmental Robotics,https://scholar.google.com/citations?hl=en&user=WiH9p2YAAAAJ
Jongho Kim (김종호),"LPPI, CY Cergy Paris University",u-cergy.fr,581,organic chemistry | material chemistry | conducting polymer | electrospinning | carbon fiber,https://scholar.google.com/citations?hl=en&user=vTwZZWUAAAAJ
Mauro Fanciulli,"CY Cergy Paris University, France",u-cergy.fr,559,Solid state Physics,https://scholar.google.com/citations?hl=en&user=_d9KnLoAAAAJ
Ananyo Maitra,CY Cergy Paris University,u-cergy.fr,497,Active matter | Soft matter | Hydrodynamics | Liquid crystals | Biological physics,https://scholar.google.com/citations?hl=en&user=841iozMAAAAJ
Salim L. AZAR,CY Cergy Paris Université,cyu.fr,493,Marketing | Brand Management | Brand Gender | Online Branding | Branding,https://scholar.google.com/citations?hl=en&user=leeuq6gAAAAJ
Evelyne Clément,"Professeure des Universités, Psychologie Cognitive, CY Cergy Paris Université",cyu.fr,452,Flexibilité cognitive | Résolution de problèmes | Apprentissage | Cognition,https://scholar.google.com/citations?hl=en&user=ngZl2fAAAAAJ
Charles COLLOT,CNRS and CY Cergy Paris Université,cyu.fr,432,partial differential equations,https://scholar.google.com/citations?hl=en&user=_cQEzr0AAAAJ
Chiara Zanato,CY Cergy Paris Université,cyu.fr,431,Chemistry | Chemical Biology | PROTACs | PET,https://scholar.google.com/citations?hl=en&user=aWeVpPYAAAAJ
Remi Leprêtre,CY Cergy Paris Université,cyu.fr,418,Not Mentioned,https://scholar.google.com/citations?hl=en&user=7kspDrYAAAAJ
Bruno Robbes,"Professeur des universités en sciences de l'éducation, CY Cergy Paris Université",cyu.fr,417,violence à l'école | autorité éducative | pédagogies alternatives | recherches collaboratives,https://scholar.google.com/citations?hl=en&user=MdPtv1EAAAAJ
Camille Simon Chane,"ETIS UMR 8051, CY Cergy Paris University, ENSEA, CNRS",ensea.fr,409,Unconventional Imaging Systems | Vision Restoration | Event-Based Cameras | Multispectral Imaging | Cultural Heritage,https://scholar.google.com/citations?hl=en&user=mbMNjekAAAAJ
Frank Jamet,CY Cergy-Paris Université,u-cergy.fr,390,Psychologie du développement,https://scholar.google.com/citations?hl=en&user=giKf-J0AAAAJ
