Sven Werner,Halmstad University,hh.se,9628,district heating | district cooling | smart cities | smart energy,https://scholar.google.com/citations?hl=en&user=PiqKyv0AAAAJ
Josef Bigun,Halmstad University,hh.se,9373,Feature Extraction | Human Vision | Biometrics | Image Analysis | Computer Vision,https://scholar.google.com/citations?hl=en&user=KIdvOZYAAAAJ
Kutty Selva Nandakumar,"Department of Environmental and Biosciences, FIH, Halmstad University",hh.se,7426,Inflammation | Arthritis | Psoriasis | Bacterial vesicles | Estrogen,https://scholar.google.com/citations?hl=en&user=hgd4sGQAAAAJ
Tom Thomas,"Visiting Professor, Halmstad University",hh.se,6725,Tribology | engineering metrology | contact mechanics,https://scholar.google.com/citations?hl=en&user=VmYf78AAAAAJ
Svante Andersson,"Professor, Halmstad University",hh.se,5917,International entrepreneurship | international marketing | born globals | international new ventures | firm growth,https://scholar.google.com/citations?hl=en&user=vb1eNrEAAAAJ
Walid Taha,Halmstad University,hh.se,4912,Cyber-Physical Systems,https://scholar.google.com/citations?hl=en&user=YGjr_pUAAAAJ
Jonas Gabrielsson,"Professor, Halmstad University",hh.se,4822,Corporate Governance | Ownership | Boards of directors | Entrepreneurship | Innovation,https://scholar.google.com/citations?hl=en&user=Wa5QNTEAAAAJ
Fernando Alonso-Fernandez,"Associate Professor, Halmstad University, Sweden",hh.se,4540,BIOMETRICS | Image Analysis | Pattern Recognition | Computer Vision | Feature Extraction,https://scholar.google.com/citations?hl=en&user=o6B_JIUAAAAJ
Mark Dougherty,"Professor in Information Technology, Halmstad University",hh.se,3961,applied  AI,https://scholar.google.com/citations?hl=en&user=QF5063sAAAAJ
Andreas Ivarsson,"Professor in Psychology, Halmstad University",hh.se,3893,Not Mentioned,https://scholar.google.com/citations?hl=en&user=_f6GytsAAAAJ
Urban Johnson,"Professor psychology and sport & exercise, Halmstad University, Sweden",hh.se,3627,psychology | sport | exercise | injury | rehabilitation,https://scholar.google.com/citations?hl=en&user=k6YRTU8AAAAJ
Mikael Alexandersson,Professor in Education at University of Gothenburg and Halmstad University,hh.se,3265,Learning | digitalisation and cultural changes,https://scholar.google.com/citations?hl=en&user=GRclrRUAAAAJ
Ingela Skärsäter,"Professor in Nursing Science, Halmstad University, School of Health and Welfare, Sweden",hh.se,3247,Digital care | Mental health | Social support,https://scholar.google.com/citations?hl=en&user=ejqsI7MAAAAJ
Karen manley,"Professor of Innovation Science, Halmstad University",hh.se,3203,Not Mentioned,https://scholar.google.com/citations?hl=en&user=pqrNWPwAAAAJ
Prayag Tiwari,"Assistant Professor, Halmstad University, Sweden",hh.se,3087,Artificial Intelligence | Machine Learning | Cognitive Science | Healthcare | Quantum Computing,https://scholar.google.com/citations?hl=en&user=sDnmJ_YAAAAJ
Urban Persson,"Professor in Renewable Energy Systems, Halmstad University",hh.se,2876,District heating and cooling | Energy efficiency | Geographical information systems,https://scholar.google.com/citations?hl=en&user=6SV3ja0AAAAJ
Bertil Hulten,"Affiliated Professor of Marketing, Halmstad University, Sweden",hh.se,2802,Sensory marketing | Branding | Retailing,https://scholar.google.com/citations?hl=en&user=XQjwqH8AAAAJ
Thorsteinn Rognvaldsson,"Professor of Computer Science, Halmstad University",hh.se,2675,Artificial Intelligence | Machine Learning | Bioinformatics | Data Mining,https://scholar.google.com/citations?hl=en&user=wJvtMD0AAAAJ
