Norman Lederman,"Oregon State University, Illinois Institute of Technology",iit.edu,40969,Science Education | Nature of Science,https://scholar.google.com/citations?hl=en&user=RpqxmdsAAAAJ
Steven A. Taylor,"Professor, Marketing, Illinois State University",ilstu.edu,38722,Service marketing and consumer judgment & …,https://scholar.google.com/citations?hl=en&user=m2DrLX8AAAAJ
Rex Force,Professor of Family Medicine Idaho State University,isu.edu,33954,cardiovascular clinical research,https://scholar.google.com/citations?hl=en&user=2rrF4qUAAAAJ
Stephane H Maes,"IFS; ESSEM Research, Alumnus UCLouvain, Alumnus Rutgers U., Alumnus ISU",ifs.com,27985,Physics | Software Architecture/CS/EE | AI/Conversational/Multimodal | Cloud/IT/Internet/Mobile/IoT | Telecoms,https://scholar.google.com/citations?hl=en&user=7slPDGkAAAAJ
"Dong Jung, Dong I. Jung, D Jung, Dongil Jung, Dong il Jung","San Diego State University, Yonsei University",Not Mentioned,24445,business,https://scholar.google.com/citations?hl=en&user=OevFRGkAAAAJ
Susan Sprecher,"Professor of Sociology, Illinois State University",ilstu.edu,23533,Getting-Acquainted Process | Relationships | Social Psychology,https://scholar.google.com/citations?hl=en&user=jqVzag8AAAAJ
Roger C Anderson,"professor of plant ecology, Illinois State University",ilstu.edu,20347,… mycorrhizae deer prairies fire savanna garlic …,https://scholar.google.com/citations?hl=en&user=yeRhXUYAAAAJ
Dennis M. Patten,"Professor of Accounting, Illinois State University",ilstu.edu,18968,Social and Environmental Accounting | Accounting | Corporate Social Responsibility,https://scholar.google.com/citations?hl=en&user=9YnZvYkAAAAJ
Qilin Li,"University of Illinois at Urbana-Champaign, Yale University, Oregon State University, Rice",rice.edu,16795,environmental engineering,https://scholar.google.com/citations?hl=en&user=XyTFV0kAAAAJ
R.Terry Bowyer,"Institute of Arctic Biology, University of Alaska Fairbanks",isu.edu,15196,Behavior and Ecology of Large Mammals | Sexual Segregation | Birth-Site Selection | Scale | Population Ecology,https://scholar.google.com/citations?hl=en&user=3Un2gFEAAAAJ
Tony Forest,Idaho State University,isu.edu,12764,Nuclear Physics,https://scholar.google.com/citations?hl=en&user=803VRIUAAAAJ
Bruce Finney,"professor, Idaho state university",isu.edu,12347,paleoclimate | stable isotope,https://scholar.google.com/citations?hl=en&user=xPVhme8AAAAJ
Steven A. Juliano,Illinois State University,ilstu.edu,11612,biological sciences | ecology | entomology,https://scholar.google.com/citations?hl=en&user=PZo7uuIAAAAJ
Paul Vogt,"Prof Emeritus, Illinois State University and State University of NY/Albany",ilstu.edu,11530,research methodology | program evaluation | multi-method research,https://scholar.google.com/citations?hl=en&user=5AqnGwIAAAAJ
John B. Pryor,"Distinguished Professor of Psychology (emeritus), Illinois State University",ilstu.edu,11374,social psychology,https://scholar.google.com/citations?hl=en&user=ex2xisAAAAAJ
Gebo Gebo,"Student, Idaho State University",isu.edu,10871,Accounting | LFO,https://scholar.google.com/citations?hl=en&user=JI2l-rEAAAAJ
Louis Cattafesta,"Illinois Institute of Technology, Florida State University, University of Florida",iit.edu,10386,Fluid Dynamics | Acoustics | Flow Control,https://scholar.google.com/citations?hl=en&user=anVGxcMAAAAJ
IL Buchbinder,"Department of Theoretical Physics, Tomsk State Pedagogical University",tspu.edu.ru,10372,Theoretical Physics | Quantum Field Theory | Higher Spin Field Theory | Supersymmetry | String Theory,https://scholar.google.com/citations?hl=en&user=wYfMrlQAAAAJ
H. Xin,"… , UT AgResearch, The University of Tennessee; Distinguished Professor Emeritus of ISU",utk.edu,10305,Animal environment | air quality | housing systems | precision livestock farming | sustainability,https://scholar.google.com/citations?hl=en&user=LLKm_DkAAAAJ
Ken Moore,ISU,iastate.edu,10192,agronomy | forage | biomass | grasses | legumes,https://scholar.google.com/citations?hl=en&user=MbvBI4IAAAAJ
jei-Fu shaw,Department of Biological Sciences and Technology,isu.edu.tw,9926,Biotechnology,https://scholar.google.com/citations?hl=en&user=M54nOp4AAAAJ
Bernard H. Foing,"Space Scientist & Explorer,  ILEWG director, Prof VUA/Leiden/ISU/ISAE/EPFL, IAF/IAA",esa.int,9893,space | astrochemistry | astrobiology | Moon | Mars,https://scholar.google.com/citations?hl=en&user=_fTVp0kAAAAJ
BJ Wilkinson,"Professor of microbiology, Illinois State University",ilstu.edu,9717,Microbiology | Biochemistry,https://scholar.google.com/citations?hl=en&user=c9P61XYAAAAJ
Beth Hudnall Stamm,Retired,isu.edu,9336,traumatic stress terrorism compassion fatigue …,https://scholar.google.com/citations?hl=en&user=IPUjytIAAAAJ
Sumanta Acharya,"Illinois Institute of Technology-Chicago, Louisiana State University, University of Memphis",iit.edu,9167,Heat Transfer | combustion | aerodynamics | gas turbines,https://scholar.google.com/citations?hl=en&user=W-V5xBIAAAAJ
Glenn D Reeder,"Distinguished Professor Emeritus, Illinois State University",ilstu.edu,9047,Social Psychology,https://scholar.google.com/citations?hl=en&user=4iIqqowAAAAJ
Colden V. Baxter,"Professor of Ecology, Idaho State University",isu.edu,8881,stream ecology | river ecology | food webs | freshwater | social-ecological systems,https://scholar.google.com/citations?hl=en&user=VI8mCeQAAAAJ
Roger Anderson,"Emeritus Professor of Ecology, Illinois State University",ilstu.edu,8715,plant ecology,https://scholar.google.com/citations?hl=en&user=Ai28xAQAAAAJ
Mike Torry,Illinois State University,ilstu.edu,8686,Biomechancis | Sports Performance-injury assessment | rehabilitation,https://scholar.google.com/citations?hl=en&user=5mTF52QAAAAJ
Peter Williams,"Professor of Chemistry, Arizona State University, University of Illinois, University of Manitoba",asu.edu,8595,Chemistry,https://scholar.google.com/citations?hl=en&user=hW50BZcAAAAJ
Jeffrey H. Kahn,Illinois State University,ilstu.edu,8492,Self-disclosure | Emotion | Research Training,https://scholar.google.com/citations?hl=en&user=f51ROSsAAAAJ
Daniel Graupe,"University of Illinois,  Chicago, IL, Illinois Institute of Technology, Colorado State University",uic.edu,8451,Neural engineering | neuromodulation | neural networks | adaptive control | signal processing,https://scholar.google.com/citations?hl=en&user=2S9ahUkAAAAJ
Kevin Honglin Zhang,"Department of Economics, Illinois State University",ilstu.edu,8412,Foreign direct investment | International trade | Economic development | Chinese Economy,https://scholar.google.com/citations?hl=en&user=LtDX0AwAAAAJ
Neil D. Christensen,Illinois State University,ilstu.edu,8231,Theoretical Particle Physics,https://scholar.google.com/citations?hl=en&user=kAg_BtkAAAAJ
Rick B Spielman,Idaho State University,isu.edu,7401,Not Mentioned,https://scholar.google.com/citations?hl=en&user=5E2oJ7cAAAAJ
Chih-Huang WENG,I-Shou University,isu.edu.tw,7316,Adsorption | Advanced Oxidation Process | Sludge Dewatering | Electrokinetic Remediation | Photocatalytic Process,https://scholar.google.com/citations?hl=en&user=atDqvyYAAAAJ
Rajeev K Goel,Illinois State University,Not Mentioned,7242,Microeconomics | Corruption | Smoking | Technology | Entrepreneurship,https://scholar.google.com/citations?hl=en&user=UQk3WRQAAAAJ
Robert D. Young,"Professor of Physics Emeritus, Illinois State University",ilstu.edu,7226,Protein Dynamics | Protein Biophysics | Biological Physics,https://scholar.google.com/citations?hl=en&user=fOKXcMwAAAAJ
Kevin Edwards,Illinois State University,ilstu.edu,7142,Biology,https://scholar.google.com/citations?hl=en&user=OJ4YXd4AAAAJ
Yongmei Liu,"Associate Professor of Management, Illinois State University",ilstu.edu,6911,emotion in organizations | organizational politics | interpersonal relationship at work | political skill | emotional intelligence,https://scholar.google.com/citations?hl=en&user=RT-hBBcAAAAJ
Maria Wong,Idaho State University,isu.edu,6768,Developmental psychology | substance use | self-regulation | sleep | longitudinal methodology,https://scholar.google.com/citations?hl=en&user=psDiJUAAAAAJ
Catherine O'Reilly,Illinois State University,ilstu.edu,6545,aquatic ecology | biogeochemistry,https://scholar.google.com/citations?hl=en&user=xJ5MWFkAAAAJ
Francois Becker,Professeur de Physique  Université de Strasbourg,isu.isunet.edu,6320,Teledetection | remote sensing | Nuclear Physics,https://scholar.google.com/citations?hl=en&user=BLDyuNwAAAAJ
Gabe Spalding,"Professor of Physics, Illinois Wesleyan University",iwu.edu,6187,Digital Optics | Optical Trapping | Shaped Beams | Single-Photon Quantum | Advanced Lab Instuction,https://scholar.google.com/citations?hl=en&user=Iv6-DrcAAAAJ
Joshua Swift,"Associate Professor, Psychology Department, Idaho State University",isu.edu,6077,Clinical Psychology | Psychotherapy | Process and Outcome Research,https://scholar.google.com/citations?hl=en&user=nGK_7EgAAAAJ
Scott K. Sakaluk,"Professor of Zoology, Illinois State University",ilstu.edu,5977,Zoology | Evolution | Ecology | Animal Behavior | Behavioral Ecology,https://scholar.google.com/citations?hl=en&user=zT9_ACkAAAAJ
Mark K McBeth,"Professor, Department of Political Science, Idaho State University",isu.edu,5798,Environmental Policy | Public Administration | Rural Policy | Narrative Policy Framework | Scholarship of Teaching and Learning,https://scholar.google.com/citations?hl=en&user=lKRic-kAAAAJ
Brad Sheese,"Professor of Computer Science, Illinois Wesleyan University",iwu.edu,5623,Not Mentioned,https://scholar.google.com/citations?hl=en&user=aSLGJdAAAAAJ
Mark E. Swerdlik,"Professor of Psychology,  Illinois State University",ilstu.edu,5511,School psychoology professional issues | clinical supervsion,https://scholar.google.com/citations?hl=en&user=xffqPmcAAAAJ
Dr. B. Elango,"University Professor, Illinois State University",ilstu.edu,5460,Global Strategy | Internationalization | Entry Mode | International Business | Franchising,https://scholar.google.com/citations?hl=en&user=k0cTmTkAAAAJ
