Vimal Chandra srivastava,"Professor of Chemical Egineering, Indian Institute of Technology Roorkee, Roorkee",iitr.ac.in,17264,Separation Processes & Catalysis | Pollution Abatement | Desulfurization | CO2 Utilization & Alternative Fuels | Nanomaterials,https://scholar.google.com/citations?hl=en&user=vXB9eOwAAAAJ
B. Prasad,"… of Chemical Engineering, Indian institute of Technology Roorkee, Roorkee (UK) INDIA",iitr.ac.in,11398,Biomass energy | air and water pollution,https://scholar.google.com/citations?hl=en&user=o-EDdTsAAAAJ
Ashok Kumar Singh,"Professor, Department of Chemistry, Indian Institute of Technology Roorkee",cy.iitr.ac.in,10483,Macrocyclic synthesis | chemical sensors,https://scholar.google.com/citations?hl=en&user=4i56bO4AAAAJ
"Dr. KR Justin Thomas, FRSC","Professor, Department of Chemistry, Indian Institute of Technology Roorkee, Roorkee, India",iitr.ac.in,9460,Organic materials for electronic applications | structure property relationship in organic … | organic light-emitting diod,https://scholar.google.com/citations?hl=en&user=Rrmc3gcAAAAJ
Patit Paban Kundu,"Professor of Chemical Engineering, Indian Institute of Technology, Roorkee",iitr.ac.in,8032,Membrane Sc & Technology | Microbial Fuel Cell | DMFC | URFC | drug delivery,https://scholar.google.com/citations?hl=en&user=0oUMSG0AAAAJ
Debrupa Lahiri,"… Professor of Metallurgical and Materials Engineering, Indian Institute of Technology (IIT",iitr.ac.in,7998,Biomaterials | Nano-mechanics | Composites and Nanomaterials for Structural …,https://scholar.google.com/citations?hl=en&user=3dz-GbMAAAAJ
Millie Pant,"Professor, mathematics and computer, Indian Institute of Technology, Roorkee",iitr.ac.in,6615,Numerical Optimization | Evolutionary Algorithms | Swarm Intelligence Techniques,https://scholar.google.com/citations?hl=en&user=VEAXM8IAAAAJ
Sanjay Kumar,"Indian Institute of Technology Roorkee, India.",iitr.ernet.in,6288,Condensed Matter Physics (Theory) | Physics of Graphene and its multilayers,https://scholar.google.com/citations?hl=en&user=vBH2TyEAAAAJ
Kusum Deep,"Professor, Department of Mathematics, Indian Institute of Technology Roorkee",iitr.ernet.in,6228,Nature Inspired Optimization Techniques | Genetic Agorithms | Particle Swarm Optimization | Soft Computing | Evolutionary Algorithms,https://scholar.google.com/citations?hl=en&user=ByQN_c0AAAAJ
Partha Pratim Roy,"Associate Professor, Indian Institute of Technology, Roorkee",iitr.ac.in,5897,Pattern Recognition | Computer Vision | Document Image Processing | EEG,https://scholar.google.com/citations?hl=en&user=moDpyKkAAAAJ
