Brian Lawlor,"Professor of Old Age Psychiatry, Trinity College, Dublin",tcd.ie,39084,Alzheimer's disease | psychopharmacology | BPSD | late-life depression | cognition,https://scholar.google.com/citations?hl=en&user=i0laH7UAAAAJ
Barry Smyth,"Digital Chair of Computer Science, Insight Centre for Data Analytics, University College …",ucd.ie,24211,Personalization | User Modeling | Case-based Reasoning | Recommender Systems,https://scholar.google.com/citations?hl=en&user=UxqudeoAAAAJ
Brian Lucey,"Professor of International Finance and Commodities, Trinity Business School, Trinity College …",tcd.ie,19243,climate finance | International Finance | cryptocurrencies | commodities | gold,https://scholar.google.com/citations?hl=en&user=WGptVJMAAAAJ
Robert Bogdan Staszewski,University College Dublin (UCD),ucd.ie,16938,PLL | Transceivers | TDC | DCO | Quantum Computing,https://scholar.google.com/citations?hl=en&user=1oZi4B8AAAAJ
David Coghlan,"Professor Emeritus, Trinity  Business School, University of Dublin, Trinity College",tcd.ie,16897,action -oriented organization development …,https://scholar.google.com/citations?hl=en&user=1ITOljcAAAAJ
Boris Kholodenko,"Professor of Systems Biology, University College Dublin",ucd.ie,16854,Systems Biology | Signal Transduction | Computational and Mathematical Modelling,https://scholar.google.com/citations?hl=en&user=sChQlgwAAAAJ
Barry Boland,University College Cork,ucc.ie,15374,Alzheimer's Disease | Lysosomal Storage Diseases | Neurobiology | Neuroscience,https://scholar.google.com/citations?hl=en&user=ARnlkl8AAAAJ
Brian Caulfield,University College Dublin,ucd.ie,14945,Wearables | Neuromuscular Electrical Stimulation | Personal Sensing,https://scholar.google.com/citations?hl=en&user=bsAM2ZwAAAAJ
Richard B. Reilly,Trinity College Dublin,tcd.ie,14451,Neural Engineering | neuroengineering | neuromodulation | neurodegeneration,https://scholar.google.com/citations?hl=en&user=6ftKkZMAAAAJ
Brian Norton,"Professor, Tyndall National Institute, University College Cork and Technological University …",tyndall.ie,13531,solar energy | energy in buildings | daylight | daylighting | photovoltaic systems,https://scholar.google.com/citations?hl=en&user=IxAYv3kAAAAJ
Brona M. Murphy,Royal College of Surgeons in Ireland,rcsi.ie,13176,Glioblastoma | Medulloblastoma | CDK inhibitors | TRAIL | systems modelling,https://scholar.google.com/citations?hl=en&user=_M3PYOsAAAAJ
Geraldine B. Boylan,"Professor of Neonatal Physiology, University College Cork, Ireland",ucc.ie,12275,Neonatal Neurophysiology - Seizures - EEG …,https://scholar.google.com/citations?hl=en&user=AjAFJbYAAAAJ
Brian J. Rodriguez,University College Dublin,ucd.ie,11240,atomic force microscopy | AFM | scanning probe microscopy | SPM | ferroelectrics,https://scholar.google.com/citations?hl=en&user=buRpAsgAAAAJ
Michael O'Neill,"Full Professor of Business Analytics, University College Dublin",ucd.ie,11203,Evolutionary Computation | Genetic Programming | Grammatical Evolution | Business Analytics | Artificial Intelligence,https://scholar.google.com/citations?hl=en&user=KlZHzFgAAAAJ
Luis Garicano,"IE Business School, Columbia Business School",faculty.ie.edu,10359,Organizational economics | productivity | inequality | information technology | European Economy,https://scholar.google.com/citations?hl=en&user=rjnKsr8AAAAJ
Cristina Cruz,"Professor of Family Business and Entrepreneurship, IE Business School",ie.edu,10326,Entrepreneurship | Corporate Governance,https://scholar.google.com/citations?hl=en&user=L-xhPgsAAAAJ
Brian O Gallachoir,"Professor of Energy Engineering, University College Cork",ucc.ie,9183,Energy Modelling | Energy Policy | Energy Systems Analysis,https://scholar.google.com/citations?hl=en&user=kin7KpQAAAAJ
Ivan E de Araujo,"John B. Pierce Laboratory & Department of Psychiatry, Yale University School of Medicine",jbpierce.org,9107,Gastrointestinal Physiology - Metabolism …,https://scholar.google.com/citations?hl=en&user=WWahOhYAAAAJ
Michael J Morley,"Professor of Management, Kemmy Business School, University of Limerick",ul.ie,9031,International | Comparative | Cross-Cultural Human Resource …,https://scholar.google.com/citations?hl=en&user=RGquCPAAAAAJ
Tara Wernsing,IE Business School,Not Mentioned,8694,Leadership,https://scholar.google.com/citations?hl=en&user=emN6vNwAAAAJ
Biswajit Basu,"Professor, School of Engineering, Trinity College Dublin, Ireland",tcd.ie,8297,Nonlinear hydrodynamics | Offshore wind energy | Wave energy | Structural Health Monitoring & Vibration … | Wind & Earthquakes,https://scholar.google.com/citations?hl=en&user=Gjeu9sgAAAAJ
