Bengt Gunnar Jonsson,"Professor, Mid Sweden University",miun.se,11696,Naturvårdsbiologi,https://scholar.google.com/citations?hl=en&user=HwvODhAAAAAJ
Prof. Koustuv Dalal,Mid Sweden University,miun.se,10602,Health Economics and Health systems | Public Health | Prevention and Promotion,https://scholar.google.com/citations?hl=en&user=7hPikE4AAAAJ
Francisco Esteves,Universidade Católica Portuguesa; Mid Sweden University,ucp.pt,10264,Psicologia,https://scholar.google.com/citations?hl=en&user=JY2JLdYAAAAJ
M. Cleveland-Innes,"… , Education Innovation, Athabasca University/Visiting Professor of Pedagogy, Mid-Sweden",athabascau.ca,9920,higher education | blended and online education | emotional presence | community of inquiry | leadership,https://scholar.google.com/citations?hl=en&user=7AC5qHoAAAAJ
Ismail Ibrahem,"Associate professor of Organic chemistry, Mid Sweden University",miun.se,7231,Not Mentioned,https://scholar.google.com/citations?hl=en&user=2CG4JCEAAAAJ
Mikael Gidlund,"Professor in Computer Engineering, Mid Sweden University",miun.se,6644,Wireless communication | Sensor Networks | Communication Networks | Industrial IoT | Security,https://scholar.google.com/citations?hl=en&user=tbsb5ekAAAAJ
Fredrik Åhs,Mid Sweden University,miun.se,5402,Not Mentioned,https://scholar.google.com/citations?hl=en&user=9W54kwkAAAAJ
Dimitri Ioannides,Mid Sweden University,miun.se,5201,Tourism | sustainable development | economic geography,https://scholar.google.com/citations?hl=en&user=wMiuLs8AAAAJ
Håkan Olin,"Professor, Materials Physics, Mid Sweden University",miun.se,4839,Physics,https://scholar.google.com/citations?hl=en&user=G02Q7mYAAAAJ
Peter Fredman,Professor in Tourism Studies at Mid-Sweden University,miun.se,4590,Nature-based tourism | Outdoor recreation | Sustainability,https://scholar.google.com/citations?hl=en&user=KYmFBvAAAAAJ
Duane Truex,"Assoc. Prof. CIS, GSU, USA & Prof. industrial Econ. Mid Sweden Univ., Sweden",duanetruex3.com,4315,ISD | IS International Infrastructures | Scholarly Influence | Enterprise Systems,https://scholar.google.com/citations?hl=en&user=TtL_oKwAAAAJ
Magnus Norgren,"Professor Chemical Engineering, Mid Sweden University",miun.se,4182,Surface chemistry | Materials chemistry | Cellulose | Lignin | Nanoparticles,https://scholar.google.com/citations?hl=en&user=wu1ftscAAAAJ
Kjell Brunnström,RISE Resarch Institutes of Sweden AB and Mid Sweden University,ri.se,4044,Visual Media Quality,https://scholar.google.com/citations?hl=en&user=J5X-myYAAAAJ
Lars Nord,"Professor Political Communication, Mid Sweden University",miun.se,3869,political communication | journalism | media policy,https://scholar.google.com/citations?hl=en&user=hsBjwhIAAAAJ
Hans Erik Högberg,emeritus professor organic chemistry Mid Sweden University,ownit.nu,3227,Organisk kemi | Ekologisk kemi | Organisk Syntes,https://scholar.google.com/citations?hl=en&user=u3qTGscAAAAJ
Kaarlo Niskanen,Mid Sweden University,miun.se,3129,paper physics | mechanics of paper | disordered materials,https://scholar.google.com/citations?hl=en&user=NkliRrAAAAAJ
Erik Hedenström,Mid Sweden University,miun.se,3071,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Ua1-snQAAAAJ
Hans-Erik Nilsson,Mid-Sweden University,miun.se,3038,electronics,https://scholar.google.com/citations?hl=en&user=Nlk1tCYAAAAJ
Peter Öhman,"Professor of Business Administration, Mid Sweden University",miun.se,2798,Accounting and auditing,https://scholar.google.com/citations?hl=en&user=RsrPc4AAAAAJ
Tetsu Uesaka,"Professor Emeritus, Dept. Chemical Engineering, Mid Sweden University",miun.se,2697,Complex networks/systems | fibre/paper physics,https://scholar.google.com/citations?hl=en&user=Dxjl9tUAAAAJ
Håkan Edlund,Mid Sweden University,miun.se,2612,Not Mentioned,https://scholar.google.com/citations?hl=en&user=qiBgDQEAAAAJ
Renyun Zhang,"Associate Professor, Mid Sweden University",miun.se,2598,Nanoscience and Nanotechnology,https://scholar.google.com/citations?hl=en&user=rl-NR7EAAAAJ
Wennan Zhang,Mid Sweden University,miun.se,2530,Energy,https://scholar.google.com/citations?hl=en&user=Lfm-eEsAAAAJ
Anna Olofsson,Professor of Sociology Mid Sweden University,miun.se,2323,sociology of risk and uncertaity | inequality and difference,https://scholar.google.com/citations?hl=en&user=NAyUJlIAAAAJ
Jaana Seikkula-Leino,"Professor of Pedagogy, Mid Sweden University / Impact Leader, Tampere University of …",utu.fi,2026,entrepreneurship education | entrepreneurial organization | teacher education | strategy and curriculum,https://scholar.google.com/citations?hl=en&user=xbO2v-wAAAAJ
Maria Lexhagen,"Professor in tourism studies, Mid Sweden University/ETOUR",miun.se,1962,tourism | consumer behaviour | destination marketing | digitalization | popular culture tourism,https://scholar.google.com/citations?hl=en&user=eTRFXAEAAAAJ
Stefan B. Lindström,"Professor, FSCN, Mid Sweden University",miun.se,1959,Paper Physics | Biomaterials | Soft Matter | Metal Fatigue,https://scholar.google.com/citations?hl=en&user=vQx2r-oAAAAJ
