Javier (Xavier) Oliver,"Professor, Technical University of Catalonia (UPC) / International Center for Numerical …",cimne.upc.edu,16188,Computational Mechanics | Fracture Mechanics | Multi-scale analysis | Reduced order modeling | Computational material design,https://scholar.google.com/citations?hl=en&user=OsWb6wMAAAAJ
Javier Gil Mur,"Full professor, Universitat Internacional de Catalunya",uic.es,11089,biomedical materials | titanium | dental implants | biomedical implants | biometals,https://scholar.google.com/citations?hl=en&user=33wb4f4AAAAJ
Alberto Monje,Universitat International de Catalunya,umich.edu,8170,Periodontology,https://scholar.google.com/citations?hl=en&user=7ISiVn0AAAAJ
Conrado Aparicio,Internacional University of Catalonia - UIC,uic.es,7296,Biomaterials | Peptides | Surfaces | Sef-assembly | Biomineralization,https://scholar.google.com/citations?hl=en&user=gB3EvNQAAAAJ
Frederic Marimon,Universitat Internacional de Catalunya,uic.es,6539,Not Mentioned,https://scholar.google.com/citations?hl=en&user=iooH34QAAAAJ
MT Fernández-Figueras,Assistant Professor Universitat Internacional de Catalunya,quironsalud.es,6086,Dermatopathology | Anatomic Pathology,https://scholar.google.com/citations?hl=en&user=H70PqikAAAAJ
Xavier Corbella,"Vice Dean, School of Medicine, Univ. Internacional Catalunya",uic.es,6060,Not Mentioned,https://scholar.google.com/citations?hl=en&user=pxZsX2gAAAAJ
Ramon Grimalt,"Professor de Dermatologia, Universitat Internacional de Catalunya",uic.es,5753,Dermatology | Pediatric Dermatology | Hair | Alopecia | Trichology,https://scholar.google.com/citations?hl=en&user=OlSB06MAAAAJ
Jose Maria Serra-Renom,"… de Cirugía Plástica, Estética y Reparadora.Universitat Internacional de Catalunya.",csc.uic.es,4470,microcirugía | endoscopia | lipofilling | platelet rich in grow factor,https://scholar.google.com/citations?hl=en&user=atf93-oAAAAJ
Roman A Perez,Universitat Internacional de Catalunya,uic.es,4289,Biomaterials | tissue engineering | regenerative medicine,https://scholar.google.com/citations?hl=en&user=jDv04VYAAAAJ
Carlos G Forero,"School of Medicine and Health Sciences, Universitat Internacional de Catalunya (UIC)",uic.es,4130,Health status and wellbeing | Outcome Measurement | Patient Reported Outcomes | Quality of Life | Psychometrics,https://scholar.google.com/citations?hl=en&user=JHrS-boAAAAJ
Jenny Abanto,Universitat Internacional de Catalunya (UIC) /  Faculdade de Odontologia da APCD (FAOA),Not Mentioned,3475,Epidemiologia | Cárie Dentária | Odontopediatria na Primeira Infância | Qualidade de Vida Relacionada à Saúde …,https://scholar.google.com/citations?hl=en&user=FJrqphQAAAAJ
Jordi Gargallo-Albiol,Associate Professor Universitat Internacional de Catalunya,uic.es,2645,navigation surgery | maxillary sinus augmentation | bone regeneration | oral surgery,https://scholar.google.com/citations?hl=en&user=7LkB1t4AAAAJ
Javier Jiménez Jiménez,Universitat Internacional de Catalunya,uic.es,2598,cell cycle | yeast | polyphosphate | NUDIX,https://scholar.google.com/citations?hl=en&user=8ez6XT4AAAAJ
Emili Gené Tous,… 'Urgències Parc Tauli Sabadell Hospital Universitari. Universitat Internacional de Catalunya,uic.es,2564,Emergency medicine | Gastroenterology (gastrointestinal bleeding | Helicobacter pylori) | Primary care,https://scholar.google.com/citations?hl=en&user=NvV0BasAAAAJ
Josep Clotet Erra,Universitat Internacional de Catalunya,uic.es,2557,Cyclins | Cell cycle | polyPhosphate | Biochemistry,https://scholar.google.com/citations?hl=en&user=4ldkVUoAAAAJ
Marta Mas Machuca,Profesora Agregada Universitat Internacional de Catalunya,uic.es,2539,Not Mentioned,https://scholar.google.com/citations?hl=en&user=kSPrBfcAAAAJ
Rosalia Rodriguez-Rodriguez,… Internacional de Catalunya; Universidad de Sevilla; University of Oxford; Universitat de,uic.es,2294,Metabolism | obesity | hypothalamus | nutrition | nanomedicine,https://scholar.google.com/citations?hl=en&user=D7Fx4fIAAAAJ
Josep M Badia,… of Surgery. Universitat Internacional de Catalunya. Hospital General Universitari de,fphag.org,2183,Surgical infection. HPB Surgery. Andominal …,https://scholar.google.com/citations?hl=en&user=Y1beHjIAAAAJ
Toni Mora,Universitat Internacional de Catalunya,uic.es,1950,health economics | economics of education,https://scholar.google.com/citations?hl=en&user=QZgUBNEAAAAJ
Lorenzo Chelleri,Urban Resilience Research Net (URNet) - Universitat Internacional de Catalunya (UIC),uic.es,1940,urban resilience | urban sustainability | climate change adaptation | transition management,https://scholar.google.com/citations?hl=en&user=nm11EpQAAAAJ
Esperanza L. Gómez Durán,School of Medicine. Universitat Internacional de Catalunya,uic.es,1753,Forensic Psychiatry & Legal Medicine,https://scholar.google.com/citations?hl=en&user=DvlRZPIAAAAJ
Miguel Cerrolaza,"International University of Catalonia, Barcelona",uic.es,1729,Computational Biomechanics | Numerical Methods,https://scholar.google.com/citations?hl=en&user=y1uKPD4AAAAJ
Cristina Monforte Royo,Universitat Internacional de Catalunya,uic.es,1702,Palliative Care | End-of-life care | Relieving suffering | Nursing,https://scholar.google.com/citations?hl=en&user=WzeD66sAAAAJ
Alfonso Méndiz Noguero,… de Comunicación Audiovisual y Publicidad (Universitat Internacional de Catalunya),uic.es,1693,Publicidad | Entertainment Marketing | Valores | Comunicación Audiovisual | Videojuegos,https://scholar.google.com/citations?hl=en&user=4EWfIHoAAAAJ
Irene Arias,"… , Universitat Politécnica de Catalunya, Centre Internacional de Mètodes Numèrics en …",upc.edu,1684,Not Mentioned,https://scholar.google.com/citations?hl=en&user=lvVqzbkAAAAJ
Emilio Rojo,Profesor Universitat Internacional de Catalunya,uic.es,1515,Salut mental | esquizofrenia | intel·ligència artificial | gestió sanitària | neurofisiologia,https://scholar.google.com/citations?hl=en&user=dp5pzckAAAAJ
Luis M. Delgado,Universitat Internacional de Catalunya,uic.es,1498,Biomaterials | Tissue Engineering | 3D Printing | Immunomodulation | In vitro Biofilm Models,https://scholar.google.com/citations?hl=en&user=GdsKNvYAAAAJ
C Bagur Calafat,Universitat Internacional de Catalunya,uic.es,1469,Fisioteràpia | Prescripció d'exercici físic per a la salut | control del moviment,https://scholar.google.com/citations?hl=en&user=IgCGWJYAAAAJ
Juan Carlos Martin,Universitat Internacional de Catalunya,uic.es,1389,Not Mentioned,https://scholar.google.com/citations?hl=en&user=7NApA48AAAAJ
Iris Crespo Martin,Universitat Internacional de Catalunya,uic.es,1307,Psicología | Calidad de vida | Final de vida | Envejecimiento | Enfermedades crónicas,https://scholar.google.com/citations?hl=en&user=qj-4nHwAAAAJ
Mariano Fernandez-Fairen,Universidad Internacional de Cataluña,uic.es,1275,Bioingeniería | neurociencias,https://scholar.google.com/citations?hl=en&user=HotnZSoAAAAJ
Paloma Puyalto,… especialista en Neurorradiología. Ayudante Doctor Universitat Internacional de Catalunya,uic.es,1175,… del oído. Docencia Universitaria pre y …,https://scholar.google.com/citations?hl=en&user=uNp2xREAAAAJ
Francisco Zarate,… Internacional de Mètodes Numèrics en Enginyeria (CIMNE); Universitat Politècnica de …,cimne.upc.edu,1106,Plates | Fracture Mechanics | Stochastic Analysis,https://scholar.google.com/citations?hl=en&user=TAN4Qh0AAAAJ
Marta Pera,Universitat Internacional de Catalunya,Not Mentioned,1047,Neuroscience | metabolism | mitochondria,https://scholar.google.com/citations?hl=en&user=_Tv-zegAAAAJ
Maria Godoy-Gallardo,International University of Catalonia (UIC),uic.es,1041,Not Mentioned,https://scholar.google.com/citations?hl=en&user=xh19rrMAAAAJ
Xavier Martinez,International Center for Numerical Methods in Engineering. Universitat Politecnica de …,upc.edu,1038,Composites | fabric structures | FEM | computational mechanics,https://scholar.google.com/citations?hl=en&user=xZ0B5poAAAAJ
"Felipe Ojeda Pérez, MD, LLB",Hospital General de Granollers. Universitat Internacional de Catalunya,uic.es,999,Gynecology and Obstetrics,https://scholar.google.com/citations?hl=en&user=H5DFdN8AAAAJ
Emilio Castro,Assistant Professor at Universitat Internacional de Catalunya,uic.es,986,micelles | hydrogels | nanoparticles | 3d printing | tissue engineering,https://scholar.google.com/citations?hl=en&user=2O3SPF8AAAAJ
Jose Angel Delgado,Universitat Internacional de Catalunya,uic.es,919,biomaterials | materials science,https://scholar.google.com/citations?hl=en&user=bkRCT5AAAAAJ
Isabella Meneghel,Universitat Internacional de Catalunya,uic.es,856,Positive Occupational Psychology | Resilience | Organizational Resilience,https://scholar.google.com/citations?hl=en&user=BtHdGNsAAAAJ
Yannis Pierrakis,Universitat Internacional de Catalunya,uic.es,822,venture capita | innovation | SMEs,https://scholar.google.com/citations?hl=en&user=5DmG_8gAAAAJ
Carlos Rey,Universitat Internacional de Catalunya,uic.es,812,Strategy,https://scholar.google.com/citations?hl=en&user=CQg1Bb8AAAAJ
Maria Teresa Fuertes Camacho,Universitat Internacional de Catalunya,uic.es,797,Service-Learning | profesionalización | prácticas curriculares,https://scholar.google.com/citations?hl=en&user=WvEcmksAAAAJ
Mariona Graell Martin,Universitat Internacional de Catalunya,uic.es,755,aprenentatge servei | participació | sostenibilitat | literatura infantil i innovació docent,https://scholar.google.com/citations?hl=en&user=CKLRBl8AAAAJ
"Carlos Hoyuela MD, PhD",Assoc. Professor of Surgery Universitat Internacional Catalunya,uic.es,718,Laparoscopy | Obesity | General and Digestive Surgery,https://scholar.google.com/citations?hl=en&user=FTuM-h4AAAAJ
Sílvia Albareda Tiana,Universitat Internacional de Catalunya,uic.es,684,education for sustainability | education for sustainable development | engaging youth for climate action | sustainable consumption,https://scholar.google.com/citations?hl=en&user=MQXEkwMAAAAJ
Carlos López de Celis,"Profesor Fisioterapia, Universidad Internacional de Cataluña",uic.es,614,Fisioterapia,https://scholar.google.com/citations?hl=en&user=vKLQ6PsAAAAJ
Cabanas-Valdés R,Senior Lecturer Universitat Internacional de Catalunya,uic.es,542,Neurologic Rehabilitation | stroke,https://scholar.google.com/citations?hl=en&user=3rwTK8UAAAAJ
Basel Elnayef,"Associate professor, International University of Catalonia",uic.es,517,Implant Dentistry | Bone Regeneration,https://scholar.google.com/citations?hl=en&user=OdSnRTgAAAAJ
Natalia Evnitskaya,Universitat Internacional de Catalunya (Spain),uic.es,514,EFL & CLIL | EFL & CLIL teacher education | classroom interaction | systemic-functional linguistics | multimodal conversation analys,https://scholar.google.com/citations?hl=en&user=mG54cokAAAAJ
Andrea Rodriguez Prat,Universitat Internacional de Catalunya,uic.es,497,Not Mentioned,https://scholar.google.com/citations?hl=en&user=2Aja5oYAAAAJ
Jennifer Olmos Buitrago,University International of Catalonia,uic.es,432,bioengineering,https://scholar.google.com/citations?hl=en&user=J3Av-VcAAAAJ
Zahaira Fabiola González Romo,Universitat Internacional de Catalunya  Profesor Contratado Doctor (ANECA),uic.es,426,Advertising | Influencers | Social Media | Digital Estrategies,https://scholar.google.com/citations?hl=en&user=hkhWq5UAAAAJ
Miguel Alsina Casanova,Professor associat Pediatria Universitat Internacional de Catalunya,uic.es,422,Not Mentioned,https://scholar.google.com/citations?hl=en&user=pVvInrgAAAAJ
Pere Vall Casas,Universitat Internacional de Catalunya,uic.es,416,Sprawl repair | Rivers rehabilitation | Cultural landscapes | Community-based urbanism | Urbanism and public health,https://scholar.google.com/citations?hl=en&user=lhph48oAAAAJ
Pau Mezquita,Universitat Internacional de Catalunya,uic.es,414,Not Mentioned,https://scholar.google.com/citations?hl=en&user=UTFPVyAAAAAJ
Pedro Mateos-Aparicio,Universidad Internacional de Catalunya UIC,uic.es,373,cellular neuroscience | systems neuroscience | neurophysiology | plasticity,https://scholar.google.com/citations?hl=en&user=eazQWoIAAAAJ
M Barra-Lopez,Universitat Internacional de Catalunya,uic.es,372,Physiotherapy. Manual Therapy,https://scholar.google.com/citations?hl=en&user=z9oXN3gAAAAJ
Miquel Bastons Prat,Universitat Internacional de Catalunya,uic.es,369,Ethics | Decision-Making,https://scholar.google.com/citations?hl=en&user=d1FzIxcAAAAJ
Marc Grau-Grau,Universitat Internacional de Catalunya,uic.cat,349,work-family | fatherhood | flexibility | working fathers | Care,https://scholar.google.com/citations?hl=en&user=NPMNOwkAAAAJ
Samuel Bru,Universitat Internacional de Catalunya,uic.es,338,Biochemistry of Polyphosphate,https://scholar.google.com/citations?hl=en&user=feodkhAAAAAJ
Ignasi Belda,Universitat Internacional de Catalunya,uic.es,330,biomedicina | derecho económico | química computacional,https://scholar.google.com/citations?hl=en&user=osxEG4gAAAAJ
Mariana Fuentes,Universitat Internacional de Catalunya,uic.es,296,… las matemáticas-lingüística de las lenguas de …,https://scholar.google.com/citations?hl=en&user=hIKUPtIAAAAJ
Mireia Tintore,"… de Organización y Dirección de Centros educativos, Universitat Internacional de Catalunya",uic.es,295,Liderazgo | liderazgo educativo | organizaciones que aprenden | nuevas metodologías en la universidad,https://scholar.google.com/citations?hl=en&user=DRVMZg0AAAAJ
Óscar Gonzalez-Fernandez,"Lestonnac Barcelona, Universitat Politècnica de Catalunya, Universidad Internacional de la …",upc.edu,290,Geochemistry | Analytical Chemistry | Soil Science | X-ray Fluorescence | X-ray Analysis,https://scholar.google.com/citations?hl=en&user=65VZxeoAAAAJ
Mireia Tintoré,Universitat Internacional de Catalunya,uic.es,286,Liderazgo | liderazgo educativo | aprendizaje organizativo,https://scholar.google.com/citations?hl=en&user=J6Bq1QUAAAAJ
Belén Mezquita Mas,Universitat de Barcelona; Universitat Internacional de Catalunya,Not Mentioned,283,Not Mentioned,https://scholar.google.com/citations?hl=en&user=HbzlB8QAAAAJ
David Roche Valles,Universitat Internacional de Catalunya,uic.es,280,Not Mentioned,https://scholar.google.com/citations?hl=en&user=BkoKBy8AAAAJ
Rejina Mary Selvam,Universitat Internacional de Catalunya,uic.es,277,Not Mentioned,https://scholar.google.com/citations?hl=en&user=7ylMzLEAAAAJ
Xènia Ferrer-Cortès,Universitat Internacional de Catalunya,Not Mentioned,274,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Iu5krr8AAAAJ
Ignasi De Bofarull,Profesor de Sociología de la Familia de  la Universitat Internacional de Catalunya,uic.es,262,… en los media de niños y adolescentes | parentalidad | educación en el tiempo libre.,https://scholar.google.com/citations?hl=en&user=56RKkUMAAAAJ
Denise Pergolizzi PhD,Universitat Internacional de Catalunya,uic.es,262,Palliative Care | Psycho-oncology | Cognition | Neuroscience,https://scholar.google.com/citations?hl=en&user=vgh43mEAAAAJ
Helena Roquet Pugès,Universitat Internacional de Catalunya,uic.es,256,second and third language acquisition | CLIL | ICLHE,https://scholar.google.com/citations?hl=en&user=uow3aAUAAAAJ
Jordi Cano,"Professor, Universitat Internacional de Catalunya",uic.es,248,ciències de la salud,https://scholar.google.com/citations?hl=en&user=_4AZ9W4AAAAJ
apen ruiz,"Lecturer Anthropology, Universitat Internacional de Catalunya",uic.es,236,Gender studies | qualitative methodologies,https://scholar.google.com/citations?hl=en&user=cVbr9JEAAAAJ
Dolors Gil-Doménech,Universitat Internacional de Catalunya,uic.es,234,Not Mentioned,https://scholar.google.com/citations?hl=en&user=pSoblqkAAAAJ
Angelica Carlet,"Lecturer, Universitat Internacional de Catalunya (UIC)",uic.es,213,Phonetics and phonology | phonetic training | speech perception and production,https://scholar.google.com/citations?hl=en&user=ilPFg3IAAAAJ
Andre Walter,Prof . Orthodontics  Universidad Internacional de Catalunya,clinicawalter.com,213,Dento-facial Orthopedics and Orthodontic,https://scholar.google.com/citations?hl=en&user=p6EHoW0AAAAJ
Teresa Vallès-Botey,Universitat Internacional de Catalunya,uic.es,212,teoria de la literatura | lingüística cognitiva,https://scholar.google.com/citations?hl=en&user=_D21oKIAAAAJ
Alejandro Portela,UIC: International University of Catalonia,uic.es,211,Medical Devices Instrumentation | Biosensors | Micro-Nanofabrication | Biophotonics | Plasmonics,https://scholar.google.com/citations?hl=en&user=aGLZTWQAAAAJ
Jose Luis Dominguez,Universitat Internacional de Catalunya,uic.es,211,Bioinformatics,https://scholar.google.com/citations?hl=en&user=BoPGq_oAAAAJ
Aina M. Gassó,Universitat Internacional de Catalunya,uic.es,203,Not Mentioned,https://scholar.google.com/citations?hl=en&user=4TJO85MAAAAJ
Carmen Mendoza Arroyo,Universitat Internacional de Catalunya,uic.es,179,Architecture | Urban Design | Upgrading | Reconstruction | urban integration of migrants,https://scholar.google.com/citations?hl=en&user=fOMq550AAAAJ
Marta Benages Albert,"Profesora de Urbanismo, Universitat Internacional de Catalunya",uic.es,176,Urbanismo | Participación ciudadana | investigación cualitativa,https://scholar.google.com/citations?hl=en&user=DHPoEIEAAAAJ
Manuel Flores,"Assistant Professor of Economics, Universitat Internacional de Catalunya",uic.es,167,Health economics | Labor economics | Child development | Economics of Aging | Applied microeconometrics,https://scholar.google.com/citations?hl=en&user=Xt47R_IAAAAJ
Esteve Valls,Universitat Internacional de Catalunya,uic.cat,161,Dialectometria | morfologia | fonologia | canvi lingüístic | sociolingüística de la variació,https://scholar.google.com/citations?hl=en&user=lsoTZUkAAAAJ
Ignacio Macpherson,"Profesor de Bioética, Universitat Internacional de Catalunya",uic.es,151,Bioética | Antropología | Ética médica,https://scholar.google.com/citations?hl=en&user=MHAykOQAAAAJ
Alvaro Díaz Conradi,"… del Hospital HM Nens, Profesor de Pediatria, Universidad Internacional de Catalunya",hmhospitales.com,146,Pediatria | hematologia pediatrica | infectologia,https://scholar.google.com/citations?hl=en&user=Ze7fi4AAAAAJ
