Frank S. Gilliam,"Professor of Biology, University of West Florida",uwf.edu,16551,Plant Ecology,https://scholar.google.com/citations?hl=en&user=IjKbVU8AAAAJ
Youngil Lee,"Associate professor of Movement Sciences and Health, University of West Florida",uwf.edu,16115,Exercise-induced cardio and neuroprotection,https://scholar.google.com/citations?hl=en&user=C61TA6YAAAAJ
"Stephen Vodanovich, Professor Emeritus","University of West Florida, Psychology Department",uwf.edu,8095,Boredom | Workaholism | Employment Discrimination Law | Ageism,https://scholar.google.com/citations?hl=en&user=NQqrnHQAAAAJ
Stephen J. Vodanovich,University of West Florida,uwf.edu,8001,Boredom | Workaholism | Ageism | EEO Law,https://scholar.google.com/citations?hl=en&user=8M-GTdIAAAAJ
Jane Caffrey,University of West Florida,uwf.edu,4275,sediment biogeochemistry | estuarine ecology,https://scholar.google.com/citations?hl=en&user=bdRSIb8AAAAJ
Steven Kass,University of West Florida,uwf.edu,4124,boredom | driving | situation awareness | training,https://scholar.google.com/citations?hl=en&user=A2EOmtoAAAAJ
Michael C Murrell,University of West Florida,uwf.edu,4058,plankton ecology | estuarine processes | eutrophication | hypoxia,https://scholar.google.com/citations?hl=en&user=3KRRyJEAAAAJ
Wayne Bennett,Professor of Physiology,uwf.edu,3460,Physiological Ecology,https://scholar.google.com/citations?hl=en&user=RsyJKNQAAAAJ
Karen Rasmussen,University of West Florida,uwf.edu,3031,web-based instruction | distance learning,https://scholar.google.com/citations?hl=en&user=XVwjCGcAAAAJ
Raid Amin,Distinguished University Professor at University of West Florida,uwf.edu,2779,Disease Surveillance | Control Charts | Assessment of Statistics and Mathematics … | Shark Human Interaction,https://scholar.google.com/citations?hl=en&user=QZnHYuoAAAAJ
Rodney Guttmann,"Professor, University of West Florida",uwf.edu,2737,Alzheimer's disease | oxidative stress | phage-display | pharmacology,https://scholar.google.com/citations?hl=en&user=3hWVD18AAAAJ
K. Brent Venable,"Professor of Computer Science, IHMC and UWF",ihmc.org,2656,Artificial Intelligence | Preferences | Planning and Scheduling | Computational Social Choice,https://scholar.google.com/citations?hl=en&user=iqkTonoAAAAJ
Silvana Vieira de Paula-Moraes,"University of Florida, West Florida Research and Education Center,",Not Mentioned,2537,Entomology | IPM | IRM | insect ecology,https://scholar.google.com/citations?hl=en&user=-6QgQXgAAAAJ
John W. Coffey,University of West Florida,uwf.edu,2533,knowledge management | knowledge modeling | Service oriented architecture | educational technology | computer science education,https://scholar.google.com/citations?hl=en&user=e6Z4GkUAAAAJ
Debra M. Vinci,University of West Florida,uwf.edu,2499,Physical activity in preschool setting | physical inactivity | physical literacy | nutrition and performance | program evaluation,https://scholar.google.com/citations?hl=en&user=xiZ-EmYAAAAJ
Jane S. Halonen,"Professor of Psychology, University of West Florida",uwf.edu,2394,psychology curriculum | faculty development | critical thinking,https://scholar.google.com/citations?hl=en&user=Se7_vH4AAAAJ
Ute Albrecht,"University of Florida/IFAS, South West Florida Research and Education Center",ufl.edu,2084,Plant Physiology,https://scholar.google.com/citations?hl=en&user=2im6Ss8AAAAJ
Thomas Reichherzer,The University of West Florida,uwf.edu,1983,Artificial Intelligence | Computer & Sensor Networks,https://scholar.google.com/citations?hl=en&user=7uId150AAAAJ
David Bellar,"Dean, Usha Kundu MD College of Health University of West Florida",uwf.edu,1827,Not Mentioned,https://scholar.google.com/citations?hl=en&user=YoSH1Q0AAAAJ
Alan K. Schrock,University of West Florida and Dow Chemical,uwf.edu,1704,Chemistry | Polymers,https://scholar.google.com/citations?hl=en&user=v0Z3nwQAAAAJ
James E. Arruda,"Professor of Psychology, University of West Florida",uwf.edu,1661,EEG | Statistics | Alzheimer's | MCI | FVEP,https://scholar.google.com/citations?hl=en&user=iL1hUCcAAAAJ
Patrick S. Barber,"Assistant Professor, The University of West Florida",uwf.edu,1660,Inorganic Chemistry | Chemical Education | Lanthanide Ions | Ionic Liquids | Luminescence,https://scholar.google.com/citations?hl=en&user=a4efQN1H_JQC
Stephen LeMay,"Professor of Marketing and Logistics, The University of West Florida",uwf.edu,1657,supply chain management | logistics | truck driver turnover,https://scholar.google.com/citations?hl=en&user=BP5D6jYAAAAJ
Otto G Richter,"Adjunct Professor of Astronomy and Astrophysics, University of West Florida",uwf.edu,1577,Galaxies | clusters of galaxies | statistics in astronomy | star formation,https://scholar.google.com/citations?hl=en&user=F_P-lkQAAAAJ
Ashok Srinivasan,University of West Florida,uwf.edu,1541,High performance computing,https://scholar.google.com/citations?hl=en&user=rI6zwpsAAAAJ
Claudia J. Stanny,University of West Florida (Director Emeritus),uwf.edu,1459,psychology | cognition | higher education | faculty development | assessment,https://scholar.google.com/citations?hl=en&user=RWpqWRYAAAAJ
Kevin Callahan,University of West Florida,students.uwf.edu,1403,Autism | Archaeology,https://scholar.google.com/citations?hl=en&user=6foayXoAAAAJ
Valerie J. Morganson,University of West Florida,uwf.edu,1402,Work-Family Balance | Customer Sexual Harassment | Women in STEM Fields,https://scholar.google.com/citations?hl=en&user=PBzuF0YAAAAJ
Sikha Bagui,University of West Florida,uwf.edu,1379,Data Mining | Machine Learning | Database,https://scholar.google.com/citations?hl=en&user=Q-ui-cgAAAAJ
Xiaohan Ye,"West Virginia University, University of South Florida",usf.edu,1359,Not Mentioned,https://scholar.google.com/citations?hl=en&user=SWooUT4AAAAJ
Samantha R. Seals,University of West Florida,uwf.edu,1325,Biostatistics | Statistics | Cardiovascular Disease,https://scholar.google.com/citations?hl=en&user=ioV2reEAAAAJ
Matthew Crow,University of West Florida,uwf.edu,1315,Not Mentioned,https://scholar.google.com/citations?hl=en&user=5J4Cqr4AAAAJ
Ezzat Bakhoum,University of West Florida,uwf.edu,1290,Sensors | Communication Systems | Aerospace Applications,https://scholar.google.com/citations?hl=en&user=Rvp4yUwAAAAJ
John E Worth,"Professor, Historical Archaeology, University of West Florida",uwf.edu,1232,Historical archaeology | prehistoric archaeology | ethnohistory | colonialism | ceramic analysis,https://scholar.google.com/citations?hl=en&user=K7PrK1MAAAAJ
Zhiyong Hu,University of West Florida,uwf.edu,1198,spatial analysis | GIS | remote sensing | environmental health/ecology.conservation …,https://scholar.google.com/citations?hl=en&user=D1_ZKL8AAAAJ
Alfred G. Cuzán,The University of West Florida,uwf.edu,1179,principles of politics | American presidential elections | PollyVote | comparative politics | dictatorships,https://scholar.google.com/citations?hl=en&user=ybOUwkUAAAAJ
Robert E. Dugan,University of West Florida; Suffolk University; Georgetown University; Wesley College,uwf.edu,1176,libraries,https://scholar.google.com/citations?hl=en&user=TtB8EusAAAAJ
Hilde Snoeckx,University of West Florida,uwf.edu,1096,Not Mentioned,https://scholar.google.com/citations?hl=en&user=_XIuGG0AAAAJ
Tarek Youssef,University of West Florida,uwf.edu,1091,Not Mentioned,https://scholar.google.com/citations?hl=en&user=mSluGzQAAAAJ
Julie A. Gray,The University of West Florida,uwf.edu,1079,Organizational Theory | School Climate | Professional Learning Communities | and Academic Optimism,https://scholar.google.com/citations?hl=en&user=hxgkkLwAAAAJ
Frances L. Bekele,"… Fellow, The Cocoa Research Centre, The University of the West Indies, St Augustine",sta.uwi.edu,1035,Cacao genetic resources | numerical taxonomy | phenotypic diversity | enhancement | trait associations,https://scholar.google.com/citations?hl=en&user=q-B6-7AAAAAJ
"David B. Strohmetz, Ph.D.","Chair/Professor of Psychology, University of West Florida",uwf.edu,1029,SOTL | Social Psychology,https://scholar.google.com/citations?hl=en&user=0P6ykNUAAAAJ
Tanay Kesharwani,University of West Florida,uwf.edu,1015,Not Mentioned,https://scholar.google.com/citations?hl=en&user=HxaFPr4AAAAJ
james b mann,"M4 Sciences, University of West Florida",uwf.edu,988,Tribology | machining | materials | processing,https://scholar.google.com/citations?hl=en&user=370yU_MAAAAJ
Pamela Pippin (Vaughan) Benz,University of West Florida,uwf.edu,895,analytical chemistry | environmental chemistry | photochemistry,https://scholar.google.com/citations?hl=en&user=Cnc5qHYAAAAJ
