Farid CHEMAT,"Professeur des Universités, Université d'Avignon",univ-avignon.fr,29236,Green Extraction | alternative solvents | innovative techniques | original procedures,https://scholar.google.com/citations?hl=en&user=JVziSRsAAAAJ
Jean-Francois Bonastre,"professeur en Infomatique, Université d'Avignon, LIA, FRANCE",univ-avignon.fr,7797,Machine Learning | Speech processing | Speaker Recognition | XAI | Biometrics,https://scholar.google.com/citations?hl=en&user=P1-Ar8MAAAAJ
Juan-Manuel Torres-Moreno,Université d'Avignon / Polytechnique Montréal - UQAM,polymtl.ca,3744,Artificial Consciousness | Traitement Automatique des Langues | Language Engineering | Text Summarization | Text Classification,https://scholar.google.com/citations?hl=en&user=NtQBItYAAAAJ
Philippe Michelon,Université d'Avignon et des Pays de Vaucluse,univ-avignon.fr,2775,Optimisation Discrète | Programmation en Nombres Entiers | Recherche Opérationnelle | 01 Quadratic Programming,https://scholar.google.com/citations?hl=en&user=9putFo0AAAAJ
Guillaume Walther,"Maitre de Conférences, Université d'Avignon",univ-avignon.fr,2366,Physiology - Exercise Science - Macro …,https://scholar.google.com/citations?hl=en&user=utTstMAAAAAJ
georges linares,"professeur d'informatique, Université d'Avignon et des Pays de Vaucluse",univ-avignon.fr,2293,speech | audio processing | natural language processing,https://scholar.google.com/citations?hl=en&user=mOe-Gh0AAAAJ
yezekael hayel,Université d'Avignon,univ-avignon.fr,2060,Game theory | Complex networks | Optimization,https://scholar.google.com/citations?hl=en&user=VaLB21wAAAAJ
Julien Gaillard,"PhD in Computer Science, Université d'Avignon",alumni.univ-avignon.fr,1824,Machine Learning | Recommender Systems | Game Theory,https://scholar.google.com/citations?hl=en&user=rtqoz9EAAAAJ
Vincent Labatut,Avignon Université - Laboratoire Informatique d'Avignon (LIA),univ-avignon.fr,1698,Complex Networks | Community Detection | Social Networks | Information Retrieval,https://scholar.google.com/citations?hl=en&user=I8GnHekAAAAJ
Raphaël Plasson,"Associate Professor (Maître de Conférence), Université d'Avignon",univ-avignon.fr,1635,Homochirality | Self-organization | Systems Chemistry | Origins of life | Reaction networks,https://scholar.google.com/citations?hl=en&user=PiKpWW8AAAAJ
Vincent Marc,Université d'Avignon,univ-avignon.fr,1585,Not Mentioned,https://scholar.google.com/citations?hl=en&user=W-QHXsMAAAAJ
Camille Clerc,Université d'Avignon,univ-avignon.fr,1164,Earth sciences,https://scholar.google.com/citations?hl=en&user=F2oNMDcAAAAJ
Thierry Barbot,"Professeur de Mathématiques, Université d'Avignon",univ-avignon.fr,1150,Systèmes dynamiques | Géométrie Lorentzienne,https://scholar.google.com/citations?hl=en&user=uvv9Car9cgMC
vincent VALLES,Professeur Université d'Avignon et des Pays de Vaucluse,univ-avignon.fr,1101,hydrochimie,https://scholar.google.com/citations?hl=en&user=XgxL25cAAAAJ
Michel JOBIN,Université d'Avignon,univ-avignon.fr,955,Microbiology | stress response,https://scholar.google.com/citations?hl=en&user=N5eY24YAAAAJ
Mathe,"Maître de conférences HDR, université d'Avignon",univ-avignon.fr,820,Not Mentioned,https://scholar.google.com/citations?hl=en&user=SnE1dhMAAAAJ
Pierre Jourlin,Université d'Avignon,univ-avignon.fr,819,Traitement Automatique du Langage Naturel,https://scholar.google.com/citations?hl=en&user=Lsi80fQAAAAJ
Greg Meyer,"MCF, laboratoire LAPEC, université d'Avignon",univ-avignon.fr,787,Physiologie cardiovasculaire,https://scholar.google.com/citations?hl=en&user=JcUVJmwAAAAJ
Rosa Figueiredo,"Associate Professor, Université d'Avignon",univ-avignon.fr,656,combinatorial optimization | linear and integer programming | graph algorithms,https://scholar.google.com/citations?hl=en&user=6Com8ZAAAAAJ
Matthieu Ménager,"… d'Études Mexicaines et Centraméricaines, Université d'Avignon, Universidad de Costa Rica",cemca.org.mx,534,Archaeometry | Analytical Chemistry | Photochemistry | Chromatography | Vibrational spectroscopy,https://scholar.google.com/citations?hl=en&user=RtT1sU8AAAAJ
Sylvain Battault,"Post doctoral research fellow, Université d'Avignon",univ-avignon.fr,519,Cardiovascular physiology | Exercise Physiology | Sweet sensors | SGLTs | TAS1Rs,https://scholar.google.com/citations?hl=en&user=UZU4YbUAAAAJ
Stéphane Huet,"Maître de conférences (Computer Science), Université d'Avignon, France",univ-avignon.fr,501,Natural Language Processing | Machine Translation | Spoken Language Understanding | Automatic Speech Recognition,https://scholar.google.com/citations?hl=en&user=G7qTZk4AAAAJ
Joffrey Moiroux,IMBE 7263 IMBE - Université d'Avignon et des Pays de Vaucluse,Not Mentioned,480,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Ib0XVK4AAAAJ
Monier Frédéric,université d'Avignon centre N. Elias,univ-avignon.fr,430,Histoire politique,https://scholar.google.com/citations?hl=en&user=-h3iRo0AAAAJ
