Michele M. Tugade,Vassar College,vassar.edu,16998,Psychology | Emotion | Coping | Resilience,https://scholar.google.com/citations?hl=en&user=mVTIeP0AAAAJ
Debra Elmegreen,Vassar College,vassar.edu,14172,Not Mentioned,https://scholar.google.com/citations?hl=en&user=xnHkZ0cAAAAJ
Jannay Morrow,Vassar College,vassar.edu,8720,Not Mentioned,https://scholar.google.com/citations?hl=en&user=6jSqiBwAAAAJ
Nancy Ide,"Professor of Computer Science, Vassar College",vassar.edu,8602,natural language processing,https://scholar.google.com/citations?hl=en&user=WkfhlGkAAAAJ
William Hoynes,Vassar College,vassar.edu,7491,Not Mentioned,https://scholar.google.com/citations?hl=en&user=JuB0oKoAAAAJ
Paul Ruud,"Professor of Economics, Vassar College",vassar.edu,7393,Econometrics | Environmental Economics,https://scholar.google.com/citations?hl=en&user=Ci3b1uUAAAAJ
Paul Johnson,Vassar College,vassar.edu,6348,economics,https://scholar.google.com/citations?hl=en&user=A9vaVpEAAAAJ
Amitava Kumar,Vassar College,vassar.edu,5963,Not Mentioned,https://scholar.google.com/citations?hl=en&user=0tFFRAkAAAAJ
Miriam Rossi,Vassar College,vassar.edu,5247,Crystallography | natural products | antioxidants,https://scholar.google.com/citations?hl=en&user=r1bxXPkAAAAJ
"Abigail A. Baird, Ph.D.",Vassar College,vassar.edu,4932,Adolescent Development | Neurodevelopmental of emotion and …,https://scholar.google.com/citations?hl=en&user=YoKtFDoAAAAJ
Joseph Nevins,"Department of Earth Science and Geography, Vassar College",vassar.edu,4330,violence | territorial boundaries | political ecology | human rights | mobility,https://scholar.google.com/citations?hl=en&user=xJ6UHb8AAAAJ
Lizabeth Paravisini-gebert,"professor, vassar college",vassar.edu,3773,caribbean,https://scholar.google.com/citations?hl=en&user=n3uaG_EAAAAJ
Giovanna Borradori,Vassar College,vassar.edu,3720,Continental Philosophy | political theory | postcolonial studies | visual studies,https://scholar.google.com/citations?hl=en&user=EpQx8hQAAAAJ
Yu Zhou,Vassar College,vassar.edu,3485,Economic geography | China | green building | technology | innovation,https://scholar.google.com/citations?hl=en&user=PrWwZ3YAAAAJ
Allan Clifton,"Associate Professor of Psychology, Vassar College",vassar.edu,3301,Personality | Personality Disorders | Social Networks | Psychopathology,https://scholar.google.com/citations?hl=en&user=rFwaqQcAAAAJ
"John H. Long, Jr.","Professor of Biology, Professor of Cognitive Science, Vassar College, USA",vassar.edu,3143,biomechanics | biorobotics | evolutionary robotics | evolutionary theory | vertebrate physiology,https://scholar.google.com/citations?hl=en&user=TwJOACQAAAAJ
Bryan Van Norden,"Professor of Philosophy, Vassar College",vassar.edu,2790,Chinese Philosophy | Comparative Philosophy | Confucianism | Daoism | Buddhism,https://scholar.google.com/citations?hl=en&user=OddLLjUAAAAJ
Jodi Schwarz,Associate Professor Biology Vassar College,vassar.edu,2266,Symbiosis Genomics,https://scholar.google.com/citations?hl=en&user=OXmuizUAAAAJ
George Ciccariello-Maher,"Department of Political Science, Vassar College",vassar.edu,1757,Political Theory | Decolonial Theory | Latin America | Social Movements | Race,https://scholar.google.com/citations?hl=en&user=umguFy8AAAAJ
