Terry Anderson,"Professor Emeritus of Distance Education, Athabasca University, Canada",athabascau.ca,52842,distance learning | e-learning | open scholarship,https://scholar.google.com/citations?hl=en&user=19zDF-8AAAAJ
Rebecca Bourke,Athabasca University,athabasca.edu,12739,nursing | health,https://scholar.google.com/citations?hl=en&user=ciTjMYoAAAAJ
M. Cleveland-Innes,"Professor, Education Innovation, Athabasca University/Visiting Professor of Pedagogy, Mid …",athabascau.ca,9920,higher education | blended and online education | emotional presence | community of inquiry | leadership,https://scholar.google.com/citations?hl=en&user=7AC5qHoAAAAJ
Sabine Graf,"Professor, Athabasca University",athabascau.ca,8125,Technology Enhanced Learning | Adaptive Learning Systems | Learning Analytics | User Modeling | Mobile Learning,https://scholar.google.com/citations?hl=en&user=Pl8tpZwAAAAJ
Jeff Vallance,"Associate Professor & Canada Research Chair, Athabasca University",athabascau.ca,7882,physical activity | sedentary behaviour | chronic disease,https://scholar.google.com/citations?hl=en&user=4HKPsMkAAAAJ
Jon Dron,"Professor, School of Computing & Information Systems, Athabasca University",athabascau.ca,5649,learning technology | e-learning | social software | social computing | technology-enhanced learning,https://scholar.google.com/citations?hl=en&user=iE7eHXcAAAAJ
Janice Thomas,Athabasca University,athabascau.ca,5609,Management Innovation | Organizational Change | Critical Theory | Gender | Project management,https://scholar.google.com/citations?hl=en&user=Vnkdo4kAAAAJ
Shawn Lewenza,"Professor,  Athabasca University",athabascau.ca,5325,Biofilms | antibiotic resistance | synthetic biology | biosensors,https://scholar.google.com/citations?hl=en&user=EKTKwHAAAAAJ
Kam Jugdev,"Professor, Project Management & Strategy, Faculty of Business, Athabasca University",athabascau.ca,5216,Project Management,https://scholar.google.com/citations?hl=en&user=XL_MTUsAAAAJ
Vivekanandan Suresh Kumar,"Professor, School of Computing and Information Systems, Athabasca University",athabascau.ca,4666,Artificial Intelligence in Education | Intelligent Tutoring Systems | Learning Analytics | Causal Modelling,https://scholar.google.com/citations?hl=en&user=GjKunY8AAAAJ
Gwen R. Rempel,"Professor, Nursing and Health Studies, Athabasca University",athabascau.ca,4329,pediatric cardiology | parenting | resilience | transition,https://scholar.google.com/citations?hl=en&user=6UkxclEAAAAJ
Donna McLean RN BScN MN NP PhD CCN(C),"University of Alberta, Faculty of Nursing; MacEwan University, Faculty of Nursing; Athabasca",ualberta.ca,4266,Hypertension | Blood Pressure Measurement,https://scholar.google.com/citations?hl=en&user=n5F-LyAAAAAJ
Martin Connors,Athabasca University,athabascau.ca,3941,planetary science | space physics | space weather,https://scholar.google.com/citations?hl=en&user=3sRf-VgAAAAJ
Marguerite Koole,"University of Saskatchewan, College of Education (previously affiliated with Athabasca …",usask.ca,3805,moble learning | m-learning | technology-enhanced learning | e-learning | electronic learning,https://scholar.google.com/citations?hl=en&user=gj275K8AAAAJ
Rory McGreal,"Professor, Technology Enhanced Knowledge Research Institute, Athabasca University",athabascau.ca,3787,Distance education | Mlearning | mobile learning | Elearning | OER,https://scholar.google.com/citations?hl=en&user=Z1L4514AAAAJ
Junye Wang,"Professor and CAIP Chair, Athabasca University",athabascau.ca,3687,Agroecosystem | energy | renewable energy | environment | sustainability,https://scholar.google.com/citations?hl=en&user=8bH4_Y0AAAAJ
Stephen John Murgatroyd,Athabasca University,ualberta.ca,3662,psychology | organizational change | strategy | innovation,https://scholar.google.com/citations?hl=en&user=jhDPQTcAAAAJ
Shaun McQuitty,"Professor of Marketing, Athabasca University",athabascau.ca,3136,marketing | applied statistical analysis,https://scholar.google.com/citations?hl=en&user=vkjSjowAAAAJ
Srijak Bhatnagar,"Assistant Professor, Athabasca University",athabascau.ca,3029,Microbial Ecology | Microbiomes | Polar Microbiology | Bioremediation | Bioinformatics,https://scholar.google.com/citations?hl=en&user=eRucyv4AAAAJ
Steven T Johnson,Athabasca University,ualberta.ca,2812,Diabetes | Physical Activity | Diet | Health Promotion,https://scholar.google.com/citations?hl=en&user=m4O7nMAAAAAJ
Shawn N Fraser,Athabasca University,athabascau.ca,2299,Not Mentioned,https://scholar.google.com/citations?hl=en&user=VByWVOoAAAAJ
Jon Baggaley,"Professor Emeritus, Athabasca University",baggaley.com,2236,Psychology of Communication Media | Distance Education | Online Learning | Educational Television,https://scholar.google.com/citations?hl=en&user=EOnuwoQAAAAJ
Michael K. Mauws,"Professor of Business Policy & Strategy, Athabasca University",athabascau.ca,2179,Business Strategy | Governance | Organization Theory,https://scholar.google.com/citations?hl=en&user=1UVqvY8AAAAJ
Terra C Murray,Athabasca University,athabascau.ca,2104,Not Mentioned,https://scholar.google.com/citations?hl=en&user=E-hESvwAAAAJ
Maiga Chang,"Professor, Athabasca University",ms2.hinet.net,2079,Game-based Learning | Ubiquitous Learning | Learning Behavior Analysis | Data Mining | Intelligent Agent,https://scholar.google.com/citations?hl=en&user=89P8c_0AAAAJ
Fuhua Lin,"Professor of Computing and Information Systems, Athabasca University, Canada",athabascau.ca,1928,Artificial Intelligence in Education | Cyber Learning | Virtual Reality | e-Learning,https://scholar.google.com/citations?hl=en&user=iFIeZpAAAAAJ
