Oliver Christ,"Professor, Psychological Methods and Evaluation, FernUniversität in Hagen, Germany",fernuni-hagen.de,13651,Social Psychology | Intergroup contact | prejudice | intergroup relations | research methods,https://scholar.google.com/citations?hl=en&user=Q1m-RXwAAAAJ
Jürgen Jahns,"Professor iR, Mikro- und Nanophotonik, FernUniversität in Hagen",fernuni-hagen.de,5958,microoptics | nano optics | plasmonics | optical information processing | optical interconnection,https://scholar.google.com/citations?hl=en&user=JPVdyrAAAAAJ
Stefan Stürmer,"Professor of Social Psychology, FernUniversität in Hagen",fernuni-hagen.de,5189,Intergroup Behavior | Altruism | Higher Distance Education,https://scholar.google.com/citations?hl=en&user=waeQsPcAAAAJ
Prof. Wojciech Mazurczyk,Warsaw University of Technology (Poland) & FernUniversitaet in Hagen (Germany),pw.edu.pl,4825,Network Security | Information Hiding | Bio-inspired Cybersecurity,https://scholar.google.com/citations?hl=en&user=Zm9FO98AAAAJ
Joerg M. Haake,"Professor of Computer Science, FernUniversitaet in Hagen, Germany",fernuni-hagen.de,4776,CSCL | CSCW | adaptive learning environments,https://scholar.google.com/citations?hl=en&user=lYMdTfcAAAAJ
Torsten Zesch,"Professor of Computational Linguistics, Fernuniversität in Hagen",fernuni-hagen.de,3906,Natural Language Processing | NLP | Language Technology | Computational Linguistics,https://scholar.google.com/citations?hl=en&user=vWeDs00AAAAJ
Friedrich Steimann,"Professor für Informatik, Fernuniversität in Hagen",acm.org,3519,Programmiersysteme,https://scholar.google.com/citations?hl=en&user=EfbKBJsAAAAJ
Roman Liepelt,"Professor of General Psychology, FernUniversität in Hagen, Germany",fernuni-hagen.de,3430,Cognitive Psychology | Perception and Action | Joint Action | Cognitive Control,https://scholar.google.com/citations?hl=en&user=zSD4u-gAAAAJ
Sabine Fliess,"Professor für Dienstleistungsmanagement, FernUniversität in Hagen",fernuni-hagen.de,3103,Kundenintegration | Dienstleistungsmanagement | Dienstleistungsmarketing | B2B-Marketing,https://scholar.google.com/citations?hl=en&user=sR4CBkAAAAAJ
Günter Fandel,FernUniversität in Hagen,Not Mentioned,2906,Decision Theory,https://scholar.google.com/citations?hl=en&user=DQOyTPoAAAAJ
