Nikita Matsunaga,"Professor of Chemistry, Long Island University",liu.edu,25728,quantum mechanics | quantum chemistry | molecular dynamics,https://scholar.google.com/citations?hl=en&user=lHgjyVMAAAAJ
Jeffrey R  Idle,Long Island University Brooklyn,liu.edu,23687,drug metabolism | metabolomics,https://scholar.google.com/citations?hl=en&user=c3tr-UAAAAAJ
Michael Kinch,Long Island University,liu.edu,13703,Drug Development | discovery | tyrosine kinase | EphA2 | tsg101,https://scholar.google.com/citations?hl=en&user=YSE9hxAAAAAJ
Steven Liebling,"Professor of Physics, Long Island University",liu.edu,7635,Numerical Relativity | Theoretical Astrophysics | High Performance Computing,https://scholar.google.com/citations?hl=en&user=U_pxuIYAAAAJ
Thomas Inzana,"Associate Dean for Research, College of Veterinary Medicine, Long Island University",liu.edu,5091,microbiology,https://scholar.google.com/citations?hl=en&user=9qPFX1wAAAAJ
Arnold Berleant,"Professor of Philosophy (emeritus), Long Island University",roadrunner.com,5019,Not Mentioned,https://scholar.google.com/citations?hl=en&user=p3shv8AAAAAJ
Matthew Lippert,Long Island University,liu.edu,4989,String Theory,https://scholar.google.com/citations?hl=en&user=8j5h7wsAAAAJ
Anait S. Levenson,"Professor of Cancer research, Long Island University",liu.edu,4389,… Cell Biology and Molecular Pharmacology of …,https://scholar.google.com/citations?hl=en&user=MgXexJoAAAAJ
Qing (Robert) Miao,"Professor of Foundations of Medicine, New York University Long Island School of Medicine",nyulangone.org,4083,Nogo-B receptor | vascular anomalies | hepatic steatosis | tumor resistance | diabetes,https://scholar.google.com/citations?hl=en&user=wLoOV7sAAAAJ
Omar Tliba,Long Island University,liu.edu,3420,Asthma,https://scholar.google.com/citations?hl=en&user=iRZ9CusAAAAJ
Michael ED Koenig,"Professor, Palmer School. Long Island University",liu.edu,3388,Knowledge Management | Information Science,https://scholar.google.com/citations?hl=en&user=_FqjzRwAAAAJ
Shailendra Palvia,"Professor of MIS, Long Island University",liu.edu,3329,Managing IS Development Process | E-Commerce | Global Sourcing | E-Government | Global IT,https://scholar.google.com/citations?hl=en&user=pBKFRlgAAAAJ
Dong Kwon,long island university,liu.edu,3315,Not Mentioned,https://scholar.google.com/citations?hl=en&user=OYnab5oAAAAJ
Andreas A. Zavitsas,Long Island University,liu.edu,3047,radicals | kinetics | water properties | spectroscopy,https://scholar.google.com/citations?hl=en&user=2pKzntUAAAAJ
Kevin B. Meehan,"Associate Professor of Psychology, Long Island University - Brooklyn Campus",liu.edu,2931,clinical psychology | attachment theory | personality disorders | psychotherapy research,https://scholar.google.com/citations?hl=en&user=prY3J-UAAAAJ
Marshall Hagins,"Professor, Department of Physical Therapy, Long Island University",liu.edu,2918,Low back pain and breath control | yoga | landing biomechanics,https://scholar.google.com/citations?hl=en&user=KNBAoAgAAAAJ
James Patrick Smith,Long Island University,panix.com,2756,academic library web portals,https://scholar.google.com/citations?hl=en&user=9a9z1JaFQhIJ
Maged Gomaa Hemida,"Long Island university/Kafrelsheikh university, Egypt",liu.edu,2565,Virology,https://scholar.google.com/citations?hl=en&user=HuuZZMUAAAAJ
Jian Yi Li MD PhD,"… , Dept. of Pathology and Lab. Medicine, North Shore Univ. Hospital and Long Island Jewish",northwell.edu,2241,Neuropathology | Brain tumor | Glioma,https://scholar.google.com/citations?hl=en&user=87uycg0AAAAJ
Heting Chu,"Professor of Information Science, Long Island University",liu.edu,2222,information retrieval | scientometrics | information technology | information science education | research methods,https://scholar.google.com/citations?hl=en&user=7UF7ZQcAAAAJ
Edward Rogoff,Long Island University,liu.edu,2149,Entrepreneurship,https://scholar.google.com/citations?hl=en&user=04EonBEAAAAJ
Godoy JR,Long Island University College of Veterinary Medicine,liu.edu,2147,Redox signaling,https://scholar.google.com/citations?hl=en&user=0Vx69PQAAAAJ
Nadarajah Vasanthan,Long Island University,liu.edu,1990,polymer science,https://scholar.google.com/citations?hl=en&user=akUJ6Y0AAAAJ
Adva Dinur,"Associate Professor, Long Island University",liu.edu,1988,Business strategy | knowledge management | case method,https://scholar.google.com/citations?hl=en&user=eAllTyEAAAAJ
Jose G. Tello,Long Island University,liu.edu,1758,Ornithology | evolution | systematics | biogeography,https://scholar.google.com/citations?hl=en&user=u4Z5rZUAAAAJ
"Marc J. Diener, PhD","Associate Professor of Clinical Psychology, Long Island University-Post",liu.edu,1731,Psychotherapy | Personality Assessment | Attachment | Meta-Analysis,https://scholar.google.com/citations?hl=en&user=GDwZPLcAAAAJ
