John Haiman,Macalester College,macalester.edu,12132,Not Mentioned,https://scholar.google.com/citations?hl=en&user=YMjMr94AAAAJ
Mark Davis,"Professor of Biology, Macalester College",macalester.edu,10615,invasion biology,https://scholar.google.com/citations?hl=en&user=teAlMDYAAAAJ
Christine Sierra O'Connell,"Assistant Professor of Environmental Studies, Macalester College",macalester.edu,8976,ecosystem ecology | global change | tropical forest ecology,https://scholar.google.com/citations?hl=en&user=G7Egfr4AAAAJ
Daniel T Kaplan,"Professor of Mathematics, Statistics, and Computer Science, Macalester College",macalester.edu,7913,nonlinear dynamics | statistics | physiology,https://scholar.google.com/citations?hl=en&user=UyzwL7AAAAAJ
Joan M Ostrove,Macalester College,macalester.edu,6747,alliances | disability studies | Deaf studies | social class and belonging | SES and health,https://scholar.google.com/citations?hl=en&user=s-gu4BwAAAAJ
James P. (Pat) McAllister,"Professor of Neurosurgery, Washington University in St. Louis School of Medicine",wustl.edu,6040,hydrocephalus | developmental disorders,https://scholar.google.com/citations?hl=en&user=LNY0S0cAAAAJ
Shilad Sen,"Professor of Computer Science, Macalester College",macalester.edu,5925,social computing | recommender systems | politics | data mining | machine learning,https://scholar.google.com/citations?hl=en&user=KNlw_X8AAAAJ
Paul Overvoorde,Macalester College,macalester.edu,5285,Not Mentioned,https://scholar.google.com/citations?hl=en&user=TVhyyY4AAAAJ
David Bressoud,Macalester College,macalester.edu,4959,combinatorics | number theory | special functions | history of mathematics | research in undergraduate mathematics …,https://scholar.google.com/citations?hl=en&user=DQJrW7EAAAAJ
Satoko Suzuki,"Professor of Asian Languages and Cutlures, Macalester College",macalester.edu,4571,linguistics | Japanese,https://scholar.google.com/citations?hl=en&user=a2jNvsUAAAAJ
Raymond Rogers,"Professor of Geology, Macalester College",macalester.edu,4326,Taphonomy | Sedimentology | Stratigraphy | Dinosaurs,https://scholar.google.com/citations?hl=en&user=LlEtm_sAAAAJ
William G. Moseley,"DeWitt Wallace Professor of Geography, Macalester College",macalester.edu,3233,human-environment geography | political ecology | agrarian change | food systems | Africa,https://scholar.google.com/citations?hl=en&user=sQK3IlUAAAAJ
Kristina Curry Rogers,"Professor of Biology and Geology, Macalester College",macalester.edu,3225,Paleobiology | Dinosaurs | Sauropoda | Bone Histology,https://scholar.google.com/citations?hl=en&user=Dz3tM2YAAAAJ
Sarah E. West,"G. Theodore Mitau Professor of Economics, Macalester College",macalester.edu,2859,Environmental Economics | Public Finance | Urban Economics,https://scholar.google.com/citations?hl=en&user=NbY7HaUAAAAJ
Mary Heskel,"Assistant Professor, Macalester College",macalester.edu,2670,plant ecophysiology | global change | respiration | photosynthesis | carbon cycle,https://scholar.google.com/citations?hl=en&user=puV4LiAAAAAJ
Louisa I. Bradtmiller,"Professor of Environmental Studies, Macalester College",macalester.edu,2415,paleoceanography | paleoclimate | marine sedimentary geochemistry,https://scholar.google.com/citations?hl=en&user=y3dod7MAAAAJ
Elena Tonc,"Visiting Assistant Professor, Biology, Macalester College",macalester.edu,2193,Immunology | Cell Biology | Cancer Biology | Neuroimmunology,https://scholar.google.com/citations?hl=en&user=7UdINJMAAAAJ
Dennis Cao,Macalester College,macalester.edu,2167,Organic Chemistry | Materials Chemistry,https://scholar.google.com/citations?hl=en&user=gWKmupAAAAAJ
Christie Manning,Macalester College,macalester.edu,1987,psychology and sustainability | environmental justice | climate change | mental health and climate change,https://scholar.google.com/citations?hl=en&user=n4yADKQAAAAJ
Sarah L. Boyer,Macalester College,macalester.edu,1955,evolutionary biology | systematics,https://scholar.google.com/citations?hl=en&user=59g6S98AAAAJ
Michael Griffin,Macalester College,macalester.edu,1762,media studies | visual communication studies | journalism studies,https://scholar.google.com/citations?hl=en&user=0GbPzUEAAAAJ
James Heyman,"Professor of Physics, Macalester College",macalester.edu,1734,Condensed Matter Physics | Ultrafast Optical Studies,https://scholar.google.com/citations?hl=en&user=G0MwdVwAAAAJ
Steve Guglielmo,"Associate Professor of Psychology, Macalester College",macalester.edu,1631,moral psychology | morality | social cognition | blame,https://scholar.google.com/citations?hl=en&user=1m0H0r0AAAAJ
