VIKRRAM SINGH MEENA,"M.Tech Malaviya National Institute of Technology Jaipur, B.Tech Jamia Millia Islamia New …",mnit.ac.in,9281,Renewable Energy,https://scholar.google.com/citations?hl=en&user=jVqAA-YAAAAJ
sudhir kumar,stduent at malaviya national institute of technology jaipur,mnit.ac.in,7687,programming and coding,https://scholar.google.com/citations?hl=en&user=9cdVpt4AAAAJ
ANUPRIYA SINGH,"Malaviya National Institute of Technology, Jaipur",mnit.ac.in,5671,Carbon nanotechnology,https://scholar.google.com/citations?hl=en&user=FnJ8rR4AAAAJ
Sushindra Kumar Gupta (SKGupta),"… Scholar, Department of Civil Engineering, Malaviya National Institute of Technology, Jaipur",mnit.ac.in,5187,Watershed Modeling | Sediment Yield | Rainfall Intensity | GIS & Remote Sensing | Optimization Techniques......,https://scholar.google.com/citations?hl=en&user=tZRc6S8AAAAJ
GS Dangayach,Malaviya National Institute of technology Jaipur,mnit.ac.in,4352,Operations Management | Sustainable Manufacturing,https://scholar.google.com/citations?hl=en&user=Ek-_8vkAAAAJ
Vijay Laxmi,"Professor (Computer Science and Engineering), Malaviya National Institute of Technology …",mnit.ac.in,4150,Information Security,https://scholar.google.com/citations?hl=en&user=Mdxu6rsAAAAJ
Devendra Singh,"Malaviya National Institute of Technology,jaipur",mnit.ac.in,4109,Information Theory | Computational Mathematics | Statistics & Probability Theory,https://scholar.google.com/citations?hl=en&user=mfvNqnUAAAAJ
Sumit Sonkar,"Department of Chemistry, Malaviya National Institute of Technology-Jaipur, JLN Marg …",mnit.ac.in,3961,Carbon Nano-Chemistry,https://scholar.google.com/citations?hl=en&user=pn8ZygEAAAAJ
Kavita Lalwani,Malaviya National Institute of Technology Jaipur,mnit.ac.in,3688,Hadron Physics | CP violation,https://scholar.google.com/citations?hl=en&user=kqFtWucAAAAJ
Dr Manviri Rani,"Assistant Professor, Dept. of Chemistry, Malaviya National Institute of Technology Jaipur …",mnit.ac.in,3515,Nano-Chemistry | Analytical | Environmental | photocatalysis | agriculture chemistry,https://scholar.google.com/citations?hl=en&user=eCWUjEwAAAAJ
Sumanta Kumar Meher,"Assistant Professor, Department of Chemistry, Malaviya National Institute of Technology …",mnit.ac.in,3283,Nanomaterials Chemistry | Electrochemical energy conversion and … | Electrocatalysis | Nanoscale Electrochemistry,https://scholar.google.com/citations?hl=en&user=3Gtm36UAAAAJ
Vivekanand Vivekanand,"Malaviya National Institute of Technology Jaipur, India",mnit.ac.in,3274,Bioenergy | Biomass | Biofuels | Pretreatment | Process Microbiology,https://scholar.google.com/citations?hl=en&user=MrBcN5UAAAAJ
Nikhil Gupta,"Department of Electrical Engineering, Malaviya National Institute of Technology Jaipur",mnit.ac.in,2661,Power System Operation and Control | Artificial Intelligence,https://scholar.google.com/citations?hl=en&user=ftlO738AAAAJ
Emmanuel S. Pilli,"Associate Professor, Department of CSE, Malaviya National Institute of Technology Jaipur",mnit.ac.in,2489,Security | Forensics | Cloud Computing | Big Data | IoT-Blockchain,https://scholar.google.com/citations?hl=en&user=9-s5XjIAAAAJ
Gunjan Soni,Malaviya National Institute of Technology Jaipur,mnit.ac.in,2295,Data Driven Supply Chain Management | Predictive maintenance | Prognostics and Health monitoring,https://scholar.google.com/citations?hl=en&user=abDm1yYAAAAJ
Rahul Singhal,"Assistant Professor, Department of Physics, Malaviya National Institute of Technology Jaipur",mnit.ac.in,2206,Materials Science,https://scholar.google.com/citations?hl=en&user=wBFTmTUAAAAJ
Mahesh Kumar Jat,"Professor, Department of Civil Engineering, Malaviya National Institute of Technology Jaipur",mnit.ac.in,2149,Water Resources | Water Management | Remote Sensing & GIS applications | Hydrological Modelling and Climate Change,https://scholar.google.com/citations?hl=en&user=-PDHV2MAAAAJ
Kailash Singh,Malaviya National Institute of Technology Jaipur,mnit.ac.in,1943,Modelling and Simulation | Process Control,https://scholar.google.com/citations?hl=en&user=BCoDVIAMW-gC
Dr. Kamlendra Awasthi,Malaviya National Institute of Technology Jaipur,mnit.ac.in,1915,Nanostructured thin films | Membrane for gas separation | Block copolymers | Gas Sensing | Hydrogen generation,https://scholar.google.com/citations?hl=en&user=bK3rsxEAAAAJ
Murari Lal Mittal,Malaviya National Institute of Technology Jaipur,mnit.ac.in,1857,Production and Operations Management | Project Scheduling | Artificial Intelligence | Machine Learning,https://scholar.google.com/citations?hl=en&user=nYIoXpgAAAAJ
"RK Goyal, Professor","Dept. of Metallurgical and Materials Engg., Malaviya National Institute of Technology Jaipur",mnit.ac.in,1771,Polymer composites | Nanocomposites | Characterization | Biomaterials,https://scholar.google.com/citations?hl=en&user=fRg2CC4AAAAJ
SK Sharma,"Professor, Department of Physics, Malaviya National Institute of Technology Jaipur India",mnit.ac.in,1707,Materials Science | Nanomaterials | Diffusion | Oxidation,https://scholar.google.com/citations?hl=en&user=F1uPUuQAAAAJ
Debasish Sarkar,"Assistant Professor, Department of Physics, Malaviya National Institute of Technology Jaipur",mnit.ac.in,1644,Materials Science | Physics | Nanoscience-Supercapacitor,https://scholar.google.com/citations?hl=en&user=Zw--5YIAAAAJ
Manish Jain,Malaviya National Institute of Technology,mnit.ac.in,1615,Aspect Oriented Programming | Software Testing | Compilers | Software Engineering | Advance Java,https://scholar.google.com/citations?hl=en&user=1us_IBoAAAAJ
Deepak Ranjan Nayak,"Assistant Professor, Malaviya National Institute of Technology Jaipur",ieee.org,1578,Medical Image Analysis | Computer Vision | Pattern Recognition | Machine Learning | Deep Learning,https://scholar.google.com/citations?hl=en&user=ciWMFiAAAAAJ
Ravindra Nagar,"Professor of Civil Engineering,Malaviya National Institute of Technology",mnit.ac.in,1532,Tall Buildings | Artificial Neural Networks | Waste Utilisation in Concrete,https://scholar.google.com/citations?hl=en&user=FhllTOgAAAAJ
Dr. Rohit Bhakar,Malaviya National Institute of Technology Jaipur,mnit.ac.in,1495,Power Systems Economics | Network Pricing | Electricity Markets | Power Systems Restructuring | Energy Storage,https://scholar.google.com/citations?hl=en&user=uyT-8BoAAAAJ
"Dr. Satyasai Jagannath Nanda, Senior Member IEEE",Malaviya National Institute of Technology Jaipur,iitbbs.ac.in,1435,Data Clustering | Evolutionary Computation | Multi Objective Optimization | Artificial Neural Networks | Adaptive Signal Processing,https://scholar.google.com/citations?hl=en&user=9Yu1aSgAAAAJ
Dr. KK Sharma,"… -HAG of Electronics & Communication Engg.,Malaviya National Institute of Technology …",mnit.ac.in,1369,Communication Engg. & Signal Processing,https://scholar.google.com/citations?hl=en&user=iE12G8EAAAAJ
vijay janyani,"Malaviya National Institute of Technology Jaipur, India",mnit.ac.in,1317,Photonics | Optical Communication | Photonic crystal waveguides and devices,https://scholar.google.com/citations?hl=en&user=zNnx9_oAAAAJ
