David Morgan,Portland State University,pdx.edu,67354,focus groups | mixed methods,https://scholar.google.com/citations?hl=en&user=FzAWPRcAAAAJ
David L. Morgan,Portland State University,pdx.edu,60570,Not Mentioned,https://scholar.google.com/citations?hl=en&user=lrIyVHsAAAAJ
Rob Morgan,"Professor of Marketing, University of Alabama",cba.ua.edu,48899,Marketing Strategy | Commercialization | Innovation | Relationship Marketing,https://scholar.google.com/citations?hl=en&user=fHmmk7QAAAAJ
David O. Morgan,"University of California, San Francisco",ucsf.edu,39743,Cell cycle | mitosis | APC | Cdk,https://scholar.google.com/citations?hl=en&user=cVhK91EAAAAJ
Farin Kamangar,"University Distinguished Professor and Assistant Vice President, Morgan State University",morgan.edu,28993,Cancer Epidemiology | Clinical Epidemiology | Public Health | Training,https://scholar.google.com/citations?hl=en&user=kxKoVTMAAAAJ
Morgan Pratchett,"Professor, ARC Centre of Excellence for Coral Reef Studies, James Cook University",jcu.edu.au,28544,Coral Reefs | Marine Biology | Ecology | Conservation | Climate Change,https://scholar.google.com/citations?hl=en&user=F-upL5QAAAAJ
Philip Morgan,"School of Education, University of Newcastle",newcastle.edu.au,27081,Weight Loss | Health and Physical Education | Obesity | Men,https://scholar.google.com/citations?hl=en&user=xEG3qFAAAAAJ
Granger Morgan,Carnegie Mellon University,andrew.cmu.edu,24424,Problems in science | technology and public policy focused on … | environmental systems | climate change and risk analysis,https://scholar.google.com/citations?hl=en&user=zQluaMIAAAAJ
David Morgan,Michigan State University,msu.edu,23931,Alzheimer's disease,https://scholar.google.com/citations?hl=en&user=ypIUwkEAAAAJ
Dane Morgan,"University of Wisconsin, Materials Science",wisc.edu,23372,materials,https://scholar.google.com/citations?hl=en&user=ZzvI97IAAAAJ
Carolyn Youssef-Morgan,"Redding Endowed Chair of Business, Bellevue University",bellevue.edu,21446,Not Mentioned,https://scholar.google.com/citations?hl=en&user=TYlDMrEAAAAJ
