Brian Oakley,"Professor, College of Veterinary Medicine, Western University of Health Sciences, Pomona …",westernu.edu,25623,Microbial Ecology | Bioinformatics | Anaerobic cultivation,https://scholar.google.com/citations?hl=en&user=GRnsywMAAAAJ
Deborah Burke,Pomona College,pomona.edu,8590,Cognition and Aging,https://scholar.google.com/citations?hl=en&user=Hpj9wo4AAAAJ
Arlen F. Chase,Pomona College,pomona.edu,7091,archaeology | Maya | contextual analysis | remote sensing,https://scholar.google.com/citations?hl=en&user=jdDzUwsAAAAJ
David Tanenbaum,Prof. Physics Pomona College,pomona.edu,6977,Not Mentioned,https://scholar.google.com/citations?hl=en&user=NPrVwPAAAAAJ
James J. McKenna,University of Notre Dame and Pomona College,nd.edu,6297,bedsharing | infant co-sleeping | breastfeeding,https://scholar.google.com/citations?hl=en&user=7KOnL1sAAAAJ
Dru Gladney,Professor of Anthropology at Pomona College,pomona.edu,5332,Anthropology | China | Islam | nationalism | sports,https://scholar.google.com/citations?hl=en&user=nQDcEeEAAAAJ
Kim Bruce,"Emeritus Professor of Computer Science, Pomona College",pomona.edu,5299,Programming Languages | Computer Science Education | Linguistics,https://scholar.google.com/citations?hl=en&user=xVnOYvoAAAAJ
Daniel J. O'Leary,Pomona College,pomona.edu,4220,chemistry,https://scholar.google.com/citations?hl=en&user=TJVCd2AAAAAJ
Ralph Bolton,"Professor of Anthropology, Pomona College & The Chijnaya Foundation",pomona.edu,3927,Applied Anthropology | Medical Anthropology | HIV/AIDS | Gay Cultures,https://scholar.google.com/citations?hl=en&user=etMdeAoAAAAJ
Gary Smith,"Professor of Economics, Pomona College",pomona.edu,3803,economics | statistics | finance,https://scholar.google.com/citations?hl=en&user=8CzBuBYAAAAJ
Adam R. Pearson,"Associate Professor of Psychology, Pomona College",pomona.edu,3468,social psychology | intergroup relations | environmental psychology | climate change | diversity science,https://scholar.google.com/citations?hl=en&user=p4hhWtoAAAAJ
Johanna Hardin,Pomona College,pomona.edu,3184,Statistics,https://scholar.google.com/citations?hl=en&user=c5Y77poAAAAJ
Ami Radunskaya,Pomona College,pomona.edu,3122,Not Mentioned,https://scholar.google.com/citations?hl=en&user=CdT_yMsAAAAJ
Stephan Ramon Garcia,"Mathematics Department, Pomona College",pomona.edu,2988,operator theory | complex analysis | matrix analysis | number theory,https://scholar.google.com/citations?hl=en&user=LlK9Cu4AAAAJ
Eleanor Brown,"Professor of Economics, Pomona College",pomona.edu,2865,charitable giving | volunteer labor | household decision making | the nonprofit sector | human stewardship,https://scholar.google.com/citations?hl=en&user=eGuOyskAAAAJ
Tahir Andrabi,"Professor of Economics, Pomona College",pomona.edu,2788,Not Mentioned,https://scholar.google.com/citations?hl=en&user=xpz6cuQAAAAJ
Jade Star Lackey,"Associate Professor of Geology, Pomona College",pomona.edu,2710,Granitoid Magmatism | Contact Metamorphism | Stable Isotopes | Fluid Flow | Mesozoic Arc Magmatism,https://scholar.google.com/citations?hl=en&user=zvhD8woAAAAJ
Robert R. Gaines,"Professor of Geology, Pomona College",pomona.edu,2548,geology | cambrian | geochemistry | paleontology,https://scholar.google.com/citations?hl=en&user=_PgT8dQAAAAJ
Cynthia Selassie,"Professor of Chemistry, Pomona College",pomona.edu,2422,Drug design | Antimalarial compounds | Phenol Toxicity,https://scholar.google.com/citations?hl=en&user=Wd2FsVEAAAAJ
Matt Sazinsky,Pomona College,pomona.edu,2410,Not Mentioned,https://scholar.google.com/citations?hl=en&user=myRoph4AAAAJ
Lise Abrams,Pomona College,pomona.edu,2203,tip-of-the-tongue (TOT) states | proper name retrieval | taboo words | cognitive aging,https://scholar.google.com/citations?hl=en&user=ypRq0_EAAAAJ
Eric Hurley,"Psychology, Pomona College",pomona.edu,2076,culture education,https://scholar.google.com/citations?hl=en&user=iRC_NKqMNhsC
David Kauchak,"Associate Professor of Computer Science, Pomona College",pomona.edu,2068,natural language processing | machine learning | text simplification,https://scholar.google.com/citations?hl=en&user=vWEw8IsAAAAJ
Karl Johnson,Pomona College,pomona.edu,2063,Axon guidance | synapse formation | Drosophila | proteoglycans,https://scholar.google.com/citations?hl=en&user=0QqWjLEAAAAJ
Eric Grosfils,"Professor of Geology, Pomona College",pomona.edu,2010,physical volcanology | planetary geology,https://scholar.google.com/citations?hl=en&user=PzbFLA0AAAAJ
Wan Yang,"Collins College of Hospitlaity Management, California State Polytechnic University Pomona",cpp.edu,1797,Consumer Behavior | Luxury Consumption | Experiential Consumption | Consumer Well-Being | Positive Psychology,https://scholar.google.com/citations?hl=en&user=hVjLxZ0AAAAJ
Maria Prokopenko,Pomona College,pomona.edu,1651,Chemical Oceanography | Biogeochemistry | Nitrogen and Oxygen cycles,https://scholar.google.com/citations?hl=en&user=eqrwDDsAAAAJ
G. Gabrielle Starr,"… Professor of Human Relations, Professor of English & Neuroscience, Pomona College",pomona.edu,1522,Aesthetics | Neuroscience | imagery | Literature | neuroaesthetics,https://scholar.google.com/citations?hl=en&user=7LWCchkAAAAJ
