"Daire Hooper, PhD","Lecturer, Technological University Dublin (formerly, Dublin Institute of Technology)",tudublin.ie,15195,Services Marketing | Servicescapes | Pedagogy | Research Methods,https://scholar.google.com/citations?hl=en&user=DdOYYHMAAAAJ
Brian Norton,"… , Tyndall National Institute, University College Cork and Technological University Dublin",tyndall.ie,13531,solar energy | energy in buildings | daylight | daylighting | photovoltaic systems,https://scholar.google.com/citations?hl=en&user=IxAYv3kAAAAJ
Philip Owende,"Assistant Head of Academic Affairs, Technological University Dublin",tudublin.ie,9189,Renewable Energy,https://scholar.google.com/citations?hl=en&user=s88wZd8AAAAJ
Gerald Farrell,"Professor, Photonics Research Centre, Technological University Dublin",tudublin.ie,8849,Photonics | Optical Fibre Sensing | Fibre Microresonators,https://scholar.google.com/citations?hl=en&user=Wa1QxUAAAAAJ
Fiona Lyng,Technological University Dublin,tudublin.ie,8823,cancer screening /diagnosis / treatment,https://scholar.google.com/citations?hl=en&user=6Sz4b5AAAAAJ
Ellen Hazelkorn,"Professor emerita, Technological University Dublin",TUDublin.ie,7121,International Higher Education Policy,https://scholar.google.com/citations?hl=en&user=Z7l1gUUAAAAJ
MAX AMMANN,Technological University Dublin,tudublin.ie,6417,Antennas,https://scholar.google.com/citations?hl=en&user=0lER_6AAAAAJ
Jesus Frias,Technological University Dublin,tudublin.ie,6344,Not Mentioned,https://scholar.google.com/citations?hl=en&user=23QPXHoAAAAJ
Yuliya Semenova,"Professor, Technological University Dublin",tudublin.ie,6148,photonics | optical fibre sensing | liquid crystals,https://scholar.google.com/citations?hl=en&user=90r5UhQAAAAJ
Furong Tian,Technological University Dublin,tudublin.ie,6085,diseases diagnostic | tumor biomarkers | biosensors | point-of-care lateral strip and cold atmosphere …,https://scholar.google.com/citations?hl=en&user=ajWnKxUAAAAJ
Amit Jaiswal,"Lecturer, Food Technology & Industrial Biotechnology, Technological University Dublin  …",TUDublin.ie,5113,Food Technology | Food Packaging | Industrial Biotechnology | Biobased Chemicals | Waste Valorization,https://scholar.google.com/citations?hl=en&user=WKDv5-UAAAAJ
Aidan Duffy,Technological University Dublin,TUDublin.ie,4679,Energy | Energy Systems | Life Cycle Assessment | Energy Policy | Civil Engineering,https://scholar.google.com/citations?hl=en&user=fa4qhPAAAAAJ
Mahendra Kumar,"… Abdullah University of Science and Technology (KAUST),  Dublin City University, Dublin …",kaust.edu.sa,3710,Polymer Chemistry | Membrane Technology and Separation,https://scholar.google.com/citations?hl=en&user=O1SftfcAAAAJ
Sarah Jane Delany,Technological University Dublin,tudublin.ie,3695,machine learning | case based reasoning | text analytics | concept drift | bias,https://scholar.google.com/citations?hl=en&user=SXY_bw8AAAAJ
John D. Kelleher,"… , Communication and Entertainment Research Institute, Technological University Dublin (TU",tudublin.ie,3638,Machine Learning | Natural Language Processing | Precision Medicine | Artificial Intelligence | Data Science,https://scholar.google.com/citations?hl=en&user=4FUPHHYAAAAJ
Steve Meaney,Dublin Institute of Technology,dit.ie,3580,Cholesterol | Oxysterol | 24S-hydroxycholesterol | comparative genomics | clinical chemistry,https://scholar.google.com/citations?hl=en&user=DsP2ny0AAAAJ
Declan McCormack,"Professor, Chemical & Pharmaceutical Sciences, Technological University, Dublin",tudublin.ie,3503,Surface chemistry | Coatings | Environmental Remediation | Nanomaterials | Controlled Particle Growth,https://scholar.google.com/citations?hl=en&user=9nEpxQwAAAAJ
Malabika Basu,"Senior Lecturer, Technological University Dublin, Ireland",tudublin.ie,3359,grid integration of renewable energy | utility application of power electronics | UPQC,https://scholar.google.com/citations?hl=en&user=HKB3kc0AAAAJ
Prof. Gary Henehan,"Professor Pharmaceutical and Food  Chemistry, Technological University Dublin",tudublin.ie,3212,Biotechnology | Pharmaceutical & Food Chemistry | Biochemical Pharmacology,https://scholar.google.com/citations?hl=en&user=R71FAIsAAAAJ
Izabela Naydenova,"Lecturer, Dublin Institute of Technology",dit.ie,3204,holography | photopolymers | photosensitive materials | holographic sensors,https://scholar.google.com/citations?hl=en&user=VA6XaDsAAAAJ
Ji Liu,"Trinity College Dublin, Hunan University, Beijing University of Chemical Technology",hnu.edu.cn,3122,Polymer nanocomposites | Conductive 2D materials | EMI shielding | 2D-3D printing,https://scholar.google.com/citations?hl=en&user=3GKUlRgAAAAJ
Brendan Jennings,"Technological University Dublin (TU Dublin), Ireland",tudublin.ie,3116,Network and Service Management | Cloud Computing | Internet of Things | Nanoscale communications,https://scholar.google.com/citations?hl=en&user=UMPc3wIAAAAJ
Kieran Collins,"School of Biological, Health and Sport Sciences, Technological University Dublin",tudublin.ie,3040,Performance Science | Exercise Physiology | Intermittent Exercise | Data Analytics | Gaelic Sport,https://scholar.google.com/citations?hl=en&user=YD2zde8AAAAJ
John S. Butler,"Technological University Dublin (formerly, Dublin Institute of Technology)",tudublin.ie,3010,Multisensory | EEG | Psychophysics | Signal Processing | Numerical Methods,https://scholar.google.com/citations?hl=en&user=XxHqFtcAAAAJ
Roisin Donnelly,Technological University Dublin,tudublin.ie,2937,Academic Professional Development,https://scholar.google.com/citations?hl=en&user=CUQIxikAAAAJ
"Amr Arisha, PhD",Professor @ Technological University Dublin (TUD),dit.ie,2699,Not Mentioned,https://scholar.google.com/citations?hl=en&user=JlcQFV0AAAAJ
gordon chambers,TECHNOLOGICAL UNIVERSITY OF DUBLIN,Not Mentioned,2678,PHYSICS | MATERIALS | TOXICOLOGY,https://scholar.google.com/citations?hl=en&user=mTL6ZnMAAAAJ
Jonathan Blackledge,Technological University Dublin,TUDublin.ie,2640,Physics | Mathematics | Engineering | Computer Science,https://scholar.google.com/citations?hl=en&user=S1o9V5YAAAAJ
Changyu shen(沈常宇),… Jiliang University/Carleton University/Trinity College Dublin/Dublin Institute of Technology,cjlu.edu.cn,2623,Optical fiber sensor and phosphors for light …,https://scholar.google.com/citations?hl=en&user=NGDzY1YAAAAJ
Brendan Duffy,Technological University Dublin,tudublin.ie,2538,Coatings | Corrosion | Antimicrobials,https://scholar.google.com/citations?hl=en&user=X4N1PoAAAAAJ
