Karin M. Ekström,"Professor in marketing, University of Borås",hb.se,21252,consumer behaviour | consumption,https://scholar.google.com/citations?hl=en&user=Tjw-pGYAAAAJ
Mikael OV Skrifvars,"Faculty of Textiles, Engineering and Business, University of Borås",hb.se,7630,Polymers | Plastics | Composites | Textiles | Biopolymers,https://scholar.google.com/citations?hl=en&user=V_pW4tcAAAAJ
Ilona Sarvari Horvath,"Associate professor, The Swedish Centre of Resource Recovery, University of Borås",hb.se,5670,biotechnology | biogas | biofuels | waste management | sustainable development,https://scholar.google.com/citations?hl=en&user=p7589dAAAAAJ
MEHMET ORHAN,University of Boras,Not Mentioned,5380,Not Mentioned,https://scholar.google.com/citations?hl=en&user=2YddmXQAAAAJ
Louise Limberg,"Swedish School of Library and Information Science, University of Borås, Sweden",hb.se,3146,Library and information science | learning | information practices | information seeking and use,https://scholar.google.com/citations?hl=en&user=yFLAOMkAAAAJ
Annelie J Sundler,"Professor in caring science, University of Borås",hb.se,3132,Not Mentioned,https://scholar.google.com/citations?hl=en&user=dXPk6DAAAAAJ
Linda Hägerhed,"Senior Lecturer, University of Borås, Sweden",hb.se,2839,Indoor environment,https://scholar.google.com/citations?hl=en&user=549sEV8AAAAJ
Akram Zamani,University of Borås,hb.se,2470,chitin | chitosan | fungi | biobased textiles | biopolymers,https://scholar.google.com/citations?hl=en&user=f1JLv6sAAAAJ
Fernando Seoane,"Full Professor/Senior Lecturer, University of Borås / Karolinska Institute",ki.se,2466,Electrical Bioimpedance | Biomedical Engineering | Biomedical Instrumentation | Biomedical Signal Processing | Wearable Sensors,https://scholar.google.com/citations?hl=en&user=F2UJokEAAAAJ
Kaj Lindecrantz,"Professor, University of Borås, Sweden",hb.se,2247,Första intresse | andra intresse...,https://scholar.google.com/citations?hl=en&user=PCVak20AAAAJ
Björn Hammarfelt,"… professor, Swedish School of Library and Information Science (SSLIS), University of Borås",hb.se,2104,bibliometrics | sociology of science | research policy,https://scholar.google.com/citations?hl=en&user=seuD8ukAAAAJ
Stefan Cronholm,"Professor of Information Systems, University of Borås",hb.se,2003,information systems | design science research | data-driven innovation | usability | evaluation,https://scholar.google.com/citations?hl=en&user=E-mvhh0AAAAJ
Patrik R. Lennartsson,University of Borås,hb.se,1982,Biotechnology,https://scholar.google.com/citations?hl=en&user=UpugFTAAAAAJ
Peter Ahlström,"Associate Professor for Chemical Physics, University of Borås",hb.se,1763,Simulations of chemical systems,https://scholar.google.com/citations?hl=en&user=TiG9CmcAAAAJ
Rudrajeet Pal,"Professor, University of Borås, University of Gävle",hb.se,1694,Value chain | Sustainable Supply Chain Management | Sustainable Business Model | Circular Economy | Textile and Fashion,https://scholar.google.com/citations?hl=en&user=JvPhfpAAAAAJ
Håkan Torstensson,"Professor of Transport Safety and Security, University of Borås",hb.se,1685,Supply chain management | supply chain risk management,https://scholar.google.com/citations?hl=en&user=IPNoroYAAAAJ
Magnus Lundin,University of Borås,mlu.mine.nu,1559,Mathematics | Statistics,https://scholar.google.com/citations?hl=en&user=QmQDa-wAAAAJ
Jorge A. Ferreira,"Senior Lecturer in Resource Recovery, University of Borås",hb.se,1536,Resource Recovery | Biotechnology,https://scholar.google.com/citations?hl=en&user=K20C-KgAAAAJ
Martin G. Erikson,"Associate Professor, University of Borås",hb.se,1503,the self | eating disorders | science studies | higher education | student motivation,https://scholar.google.com/citations?hl=en&user=mfPXVpEAAAAJ
Ragne Emardson,University of Borås,hb.se,1481,Measurement | Earth Observations | Remote sensing | GNSS,https://scholar.google.com/citations?hl=en&user=EBBUUK4AAAAJ
Dan Åkesson,"Researcher, University of Borås",hb.se,1413,Polymer | composites | recycling | renewable materials | natural fibres,https://scholar.google.com/citations?hl=en&user=Y52u_6MAAAAJ
Steven Wainaina,University of Borås,hb.se,1234,anaerobic digestion | environmental sustainability | volatile fatty acids | membrane bioreactors,https://scholar.google.com/citations?hl=en&user=Y_5z_24AAAAJ
Jan Nolin,"Professor of Library and Information Science, University of Borås",hb.se,1206,social media studies | transparency movements | Internet of things | digital scholarship,https://scholar.google.com/citations?hl=en&user=S4diKFoAAAAJ
Peter Rittgen,"Professor of Informatics, University of Borås",hb.se,1192,Business Process Management,https://scholar.google.com/citations?hl=en&user=zTikx7gAAAAJ
Anders Hjalmarsson Jordanius,"Professor (bitr.) - University of Borås | Director Research and Business Development, RISE …",ri.se,1159,Information Systems Development | Digital Innovation | Open Data | Business Process Management | Research Methods,https://scholar.google.com/citations?hl=en&user=ms0g9ZwAAAAJ
Madumita Sadagopan,University of Borås,hb.se,1096,Concrete technology | Recycled concrete | Industrial ecology | Waste management,https://scholar.google.com/citations?hl=en&user=pi_EslkAAAAJ
Sunil Kumar Ramamoorthy,"Senior University Lecturer, University of Borås, Sweden",hb.se,1055,Bio-based composites | Polymer technology,https://scholar.google.com/citations?hl=en&user=75CQr4gAAAAJ
