Michael P Leiter,"Adjunct Professor of Psychology Acadia University, Nova Scotia, Canada",acadiau.ca,120949,psychology | work psychology | burnout | stress | civility,https://scholar.google.com/citations?hl=en&user=JBuUoUsAAAAJ
Mark Mallory,"Canada Research Chair, Biology, Acadia University",acadiau.ca,10832,biology,https://scholar.google.com/citations?hl=en&user=YlKD6e4AAAAJ
Philip D Taylor,Acadia University,acadiau.ca,9572,Movement Ecology,https://scholar.google.com/citations?hl=en&user=dbL7Qg4AAAAJ
Hugh Chipman,"Professor of Statistics, Acadia University",acadiau.ca,7748,Industrial statistics | statistical and machine learning | Bayesian methods | statistical computation | network modelling,https://scholar.google.com/citations?hl=en&user=IE8cRfwAAAAJ
Dave Shutler,"Professor Emeritus, Biology, Acadia University",acadiau.ca,6812,Reproductive ecology | birds | bees | coyotes | stressors,https://scholar.google.com/citations?hl=en&user=AVNjkt8AAAAJ
Jonathon Fowles,Acadia University,acadiau.ca,4916,Exercise is Medicine | diabetes | health care | metabolism,https://scholar.google.com/citations?hl=en&user=kG7e2kUAAAAJ
Amitabh Jha,Acadia University,acadiau.ca,4428,Medicinal Chemistry | Drug Development | Synthetic Organic Chemistry | Green Chemistry,https://scholar.google.com/citations?hl=en&user=MXBFMkwAAAAJ
Donald T. Stewart,"Professor of Biology, Acadia University",acadiau.ca,4187,doubly uniparental inheritance of mtDNA in … | molecular systematics | population genetics | phylogeography,https://scholar.google.com/citations?hl=en&user=YFdMCHoAAAAJ
Nelson J O'Driscoll,Department of Earth and Environmental Science; Acadia University,acadiau.ca,4013,mercury | environmental science,https://scholar.google.com/citations?hl=en&user=IUOwXXwAAAAJ
Michael Stokesbury,"Professor, Acadia University",acadiau.ca,3555,Fish Migration Ecology | Fish Behaviour,https://scholar.google.com/citations?hl=en&user=RgKxMgsAAAAJ
Michael Corbett,"Professor of Education, Acadia University; Adjunct Professor, University of Tasmania",acadiau.ca,3140,rural education | sociology of education | space and place | literacies | history of education,https://scholar.google.com/citations?hl=en&user=pOsRthIAAAAJ
Suzanne (Suzie) Currie,"Professor and Dean of Science, Acadia University",acadiau.ca,2855,temperature | thermal variability | fish | sociality | stress,https://scholar.google.com/citations?hl=en&user=dCMtRCIAAAAJ
Cara MacInnis,"Assistant Professor, Acadia University",acadiau.ca,2603,prejudice | intergroup relations | political orientation | sexuality,https://scholar.google.com/citations?hl=en&user=JxGO0lwAAAAJ
Diane Holmberg,"Professor Emerita, Acadia University",acadiau.ca,2380,Close Relationships | Attachment | Social Support | Displays of Affection | Same-Sex Relationships,https://scholar.google.com/citations?hl=en&user=PYGt20cAAAAJ
Kathryn M. Bell,"Associate Professor of Psychology, Acadia University",acadiau.ca,2351,interpersonal violence | intimate partner violence | trauma | PTSD,https://scholar.google.com/citations?hl=en&user=PGhKxY0AAAAJ
Bobby D. Ellis,Acadia University,acadiau.ca,1896,Inorganic Chemistry,https://scholar.google.com/citations?hl=en&user=1fWD4o4AAAAJ
Joseph Hayes,Acadia University,acadiau.ca,1882,Social-Personality Psychology | Reactions to Threat | Death-Awareness,https://scholar.google.com/citations?hl=en&user=PdEDaggAAAAJ
Daniel Silver,"Jodrey School of Computer Science, Acadia University",acadiau.ca,1776,machine learning | lifelong machine learning | transfer learning | task rehearsal | consolidation,https://scholar.google.com/citations?hl=en&user=Z_vWXgsAAAAJ
Johannes Wheeldon,Acadia University,acadiau.ca,1755,Cannabis | Criminology | Law and society | Research methods | Political philosophy,https://scholar.google.com/citations?hl=en&user=EbFTNtsAAAAJ
E Dianne Looker,Acadia and Mount Saint Vincent Universities,msvu.ca,1680,Rural youth | gender,https://scholar.google.com/citations?hl=en&user=EnrlmMMAAAAJ
Michael D Robertson,Acadia University,Not Mentioned,1636,electron microscopy | semiconductors | magnetism,https://scholar.google.com/citations?hl=en&user=ridRrmEAAAAJ
