Gerardo Dominguez,"California State University, San Marcos",csusm.edu,6589,Physics/Astrophysics/Planetary Science …,https://scholar.google.com/citations?hl=en&user=KXWLfZ8AAAAJ
ted h. shore,california state university san marcos,Not Mentioned,4587,management | human resource mnagement | organizational behavior,https://scholar.google.com/citations?hl=en&user=M6CsPscAAAAJ
Keith A. Trujillo,California State University San Marcos,csusm.edu,3877,Psychopharmacology and Neuroscience,https://scholar.google.com/citations?hl=en&user=DfEq_9MAAAAJ
Sean Newcomer,"Professor of Kinesiology, California State University San Marcos",csusm.edu,3592,Not Mentioned,https://scholar.google.com/citations?hl=en&user=CgmouEAAAAAJ
Carrick Williams,California State University San Marcos,csusm.edu,3479,Not Mentioned,https://scholar.google.com/citations?hl=en&user=7DSb6SAAAAAJ
William J. Burns,California State University San Marcos; Decision Research,csusm.edu,3245,Risk Perception | Deterrence | Inoculation Theory | Agent-based | System Dynamics and Causal Modeling,https://scholar.google.com/citations?hl=en&user=nuNKhJgAAAAJ
Devin Jindrich,"Associate Professor of Kinesiology, California State University, San Marcos",csusm.edu,2947,Motor Control | Biomechanics | Physiology | Comparative | Neuroscience,https://scholar.google.com/citations?hl=en&user=91hFmLQAAAAJ
Hyun Gu Kang,"Assistant Professor of Kinesiology, California State University San Marcos",csusm.edu,2947,falls in older adults | posture | gait | music therapy | community engagement,https://scholar.google.com/citations?hl=en&user=qZhIOigAAAAJ
Dustin Calvillo,"Professor and Chair, Psychology Department, California State University San Marcos",csusm.edu,2406,Cognitive Psychology | Memory | Judgment and Decision Making | Reasoning | Fake News,https://scholar.google.com/citations?hl=en&user=PxQ8_zEAAAAJ
Anna Woodcock,"California State University, San Marcos",csusm.edu,2355,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uOS5x4oAAAAJ
Nancy G. Caine,California State University San Marcos,csusm.edu,2236,comparative psychology | primatology | antipredator behavior,https://scholar.google.com/citations?hl=en&user=HSGiPEAAAAAJ
Adam Shapiro,"Professor of Sociology, California State University San Marcos",csusm.edu,2168,Families | Aging | Health,https://scholar.google.com/citations?hl=en&user=5LRB6ZwAAAAJ
Ronald Ramirez,California State University San Marcos,csusm.edu,1952,Not Mentioned,https://scholar.google.com/citations?hl=en&user=L6WWjN0AAAAJ
Deanna Schmidt Asakawa,California State University San Marcos,csusm.edu,1792,Biomechanics | Human Computer Interfaces | Medical Imaging | Muscle | Surgery,https://scholar.google.com/citations?hl=en&user=XrbPWgsAAAAJ
Vassilis Dalakas,"Professor of Marketing, California State University San Marcos",csusm.edu,1735,Marketing | Consumer Behavior | Sports Marketing | Sponsorship,https://scholar.google.com/citations?hl=en&user=Fn-5SgMAAAAJ
Matthew M. Schubert,"Assistant professor of Kinesiology, California State University San Marcos",csusm.edu,1612,Appetite | energy balance | exercise metabolism | high-intensity training | sport nutrition,https://scholar.google.com/citations?hl=en&user=v9pajpcAAAAJ
