John G. Watson,"Research Professor, Desert Research Institute",dri.edu,45389,Environmental Science | Air Pollution | Aerosol,https://scholar.google.com/citations?hl=en&user=Plvb03YAAAAJ
Dani Or,"Professor (em.) Environmental Physics, ETH Zurich; Desert Research Institute, Reno",env.ethz.ch,41078,soil | water | flow transport | dielectrics | evaporation,https://scholar.google.com/citations?hl=en&user=mNdz5CMAAAAJ
Kendrick Taylor,"Desert Research Institute, Nevada System of Higher Education",dri.edu,12544,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Nd38ROcAAAAJ
Nicholas Lancaster,Desert Research Institute,dri.edu,12131,Not Mentioned,https://scholar.google.com/citations?hl=en&user=BvMrhngAAAAJ
Hans Moosmüller,"Research Professor, Desert Research Institute",dri.edu,11847,Aerosol Optics | Atmospheric Physics | Atmospheric Chemistry | Radiative Forcing | Climate Change,https://scholar.google.com/citations?hl=en&user=wfuibvwAAAAJ
avigad vonshak,Ben-Gurion University- Blaustien Institutes for Desert Research,bgu.ac.il,11525,plant physiology | algal biotechnology | photosynthesis,https://scholar.google.com/citations?hl=en&user=bpTIt5QAAAAJ
karen schlauch,"Desert Research Institute and University of Nevada, Reno",unr.edu,9076,bioinformatics | biostatistics | statistical genetics,https://scholar.google.com/citations?hl=en&user=IIYRk98AAAAJ
S. Kent Hoekman,Desert Research Institute,dri.edu,7795,fuels | emissions | energy | air quality,https://scholar.google.com/citations?hl=en&user=B6ss_gEAAAAJ
Andrey Khlystov,"Research Professor and Director of Organic Analytical Laboratory, Desert Research Institute",dri.edu,6912,atmospheric aerosols | e-cigarette emissions | air quality | traffic emissions | near-road air quality,https://scholar.google.com/citations?hl=en&user=L1tdpjcAAAAJ
Steve Gronstal,"Desert Research Institute, Creighton University, Brookhaven National Lab, STAR …",dri.edu,6574,Physics | Aerosol Science,https://scholar.google.com/citations?hl=en&user=tnd6NLUAAAAJ
Irina S. Khokhlova,"Ben-Gurion University of the Negev, Blaustein Institutes for Desert Research",bgu.ac.il,6468,Ecological physiology | Ecological parasitology | Small mammals,https://scholar.google.com/citations?hl=en&user=tAL3bYIAAAAJ
