Arjun Chaudhuri,"Professor of Marketing, Fairfield University",fairfield.edu,14924,Emotion in Consumer Behavior | Brand Loyalty | Value,https://scholar.google.com/citations?hl=en&user=WzdF_dEAAAAJ
Pierre Christian,Fairfield University,Not Mentioned,7085,Not Mentioned,https://scholar.google.com/citations?hl=en&user=JFCDY0sAAAAJ
Wendy J. Gordon,"William Fairfield Warren Distinguished Professor, Professor of Law, Boston University",bu.edu,6192,copyright | ethics | intellectual property | torts | free speech,https://scholar.google.com/citations?hl=en&user=AldD_OYAAAAJ
Robert Cordery,"MaxEnt Research LLC, Fairfield University",mailaps.org,6033,invention | security | data science | statistical physics,https://scholar.google.com/citations?hl=en&user=ruNgc4UAAAAJ
Lisa Mainiero,Fairfield University,Fairfield.edu,5797,Kaleidoscope careers | women's and men's career patterns | workplace romance,https://scholar.google.com/citations?hl=en&user=4jx0IwgAAAAJ
Keith N. Hylton,"William Fairfield Warren Distinguished Professor, Professor of Law, Boston University",bu.edu,4852,Law and Economics | antitrust | torts,https://scholar.google.com/citations?hl=en&user=26CXacoAAAAJ
F Dohm,Fairfield University,fairfield.edu,4482,Not Mentioned,https://scholar.google.com/citations?hl=en&user=-NLpynoAAAAJ
Patricia Fairfield,Georgetown University,msb.edu,4449,Not Mentioned,https://scholar.google.com/citations?hl=en&user=NlOvKosAAAAJ
Gregory Koutmos,"Fairfield University, Dolan School of Business",fairfield.edu,4304,Asset Pricing | Risk Management | Market Volatility,https://scholar.google.com/citations?hl=en&user=VLC9-vgAAAAJ
Cameron J Fairfield,"Clinical Research Fellow, The University of Ediburgh",ed.ac.uk,3920,General surgery | genetics | epidemiology | natural language processing | informatics,https://scholar.google.com/citations?hl=en&user=5b7Y7mwAAAAJ
Linda Henkel,"Professor of Psychology, Fairfield University",fairfield.edu,2890,source monitoring | false memories | memory and aging | false confessions,https://scholar.google.com/citations?hl=en&user=zg4PntYAAAAJ
Qin Zhang,"Department of Communication, Fairfield University",fairfield.edu,2710,intercultural communication | instructional communication,https://scholar.google.com/citations?hl=en&user=d3atwLwAAAAJ
Gary Weddle,Fairfield University & Yale University,fairfield.edu,2691,Cluster Spectroscopy,https://scholar.google.com/citations?hl=en&user=7fQ3Bg4AAAAJ
Bidyut B Das,"Visiting Assistant Professor, Physics, Bucknell University",fairfield.edu,2459,Ultrafast photonics | Biomedical imaging and diagnostics | quantum nano-structures,https://scholar.google.com/citations?hl=en&user=hcuw7VgAAAAJ
Beth Fairfield,University of Naples Federico II,unina.it,2387,Not Mentioned,https://scholar.google.com/citations?hl=en&user=jZIH6vcAAAAJ
Elif Kongar,Fairfield University,fairfield.edu,2170,Not Mentioned,https://scholar.google.com/citations?hl=en&user=XlxluvUAAAAJ
Margaret McNamara McClure,Icahn School of Medicine at Mt. Sinai; Fairfield University,mssm.edu,1951,psychology,https://scholar.google.com/citations?hl=en&user=ZsIt2N4AAAAJ
Jen Klug,"Professor of Biology, Fairfield University",fairfield.edu,1843,Not Mentioned,https://scholar.google.com/citations?hl=en&user=6ZvuJCoAAAAJ
Sean M. Horan,"Department of Communication, Fairfield University",fairfield.edu,1806,communication | workplace romance | speed dating | deception | affection,https://scholar.google.com/citations?hl=en&user=QO3WhUoAAAAJ
Andres Leonardo Carrano,Dean and Professor. Fairfield University,fairfield.edu,1788,Material Jetting 3D-Printing | Sustainable Manufacturing | Surface Metrology | Pallet logistics,https://scholar.google.com/citations?hl=en&user=maOmDjIAAAAJ
Glenn Sauer,Fairfield University,fairfield.edu,1735,Bone and cartilage biochemistry | science and religion,https://scholar.google.com/citations?hl=en&user=TQXOXK8AAAAJ
