Anil Mishra,WTC IARI NEW DELHI,Not Mentioned,26780,watershed management | irrigation,https://scholar.google.com/citations?hl=en&user=DSjl_ZwAAAAJ
Sanjay Kumar,IARI,iari.res.in,24206,wheat | rust,https://scholar.google.com/citations?hl=en&user=paK9UMUAAAAJ
Sairam Raj Kumar,"… , Division of Plant Physiology, Indian Agricultural Research Institute, New Delhi-110012",Not Mentioned,20425,Plant Physiology,https://scholar.google.com/citations?hl=en&user=sINy5w4AAAAJ
Viswanathan Chinnusamy,"… Scientist & Head, Division of Plant Physiology, Indian Agricultural Research Institute",iari.res.in,18315,Abiotic stress | epigenetics,https://scholar.google.com/citations?hl=en&user=TuP1yZoAAAAJ
AKANKSHA SINGH,"Division of Genetics, Indian Agricultural Research Institute, New Delhi",Not Mentioned,16407,Genetics | Molecular Breeding | Breeding for Nutritional Quality,https://scholar.google.com/citations?hl=en&user=F_BOV14AAAAJ
Raj Kumar Sairam,"… -Head, Division of Plant Physiology, IARI, New Delhi-110012, India & Editor in Chief, Indian",Not Mentioned,15178,Abiotic stress tolerance of plants,https://scholar.google.com/citations?hl=en&user=6tUPnsgAAAAJ
Raj Kumar Sharma,"Senior scientist, Division of Plant Pathology, IARI, New Delhi",Not Mentioned,13398,Mycology,https://scholar.google.com/citations?hl=en&user=qTlEeoEAAAAJ
Prof HB Singh,"… of Mycology and Plant Pathology, Institute of Agricultural Sciences, BHU, Varanasi, INDIA",bhu.ac.in,13268,Biocontrol | Sustainable Agriculture | Microbes-Plant Interaction | Fortified and Designer Foods,https://scholar.google.com/citations?hl=en&user=mhDg-v0AAAAJ
bhupinder singh,indian agricultural research Institute,iari.res.in,12234,Not Mentioned,https://scholar.google.com/citations?hl=en&user=JAkBeZ8AAAAJ
Raj Kumar,"Head, IARI Regional Station, Katrain, HP",Not Mentioned,11466,Vegetable improvement,https://scholar.google.com/citations?hl=en&user=2uH6t44AAAAJ
Radha Prasanna,"Principal Scientist,Division of Microbiology,Indian Agricultural Research Institute",Not Mentioned,10449,Microbiology,https://scholar.google.com/citations?hl=en&user=0YJvvKcAAAAJ
Lata Nain,"Division of Microbiology, Indian Agricultural Research Institute, IARI, New Delhi",iari.res.in,9187,Bioethanol | Composting | biorefineries | value added products from lignocellulosic … | bioremediation,https://scholar.google.com/citations?hl=en&user=_e8vc6oAAAAJ
AR Sharma,"ICAR-IARI, New Delhi-12",Not Mentioned,8959,Conservation Agriculture | Weed Science,https://scholar.google.com/citations?hl=en&user=bNJdOxMAAAAJ
charanjit kaur,"Principal scientist, Division of post harvest Technology, IARI, New Delhi12",iari.res.in,8114,antioxidants,https://scholar.google.com/citations?hl=en&user=YVxxc68AAAAJ
soora naresh kumar,"Indian Agricultural Research Institute, Central Plantation Crops Research Institute, Benaras …",iari.res.in,7709,climate change | simulation models | agriculture | coconut,https://scholar.google.com/citations?hl=en&user=DhuO73AAAAAJ
Ashok Kumar Singh,"Director, IARI",Not Mentioned,7244,Basmati rice breeding | molecular breeding in rice | hybrid rice breeding,https://scholar.google.com/citations?hl=en&user=Sf4wVkcAAAAJ
"Yashbir Singh Shivay, Principal Scientist, FNAAS, AFNAAS, FISA, FISSP, FCWSS, FISEB","ICAR-Indian Agricultural Research Institute, New Delhi, India",iari.res.in,7240,Agronomy | Natural Resource Management | Biofortification of Zinc,https://scholar.google.com/citations?hl=en&user=6GmkEq4AAAAJ
Dr. RR Sharma,"Division of Food Science & PHT, I. A R. I, New Delhi-110 012, INDIA",iari.res.in,7168,Fruit Production and Postharvest Technology,https://scholar.google.com/citations?hl=en&user=F4upKXYAAAAJ
Rajendra Singh,Indian Agricultural Research Institute,iari.res.in,7088,Soil Microbiology | Plant Breeding | Biotechnology,https://scholar.google.com/citations?hl=en&user=Uyz-xYwAAAAJ
Prof Anil Kumar Singh,"… of Agricultural Research, New Delhi; RVSKVV Gwalior; Water Technology Centre; IARI",naas.org.in,7014,Natural Resources Management | Modelling & Simulation,https://scholar.google.com/citations?hl=en&user=jwdjhGYAAAAJ
Shivdhar Singh,"Head, CESCRA, IARI, New Delhi",Not Mentioned,6781,crop ecology | climate change,https://scholar.google.com/citations?hl=en&user=dfDo5ZUAAAAJ
Praduman Kumar,IARI,Not Mentioned,6675,Agricultural Economics and Policy,https://scholar.google.com/citations?hl=en&user=pLz9VpMAAAAJ
Ranjan Bhattacharyya,"Principal Scientist, IARI, New Delhi 110 012",iari.res.in,6345,Soil carbon sequestration | climate change adaptation and mitigation | soil conservation | Conservation agriculture | nutrient manag,https://scholar.google.com/citations?hl=en&user=M_D2a-wAAAAJ
Pratap S Birthal,"National Institute of Agricultural Economics and Policy Research, New Delhi, India",icar.gov.in,6174,Agricultural economics and policy,https://scholar.google.com/citations?hl=en&user=C5QKdR4AAAAJ
KK Bandyopadhyay,"Principal Scientist, Indian Agricultural Research Institute, New Delhi",Not Mentioned,6170,Soil Science,https://scholar.google.com/citations?hl=en&user=7kjZx0QAAAAJ
Sunil Mukherjee,"INSA-Sr Scientist; Plant Pathology, IARI",icgeb.res.in,5819,DNA Replication | Geminivirus | RNAi,https://scholar.google.com/citations?hl=en&user=N5HlejUAAAAJ
Arun K. Shanker,"Central Research Institute for Dryland Agriculture, Indian Council of Agricultural Research",icar.gov.in,5817,Plant Physiology | Biochemistry | Molecular Biology | Bioinformatics | Abiotic Stress,https://scholar.google.com/citations?hl=en&user=xWGQC9IAAAAJ
Arti Bhatia,ICAR-Indian Agricultural research institute,iari.res.in,5748,Greenhouse gas mitigation | GHG modelling | Climate change impacts | Ozone pollution,https://scholar.google.com/citations?hl=en&user=AM6v3PcAAAAJ
Suresh Walia,"Consultant (Former Professor and Principal Scientist), IARI, New Delhi, India",Not Mentioned,5531,Chemistry | agricultural chemicals | nutraceuticals | bioactive natural products | pesticide residues,https://scholar.google.com/citations?hl=en&user=5leuMX0AAAAJ
Anupam Varma,"INSA Emeritus Scientist, Indian Agricultural Research Institute",acpv.in,5244,Plant Virology | Plant Protection | Biotechnology,https://scholar.google.com/citations?hl=en&user=cx9dYJkAAAAJ
Balasubramanian Ramakrishnan,"Division of Microbiology, ICAR, Indian Agricultural Research Institute, New Delhi",iari.res.in,5143,Microbiology | Archaea | Greenhouse Gases | Bioremediation | Plant and Soil Microbiomes,https://scholar.google.com/citations?hl=en&user=ycroMKcAAAAJ
Mohd Arshad Khan,"… Centre National Centre for Agricultural Economics and Policy Research(NCAP), New Delhi …",Not Mentioned,5141,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ujrOXXIAAAAJ
Dr. Shiv Prasad,"Division of Environment Science, ICAR-Indian Agricultural Research Institute, New Delhi",iari.res.in,4962,Major areas: Environment | Bioenergy | Pollution | Agriculture,https://scholar.google.com/citations?hl=en&user=lFLCujIAAAAJ
Shashi Bala Singh,"Principal Scientist, ICAR-Indian Agricultural Research Institute",iari.res.in,4918,Pesticides,https://scholar.google.com/citations?hl=en&user=wIUEZlUAAAAJ
