cyril weir,Professor University of Bedfordshire,beds.ac.uk,9731,language testing,https://scholar.google.com/citations?hl=en&user=ly7MI9UAAAAJ
andrew church,"Pro Vice Chancellor, University of Bedfordshire",beds.ac.uk,8802,human geography | tourism and leisure | nature,https://scholar.google.com/citations?hl=en&user=C-mv3RcAAAAJ
Yanqing Duan,"Professor of Information Systems, University of Bedfordshire",beds.ac.uk,8108,Not Mentioned,https://scholar.google.com/citations?hl=en&user=QHSLJqAAAAAJ
Ann Weatherall,"School of Psychology,  University of Bedfordshire",beds.ac.uk,4471,Social & discursive psychology | Feminist psychology | conversation analysis.,https://scholar.google.com/citations?hl=en&user=oFokTaIAAAAJ
John Field,"… Cognitive Approaches to Language Learning, CRELLA Institute, University of Bedfordshire",beds.ac.uk,3979,Psycholinguistics | Listening | Second Language Acquisition | Second language skills | Applied Linguistics,https://scholar.google.com/citations?hl=en&user=rqjOGiMAAAAJ
GURCH Randhawa,University of Bedfordshire,beds.ac.uk,3321,long-term conditions | public health | diversity | organ donation,https://scholar.google.com/citations?hl=en&user=PwOoSoAAAAAJ
Donald Forrester,"Professor of Social Work Research, University of Bedfordshire",beds.ac.uk,2989,Child and family social work,https://scholar.google.com/citations?hl=en&user=My_LQuIAAAAJ
Isabella McMurray,University of Bedfordshire,beds.ac.uk,2951,Psychology | developmental psychology | research methods | spss,https://scholar.google.com/citations?hl=en&user=-a9mW_UAAAAJ
David Hewson,"Professor of Health and Ageing, University of Bedfordshire, UK",beds.ac.uk,2907,Frailty | Falls | Physical Inactivity | Exercise as Medicine | … appropriate physical activity for older people,https://scholar.google.com/citations?hl=en&user=Ak6pbiQAAAAJ
karen campbell,University of Bedfordshire,gmx.co.uk,2701,Education,https://scholar.google.com/citations?hl=en&user=LVf8rN8AAAAJ
Anthony Green,University of Bedfordshire,beds.ac.uk,2408,Language Testing | Assessment | Applied Linguistics,https://scholar.google.com/citations?hl=en&user=Zu3r5ccAAAAJ
Mike Fisher,"Professor of Evidence-Based Social Work, University of Bedfordshire",beds.ac.uk,2059,social work | systematic reviews | evidence-based policy and practice,https://scholar.google.com/citations?hl=en&user=8_iePG4AAAAJ
Enjie Liu,University of Bedfordshire,beds.ac.uk,2048,wireless networking | AI | data science | robotic applications,https://scholar.google.com/citations?hl=en&user=oIZwWoEAAAAJ
Yannis Pappas,University of Bedfordshire,beds.ac.uk,1955,integrated care | ehealth | health services research | organisation and delivery | public health,https://scholar.google.com/citations?hl=en&user=eMv9QqoAAAAJ
Faisal Md Abdur Rahman,University of Bedfordshire,ca.computerservicesltd.com,1820,Networking | Security | Cyber security | ethical hacking,https://scholar.google.com/citations?hl=en&user=TJO_SaEAAAAJ
Louise Grant,Executive Dean University of Bedfordshire,beds.ac.uk,1761,social work,https://scholar.google.com/citations?hl=en&user=t68lpJAAAAAJ
Vladan Velisavljevic,"Reader in Visual Systems Engineering (Associate Professor), University of Bedfordshire",beds.ac.uk,1573,Signal Processing | 3D Video,https://scholar.google.com/citations?hl=en&user=2_8wnRAAAAAJ
Dr Krishna Regmi,"Principal Lecturer and Portfolio Lead, University of Bedfordshire",beds.ac.uk,1342,health systems | primary healthcare | decentralisation | health reform | health inequalities,https://scholar.google.com/citations?hl=en&user=kbRZJH8AAAAJ
Tim Bateman,"Reader in Youth Justice, University of Bedfordshire",beds.ac.uk,1316,Youth crime | youth justice | youth custody,https://scholar.google.com/citations?hl=en&user=opF1G6kAAAAJ
S. Ian Robertson,"PhD Psychology, University of Bedfordshire",Not Mentioned,1259,Cognitive psychology | thinking | problem solving,https://scholar.google.com/citations?hl=en&user=mZ_0uyEAAAAJ
Lindsay McDermott,"Senior Lecturer, University of Bedfordshire",beds.ac.uk,1209,Fatty acid binding proteins | Lipids | Biophysics | Placenta | Zinc alpha2 glycoprotein,https://scholar.google.com/citations?hl=en&user=8SdhwfQAAAAJ
Sunday C. Eze,"University of Bedfordshire and Landmark University Omu-Aran ,Kwara State",lmu.edu.ng,1203,ICT adoption | SMEs | emerging technologies,https://scholar.google.com/citations?hl=en&user=idFF3QcAAAAJ
Ercan Balaban,University of Bedfordshire,Not Mentioned,1141,Finance,https://scholar.google.com/citations?hl=en&user=nRdg1DcAAAAJ
Sibel Kaya,University of Bedfordshire,beds.ac.uk,1044,teacher education | classroom discourse | science education,https://scholar.google.com/citations?hl=en&user=53J_w2UAAAAJ
Yongmei Bentley,"Principal Lecturer in Logistics, University of Bedfordshire, UK",beds.ac.uk,1028,sustainable supply chain management,https://scholar.google.com/citations?hl=en&user=S-Bu5L0AAAAJ
Wasem Sebi,"Software Engineer, University of Bedfordshire",beds.ac.uk,973,Software Engineering,https://scholar.google.com/citations?hl=en&user=wDrmnocAAAAJ
Debbie Allnock,University of Bedfordshire,beds.ac.uk,962,child protection,https://scholar.google.com/citations?hl=en&user=FOeiBcoAAAAJ
