Chester Mathis,"Distinguished Professor of Radiology, University of Pittsburgh",upmc.edu,57003,PET imaging | PET radiopharmaceuticals,https://scholar.google.com/citations?hl=en&user=TQUbTSIAAAAJ
Michael Boulton,"Professor of Psychology, University of Chester",chester.ac.uk,15011,Child and adolescent psychology | well-being | social relationships,https://scholar.google.com/citations?hl=en&user=7THwzdAAAAAJ
Neville Ford,"Professor of Mathematics, University of Chester",chester.ac.uk,14259,integral equations | fractional differential equations | mathematical modelling | numerical analysis,https://scholar.google.com/citations?hl=en&user=X1m34VwAAAAJ
Sharon C. Wilsnack,"Chester Fritz Distinguished Professor, Univ of North Dakota School of Medicine",med.und.edu,12503,Women | gender | and alcohol | cultural influences on alcohol use | alcohol and sexuality,https://scholar.google.com/citations?hl=en&user=xPMsfTQAAAAJ
Sean Valentine,"Prof of Management/Chair, Chester Fritz Prof/Eugene Dahl Endowed Chair, University of …",und.edu,12150,Business Ethics | Human Resource Management | Organizational Behavior,https://scholar.google.com/citations?hl=en&user=6VW2CE4AAAAJ
Chester S. Gardner,"Professor of Electrical and Computer Engineering, University of Illinois at Urbana …",illinois.edu,11532,laser radar | laser ranging | atmospheric physics,https://scholar.google.com/citations?hl=en&user=wWdn0rAAAAAJ
Prof. Qasim Chaudhry,"visiting Professor, University of Chester",chester.ac.uk,10875,Safety of chemicals and nanomaterials in food … | Computational toxicology | Biochemical toxicology | Natural p,https://scholar.google.com/citations?hl=en&user=WuhrrlwAAAAJ
Yanting Hu,University of Chester,chester.ac.uk,10825,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uhq25r0AAAAJ
Frank Fish,"Professor of Biology, West Chester University",wcupa.edu,10499,biomechanics | biomimetics | enegetics | swimming | aquatic mammals,https://scholar.google.com/citations?hl=en&user=6TBdKoMAAAAJ
Chester Whitley PhD MD,University of Minnesota,umn.edu,10209,Not Mentioned,https://scholar.google.com/citations?hl=en&user=3PxmH4wAAAAJ
Robert Thornton,"Professor of Physics and Engineering, West Chester University of Pennsylvania",Not Mentioned,8845,astronomy | instrumentation | cosmology,https://scholar.google.com/citations?hl=en&user=DE8Nt8cAAAAJ
Chester Spatt,"Carnegie Mellon University, Tepper School of Business",andrew.cmu.edu,7854,Financial Regulation | Market Microstructure | Taxes and Asset Allocation | Mortgages,https://scholar.google.com/citations?hl=en&user=wYM5K5sAAAAJ
Chester Good,"Professor of Medicine and Pharmacy, University of Pittsburgh",va.gov,7093,Drug Safety | Pharmacy Benefits Management | Conflicts of Interest,https://scholar.google.com/citations?hl=en&user=35PoY2MAAAAJ
Saphwan Al-Assaf,University of Chester,chester.ac.uk,5954,Hydrocolloids | Rheology | Emulsification | Packaging | Radiation Chemistry,https://scholar.google.com/citations?hl=en&user=HUoThnEAAAAJ
Chester W. Price,"Professor Emeritus of Microbiology & Molecular Genetics, University of California Davis",ucdavis.edu,5703,bacterial genetics,https://scholar.google.com/citations?hl=en&user=3-Sfb48AAAAJ
Craig Twist,"Department of Sport and Exercise Sciences, University of Chester, UK",chester.ac.uk,5630,Exercise-induced muscle damage | Rugby league | Fatigue | Recovery,https://scholar.google.com/citations?hl=en&user=ro5BFxwAAAAJ
Frank Michelangeli,university of chester,chester.ac.uk,5412,calcium signalling | calcium transport | toxicology,https://scholar.google.com/citations?hl=en&user=z_dfrdAAAAAJ
Gerard Callanan,"Professor of Management, West Chester University",wcupa.edu,5315,Career Management | Corporate Governance | Business Ethics | International Business,https://scholar.google.com/citations?hl=en&user=Grn5ulgAAAAJ
Paul Bissell,University of Chester,chester.ac.uk,5181,health inequalities | obesity | qualitative research.,https://scholar.google.com/citations?hl=en&user=VkkSXRkAAAAJ
Kurt Kolasinski,"Professor of Chemistry, West Chester University",wcupa.edu,5055,Porous silicon | nanostructures | laser/surface interactions | reaction dynamics,https://scholar.google.com/citations?hl=en&user=lUDewwUAAAAJ
John Buckley,"Professor of Applied Exercise Science, University of Chester",chester.ac.uk,5040,Exercise and Health,https://scholar.google.com/citations?hl=en&user=AOluo_AAAAAJ
Lauri L. Hyers,West Chester University of Pennsylvania,wcupa.edu,4520,Social Psychology,https://scholar.google.com/citations?hl=en&user=-LOJUi0AAAAJ
Graham C. Smith,"Associate Dean & Professor of Physical Sciences, University of Chester",chester.ac.uk,4296,Materials Characterization | Electron Spectroscopy | Electron Microscopy,https://scholar.google.com/citations?hl=en&user=RQ91J8UAAAAJ
Chester Shu,The Chinese University of Hong Kong,ee.cuhk.edu.hk,4110,optical communications | optical signal processing | fiber optics | integrated photonics,https://scholar.google.com/citations?hl=en&user=aQPYEKMAAAAJ
Phil Harris,Professor Emeritus University of Chester,chester.ac.uk,4092,Corporate Social Responsibility | Globalization | Lobbying | Political Marketing | Public Affairs,https://scholar.google.com/citations?hl=en&user=dqM8UOkAAAAJ
Nigel W. John,"Professor of Computer Science, University of Chester",chester.ac.uk,4082,Computer Graphics | Medical Virtual Environments | Augmented Reality,https://scholar.google.com/citations?hl=en&user=rBR7I2EAAAAJ
ken green,"Professor of Physical Education and Youth Sport, University of Chester",chester.ac.uk,4069,physical education | youth sport | sports participation | sociology | Norway,https://scholar.google.com/citations?hl=en&user=8hslNMsAAAAJ
Howard Williams,University of Chester,chester.ac.uk,3933,archaeology | medieval | death | cemeteries,https://scholar.google.com/citations?hl=en&user=YJGmgwQAAAAJ
Professor Kevin L. Lamb,University of Chester,chester.ac.uk,3746,Not Mentioned,https://scholar.google.com/citations?hl=en&user=YInBjp8AAAAJ
tony proctor,"Emeritus Professor, University of Chester",chester.ac.uk,3432,Marketing | Creativity,https://scholar.google.com/citations?hl=en&user=jRmh82EAAAAJ
Paul Kingston,University of Chester,chester.ac.uk,3036,Ageing | Dementia | Safeguarding | Public Health,https://scholar.google.com/citations?hl=en&user=Dhn0QF4AAAAJ
Chester Ho,University of Alberta,ualberta.ca,2941,spinal cord injury | rehabilitation,https://scholar.google.com/citations?hl=en&user=DlgZIMoAAAAJ
Sanford Goldberg,"Chester D. Tripp Professor, Department of Philosophy, Northwestern University",northwestern.edu,2916,Epistemology | Philosophy of Language | Philosophy of Mind,https://scholar.google.com/citations?hl=en&user=3YsZ_B4AAAAJ
Nick Hulbert-Williams,University of Chester,chester.ac.uk,2788,Psychology | Cancer | Behavioural Medicine | Contextual Behavioural Science | Acceptance and Commitment Therapy,https://scholar.google.com/citations?hl=en&user=pqnubKkAAAAJ
Geraldine Martina O'Connor,University of Chester,tcd.ie,2753,Innate Immunity | Receptor polymorphism,https://scholar.google.com/citations?hl=en&user=1Q6CuKkAAAAJ
Chester Britt,"Chair and Professor, Department of Sociology, Iowa State University",iastate.edu,2637,Quantitative Research Methods | Criminological Theory | Race and Justice,https://scholar.google.com/citations?hl=en&user=QOufmCUAAAAJ
Anil K. Kandalam,Professor of Physics at West Chester University,wcupa.edu,2562,Computational materials science | nanoscience | nanoclusters,https://scholar.google.com/citations?hl=en&user=Bz-i7msAAAAJ
Dr Theodoros Papadopoulos,University of Chester,chester.ac.uk,2554,condensed matter physics,https://scholar.google.com/citations?hl=en&user=fFFTdZMAAAAJ
Achaz von Hardenberg,"Senior Lecturer in Conservation Biology, University of Chester",chester.ac.uk,2267,Population biology | behavioural ecology | evolution | conservation biology | mammalogy,https://scholar.google.com/citations?hl=en&user=aObiaQ4AAAAJ
Huimin Li,West Chester University of PA,wcupa.edu,2247,International Financial markets | Contagion | Herding | Asset Pricing,https://scholar.google.com/citations?hl=en&user=aagC8AMAAAAJ
Helen O'Sullivan,University of Chester,chester.ac.uk,2213,Medical Education,https://scholar.google.com/citations?hl=en&user=M_CZT6wAAAAJ
Derek France,"Professor of Pedagogy in Geographical Sciences, University of Chester",chester.ac.uk,2203,Physical Geography | Geography Education | Teaching & Learning | Mobile Learning | Fieldwork,https://scholar.google.com/citations?hl=en&user=rMRikhsAAAAJ
Chester Drum,National University of Singapore,nus.edu.sg,2152,Clinical trials | materials engineering | protein engineering,https://scholar.google.com/citations?hl=en&user=RD4Se34AAAAJ
David Chester,"Associate Professor of Psychology, Virginia Commonwealth University",vcu.edu,2099,Aggression | Emotion | Research Methodology | Self-Regulation | Social Neuroscience,https://scholar.google.com/citations?hl=en&user=FZaE9tEAAAAJ
Gabriele Wagner,"Senior Lecturer of Natural Sciences, University of Chester",chester.ac.uk,2035,Chemistry of platinum group metals | new compounds for cancer treatment,https://scholar.google.com/citations?hl=en&user=nfe355AAAAAJ
Olumayowa Osundeko,"Senior Researcher, University of Chester",chester.ac.uk,2022,Biotechnology | Biofuel | Wastewater Treatment | Water Chemistry | Environmental Chemistry,https://scholar.google.com/citations?hl=en&user=Z5U01nsAAAAJ
Chester Weiss,"Sandia Nat Lab / Univ of New Mexico, Dept of Earth & Planetary Sci",unm.edu,2014,Computational Geophysics,https://scholar.google.com/citations?hl=en&user=xOX34l4AAAAJ
Bin Yang,University of Chester,chester.ac.uk,1945,THz Technology in Material | Chemical and Biological Sciences,https://scholar.google.com/citations?hl=en&user=cyx1QfEAAAAJ
Mark Yang,"Associate Professor, West Chester University of Pennslyvania",wcupa.edu,1906,Sustainability | Supply Chain Management | Operations Management | Technology Management,https://scholar.google.com/citations?hl=en&user=b2kezxoAAAAJ
Jamie Highton,"Lecturer in Sport and Exercise Sciences, University of Chester",chester.ac.uk,1868,Exercise Physiology | Sports Nutrition,https://scholar.google.com/citations?hl=en&user=6aO42ZkAAAAJ
Astrid Schepman,"Senior Lecturer in Psychology, University of Chester",chester.ac.uk,1819,Experimental Psychology | Artificial Intelligence | Laterality | Prosody | Aesthetics,https://scholar.google.com/citations?hl=en&user=tt0ld4sAAAAJ
Claire Lucas,"Chester Medical School, University of Chester",liv.ac.uk,1749,leukemia,https://scholar.google.com/citations?hl=en&user=3MiNHFcAAAAJ
Stacie Metz,"Professor | MPH Program Director | Graduate Coordinator, West Chester University of PA",wcupa.edu,1743,Not Mentioned,https://scholar.google.com/citations?hl=en&user=QoOH-mMAAAAJ
Samar Ansari,"Senior Lecturer, Faculty of Science and Engineering, University of Chester, UK",chester.ac.uk,1739,Machine Learning | Deep Learning | Smart Cities | IoT Applications,https://scholar.google.com/citations?hl=en&user=WYthhycAAAAJ
Chester K Maleszewski,"Lunar and Planetary Laboratory, University of Arizona",orex.lpl.arizona.edu,1713,Planetary Science | Asteroid Surfaces,https://scholar.google.com/citations?hl=en&user=TbXhR8EAAAAJ
Michelle Y Tytherleigh,"Senior Lecturer in Psychology, University of Chester",chester.ac.uk,1695,Positive Psychology | Wellbeing | Pedagogy,https://scholar.google.com/citations?hl=en&user=qfKJmIkAAAAJ
Graham Wilson,University of Chester,chester.ac.uk,1600,Quaternary Science,https://scholar.google.com/citations?hl=en&user=W_vuayUAAAAJ
Jacqueline Potter,University of Chester,chester.ac.uk,1490,environmental biology | geodiversity | HE teaching,https://scholar.google.com/citations?hl=en&user=0dY461EAAAAJ
Yu Jia 贾昱,"Aston University, University of Chester, University of Cambridge",aston.ac.uk,1477,Vibration Dynamics | Energy Harvesting | MEMS | Smart Composites | Smart Embedded Systems,https://scholar.google.com/citations?hl=en&user=vLpRQKsAAAAJ
Mark Duffett,"Reader in Media and Cultural Studies, University of Chester",chester.ac.uk,1435,Media and Music Fandom | Elvis Presley | Popular Music,https://scholar.google.com/citations?hl=en&user=cdwe0O4AAAAJ
YU SHI,The University of Chester,chester.ac.uk,1425,Multifunctional Composite | Finite element method | Structural health monitoring | Energy harvesting | Inkjet printing,https://scholar.google.com/citations?hl=en&user=NP7VOhoAAAAJ
Philip Marren,"Senior Lecturer in Physical Geography, University of Chester",chester.ac.uk,1422,Fluvial geomorphology | Fluvial sedimentology | Physical Geography | Geomorphology | Rivers,https://scholar.google.com/citations?hl=en&user=V7WeRTwAAAAJ
Liz Wang,West Chester University of Pennsylvania,wcupa.edu,1417,Marketing | Internet Marketing | International Marketing | Marketing Education | Service Learning,https://scholar.google.com/citations?hl=en&user=usAdwpoAAAAJ
Julie B. Wiest,"Professor, West Chester University of Pennsylvania",wcupa.edu,1400,Not Mentioned,https://scholar.google.com/citations?hl=en&user=zj-VcNgAAAAJ
Yubin Yan,"Associate Professor of Mathematics, University of Chester",chester.ac.uk,1384,Numerical Analysis | fractionall differential equation | stochastic PDEs,https://scholar.google.com/citations?hl=en&user=3rcwmdYAAAAJ
Lynne Chester,The University of Sydney,sydney.edu.au,1305,Not Mentioned,https://scholar.google.com/citations?hl=en&user=QXcXAvgAAAAJ
