Abbot (Abe) Clark,"Regents Professor of Pharmacology & Neuroscience, U. North Texas Health Science Center",unthsc.edu,20564,molecular pathology | vision research,https://scholar.google.com/citations?hl=en&user=C6mO-eoAAAAJ
Bruce Bunnell,University of North Texas Health Science Center,unthsc.edu,19778,Stem Cells | Tissue Engineering,https://scholar.google.com/citations?hl=en&user=QHz2hYIAAAAJ
Ningyan Zhang,Associate Professor of University of Texas Health Science Center at Houston,uth.tmc.edu,16213,Not Mentioned,https://scholar.google.com/citations?hl=en&user=tAReVx4AAAAJ
Denise M Inman,University of North Texas Health Sciences Center,unthsc.edu,13243,Neuroscience,https://scholar.google.com/citations?hl=en&user=iXM8W_EAAAAJ
Nathan Wiederhold,University of Texas Health Science Center at San Antonio,uthscsa.edu,12083,mycology,https://scholar.google.com/citations?hl=en&user=1s--Bo4AAAAJ
Melissa Lewis,University of North Texas Health Science Center,unthsc.edu,11452,addiction | risky sexual behavior | social influence | prevention | social media,https://scholar.google.com/citations?hl=en&user=AuMfc6UAAAAJ
"Liang-Jun Yan, Ph.D.","Professor of Pharmaceutical Sciences, University of North Texas Health Science Center",unthsc.edu,11120,diabetes | redox biochemistry | mitochondrial oxidative stress | acute kidney injury | chronic kidney disease,https://scholar.google.com/citations?hl=en&user=r17umw8AAAAJ
Robert C. Barber,"Professor, University of North Texas Health Science Center",unthsc.edu,10434,genetics | dementia | critical care,https://scholar.google.com/citations?hl=en&user=amjRRIUAAAAJ
Michael J. Forster,University of North Texas Health Science Center,unthsc.edu,9885,oxidative stress | aging | caloric restriction | biogerontology | substance abuse,https://scholar.google.com/citations?hl=en&user=vBesD5EAAAAJ
Jamboor Vishwanatha,University of North Texas Health Science Center,unthsc.edu,8351,cancer | nanotechnology | health disparities | mentoring,https://scholar.google.com/citations?hl=en&user=iQLUNjkAAAAJ
Iok-Hou Pang,University of North Texas Health Science Center,unthsc.edu,7579,glaucoma | neuroprotection | retina,https://scholar.google.com/citations?hl=en&user=1Clbc7UAAAAJ
J. Michael Mathis,University of North Texas Health Science Center,crimson.ua.edu,7477,cancer biology | gene therapy | oncolytic virotherapy | molecular imaging,https://scholar.google.com/citations?hl=en&user=T_Ujl2MAAAAJ
"Johnathan D. Tune, PhD",University of North Texas Health Science Center,unthsc.edu,7041,Cardiovascular Physiology,https://scholar.google.com/citations?hl=en&user=_BasbVQAAAAJ
Noriaki Aoki,"… Professor, School of Biomedical Informatics, University of Texas Health Science Center at",uth.tmc.edu,6943,Decision Analysis | Medical Management | Public Health Informatics | Emergency Medicine | Disaster,https://scholar.google.com/citations?hl=en&user=50i4pxQAAAAJ
Mohammad Nasir Uddin,"Associate Professor, Texas A&M University Health Science Center College of Medicine",medicine.tamhsc.edu,6669,Not Mentioned,https://scholar.google.com/citations?hl=en&user=wujx27cAAAAJ
Donald E. Watenpaugh,University of North Texas Health Science Center,studiovidenda.com,6438,physiology | exercise | sleep | microgravity | general science,https://scholar.google.com/citations?hl=en&user=R4x3EugAAAAJ
Ningyan Zhang,Univ. of Texas Medical Science Center at Houston,uth.tmc.edu,6308,Not Mentioned,https://scholar.google.com/citations?hl=en&user=IP2bvNQAAAAJ
Michael Coble,University of North Texas Health Science Center,unthsc.edu,5779,Human Genetics | Forensic DNA Typing | Mitochondrial DNA,https://scholar.google.com/citations?hl=en&user=68Xy2QkAAAAJ
Uyen-Sa Nguyen,University of North Texas Health Science Center,unthsc.edu,4921,Epidemiology,https://scholar.google.com/citations?hl=en&user=3PBnaacAAAAJ
Robert Mallet,"Regents Professor of Physiology and Anatomy, Univ. North Texas Health Science Center",unthsc.edu,4883,cardioprotection | neuroprotection | hypoxia | metabolism | antioxidants,https://scholar.google.com/citations?hl=en&user=0mx-tRcAAAAJ
Michael F. Salvatore,"Associate Professor, University of North Texas Health Science Center",unthsc.edu,4818,neuroscience | pharmacology | Parkinson's disease | aging | tyrosine hydroxylase,https://scholar.google.com/citations?hl=en&user=aq8YixQAAAAJ
S. Suresh Madhavan,University of North Texas Health Science Center System College of Pharmacy,unthsc.edu,4375,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uQVf4ZoAAAAJ
Andras Lacko,University of North Texas Health Science Center,unthsc.edu,4201,Drug Delivery | Lipoprotein metabolism,https://scholar.google.com/citations?hl=en&user=pkuah4sAAAAJ
Nikita Bharat Ruparel,University of Texas Health Science Center at San Antonio,uthscsa.edu,4201,Pain Biology | Neuroscience | Stem Cell Biology | Tissue Engineering,https://scholar.google.com/citations?hl=en&user=_mHGSgUAAAAJ
Yu-Chieh Wang,University of North Texas Health Science Center,unthsc.edu,4072,Stem Cell Biology | Cancer Biology | Disease Modeling | Regerenrative Medicine,https://scholar.google.com/citations?hl=en&user=_g23hdAAAAAJ
Natalia Pessoa Rocha,"Assistant Professor, The University of Texas Health Science Center at Houston",uth.tmc.edu,3949,Neuropsychiatry | Neuroimmunology | Neurodegenerative diseases | Biomarkers,https://scholar.google.com/citations?hl=en&user=rw19CwQAAAAJ
Eric Yiqiang CHENG,"Professor of Pharmacy, University of North Texas Health Science Center",unthsc.edu,3804,Natural product | synthetic biology | anticancer | metabolic engineering,https://scholar.google.com/citations?hl=en&user=WdaDY0YAAAAJ
Eun-Young Mun,"… of Health Behavior and Health Systems, University of North Texas Health Science Center",unthsc.edu,3651,Brief Alcohol Interventions | Randomized Controlled Trials | Integrative Data Analysis | Meta-analysis | Data Integration,https://scholar.google.com/citations?hl=en&user=ocC6TZ8AAAAJ
Jonathan L. King,University of North Texas Health Science Center,unthsc.edu,3604,Forensic Genetics | Molecular Biology | Next Generation Sequencing | Short Tandem Repeat | Mitochondrial DNA Analysis,https://scholar.google.com/citations?hl=en&user=d6xQB3oAAAAJ
Dong-ming Su,University of North Texas Health Science Center,unthsc.edu,3162,thymus | T cells | immunosenescence | inflammaging | autoimmunity,https://scholar.google.com/citations?hl=en&user=pER4b4IAAAAJ
Dmitri N. Ivanov,University of Texas Health Science Center at San Antonio,uthscsa.edu,2985,Biochemistry | Structural Biology | HIV/AIDS | Innate Immunity | DNA Repair,https://scholar.google.com/citations?hl=en&user=3qzKyDAAAAAJ
"Nagarjun Konduru, Ph.D",University of Texas Health Science Center at Tyler,uthct.edu,2956,Nanotechnology and Nanotoxicology,https://scholar.google.com/citations?hl=en&user=CF_MhhQAAAAJ
Tracey E Barnett,"Associate Professor, University of North Texas Health Science Center",unthsc.edu,2611,tobacco | e-cigarettes/vape | hookah | young adults | adolescents,https://scholar.google.com/citations?hl=en&user=lb2pkPQAAAAJ
Dimitrios Karamichos,University of North Texas Health Science Center,unthsc.edu,2560,Corneal fibrosis | Keratoconus | Diabetic Keratopathy,https://scholar.google.com/citations?hl=en&user=sWniAxUAAAAJ
Xuewen Wang,"University of North Texas, Health Science Center",unthsc.edu,2432,Bioinformatics | Genomics and genetics | DNA variation & Forensics | Genome & Omics,https://scholar.google.com/citations?hl=en&user=jXfdcm0AAAAJ
Shafik Dharamsi,"Dean & Professor, School of Public Health, University of North Texas Health Science Center",unthsc.edu,2200,Health Equity | Global Public Health | Social Epidemiology | Medical Humanities | Medical Education,https://scholar.google.com/citations?hl=en&user=XC8hJeoAAAAJ
Erika L. Thompson,University of North Texas Health Science Center,unthsc.edu,2177,Sexual and Reproductive Health,https://scholar.google.com/citations?hl=en&user=Qg5k1OcAAAAJ
Nikunj Satani,"Assistant Professor, Vascular Neurology, The University of Texas Health Science Center at …",uth.tmc.edu,2113,Molecular Biology | Stroke | Cancer Immunotherapy | Vascular Neurology | Drug Discovery,https://scholar.google.com/citations?hl=en&user=sSa7bNMAAAAJ
"Nuray Yozbatiran, PT, Ph.D.","University of Texas Health Science Center at Houston, Department of Physical Medicine and",uth.tmc.edu,2092,Stroke rehabilitation | Spinal Cord Injury rehabilitation | Non-invasive brain stimulation | Vagus Nerve Stimulation | Robotic rehab,https://scholar.google.com/citations?hl=en&user=6jAy9bkAAAAJ
Ladislav Dory,Professor; University of North Texas Health Science Center,unthsc.edu,2004,Biochemistry | oxidative stress | atherosclerosis | extracellular superoxide dismutase | disease,https://scholar.google.com/citations?hl=en&user=foKkydsAAAAJ
Nandakumar Natarajan PhD,"Assistant Professor/Research, The University of Texas Health Science Center at Tyler",uthct.edu,1991,Cancer Pharmacology | Cell Signaling Pathways | Inhibitors of NF-κB,https://scholar.google.com/citations?hl=en&user=9Ih-Pg0AAAAJ
Jianye Ge,"Associate Professor, Univ. of North Texas Health Science Center",unthsc.edu,1918,Computer science | Computational Biology | Bioinformatics | Genomics,https://scholar.google.com/citations?hl=en&user=2Tq-_d4AAAAJ
Michael F Salvatore,University of North Texas Health Science Center,unthsc.edu,1904,Parkinson's | aging | tyrosine hydroxylase | motor function,https://scholar.google.com/citations?hl=en&user=zDzrB3kAAAAJ
Xiaowei Dong,University of North Texas Health Science Center,unthsc.edu,1819,Pharmaceutical Sciences,https://scholar.google.com/citations?hl=en&user=yQGl13MAAAAJ
Sterling B. Ortega,University of North Texas Health Science Center,unthsc.edu,1802,Neuroimmunology | Autoimmunity | Stroke,https://scholar.google.com/citations?hl=en&user=rmuRhCAAAAAJ
Kristine Lykens,University of North Texas Health Science Center,unthsc.edu,1776,health policy | children's health | health services,https://scholar.google.com/citations?hl=en&user=NF8gONoAAAAJ
Shaoqing He,"University of North Texas Health Science Center, North Texas Eye Research Center",unthsc.edu,1683,Glaucoma,https://scholar.google.com/citations?hl=en&user=EFh12KcAAAAJ
Jin Liu,University of North Texas Health Science Center,unthsc.edu,1608,Computational Biology | Computational Chemistry | Allostery | CRISPR | Drug Discovery,https://scholar.google.com/citations?hl=en&user=BR4ybQgAAAAJ
Rafal Fudala,University of North Texas Health Science Center,unthsc.edu,1505,Not Mentioned,https://scholar.google.com/citations?hl=en&user=vCrT5CsAAAAJ
Pankaj Chaudhary,"University of North Texas Health Science Center, Fort Worth, Texas, 76107",unthsc.edu,1476,Cancer | Signaling,https://scholar.google.com/citations?hl=en&user=xwtvvWUAAAAJ
Michael S. Allen,"Associate Professor, University of North Texas Health Science Center",unthsc.edu,1458,microbiome | tick-borne disease | environmental microbiology,https://scholar.google.com/citations?hl=en&user=i5zVq1MAAAAJ
Harlan Jones,University of North Texas Health Science Center,unthsc.edu,1358,Not Mentioned,https://scholar.google.com/citations?hl=en&user=bC_yafUAAAAJ
luokun xie,University of North Texas Health Science Center,unthsc.edu,1299,Immunology and Neuroscience,https://scholar.google.com/citations?hl=en&user=k0Gkb6UAAAAJ
Rebecca L Cunningham,"Professor, University of North Texas Health Science Center",unthsc.edu,1286,Neuroendocrinology,https://scholar.google.com/citations?hl=en&user=p1Vbt54AAAAJ
Nicholas F Dybdal-Hargreaves,"Graduate Student, University of Texas Health Science Center at San Antonio (UTHSCSA)",livemail.uthscsa.edu,1204,Dentistry | Head and Neck Cancers | Pharmacology,https://scholar.google.com/citations?hl=en&user=EXt5934AAAAJ
Meng Huang,Research Scientist of Statistical Genetics; University of North Texas Health Science Center,unthsc.edu,1161,Statistical Genetics | Programming | Human Genetics | Animal Breeding | Plant Breeding,https://scholar.google.com/citations?hl=en&user=z7Bh_CsAAAAJ
Hongli Wu,University of North Texas Health Science Center,unthsc.edu,1157,Redox Biology,https://scholar.google.com/citations?hl=en&user=S0O3jl4AAAAJ
Jayoung Kim,University of North Texas Health Science Center,unthsc.edu,1139,Gene / Drug Delivery,https://scholar.google.com/citations?hl=en&user=hJEI_jAAAAAJ
Nicola Riccardo Polizzotto,University of Texas Health Science Center at Houston,uth.tmc.edu,1127,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uC3U2h0AAAAJ
Ajaykumar N. Sharma,"University of Texas Health Science Center, Wright State University, Nagpur University",uth.tmc.edu,1056,Pharmacology | Neuropharmacology | Behavioral Pharmacology | Neuroscience,https://scholar.google.com/citations?hl=en&user=bf3P7kUAAAAJ
Fen Sun,University of North Texas Health Science Center,unthsc.edu,1055,neuroscience | stroke | neurogenesis | metabolism disorders,https://scholar.google.com/citations?hl=en&user=XpYC900AAAAJ
Nuria Lacuey Lecumberri,University of Texas Health Sciences Center,Not Mentioned,1045,Epilepsy,https://scholar.google.com/citations?hl=en&user=nWRfJXsAAAAJ
Frank Papa,University of North Texas Health Science Center,unthsc.edu,821,medical education | differential diagnosis | concept formation | diagnostic competence | computer assisted instruction,https://scholar.google.com/citations?hl=en&user=R__BFiQAAAAJ
Manish Kumar,"west virginia university, University of North Texas Health Science Center",hsc.wvu.edu,733,channel biology | pathology | medicine,https://scholar.google.com/citations?hl=en&user=y8dGnEwAAAAJ
Stacey Griner,University of North Texas Health Science Center,unthsc.edu,689,Women's Health | Sexually Transmitted Infections | Dissemination and Implementation Science,https://scholar.google.com/citations?hl=en&user=VYLp5w4AAAAJ
