Christian Robert,"Université Paris Dauphine, PSL & University of Warwick",ceremade.dauphine.fr,42675,Bayesian Statistics | Monte Carlo methods | econometrics | astronomy | genetics,https://scholar.google.com/citations?hl=en&user=g_q39ZUAAAAJ
Antonin Chambolle,"CEREMADE, CNRS & Université Paris-Dauphine, PSL Research University",ceremade.dauphine.fr,23038,Applied Mathematics | Calculus of Variations | Numerical Analysis | Optimization | Image Processing.,https://scholar.google.com/citations?hl=en&user=eGLUzVEAAAAJ
Jean-Michel Lasry,Paris Dauphine University,Not Mentioned,12384,mathematics | economics,https://scholar.google.com/citations?hl=en&user=qxGYNZIAAAAJ
Edwin Diday,Professor Paris Dauphine University,ceremade.dauphine.fr,10617,Data Mining | Symbolic Data Analysis | Classification | Fouille de Données | Analyse de données,https://scholar.google.com/citations?hl=en&user=91DRaWQAAAAJ
Mustafa Ozbilgin,"… of Organisational Behaviour, Brunel University (London) and Universite Paris-Dauphine",brunel.ac.uk,8933,equality | diversity management | inclusion | organisation studies | organisational behaviour,https://scholar.google.com/citations?hl=en&user=7a0xI50AAAAJ
Witold Litwin,"Professor of Computer Science, University Paris Dauphine",dauphine.fr,8184,Scalable Distributed Data Structures | Data bases | Cloud Databases,https://scholar.google.com/citations?hl=en&user=6Rbf6EUAAAAJ
Eve Caroli,Université Paris Dauphine PSL,dauphine.fr,7359,Labour | Health at work | Gender,https://scholar.google.com/citations?hl=en&user=UgU1jncAAAAJ
Fabrice Rossi,"Professor of Data Science, CEREMADE, Université Paris Dauphine PSL",dauphine.psl.eu,7058,Statistics | Machine Learning | Visualization,https://scholar.google.com/citations?hl=en&user=SrbBAwcAAAAJ
Jean DOLBEAULT,"Ceremade, Université Paris-Dauphine",ceremade.dauphine.fr,6993,Mathématiques | Physique,https://scholar.google.com/citations?hl=en&user=ky2LFVsAAAAJ
Jean-François Chanlat,Professeur Université Paris-Dauphine,dauphine.fr,6836,sociologie | anthropologie | gestion des ressourcs humaine | management interculturel | bien être au travail,https://scholar.google.com/citations?hl=en&user=CKFFzxwAAAAJ
Gabriel Turinici,"applied mathematics professor, Université Paris Dauphine - PSL",dauphine.fr,6513,epidemiology | numerical analysis | machine learning | quantum control | mathematical finance,https://scholar.google.com/citations?hl=en&user=yajavGcAAAAJ
Maria J. ESTEBAN,"Directrice de recherche, CNRS & Université Paris-Dauphine",ceremade.dauphine.fr,5738,esteban@ceremade.dauphine.fr,https://scholar.google.com/citations?hl=en&user=6nqz3rEAAAAJ
Khalid Belhajjame,"PSL, Université Paris-Dauphine, LAMSADE",dauphine.fr,5448,Data preparation | Provenance | Scientific workflows | Knowledge graphs,https://scholar.google.com/citations?hl=en&user=b5syZJMAAAAJ
Joaquim Oliveira Martins,"OECD and Associate Professor Economics, PSL-University Paris Dauphine",oecd.org,5007,Economics,https://scholar.google.com/citations?hl=en&user=nDe18ZkAAAAJ
Farid Toubal,"University of Paris-Dauphine -- PSL, LEDa",dauphine.psl.eu,4654,International Economics,https://scholar.google.com/citations?hl=en&user=zTh5dN8AAAAJ
Peter Eibich,Université Paris Dauphine,dauphine.psl.eu,4317,Health Economics,https://scholar.google.com/citations?hl=en&user=0YBYtKsAAAAJ
Florence Jusot,"professeur de sciences économiques, Université Paris-Dauphine",dauphine.fr,4102,health economics,https://scholar.google.com/citations?hl=en&user=T0dwJRoAAAAJ
Stefano Olla,"Professor of Mathematics, Université Paris Dauphine, PSL, CEREMADE",ceremade.dauphine.fr,3972,Not Mentioned,https://scholar.google.com/citations?hl=en&user=11CgqHMAAAAJ
Vangelis Paschos,"Professeur d'Informatique, LAMSADE, Université Paris-Dauphine",lamsade.dauphine.fr,3853,Informatique Théorique,https://scholar.google.com/citations?hl=en&user=dCUE-DUAAAAJ
yann chevaleyre,"Professor of Computer Science, Université Paris Dauphine",dauphine.fr,3811,Artificial Intelligence and Machine Learning,https://scholar.google.com/citations?hl=en&user=SF6g8p4AAAAJ
Bernard PRAS,Université paris dauphine - Essec,essec.edu,3804,Not Mentioned,https://scholar.google.com/citations?hl=en&user=6AGXxo0AAAAJ
Albert David,"Professor of management, Paris-Dauphine University, PSL Research University",dauphine.fr,3667,management of innovation | managerial creativity,https://scholar.google.com/citations?hl=en&user=4Fvgmr4AAAAJ
bruno bouchard,Université Paris Dauphine - PSL,ceremade.dauphine.fr,3489,Numerical probability | stochastic control | mathematical finance,https://scholar.google.com/citations?hl=en&user=6uTXt2IAAAAJ
Mathieu Lewin,CNRS & Université Paris-Dauphine,math.cnrs.fr,3399,mathematical physics | nonlinear analysis | spectral theory | quantum mechanics | statistical mechanics,https://scholar.google.com/citations?hl=en&user=MEwCgkcAAAAJ
Eric Séré,"CEREMADE, Université Paris-Dauphine, PSL Research University, UMR 7534",ceremade.dauphine.fr,3014,Not Mentioned,https://scholar.google.com/citations?hl=en&user=BXQYXsEAAAAJ
Thierry Kirat,"Directeur de recherche au CNRS, IRISSO, Paris Dauphine",dauphine.fr,2938,droit | économie | sociologie du droit | théorie du droit | intelligence artificielle,https://scholar.google.com/citations?hl=en&user=D8jhCfwAAAAJ
A. Ridha Mahjoub,"Professor of Operations Research, Université Paris-Dauphine",lamsade.dauphine.fr,2929,Operations Research | Combinatorial Optimization | Mathematical Programming | Graphs | Computer science,https://scholar.google.com/citations?hl=en&user=yDXNzfIAAAAJ
François Huveneers,"CEREMADE, Université Paris-Dauphine",ceremade.dauphine.fr,2913,Statistical Physics,https://scholar.google.com/citations?hl=en&user=t0I7RXcAAAAJ
Tristan Cazenave,Professor Université Paris-Dauphine PSL CNRS,lamsade.dauphine.fr,2722,Artificial Intelligence | Computer Games | Monte Carlo Search | Deep Learning,https://scholar.google.com/citations?hl=en&user=FLamzMUAAAAJ
brigitte dormont,"professor of economics, PSL, university Paris Dauphine",dauphine.fr,2645,health economics | microeconometrics,https://scholar.google.com/citations?hl=en&user=PF3OhXcAAAAJ
François-xavier de vaujany,"Professor, Université Paris Dauphine-PSL, DRM",dauphine.fr,2569,Organization Studies | Philosophy of management | History of Management | Digitality | Future of work,https://scholar.google.com/citations?hl=en&user=Rfk4T1YAAAAJ
Pierre Desmet,"Professor of marketing, Paris-Dauphine University & Essec business school",dauphine.fr,2515,Pricing | Marketing models | Sales Promotion,https://scholar.google.com/citations?hl=en&user=b7inSjkAAAAJ
jerome monnot,"directeur de recherche, Lamsade, université Paris-Dauphine",lamsade.dauphine.fr,2501,Théorie de la complexité | approximation polynomiale | optimisation combinatoire | Théorie des jeux algorithmique | ré-optimisation,https://scholar.google.com/citations?hl=en&user=mm6HxiMAAAAJ
Daniela Grigori,Université Paris-Dauphine,dauphine.fr,2465,Not Mentioned,https://scholar.google.com/citations?hl=en&user=uOpbfVsAAAAJ
Marc Hoffmann,"Professor of Statistics, University Paris-Dauphine",ceremade.dauphine.fr,2445,Statistics | random processes | nonparametric estimation,https://scholar.google.com/citations?hl=en&user=mpe5uUEAAAAJ
Eric Bonsang,Université Paris-Dauphine - PSL Research University,dauphine.fr,2436,Health Economics | Labor and Demographic Economics | Economics of Ageing,https://scholar.google.com/citations?hl=en&user=RH30vooAAAAJ
Stéphanie Monjon,"Université Paris Dauphine, CIRED et CEPII",dauphine.fr,2421,Environment economics | Climate policy economics,https://scholar.google.com/citations?hl=en&user=kqGnUcQAAAAJ
Nicolas Berland,Paris Dauphine Université,dauphine.psl.eu,2415,Management accounting,https://scholar.google.com/citations?hl=en&user=G5cJQQEAAAAJ
Florian Yger,"PSL-Université Paris-Dauphine, LAMSADE/MILES, PRAIRIE",dauphine.fr,2389,Machine learning,https://scholar.google.com/citations?hl=en&user=NF_1_38AAAAJ
Anne Laferrere,CREST and University Paris-Dauphine,dauphine.psl.eu,2308,Family economics | Housing economics | Ageing,https://scholar.google.com/citations?hl=en&user=HGp5egcAAAAJ
Pascal Dumontier,"Université Paris-Dauphine, PSL Research University",dauphine.fr,2265,financial reporting | corporate finance,https://scholar.google.com/citations?hl=en&user=8XgfexMAAAAJ
Béatrice Parguel,"CNRS, Université Paris-Dauphine",dauphine.fr,2256,marketing | innovation,https://scholar.google.com/citations?hl=en&user=y-B9LwEAAAAJ
Anna Creti,Université Paris Dauphine,Not Mentioned,2184,Not Mentioned,https://scholar.google.com/citations?hl=en&user=igOgdrMAAAAJ
pierre volle,Université Paris-Dauphine,dauphine.fr,2164,Customer management,https://scholar.google.com/citations?hl=en&user=Drv9zY8AAAAJ
Alexandre Allauzen,"Université Paris-Dauphine and EPSCI, PSL",dauphine.psl.eu,2054,Deep-Learning | Statistical language modeling | Statistical Machine Translation,https://scholar.google.com/citations?hl=en&user=B2-gXkkAAAAJ
