Adrian Furnham,"Professor of Psychology, BI: Norwegian Business School",adrianfurnham.com,144363,Organisational psychology | psychometrics | especially personality assessment | complementary medicine | cross-cultural psychology,https://scholar.google.com/citations?hl=en&user=QKUOm8EAAAAJ
Jorgen Randers,Professor BI Norwegian Business School,bi.no,53514,Future studies | Climate and energy policy | System dynamics,https://scholar.google.com/citations?hl=en&user=9tfxC3AqN70C
Håkan Håkansson,Professor BI Norwegian Business School,bi.no,47215,business relationships and networks,https://scholar.google.com/citations?hl=en&user=z-gOkhkAAAAJ
Anders Gustafsson,"Professor of Marketing, BI Norwegian Business School",bi.no,24320,Marketing | Service | CX | Customer Experience | Service Innovation,https://scholar.google.com/citations?hl=en&user=srQ5SFkAAAAJ
Hans Georg Gemünden,BI Norwegian Business School,tim.tu-berlin.de,22289,Innovation Management,https://scholar.google.com/citations?hl=en&user=O1iSQfkAAAAJ
fabio canova,BI Norwegian Business School,bi.no,18237,macroeconomics | econometrics | business cycles,https://scholar.google.com/citations?hl=en&user=cjPFPTwAAAAJ
Ralf Müller,"Professor of Project Management, BI Norwegian Business School",bi.no,17937,project management | project governance | governance of projects | governmentality | organizational project management,https://scholar.google.com/citations?hl=en&user=mQT7xxIAAAAJ
Morten Huse,"Prof emeritus at BI Norwegian Business School, and vis prof. at ICADE Comillas and Vaasa …",bi.no,17227,Boards of directors | Corporate Governance | Women on boards | Family Business | Value Creation,https://scholar.google.com/citations?hl=en&user=A3uYtIQAAAAJ
Jan-Michael Becker,Associate Professor at BI Norwegian Business School,bi.no,14669,Data Analytics | Partial Least Squares | Structural Equation Modeling | Measurement Theory,https://scholar.google.com/citations?hl=en&user=6-gGk0UAAAAJ
Petter Gottschalk,"… , Department of Leadership and Organizational Behavior, BI Norwegian Business School",bi.no,10258,knowledge management | fraud examination | white-collar crime | corporate crime,https://scholar.google.com/citations?hl=en&user=-3axpNsAAAAJ
Bard Kuvaas,BI Norwegian Business School,bi.no,9728,Human Resource Mangement | ledelse | organisasjonsatferd,https://scholar.google.com/citations?hl=en&user=IR1gVGUAAAAJ
Scott Isaksen,"Professor of Leadership and Organizational Behavior, BI Norwegian Business School",cpsb.com,9697,creativity | innovation | creative climate | problem-solving style | creative problem solving,https://scholar.google.com/citations?hl=en&user=lszIEvUAAAAJ
Prof. Dr. Nicky Dries,KU Leuven & BI Norwegian Business School,econ.kuleuven.be,8771,talent management | potential | careers | career success | future of work,https://scholar.google.com/citations?hl=en&user=AZS7EegAAAAJ
luk warlop,"Professor of Marketing, BI Norwegian Business School",bi.no,8587,Not Mentioned,https://scholar.google.com/citations?hl=en&user=1MrzgKYAAAAJ
Carl F. Fey,"Provost, Research and Societal Impact, BI Norwegian Business School",bi.no,8520,International Business--How cultural and …,https://scholar.google.com/citations?hl=en&user=ZJw4UccAAAAJ
Ulf Andersson,"Professor, Mälardalen University and Adjunct Professor, BI Norwegian Business School",mdh.se,8456,Subsidiaries | Subsidiary Research | Strategic Management | International Business | Embeddedness,https://scholar.google.com/citations?hl=en&user=wR2MJBIAAAAJ
Anders Dysvik,Professor of Organizational Behavior at BI Norwegian Business School,bi.no,8119,HRM | Organizational Behavior | Leadership,https://scholar.google.com/citations?hl=en&user=lKVpUyEAAAAJ
Fred Selnes,BI Norwegian Business School,bi.no,7887,Marketing strategy and management,https://scholar.google.com/citations?hl=en&user=lWpcDTcAAAAJ
Benny Geys,BI Norwegian Business School,bi.no,7481,Political Economics | accountability | local government.,https://scholar.google.com/citations?hl=en&user=uunNUBUAAAAJ
Gabriel RG Benito,"Professor, BI Norwegian Business School",bi.no,7083,Strategy | International Business | International Management,https://scholar.google.com/citations?hl=en&user=pla5kqkAAAAJ
