"Wei Zhang, PhD","Assistant Professor of Physical Therapy, College of Staten Island, City University of New …",csi.cuny.edu,32175,Motor function recovery | Motor control of manual tasks | Sensorimotor integration | Neurophysiology and biomechanics of human …,https://scholar.google.com/citations?hl=en&user=8zEIdB8AAAAJ
Patricia J. Brooks,"Professor of Psychology, College of Staten Island and the Graduate Center, CUNY",csi.cuny.edu,9826,Language Development | Pedagogy | Media Literacy | Individual Differences | Language and Cognition,https://scholar.google.com/citations?hl=en&user=2PsFatwAAAAJ
shuiqin zhou,"Professor of Chemistry, College of Staten Island, City University of New York",csi.cuny.edu,9721,responsive nanogels | carbon dots | biosensing | bioimaging | smart drug delivery,https://scholar.google.com/citations?hl=en&user=0J6emR8AAAAJ
Barbara DiCicco-Bloom,"College of Staten Island, City University of New York ",csi.cuny.edu,9580,Nursing | Information Sharing | Organizations | Hospice | Ethnography,https://scholar.google.com/citations?hl=en&user=15WJTbcAAAAJ
Li Ge,"Professor, Department of Physics and Astronomy, College of Staten Island, CUNY",csi.cuny.edu,9140,nanophotonics | laser theory | classical and quantum optics,https://scholar.google.com/citations?hl=en&user=ga1tHC4AAAAJ
Syed Rizvi,"Professor of Electrical Engineering, College of Staten Island of The City University of New …",csi.cuny.edu,7581,Image Processing | Computer Vision | Pattern Recognition | Machine Learning,https://scholar.google.com/citations?hl=en&user=sBdriskAAAAJ
Jimmie E. Fata,"Associate Professor, Department of Biology, College of Staten Island, City University of New …",csi.cuny.edu,6222,Mammary Gland Biology | Breast Cancer,https://scholar.google.com/citations?hl=en&user=3S5N8VcAAAAJ
Alexander Zaitsev,"Professor of physics, College of Staten Island",csi.cuny.edu,4962,diamond,https://scholar.google.com/citations?hl=en&user=Ha-znY4AAAAJ
sarah benesch,"College of Staten Island, CUNY",csi.cuny.edu,4592,Not Mentioned,https://scholar.google.com/citations?hl=en&user=-afPMH0AAAAJ
Soon Ae Chun,"Professor of IS/Informatics, Graduate Comp Sci & Data Sci, CUNY, College of Staten Island",csi.cuny.edu,4533,Digital Government | Artificial Intelligence | Machine Learning | Security and Privacy | Semantic Web,https://scholar.google.com/citations?hl=en&user=mE0JBT0AAAAJ
Kristen Gillespie-Lynch,Associate Professor College of Staten Island; Graduate Center CUNY,csi.cuny.edu,3892,autism | communication | computer | neurodiversity | stigma,https://scholar.google.com/citations?hl=en&user=pzNqflMAAAAJ
Mark Feuer,"CUNY-College of Staten Island, AT&T, JDSU",ieee.org,3535,Not Mentioned,https://scholar.google.com/citations?hl=en&user=-2CzWkkAAAAJ
Alan Lyons,"Professor of Chemistry, College of Staten Island, City University of New York",csi.cuny.edu,3456,Mutlifunctional superhydrophobic surfaces | wetting and condensation phenomena | singlet oxygen for photodynamic therapy,https://scholar.google.com/citations?hl=en&user=PP-ddqEAAAAJ
Abdeslem El Idrissi,"Professor, Biology, College of Staten Island, City University of New York",csi.cuny.edu,3091,Taurine | Fragile X | Autism | GABA | Aging,https://scholar.google.com/citations?hl=en&user=QwODVeMAAAAJ
Vivian de la Incera,city university of new york-college of staten island,csi.cuny.edu,2990,nuclear physics | high-energy physics | astrophysics,https://scholar.google.com/citations?hl=en&user=CqsXZtQAAAAJ
Deepa Aravind,"Associate Professor of Management, City University of New York - College of Staten Island  …",csi.cuny.edu,2882,Innovation | Management Practices | Corporate Social Responsibility | Environmental Management | ISO 14001,https://scholar.google.com/citations?hl=en&user=2TTp0u8AAAAJ
Nan M. Sussman,"Professor of Psychology, College of Staten Island, CUNY",csi.cuny.edu,2682,Return migration | repatriation | nonverbal behavior,https://scholar.google.com/citations?hl=en&user=o_aNcB0AAAAJ
