John W. Scott,University of Florida/IFAS Gulf Coast Research,ufl.edu,75610,tomato breeding | horticulture,https://scholar.google.com/citations?hl=en&user=N-hMHE4AAAAJ
Rosemary Higgins,Florida Gulf Coast University,fgcu.edu,40544,neonatology,https://scholar.google.com/citations?hl=en&user=MGV4IScAAAAJ
William J Mitsch,"Everglades Wetland Research Park, Water School, Florida Gulf Coast University",fgcu.edu,38912,wetland ecology | ecological engineering | ecosystem ecology,https://scholar.google.com/citations?hl=en&user=JxbjgBkAAAAJ
Derek Buzasi,"Whitaker Eminent Scholar, Florida Gulf Coast University",fgcu.edu,9681,Stellar Astrophysics | Astronomical Instrumentation | Exoplanets,https://scholar.google.com/citations?hl=en&user=F6C-UZUAAAAJ
Jacqueline Eastman,Alico Eminent Scholar & Professor of Marketing,fgcu.edu,8230,Status consumption | luxury | sustainability | generational cohorts | consumer behavior.,https://scholar.google.com/citations?hl=en&user=G9HESr8AAAAJ
R. Nathan Pipitone,Florida Gulf Coast University,fgcu.edu,7869,Evolution and Human Behavior,https://scholar.google.com/citations?hl=en&user=Xvqh8BQAAAAJ
Hidetoshi Urakawa,"Professor, Florida Gulf Coast University",fgcu.edu,6720,Ecosystems Ecology | Environmental Microbiology | Nitrogen Cycle,https://scholar.google.com/citations?hl=en&user=agv3DVIAAAAJ
Daniel Lambrecht,Florida Gulf Coast University & University of Pittsburgh,fgcu.edu,6041,Computational and Theoretical Chemistry,https://scholar.google.com/citations?hl=en&user=h0O1xj8AAAAJ
Thomas M. Missimer,"Eminent Scholar, Florida Gulf Coast University",fgcu.edu,5965,hydrogeology | geology | water resources management | artificial recharge,https://scholar.google.com/citations?hl=en&user=WJkDj3gAAAAJ
Rajesh Srivastava,"Professor of Supply Chain Management, Florida Gulf Coast University",fgcu.edu,5188,Not Mentioned,https://scholar.google.com/citations?hl=en&user=gYa93qwAAAAJ
Sharon Isern,"Professor, Florida Gulf Coast University",fgcu.edu,4609,virology,https://scholar.google.com/citations?hl=en&user=s7377ncAAAAJ
Michael Fauerbach,"Professor of Physics and Astronomy, Florida Gulf Coast University",fgcu.edu,4569,physics | astronomy,https://scholar.google.com/citations?hl=en&user=O8HFjBwAAAAJ
Eric B. Dent,Florida Gulf Coast University,fgcu.edu,4079,leadership | complexity science | change | spirituality | ethics,https://scholar.google.com/citations?hl=en&user=QsitvuQAAAAJ
Mathew Sheep,Florida Gulf Coast University,fgcu.edu,3935,identity | creativity | paradox | discourse,https://scholar.google.com/citations?hl=en&user=9C_TCh4AAAAJ
"Mitchell L. Cordova, PhD, ATC","Vice President & Professor, Florida Gulf Coast University",fgcu.edu,3853,Chronic Ankle Instability | Prophylactic Ankle Support | Ankle and Knee Osteoarthritis,https://scholar.google.com/citations?hl=en&user=WyKKRxsAAAAJ
Michael L. Parsons,"Professor of Marine Science, Florida Gulf Coast University",fgcu.edu,3577,biological oceanography | phytoplankton ecology | harmful algal blooms | ciguatera poisoning,https://scholar.google.com/citations?hl=en&user=4GL_fe0AAAAJ
Huzefa Kagdi,Florida Gulf Coast University,fgcu.edu,3359,Software Engineering | Software Maintenance and Evolution | Software Analytics | Mining Software Repositories | Program Comprehensio,https://scholar.google.com/citations?hl=en&user=pjtXU_0AAAAJ
Anurag Agarwal,"Professor, Florida Gulf Coast University, Ft. Myers, FL",fgcu.edu,3223,Heuristics | Metaheuristics | Scheduling | Operations Management | Neural Networks,https://scholar.google.com/citations?hl=en&user=RT63mDMAAAAJ
"Hasan Aydin, Ph.D.","Professor of Multicultural Education, Florida Gulf Coast University",fgcu.edu,3058,Multicultural Education | Multilingualism | Diversity | Global Citizenship Education | Human Rights,https://scholar.google.com/citations?hl=en&user=6wqSLlAAAAAJ
Jayanta Gupta,"Associate Professor, Florida Gulf Coast University, Fort Myers, FL",fgcu.edu,2869,Epidemiology | Molecular Epidemiology | Genetic Epidemiology,https://scholar.google.com/citations?hl=en&user=hdG_TCMAAAAJ
Peter Meso,Florida Gulf Coast University,fgcu.edu,2844,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Ipr6pRUAAAAJ
Mark Rieger,Florida Gulf Coast University,fgcu.edu,2815,Agriculture | Environment | Higher Education,https://scholar.google.com/citations?hl=en&user=Aspo_oEAAAAJ
