Jerzy Leszczynski,"Professor of Chemistry and President's Distinguished Fellow, Jackson State University",icnanotox.org,38911,Computational Chemistry,https://scholar.google.com/citations?hl=en&user=n4FDvxAAAAAJ
Thomas N. Jackson,"Robert E. Kirby Chair Professor of Electrical Engineering, Penn State University",psu.edu,27271,Electrical Engineering | Material Science and Engineering | Applied Phyics,https://scholar.google.com/citations?hl=en&user=YJGaVCQAAAAJ
Paul Tchounwou,Jackson State University,jsums.edu,25350,Molecular Toxicology | Cancer chemotherapy,https://scholar.google.com/citations?hl=en&user=J_ZWOWQAAAAJ
Paresh Chandra  Ray,"Professor of chemistry, Jackson State University",jsums.edu,16850,chemistry | Physics | Nanoscience | Surface Spectroscopy,https://scholar.google.com/citations?hl=en&user=u_sthpoAAAAJ
John Watts,Jackson State University,jsums.edu,10466,Chemistry,https://scholar.google.com/citations?hl=en&user=hEX3dccAAAAJ
Derek F. Jackson Kimball,"Professor of Physics, California State University - East Bay",csueastbay.edu,7222,tests of fundamental symmetries | atomic spectroscopy | atomic magnetometry | dark matter,https://scholar.google.com/citations?hl=en&user=g5b62LoAAAAJ
Alecia Youngblood Jackson,Applachian State University,appstate.edu,6793,Feminist post-structural theories | new material feminisms,https://scholar.google.com/citations?hl=en&user=Dn0NiFoAAAAJ
Sarah Buxbaum,Jackson State University,jsums.edu,6674,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ngS986EAAAAJ
Christine Jackson,"University of Florida, Purdue University, Wayne State University",wayne.edu,5924,Organizational Justice | Leadership | Psychological Collectivism | Team Effectiveness,https://scholar.google.com/citations?hl=en&user=USAXtEQAAAAJ
Fengxiang Han,"Professor, Jackson State University",jsums.edu,5630,Environmental Chemistry | Biogeochemistry,https://scholar.google.com/citations?hl=en&user=JOFDdy0AAAAJ
yerramilli anjaneyulu,"Jackson State University,Jackson, MS,USA",jsums.edu,5625,Environmental Modeling | Sensors | Energy,https://scholar.google.com/citations?hl=en&user=asGuwmEAAAAJ
Yiming Liu,"Professor of Chemistry and Biochemistry, Jackson State University",jsums.edu,5359,Bioanalytical Chemistry,https://scholar.google.com/citations?hl=en&user=NsoMdLcAAAAJ
Mark J. Jackson,Kansas State University,ksu.edu,4942,Condensed Matter Physics | Physics and Chemistry of Solids | Tribology of Machining | Mechanical Engineering | Naval Architecture,https://scholar.google.com/citations?hl=en&user=-SD6xFcAAAAJ
William F. Jackson,"Professor of Pharmacology & Toxicology, Michigan State University",msu.edu,4804,microcirculation | vascular biology | ion channels | vascular smooth muscle | calcium signaling,https://scholar.google.com/citations?hl=en&user=gC-dhZ8AAAAJ
Qilin Dai,Associate professor of Physics  Jackson State University,jsums.edu,4698,Solar cells | Quantum dots | optoelectronic devices | Magnets | Nanoparticles,https://scholar.google.com/citations?hl=en&user=DCHsJtIAAAAJ
John Foster,"The University of Michigan, NASA, Jackson State University, The University of Wisconsin …",umich.edu,4123,plasma | water | plasma propulsion | fission/fusion rockets | sheaths,https://scholar.google.com/citations?hl=en&user=OBRlVIAAAAAJ
Amal Mitra,"Professor of Epidemiology, Jackson State University",jsums.edu,3870,vitamin A | diarrhea | breastfeeding | lead | arsenic,https://scholar.google.com/citations?hl=en&user=C4QDJI4AAAAJ
Robert A Jackson,"Reader in Computational Solid State Chemistry, Keele University",keele.ac.uk,3771,Computational Solid State Chemistry,https://scholar.google.com/citations?hl=en&user=atxXwDgAAAAJ
"Jerlando FL Jackson, PhD",Michigan State University,msu.edu,3637,Higher Education and Organizational …,https://scholar.google.com/citations?hl=en&user=27AbTPYAAAAJ
T. Jeff Chandler,Professor Jacksonville State University,jsu.edu,3615,exercise,https://scholar.google.com/citations?hl=en&user=GnRB6KkAAAAJ
Douglas Jackson-Smith,"Professor, Ohio State University",osu.edu,3519,sociology of agriculture | water | interdisciplinary research,https://scholar.google.com/citations?hl=en&user=zxiZOlgAAAAJ
Nihar Pradhan,"Associate Professor of Physics, Jackson State University and National High Magnetic Field …",jsums.edu,3356,Condensed matter physics | Nanotechnology | Material science | 2D Semiconductors | Device Physics,https://scholar.google.com/citations?hl=en&user=wDDHxhQAAAAJ
Paula Jackson,"Professor of Biology, Kennesaw State University",kennesaw.edu,3300,Ecology | Plant physiology | Plant Ecophysiology | Education,https://scholar.google.com/citations?hl=en&user=FX1tJuAAAAAJ
Michael S Jackson,Newcastle University,ncl.ac.uk,3211,Not Mentioned,https://scholar.google.com/citations?hl=en&user=NccrP_IAAAAJ
Tonya Smith-Jackson,"Industrial and Systems Engineering, NC A&T State University",ncat.edu,3116,human factors | ergonomics | safety | cognition,https://scholar.google.com/citations?hl=en&user=E1U61_EAAAAJ
Natarajan Meghanathan,"Professor of Computer Science, Jackson State University, Jackson, MS, USA",jsums.edu,3077,Wireless Ad hoc Networks | Sensor Networks | Network Science and Graph Theory | Cyber Security | Machine Learning,https://scholar.google.com/citations?hl=en&user=QC34KY4AAAAJ
Brian K. Jackson,"Dept. of Physics, Boise State University",boisestate.edu,3019,planetary science | astronomy | exoplanets | extrasolar planets | orbital dynamics,https://scholar.google.com/citations?hl=en&user=pF3HbeQAAAAJ
Michele H. Jackson,"Professor, Michigan State University",msu.edu,2971,Commmunication Technology | Group Dynamics and Interaction | Organizational Communication,https://scholar.google.com/citations?hl=en&user=KXwh_iUAAAAJ
Shahrouz Aliabadi,Jackson State University,jsums.edu,2863,High Performance Computing | Modeling and Simulation | Finite Element and Volume Methods | Aerospace and Environmental Engineering,https://scholar.google.com/citations?hl=en&user=TvHhyjEAAAAJ
Saiful M. Islam,"Assistant Professor in Chemistry, Jackson State University",jsums.edu,2769,Inorganic Chemistry | Materials Chemistry | Environmental Chemistry | Solid State Chemistry | Nanomaterial,https://scholar.google.com/citations?hl=en&user=evKTULUAAAAJ
Ming-Ju Huang,Jackson State University,jsums.edu,2540,Computational Chemistry | QSAR,https://scholar.google.com/citations?hl=en&user=8jbui78AAAAJ
Avijit Pramanik,Jackson State University,jsums.edu,2389,Nanoscience | Organic Chemistry Inorganic Chemistry,https://scholar.google.com/citations?hl=en&user=NWlJ9DgAAAAJ
Ryan Neal Jackson,"Assistant Professor, Utah State University, Dept. Chemistry and Biochemistry",usu.edu,2164,Biochemistry | Structural Biology | CRISPR | Genetic Engineering,https://scholar.google.com/citations?hl=en&user=ebxAoYMAAAAJ
John Jackson,"James Madison College, Michigan State University",wm.edu,2054,History and Rhetoric of Science,https://scholar.google.com/citations?hl=en&user=YKdLi4wAAAAJ
Kavitha Pathakoti,Jackson State university,jsums.edu,2041,Environmental toxicology | Aquatic toxicology | Nanotechnology | Nanotoxicity,https://scholar.google.com/citations?hl=en&user=gZcP_9sAAAAJ
Hung-Chung Huang,"Dept. of Biology, Jackson State University",jsums.edu,2040,Bioinformatics | Computational Biology/Biochemistry,https://scholar.google.com/citations?hl=en&user=hD6GVzgAAAAJ
Jimmy K Triplett,Jacksonville State University,jsu.edu,1881,botany | plant systematics | phylogenetics | floristics,https://scholar.google.com/citations?hl=en&user=30esBNsAAAAJ
hari Cohly,"Associate Professor, Jackson State University",jsums.edu,1625,autism | Consciousnes | hydrogen gas production | rust removal,https://scholar.google.com/citations?hl=en&user=FUo5JDUAAAAJ
Robert Jackson,"Professor of Political Science, Florida State University",fsu.edu,1619,Not Mentioned,https://scholar.google.com/citations?hl=en&user=frVhvAcAAAAJ
Shih Kai Huang,Jacksonville State University,jsu.edu,1548,Emergency management | Disaster research | Risk communication,https://scholar.google.com/citations?hl=en&user=7LbDdq4AAAAJ
Alan P Jackson,"Exploration Fellow, Arizona State University",asu.edu,1542,astrophysics | planet formation | planetary science | debris disks | solar system evolution,https://scholar.google.com/citations?hl=en&user=gEmH_SMAAAAJ
