Peter Auer,Montanuniversität Leoben,unileoben.ac.at,19592,Machine Learning | Learning Theory | Online Learning | Multi-Armed Bandits,https://scholar.google.com/citations?hl=en&user=4q93heUAAAAJ
Christian Mitterer,"Professor of Functional Materials and Materials Systems, Montanuniversität Leoben, Austria",unileoben.ac.at,17701,Materials science | Surface engineering | Hard coatings | Thin films,https://scholar.google.com/citations?hl=en&user=lFs5IucAAAAJ
Helmut Clemens,"Professor for Physical Metallurgy, Montanuniversität Leoben",unileoben.ac.at,16571,Microstructure & properties | alloy design | high-temperature materials | intermetallic materials | refractory metals,https://scholar.google.com/citations?hl=en&user=8PFdsN8AAAAJ
Peter J. Uggowitzer,ETH Zurich and Montanuniversitaet Leoben,mat.ethz.ch,16486,physical metallurgy | light alloys | aluminium alloys | magnesium alloys | alloy design,https://scholar.google.com/citations?hl=en&user=zeEYTloAAAAJ
Anton Hohenwarter,Montanuniversität Leoben,unileoben.ac.at,9795,Not Mentioned,https://scholar.google.com/citations?hl=en&user=3v9seu4AAAAJ
Christian Teichert,"Associate Professor of Materials Physics, University of Leoben, Austria",unileoben.ac.at,8289,Surface Science | Nanostructures | 2D Materials | Scanning Probe Microscopy,https://scholar.google.com/citations?hl=en&user=vfR-xS0AAAAJ
Daniel Kiener,"Associate Professor of Materials Physics, Montanuniversität Leoben",unileoben.ac.at,7747,Materials science | nanomechanics | electron microscopy | in-situ testing | interfaces,https://scholar.google.com/citations?hl=en&user=gltVQKEAAAAJ
Thomas Meisel,Montanuniversität Leoben,unileoben.ac.at,6514,Analytical Geochemistry,https://scholar.google.com/citations?hl=en&user=zrw3AGgAAAAJ
Lorenz Romaner,"Department of Materials Science, University of Leoben",unileoben.ac.at,5615,Computational Materials Science,https://scholar.google.com/citations?hl=en&user=YYaGAaIAAAAJ
David Holec,"Montanuniversität Leoben, Austria",unileoben.ac.at,5258,atomistic modelling | DFT | microstructure | mechanical properties | phase stability,https://scholar.google.com/citations?hl=en&user=QgrN-y8AAAAJ
Paul O'Leary,"Professor of Automation, University of Leoben, Leoben, Austria",unileoben.ac.at,4436,numerical methods for differential equations | discrete basis functions | machine vision,https://scholar.google.com/citations?hl=en&user=lA7lJe8AAAAJ
Menghuai Wu,"Dept. of metallurgy, Montanuniversitaet Leoben",Not Mentioned,4398,Solidification | modeling | metallurgy | materials processing | casting,https://scholar.google.com/citations?hl=en&user=H9JKdSUAAAAJ
Gerald Pinter,Montanuniversitaet Leoben,unileoben.ac.at,4337,Not Mentioned,https://scholar.google.com/citations?hl=en&user=nlDn0RsAAAAJ
Thomas Antretter,"Professor für Mechanik, Montanuniversität Leoben",unileoben.ac.at,3550,Werkstoffmechanik,https://scholar.google.com/citations?hl=en&user=w3GspBIAAAAJ
Rainer T Lechner,"Institute of Physics, Montanuniversitaet Leoben",unileoben.ac.at,3345,Not Mentioned,https://scholar.google.com/citations?hl=en&user=gzGAXZEAAAAJ
Ronald Ortner,Montanuniversität Leoben,unileoben.ac.at,3108,Not Mentioned,https://scholar.google.com/citations?hl=en&user=9zM7wvkAAAAJ
