Prof. JB Singh,"… Professor, University of Petroleum and Energy Studies,Dehradun and Panjab University",ddn.upes.ac.in,216959,Experimental High Energy Particle Physics,https://scholar.google.com/citations?hl=en&user=iT-87sEAAAAJ
sunil bansal,"Panjab University, Chandigarh",pu.ac.in,144302,High Energy Physics,https://scholar.google.com/citations?hl=en&user=OU5btgEAAAAJ
Nitish Dhingra,Panjab University,fnal.gov,137276,Not Mentioned,https://scholar.google.com/citations?hl=en&user=g-ju1BAAAAAJ
Vipin Bhatnagar,Panjab University,pu.ac.in,135265,Experimental HEP | Detectors | HPC,https://scholar.google.com/citations?hl=en&user=gVFp_c0AAAAJ
Farooq Ahmad,"University of Management and Technology Lahore Punjab, Pakistan",umt.edu.pk,109238,Doctoral dissertation issues,https://scholar.google.com/citations?hl=en&user=acAGkkoAAAAJ
Ramandeep Kumar,Panjab University Chandigarh,cuh.ac.in,72878,Experimental High Energy Physics,https://scholar.google.com/citations?hl=en&user=MF8eVnYAAAAJ
Kewal Krishan,"Department of Anthropology, Panjab University, Chandigarh, India",pu.ac.in,43192,Forensic science | Physical anthropology | Forensic anthropology | Anthropology | biological anthropology,https://scholar.google.com/citations?hl=en&user=CD0Uz8AAAAAJ
Lokesh Kumar,"Panjab University, Chandigarh INDIA",rcf.rhic.bnl.gov,42517,Experimental high energy physics,https://scholar.google.com/citations?hl=en&user=FKaUevUAAAAJ
"Farooq, U.","department of botany, punjabi university patiala, india",Not Mentioned,35758,cytogenetics,https://scholar.google.com/citations?hl=en&user=4ZRrSgsAAAAJ
Anil Kumar,"Assistant Professor Physics, Punjabi University Patiala",Not Mentioned,35516,Radiation Physics and Experimental Atomic … | Photon atom interaction process,https://scholar.google.com/citations?hl=en&user=iZ7zMtEAAAAJ
Rajesh Kumar,"Professor of Political Science at Guru Nanak Dev University, AMRITSAR, PUNJAB, INDIA",gndu.ac.in,33466,International Relations | India's Foreign Policy and Security Matters,https://scholar.google.com/citations?hl=en&user=wvGnMjcAAAAJ
Gurpreet Singh,Punjabi University Patiala,Not Mentioned,31996,Punjabi Language Grammar literature and … | Punjabi dispora studies,https://scholar.google.com/citations?hl=en&user=veQcjv4AAAAJ
SK Kulkarni,"Professor Emeritus, University Institute of Pharmaceutical Sciences, Panjab University …",Not Mentioned,24107,Neuropharmacology | Pharmacology | Toxicology | Neuroscience | Behavioral sciences,https://scholar.google.com/citations?hl=en&user=HwTp4aYAAAAJ
amandeep kaur,punjabi university,Not Mentioned,20733,vlsi | microelctronics | microcontroller,https://scholar.google.com/citations?hl=en&user=gA4gR_MAAAAJ
Harpreet Kaur,"Associate Professor, Department of Distance Education, Punjabi University, Patiala",Not Mentioned,20673,Banking | Accounting | Finance,https://scholar.google.com/citations?hl=en&user=E_al9BAAAAAJ
Mandeep Kaur AP Psychology,"AP,Psychology department, Punjabi university patiala",pbi.ac.in,20248,social psychology,https://scholar.google.com/citations?hl=en&user=jq9knqYAAAAJ
"Ashok Kumar, Ph.D.","Professor, Department of Sports Science,Punjabi University Patiala,Punjab,India",pbi.ac.in,19706,Exercise Phyiology | Biomechanics | Sports Science,https://scholar.google.com/citations?hl=en&user=yHCt7C4AAAAJ
Nasir Salam,Central University of Punjab,cup.edu.in,19552,Microbiology | Immunology | Infectious diseases,https://scholar.google.com/citations?hl=en&user=SLNVDPcAAAAJ
Zulfiqar Ali,University of the Punjab,pu.edu.pk,19381,Statistics,https://scholar.google.com/citations?hl=en&user=2FGss-wAAAAJ
Dr Manish Dev Sharma,"Professor of Physics and Electronics, Panjab University Chandigarh",pu.ac.in,19313,Materials Science | Smart Materials | Chalcogens | Glasses | Electronic Communication Techniques and …,https://scholar.google.com/citations?hl=en&user=MqezbocAAAAJ
Dr. Ajay Kumar Srivastava,"Professor (Department of Physics), Chandigarh University, Gharuan,  Mohali, Punjab, India",Not Mentioned,19067,Silicon Detector Engineering & Technology …,https://scholar.google.com/citations?hl=en&user=tjqLlrYAAAAJ
Mr. Shakeel Ahmad,"Bahauddin Zakariya University, Multan, Punjab, Pakistan",uvas.edu.pk,18982,Animal Nutrition,https://scholar.google.com/citations?hl=en&user=8l2mLD4AAAAJ
Rajinder singh,"Department of music , Punjabi University Patiala",Not Mentioned,17219,light music,https://scholar.google.com/citations?hl=en&user=OGSAgHoAAAAJ
Talab Hussain,"Centre for High Energy Physics, University of the Punjab, Lahore, Pakistan",pu.edu.pk,16546,High Energy Physics,https://scholar.google.com/citations?hl=en&user=L8U4g7wAAAAJ
PARAMJIT SINGH,"Professor of Chemical Technology, Panjab University, Chandigarh",Not Mentioned,16157,Polymer Science and Engineering | Oils and Paints,https://scholar.google.com/citations?hl=en&user=I8Dt0z8AAAAJ
Prof. (Dr.) RAJESHWAR SINGH,"Doaba Group of Colleges, Affiliated to IKG Punjab Technical University, Punjab India",ptu.ac.in,15831,Mobile Adhoc Networks | FANET and Wireless Sensor Networks … | Security and Energy Challenges,https://scholar.google.com/citations?hl=en&user=2vm33BEAAAAJ
Kanwaljit Chopra,"University Institute of Pharmaceutical Sciences, Panjab University, Chandigarh",Not Mentioned,15106,neuropharmacolgy,https://scholar.google.com/citations?hl=en&user=wYmk_qEAAAAJ
Abrar Ahmad Zafar,"Assistant Professor of Physics, University of the Punjab, Lahore Pakistan",pu.edu.pk,15088,Experimental High Energy Physics(Data …,https://scholar.google.com/citations?hl=en&user=inqBFQIAAAAJ
Dr Manoj Kumar,"Assistant Professor, Centre for Public Health, Panjab University, Chandigarh",pu.ac.in,15015,Environment and Public Health (Non …,https://scholar.google.com/citations?hl=en&user=VrHXq9cAAAAJ
Jaspreet kaur,"Dept. Of music, punjabi University patiala",Not Mentioned,14965,classical music,https://scholar.google.com/citations?hl=en&user=pCdX5uUAAAAJ
"Ravinder Kohli, FNA, FASc,FNASc, FNAAS, FNESA, FBS,                     JC Bose National Fellow","… Amity University, Mohali; Former VC-Central University Punjab, Ex-VC, DAV Univ",pb.amity.edu,14355,Ecology | Physiology | forestry | conservation | Environment,https://scholar.google.com/citations?hl=en&user=RUd6aeMAAAAJ
AHMED MUNEEB,"Student of BSM, Punjab University Jhelum Campus",Not Mentioned,14223,Psychology research | Case study,https://scholar.google.com/citations?hl=en&user=oyv-zLwAAAAJ
daizy batish,"Panjab University, Chandigarh, India",Not Mentioned,13472,essential oil bearing plants and their … | plant plant interactions | ecotoxicology,https://scholar.google.com/citations?hl=en&user=PJUcs44AAAAJ
Mamta Sharma AP Psychology,Punjabi University Patiala,pbi.ac.in,12875,Behavioral Medicine | Physiological Psychology | Health Psychology | Counselling Psychology,https://scholar.google.com/citations?hl=en&user=3SfuVrQAAAAJ
Prince Sharma,"Professor of Microbiology, Panjab University, Chandigarh, INDIA ",pu.ac.in,12644,Microbiology,https://scholar.google.com/citations?hl=en&user=W1UQ9BIAAAAJ
"Muhammad Akram, Professor","University of the Punjab, Lahore",pucit.edu.pk,12437,K-algebras | Numerical Solutions of Parabolic PDEs | Fuzzy  Sets | Fuzzy Graphs | Soft Sets,https://scholar.google.com/citations?hl=en&user=PT8wxO8AAAAJ
Dr. Samreen Riaz (S Riaz),"… of Microbiology and Molecular Genetics,University of the Punjab Lahore, Family Physician",pu.edu.pk,12334,Biomedical  and life sciences,https://scholar.google.com/citations?hl=en&user=xg94xdYAAAAJ
Professor Bhupinder Singh Bhoop,"… Inst Pharm Sci & Coordinator, Nat UGC Excellence Centre NanoBiomedicine, Panjab Univ …",pu.ac.in,12155,Lipid/Polymer-based Nanostructured Drug … | Quality by Design (QbD) | Pharmaceutics | Pharmacokinetics & Biopharmaceutics,https://scholar.google.com/citations?hl=en&user=ntWgv1IAAAAJ
Dr. Nirmal Singh Prof Pharmacy,"Department of Pharmaceutical Sciences & Drug Research, Punjabi University Patiala",pbi.ac.in,11885,Neuropharmacology | Ischemia reperfusion injury | Dementia of Alzheimer's type and other … | neuropathic pain.,https://scholar.google.com/citations?hl=en&user=6B1y3WYAAAAJ
Vinay kumar,Punjab Agricultural University,pau.edu,11774,Farm Power Machinery Design | Precision Agriculture | Sustainable Agriculture | Conservation Agriculture | Farm Management,https://scholar.google.com/citations?hl=en&user=UZgFNjEAAAAJ
SKMehta,"Professor of Chemistry, Panjab University, Chandigarh",pu.ac.in,11607,Colloidal Chemistry | Nanochemistry,https://scholar.google.com/citations?hl=en&user=gfH4t_UAAAAJ
Dr. Ejaz Ahmed,"Professor of Chemistry, University of the Punjab,  Lahore",pu.edu.pk,11219,Organic Chemistry | Natural Product Chemistry,https://scholar.google.com/citations?hl=en&user=H7hrIVQAAAAJ
Dr. Abhishek Singh,"Professor, Ram Devi Jindal Group IKGPTU, IK Gujral Punjab Technical University, University …",iitbhuvns.tech,11205,Optimization | Cluster Variation Method | Computational Thermodynamics | Corrosion Fatigue and Hot Corrosion | Environmental & Pollu,https://scholar.google.com/citations?hl=en&user=aIXxiAoAAAAJ
NAZAKAT ALI,Lovely Professional University Punjab India,Not Mentioned,10976,Biotechnology,https://scholar.google.com/citations?hl=en&user=e3kZlTQAAAAJ
RAKESH TULI,"CSIR-NBRI Lucknow, DBT-NABI Mohali, Panjab University Chandigarh",pu.ac.in,10827,Plant Biotechnology | biomedical engineering,https://scholar.google.com/citations?hl=en&user=sO7RY9oAAAAJ
Rakesh Kumar Sharma - Ballowal Saunkhri,Punjab Agricultural University,pau.edu,10335,Entomology,https://scholar.google.com/citations?hl=en&user=J9dZ1bgAAAAJ
Shamsher Singh,"Research Scholar, Panjab University Chandigarh",Not Mentioned,10291,Alienation | Unemployment | Rural Sociology,https://scholar.google.com/citations?hl=en&user=00tRq8EAAAAJ
Mili Gupta,Panjab University,Not Mentioned,9810,biomarkers coronary diseases,https://scholar.google.com/citations?hl=en&user=x4IDXksAAAAJ
"subheet kumar jain, Subheet Jain, S. Jain","Punjabi University, Patiala, Guru Nanak Dev University, Amritsar, Dr. HS Gour University …",gndu.ac.in,9725,Not Mentioned,https://scholar.google.com/citations?hl=en&user=F6JIlX0AAAAJ
Harsh Nayyar,"Professor of Botany, Panjab University, Chandigarh, India",pu.ac.in,9713,Stress Biology | Climate change and Agriculture | Phytoremediation | Temperature and drought stress,https://scholar.google.com/citations?hl=en&user=ZEO6_2oAAAAJ
Savita Gupta,"Professor of Computer Science and Engineering, UIET, Panjab University, Chandigarh",Not Mentioned,9586,image processing | image compression and denoising | and wavelet applications,https://scholar.google.com/citations?hl=en&user=eo4DntUAAAAJ
Amteshwar Jaggi,Punjabi University patiala,pbi.ac.in,9443,Pharmacology,https://scholar.google.com/citations?hl=en&user=fhCw5OsAAAAJ
Indu Pal Kaur,Panjab university Chandigarh,Not Mentioned,9409,Pharmaceutical nanotechnology | Solid lipid Nanoparticles | biomaterials | boitechnology,https://scholar.google.com/citations?hl=en&user=b-Lp0v8AAAAJ
