Daniel J Suson,Purdue University Northwest,pnw.edu,54676,general relativity | high energy astrophysics | quantum mechanics | physics pedagogy,https://scholar.google.com/citations?hl=en&user=nCYzQVQn3tYC
Atanu Pathak,"Research Associate, Purdue University Northwest",pnw.edu,23570,High energy physics,https://scholar.google.com/citations?hl=en&user=J_NjP9QAAAAJ
Scott T Bates,"Purdue University Northwest, Department of Biological Sciences",purdue.edu,15102,Bioinformatics | Microbiology | Microbiome | Molecular Microbial Ecology | Mycology,https://scholar.google.com/citations?hl=en&user=rF2z2WcAAAAJ
Veera Gnaneswar Gude,Purdue University Northwest - Civil Engineering,Purdue.edu,7913,Energy-Water Nexus | Resource | Sustainable Communities | Sustainable Engineering | Waste water,https://scholar.google.com/citations?hl=en&user=yv68ozYAAAAJ
SHUHUI YANG,Purdue University Northwest,pnw.edu,2392,wireless networking | distributed systems.,https://scholar.google.com/citations?hl=en&user=W8dC-iAAAAAJ
Chen Ye,Purdue University Northwest,pnw.edu,2323,Information Systems | (formerly) Molecular Biology,https://scholar.google.com/citations?hl=en&user=rIPMxOYAAAAJ
Rachel Clapp-Smith,"Professor, Purdue University Northwest",pnw.edu,2297,Multi-Domain Leadership | Global Leadership | Leader Identity Development,https://scholar.google.com/citations?hl=en&user=5Lvu3y0AAAAJ
Anthony Elmendorf,Purdue University Northwest,pnw.edu,2201,Algebraic topology and category theory,https://scholar.google.com/citations?hl=en&user=HwlLZBkAAAAJ
William R. Law,Purdue University Calumet,purduecal.edu,2142,Not Mentioned,https://scholar.google.com/citations?hl=en&user=QSWmddsAAAAJ
Dietmar Rempfer,Purdue University Northwest,pnw.edu,1936,fluid dynamics | turbulence | aerodynamics | dynamical systems theory,https://scholar.google.com/citations?hl=en&user=9SEimZkAAAAJ
"Lizhe Tan (Li Tan, Li-Zhe Tan)","Full Professor of Electrical and Computer Engineering, Purdue University Northwest",pnw.edu,1868,Signal processing for machine learning … | control systems | robotics and computer vision | and active noise control,https://scholar.google.com/citations?hl=en&user=B3E4TbkAAAAJ
Tantatape Brahmasrene,"Professor Emeritus of Finance & International Business, Purdue University Northwest",pnw.edu,1814,Finance & International Business,https://scholar.google.com/citations?hl=en&user=W2zpF3IAAAAJ
Han Wang,"Applied Materials, Inc. Pacific Northwest National Laboratory, Purdue University",amat.com,1725,nanocomposite | thin films | TEM | Flash sintering,https://scholar.google.com/citations?hl=en&user=bTvD9T0AAAAJ
Jean Jiang,"Associate Professor, Purdue University Northwest",pnw.edu,1638,Digital Signal Processing | active noise control and control systems,https://scholar.google.com/citations?hl=en&user=CcNqAdoAAAAJ
Gokarna Aryal,Purdue University Northwest,pnw.edu,1561,Statistics,https://scholar.google.com/citations?hl=en&user=4fu1Lp8AAAAJ
Quamar Niyaz,Purdue University Northwest,pnw.edu,1526,Computer Networks | Security | Machine Learning Applications,https://scholar.google.com/citations?hl=en&user=YOt6ttEAAAAJ
Roger Kraft,Purdue University Northwest,pnw.edu,1338,Dynamical Systems | Computer Algebra,https://scholar.google.com/citations?hl=en&user=OtxBMQkAAAAJ
Emily Hixon,"Professor of Education, Purdue University Northwest",pnw.edu,1223,Online Instruction | Technology Integration | Faculty Development,https://scholar.google.com/citations?hl=en&user=xPWwHKsAAAAJ
Lawrence Hamer,"Dean, Purdue University Northwest",pnw.edu,1023,Marketing,https://scholar.google.com/citations?hl=en&user=mpvXBokAAAAJ
Xianyi Hu,Purdue University,u.northwestern.edu,818,thin film | solar cell | transmission microscope,https://scholar.google.com/citations?hl=en&user=31B2lN0AAAAJ
Charles Rarick,Purdue University Northwest,pnw.edu,814,management | international business | economics | human resource management,https://scholar.google.com/citations?hl=en&user=ihoYZIkAAAAJ
Kim Scipes,"Professor of Sociology, Purdue University Northwest",pnw.edu,804,Labor | global and domestic,https://scholar.google.com/citations?hl=en&user=CXEpIZQAAAAJ
Grethe Hystad,Associate Professor of Statistics at Purdue University Northwest,pnw.edu,794,Applied Statistics | Mineral Ecology | Analysis,https://scholar.google.com/citations?hl=en&user=YYJ9EqoAAAAJ
Manghui Tu,Purdue University Northwest,pnw.edu,789,Cybersecurity | Inforamtion Assurance | Digital Forensics | Distributed Computing | Cyber Physics System Security,https://scholar.google.com/citations?hl=en&user=SiG7OqEAAAAJ
