Michael S. Briggs,University of Alabama in Huntsville,uah.edu,34958,gamma-ray bursts (GRBs) | terrestrial gamma-ray flashes (TGFs) | gamma-ray detectors | CubeSats,https://scholar.google.com/citations?hl=en&user=sqmUCI0AAAAJ
William Setzer,"Professor of Chemistry, University of Alabama in Huntsville",chemistry.uah.edu,20302,Natural Products | Chemical Ecology | Molecular Modeling,https://scholar.google.com/citations?hl=en&user=kRK851YAAAAJ
Jatinder ND Gupta,University of Alabama in Huntsville,uah.edu,17010,Operations | Scheduling | Enterprise Systems | Supply Chain Management | Information Systems and Strategy,https://scholar.google.com/citations?hl=en&user=Zmo0sTcAAAAJ
Yuri Shtessel,University of Alabama in Huntsville,uah.edu,14635,Sliding mode control | aerospace control,https://scholar.google.com/citations?hl=en&user=HbNm3KwAAAAJ
MANUEL DOMINGUEZ RODRIGO,University of Alcalá de Henares,uah.es,14333,Paleoanthropology | Archaeology | Artificial intelligence,https://scholar.google.com/citations?hl=en&user=A1IukVcAAAAJ
Paul G. Wolf,"Professor of Biology, University of Alabama in Huntsville",uah.edu,11570,Botany | genetics | evolutionary biology | genomics | ferns,https://scholar.google.com/citations?hl=en&user=Du0z0PUAAAAJ
Péter Veres,Univeresity of Alabama in Huntsville,uah.edu,11402,gamma-ray bursts | high energy astrophysics,https://scholar.google.com/citations?hl=en&user=bk9mtAcAAAAJ
PM Ligrani,University of Alabama in Huntsville,uah.edu,11120,fluid mechanics | heat transfer | micro-scale flows | high-speed compressible flows,https://scholar.google.com/citations?hl=en&user=fxJJzKoAAAAJ
Emil Jovanov,University of Alabama in Huntsville,uah.edu,11054,Wearable monitoring | mHealth | biomedical signal processing | computer engineering,https://scholar.google.com/citations?hl=en&user=NsyvhbgAAAAJ
Sundar Christopher,"Professor, Department of Atmospheric and Earth Science",uah.edu,10042,Satellite Remote Sensing | Aerosols | AIr Quality,https://scholar.google.com/citations?hl=en&user=HZG9E70AAAAJ
Roberto Rosal,University of Alcalá - Professor of Chemical Engineering,uah.es,9106,Plastic pollution | Water treatment | Environmental chemistry | Environmental toxicology | Antimicrobial materials,https://scholar.google.com/citations?hl=en&user=9bW5NioAAAAJ
Hugh W Coleman,"Professor Emeritus, U of AL in Huntsville",uncertainty-analysis.com,9033,uncertainty analysis | validation | heat transfer | fluid dynamics,https://scholar.google.com/citations?hl=en&user=7mKBK2gAAAAJ
